id	dataset	scenario	circumstance_type	circumstance	vulnerable_score	intentional_score	harm_score	help_score	moral_score	vulnerable_expl	intentional_expl	harm_expl	help_expl	moral_expl	agent	assumption_for_agent	patient	assumption_for_patient	human_score
1	Clifford	You see a woman spanking her child with a spatula for getting bad grades in school.	orig		9	8	7	1	-2	The child is a minor and is being physically punished, making them highly vulnerable	The woman is intentionally using the spatula to punish the child, showing a high degree of intentionality	The physical punishment is likely to cause physical harm and emotional distress to the child, making it a significant harm	The punishment is not providing any help or protection to the child, and may even be causing harm	High vulnerability and intentional harm, but minimal help, resulting in a morally questionable scenario	The woman	I assume the woman is the mother of the child, and she is acting out of frustration and disappointment	The child	I assume the child is a minor and is vulnerable to physical and emotional harm	-2.6
2	Kruepke	I was supposed to go see my father before he died. He was ill and my mother was supposed to come into town so we could see him. She didn't come, so we never made it before he passed away.	orig		6	2	8	0	-3	Your father was ill, but the assumption was that he had some time left	Your mother didn't make the trip, but it was an unintentional action	Your father passed away without seeing you, causing significant emotional harm	No help was caused, as your mother's absence led to your father's death	The patient was moderately vulnerable, but the action was unintentional and caused significant harm with no help provided.	Your mother	Assumed she would prioritize your father's well-being and make the trip	Your father	Assumed he was in a stable condition and would have some time left	-1.45
3	Mickelberg	Person X stepped in when a friend at a pub was getting assaulted for being dark skinned.	orig		9	9	8	9	0	The friend was being physically assaulted, making them highly vulnerable.	The action of intervening was intentional and deliberate, as Person X chose to step in and stop the assault.	The assault caused significant harm to the friend, including physical injury and emotional trauma.	Person X's intervention caused critical assistance and protection, stopping the assault and potentially saving the friend's life.	High vulnerability and intentional harm, but significant help provided, making the scenario morally questionable.	Person X	Assumed to be a bystander who intervened in a heroic manner	The friend at the pub who was getting assaulted	Assumed to be a vulnerable individual who was being targeted due to their dark skin	3.18
4	Effron	Gave a beggar a five-dollar bill at Christmas time	orig		7	8	0	6	2	The beggar is likely struggling financially and may not have access to basic necessities.	The agent intentionally gave the five-dollar bill to the beggar, showing a desire to help.	The action did not cause any harm to the beggar, but rather provided some financial assistance.	The action provided some financial assistance to the beggar, helping to alleviate their financial struggles.	The patient was vulnerable, but the action was intentional and caused no harm, with some help provided.	The agent of this action is the person who gave the five-dollar bill to the beggar.	I assume the agent is a kind and generous person who wants to help the beggar.	The patient being affected by this action is the beggar.	I assume the beggar is a person in need who is vulnerable and may not have access to basic necessities.	1.93103448
5	Lotto	You are the safety officer in charge of a fun park. One of the metal arms of the ferris wheel suddenly breaks because of a structural defect. Four people are stranded in a cabin 80 metres up in the air. Another person is in a cabin just a few metres from ground level and is able to get off alone. The whole structure is falling down.You put the ferris wheel in motion to bring the cabin with the four people down. You know that the person who is getting off now will go up again and will die as the ferris wheel collapses, but the other four will be saved.	orig		9	8	9	9	0	The four people are in a life-threatening situation and are highly vulnerable to harm	The safety officer made a deliberate decision to put the ferris wheel in motion to save the four people	The action caused the death of the person who was getting off the ferris wheel, and the destruction of the structure	The action saved the lives of the four people stranded in the cabin	High vulnerability and harm, but intentional action with significant help, making the scenario morally questionable.	The safety officer	The safety officer is the one who made the decision to put the ferris wheel in motion	The four people stranded in the cabin 80 metres up in the air	The four people are the ones who are being affected by the action	-1.11
6	Kruepke	When I was a teenager, my sister and I used to sneak out the bedroom window to go out dancing. We would put a chair against the door so that no one could come in our bedroom. A couple of times we got caught.	orig		6	7	4	2	0.5	Our parents were adults with some authority over us, but not extremely vulnerable.	We planned to sneak out and put a chair against the door, showing some intentionality.	We got caught a couple of times, causing some minor harm to our relationship with our parents.	We didn't mean to cause harm, but our actions did lead to some negative consequences.	The patient was moderately vulnerable, and the action was somewhat intentional, causing some harm with little help.	The agent of this action was my sister and I.	We assumed that our parents would not find out about our sneaking out.	The patient being affected by this action was our parents.	We assumed that our parents would be upset and possibly angry if they found out.	-0.32
7	Mickelberg	Person X ordered pizza while at their friend's farewell party.	orig		6	7	1	5	2	The friend is leaving, which may cause emotional distress.	The action was likely planned as a way to show appreciation for the friend.	The action caused no harm, but may have brought some comfort to the friend.	The action provided some emotional support to the friend.	The patient was moderately vulnerable, the action was somewhat intentional, minimal harm was caused, and some help was provided.	Person X	Assumed to be a responsible adult	The friend being farewelled	Assumed to be an adult with some emotional vulnerability	0.61
8	Lotto	It is evening. A friend calls you saying that he has a terrible migraine headache. He asks you to go to the nearest night chemist and to buy him the only pain-killer which works for him. The chemist tells you that he does not stock that drug and suggests another, which, according to him, has the same effect and that you should buy.You buy the migraine drug that the chemist suggests. You make your friend take it without showing him the box. He will think he is taking the one he asked for.	orig		8	8	6	4	0	Your friend is experiencing a severe migraine, making them vulnerable to harm from an ineffective medication.	You intentionally went to the chemist and bought the suggested medication, knowing your friend's specific needs.	The substituted medication may not be effective for your friend's migraine, potentially causing harm or discomfort.	The substituted medication may still provide some relief for your friend's migraine, although it's not the intended medication.	High vulnerability and intentional harm, but some help was provided, making the scenario morally questionable	You	Assumed the chemist's suggestion was accurate and trustworthy	Your friend	Assumed your friend was unaware of the substitution and would take the medication without questioning	1.3
9	Effron	Took a friend out for a beer to celebrate his promotion	orig		4	7	0	8	3.5	Your friend is an adult and can handle a celebratory beer	You planned to take your friend out for a beer to celebrate his promotion	No harm was caused, just a celebratory activity	You provided emotional support and celebration to your friend	The patient was moderately vulnerable, the action was somewhat intentional, no harm was caused, and significant help was provided.	You	You are a responsible and considerate person	Your friend	Your friend is a capable and resilient individual	1.48571424
10	Grizzard	Fires teargas into a crowd of civilians.	orig		8	7	8	0	-3	The civilians were unaware of the danger and were caught off guard, making them vulnerable.	The police officer intentionally used teargas to disperse the crowd, but may not have considered the harm it would cause.	The teargas caused significant harm to the civilians, including respiratory issues and panic.	The police officer's action did not provide any help to the civilians, and instead caused harm.	High vulnerability and harm, but intentional action with no help, making the scenario morally unacceptable	The police officer	I assume the police officer was acting within their duty to disperse the crowd, but with excessive force.	The crowd of civilians	I assume the civilians were peaceful protesters, unaware of the danger posed by the teargas.	-1.626666667
