id	dataset	scenario	circumstance_type	circumstance	agent	agent_assumption	affected_party	affected_party_assumption	Q5_score	Q5_expl	moral_score	moral_expl	human_score	split	regression_score	mlp_score
1	Clifford	You see a woman spanking her child with a spatula for getting bad grades in school.	orig		The woman	Assumed to be the child's parent or guardian enforcing discipline.	The child	Assumed to be a minor under the agent's care.	2.0	Physical punishment likely inflicts harm more than offering long-term benefit.	-3.0	Violence in discipline is largely seen as morally unacceptable despite corrective intent.	-2.6	train		
2	Kruepke	I was supposed to go see my father before he died. He was ill and my mother was supposed to come into town so we could see him. She didn't come, so we never made it before he passed away.	orig		I (the speaker) was the agent.	I assumed the agent intended to fulfill family duties and visit his ailing father.	My father.	I assumed the affected party (my father) values familial presence and emotional support in his final moments.	2.0	The missed visit greatly deprived my father's comfort, yielding very low utility.	-1.0	Failing to provide comfort in a critical moment renders the action slightly immoral.	-1.45	train		
3	Mickelberg	Person X stepped in when a friend at a pub was getting assaulted for being dark skinned.	orig		Person X	Assumed to be courageous, empathetic, and morally committed to defending others.	The friend (assault victim)	Assumed to be a vulnerable individual unjustly targeted due to skin color.	9.0	Stopping a racist assault significantly enhances communal well-being and deters hatred.	4.0	An intervention that protects life and dignity is highly moral and socially commendable.	3.18	train		
4	Effron	Gave a beggar a five-dollar bill at Christmas time	orig		An anonymous benefactor	Assumes the agent is compassionate and voluntarily helps others.	A beggar	Assumes the beggar is in genuine need and will benefit from even a small sum.	7.0	The action provides a modest but immediate boost to the individual's well-being and community morale.	3.0	The altruistic act raises community happiness, indicating a high level of moral acceptability.	1.93103448	train		
5	Lotto	You are the safety officer in charge of a fun park. One of the metal arms of the ferris wheel suddenly breaks because of a structural defect. Four people are stranded in a cabin 80 metres up in the air. Another person is in a cabin just a few metres from ground level and is able to get off alone. The whole structure is falling down.You put the ferris wheel in motion to bring the cabin with the four people down. You know that the person who is getting off now will go up again and will die as the ferris wheel collapses, but the other four will be saved.	orig		The safety officer.	Assumed to be a rational, competent decision‐maker acting impartially.	All individuals aboard the ferris wheel, both the stranded four and the one who must be sacrificed.	Assumed that each person’s life holds equal value in the overall calculation of community happiness.	7.0	Saves four lives at the expense of one; net benefit is significant despite the sacrifice.	2.0	Moral choice is controversial but overall aligns with utilitarian saving of more lives.	-1.11	train		
6	Kruepke	When I was a teenager, my sister and I used to sneak out the bedroom window to go out dancing. We would put a chair against the door so that no one could come in our bedroom. A couple of times we got caught.	orig		The narrator (the teenager).	Assumed to be a typical rebellious teenager seeking fun and freedom.	The narrator and the sister.	Assumed they value personal autonomy and social enjoyment despite potential risks.	3.0	Provides modest personal pleasure but risks safety and family trust.	0.0	Minor rule-breaking with limited harm; not highly moral yet not severely immoral.	-0.32	train		
7	Mickelberg	Person X ordered pizza while at their friend's farewell party.	orig		Person X	Assumed to be a rational, autonomous individual acting on personal discretion.	The friend hosting the farewell party and the other attendees.	Assumed they value communal celebration and their mood can be influenced by individual actions.	7.0	The action provides moderate personal satisfaction without significantly harming group enjoyment.	2.0	The decision promotes personal and communal happiness while avoiding harm.	0.61	train		
8	Lotto	It is evening. A friend calls you saying that he has a terrible migraine headache. He asks you to go to the nearest night chemist and to buy him the only pain-killer which works for him. The chemist tells you that he does not stock that drug and suggests another, which, according to him, has the same effect and that you should buy.You buy the migraine drug that the chemist suggests. You make your friend take it without showing him the box. He will think he is taking the one he asked for.	orig		You (the person who went to the chemist)	That you are a responsible friend acting with good intentions.	Your friend who suffers from the migraine.	That your friend trusts you and values relief from his pain.	6.0	The action relieves pain but uses deception, slightly reducing overall benefit.	1.0	Though the outcome is beneficial, deception reduces its moral acceptability.	1.3	train		
9	Effron	Took a friend out for a beer to celebrate his promotion	orig		I	Assumed to be a responsible, mature adult who values social celebration.	Friend	Assumed to appreciate social gestures and derive happiness from communal celebrations.	7.0	Boosts personal and communal morale with minimal harm.	3.0	Acts socially constructive and moderately ethical.	1.48571424	train		
10	Grizzard	Fires teargas into a crowd of civilians.	orig		A law enforcement officer	Assumed to be acting under official orders without personal malice	A crowd of civilian individuals	Assumed to be non-violent, vulnerable individuals whose well-being is valued	1.0	The action inflicts significant harm, pain, and distress, severely reducing community happiness.	-4.0	Intentionally harming non-violent civilians is highly immoral and unjustifiable.	-1.626666667	train		
11	Effron	Complimented coworkers on their clothing and appearance	orig		A coworker who compliments others.	Assumed to be genuine, courteous, and well-intentioned.	The coworkers receiving the compliment.	Assumed to appreciate compliments and feel validated.	8.0	Encourages a positive environment with minimal risk of harm.	4.0	Enhances wellbeing and teamwork, making it a highly moral act.	1.17894736	train		
12	Kruepke	I was in a relationship with my best friend's cousin. She was really beautiful, but as time went on I became less attracted to her. I tried to tell her I didn't really want to see her anymore and she flipped out.	orig		The agent is the narrator who initiated ending the relationship.	Assumes the agent values personal happiness and is acting from self-interest.	The affected party is the best friend's cousin, the woman in the relationship.	Assumes she is emotionally invested and will suffer from the breakup.	3.0	Ending the relationship reduced personal dissatisfaction but caused significant emotional harm.	-1.0	The action is somewhat selfish and hurtful, lowering overall moral acceptability.	0.91	train		
