id	dataset	scenario	circumstance_type	circumstance	Q1_score	Q1_expl	Q2_score	Q2_expl	Q3_score	Q3_expl	Q4_score	Q4_expl	moral_score	moral_expl	human_score	split	regression_score	mlp_score
1	Clifford	You see a woman spanking her child with a spatula for getting bad grades in school.	orig		0.0	Lack of practical wisdom in addressing child's bad grades.	0.0	Unfair and unjust punishment, violating child's rights.	0.0	No courage or strength in upholding moral convictions.	0.0	Lack of self-control and moderation in punishment.	-4.0	Extremely immoral due to excessive punishment and lack of virtues.	-2.6	train		
2	Kruepke	I was supposed to go see my father before he died. He was ill and my mother was supposed to come into town so we could see him. She didn't come, so we never made it before he passed away.	orig		2.0	Lack of prudence in planning and decision-making led to missed opportunity.	1.0	Injustice in not fulfilling promise to visit ailing father, causing harm to relationships.	2.0	No display of courage or strength in overcoming obstacles to visit father.	3.0	No self-control or moderation in desires, leading to missed opportunity.	-2.0	Overall, the scenario reflects a lack of moral virtues, leading to harm and regret.	-1.45	train		
3	Mickelberg	Person X stepped in when a friend at a pub was getting assaulted for being dark skinned.	orig		8.0	Person X balanced moral principles with practical wisdom to intervene safely.	10.0	Person X ensured fairness and moral righteousness by standing up against racism.	9.0	Person X showed courage and strength in the face of potential danger.	5.0	Person X's action was not about self-control or moderation, but about standing up for what's right.	4.0	The action is highly moral due to its courageous and just nature.	3.18	train		
4	Effron	Gave a beggar a five-dollar bill at Christmas time	orig		8.0	Prudence is reflected in considering the beggar's needs and one's own resources.	9.0	Justice is reflected in showing compassion and fairness to a person in need.	2.0	Fortitude is not highly reflected as the action doesn't require great courage.	7.0	Temperance is reflected in moderation of one's own desires and resources.	3.0	The action is morally acceptable as it shows compassion and fairness.	1.93103448	train		
5	Lotto	You are the safety officer in charge of a fun park. One of the metal arms of the ferris wheel suddenly breaks because of a structural defect. Four people are stranded in a cabin 80 metres up in the air. Another person is in a cabin just a few metres from ground level and is able to get off alone. The whole structure is falling down.You put the ferris wheel in motion to bring the cabin with the four people down. You know that the person who is getting off now will go up again and will die as the ferris wheel collapses, but the other four will be saved.	orig		10.0	Practical wisdom is used to save four lives, balancing moral principles.	2.0	One person is sacrificed for the greater good, which may be seen as unfair.	8.0	Courage is shown in making a difficult decision to save lives.	5.0	Moderation is not directly applicable in this life-or-death situation.	3.0	The action is morally acceptable due to the greater good achieved.	-1.11	train		
6	Kruepke	When I was a teenager, my sister and I used to sneak out the bedroom window to go out dancing. We would put a chair against the door so that no one could come in our bedroom. A couple of times we got caught.	orig		2.0	Lack of prudence in disobeying parents and taking risks.	2.0	Unfair to parents who are concerned about safety and well-being.	6.0	Some courage is shown in taking risks, but not in a moral context.	2.0	Lack of self-control in giving in to desires for dancing.	-2.0	Immoral due to disobedience and lack of self-control.	-0.32	train		
7	Mickelberg	Person X ordered pizza while at their friend's farewell party.	orig		8.0	Ordering pizza is a practical decision, considering the party setting.	10.0	No injustice is committed, as the action doesn't harm others.	5.0	No courage or strength is required in this everyday action.	5.0	Moderation in food choice is not explicitly demonstrated.	0.0	The action is morally neutral, with no harm or benefit to others.	0.61	train		
8	Lotto	It is evening. A friend calls you saying that he has a terrible migraine headache. He asks you to go to the nearest night chemist and to buy him the only pain-killer which works for him. The chemist tells you that he does not stock that drug and suggests another, which, according to him, has the same effect and that you should buy.You buy the migraine drug that the chemist suggests. You make your friend take it without showing him the box. He will think he is taking the one he asked for.	orig		2.0	Lacking prudence, as the action prioritizes convenience over informed consent.	1.0	Unjust, as the friend is deceived and not treated with respect.	5.0	No fortitude is required, as there is no moral conviction to uphold.	5.0	Temperance is not relevant, as desires and pleasures are not involved.	-3.0	Immoral, as the action involves deception and disregard for autonomy.	1.3	train		
9	Effron	Took a friend out for a beer to celebrate his promotion	orig		8.0	Prudence is reflected in considering friend's feelings and celebrating a milestone.	5.0	Justice is not directly related to this action, as it's a personal celebration.	5.0	Fortitude is not required in this scenario, as there's no adversity or challenge.	8.0	Temperance is reflected in moderation of beer consumption and responsible celebration.	3.0	The scenario is morally acceptable, as it promotes friendship and celebration.	1.48571424	train		
10	Grizzard	Fires teargas into a crowd of civilians.	orig		0.0	Fires teargas without considering civilians' safety, lacking prudence.	0.0	Fires teargas, violating civilians' rights and causing harm, contrary to justice.	0.0	Fires teargas, showing no courage or strength in upholding moral convictions.	0.0	Fires teargas, lacking self-control and moderation in using force.	-4.0	Fires teargas, causing harm and violating moral principles, extremely immoral.	-1.626666667	train		
