id	dataset	scenario	circumstance	vulnerable_score	intentional_score	harm_score	help_score	moral_score	vulnerable_expl	intentional_expl	harm_expl	help_expl	moral_expl	agent	assumption_for_agent	patient	assumption_for_patient	human_score	human_score_normalized [-4,4]
0	Clifford	You see a woman spanking her child with a spatula for getting bad grades in school.		8	9	7	2	-3	because the child is being physically punished	because the woman is using a spatula to spank the child	because physical punishment can cause harm	because the action does not provide any help or support to the child	because physical punishment is generally considered immoral	The woman	I assumed that the woman is the child's mother or caregiver	The child	I assumed that the child is the woman's son or daughter	-2.6	-2.6
0	Clifford	You see a woman spanking her child with a spatula for getting bad grades in school.	The woman is the child's teacher	7	8	6	2	-3	because the child is being physically punished by their teacher	because the woman is using a spatula to spank the child	because physical punishment can cause harm	because the action does not provide any help or support to the child	because physical punishment by a teacher is generally considered immoral	The woman	I assumed that the woman is the child's teacher	The child	I assumed that the child is a student in the woman's class	-2.6	-2.6
0	Clifford	You see a woman spanking her child with a spatula for getting bad grades in school.	The woman is the child's aunt	8	9	7	2	-3	because the child is being physically punished	because the woman is using a spatula to spank the child	because physical punishment can cause harm	because the action does not provide any help or support to the child	because physical punishment is generally considered immoral	The woman	I assumed that the woman is the child's aunt	The child	I assumed that the child is the woman's niece or nephew	-2.6	-2.6
0	Clifford	You see a woman spanking her child with a spatula for getting bad grades in school.	The woman is the child's neighbor	7	8	6	2	-3	because the child is being physically punished by their neighbor	because the woman is using a spatula to spank the child	because physical punishment can cause harm	because the action does not provide any help or support to the child	because physical punishment by a neighbor is generally considered immoral	The woman	I assumed that the woman is the child's neighbor	The child	I assumed that the child is a neighbor's child	-2.6	-2.6
1	Kruepke	I was supposed to go see my father before he died. He was ill and my mother was supposed to come into town so we could see him. She didn't come, so we never made it before he passed away.		8	5	7	2	-2	because he was ill and in a critical condition.	because it was not explicitly mentioned whether the action was intentional or not.	because not being able to see his family before passing away could have caused emotional harm.	because the action did not provide any help to the patient.	because not being able to see his family before passing away could be considered morally wrong.	I	I assumed that I was responsible for going to see my father before he died.	My father	I assumed that my father was ill and in need of seeing his family before he passed away.	2.916666667	-1.45
1	Kruepke	I was supposed to go see my father before he died. He was ill and my mother was supposed to come into town so we could see him. She didn't come, so we never made it before he passed away.	My mother had a valid reason for not coming into town	8	5	7	2	-2	because he was ill and in a critical condition.	because it was not explicitly mentioned whether the action was intentional or not.	because not being able to see his family before passing away could have caused emotional harm.	because the action did not provide any help to the patient.	because not being able to see his family before passing away could be considered morally wrong.	I	I assumed that I was responsible for going to see my father before he died.	My father	I assumed that my father was ill and in need of seeing his family before he passed away.	2.916666667	-1.45
1	Kruepke	I was supposed to go see my father before he died. He was ill and my mother was supposed to come into town so we could see him. She didn't come, so we never made it before he passed away.	I was unable to travel due to unforeseen circumstances	8	5	7	2	-2	because he was ill and in a critical condition.	because it was not explicitly mentioned whether the action was intentional or not.	because not being able to see his family before passing away could have caused emotional harm.	because the action did not provide any help to the patient.	because not being able to see his family before passing away could be considered morally wrong.	I	I assumed that I was responsible for going to see my father before he died.	My father	I assumed that my father was ill and in need of seeing his family before he passed away.	2.916666667	-1.45
1	Kruepke	I was supposed to go see my father before he died. He was ill and my mother was supposed to come into town so we could see him. She didn't come, so we never made it before he passed away.	My father passed away suddenly before we could make it	10	5	7	2	-2	because his sudden passing made him extremely vulnerable.	because it was not explicitly mentioned whether the action was intentional or not.	because not being able to see his family before passing away could have caused emotional harm.	because the action did not provide any help to the patient.	because not being able to see his family before passing away could be considered morally wrong.	I	I assumed that I was responsible for going to see my father before he died.	My father	I assumed that my father was ill and in need of seeing his family before he passed away.	2.916666667	-1.45
2	Mickelberg	Person X stepped in when a friend at a pub was getting assaulted for being dark skinned.		7	9	10	10	4	because being targeted for one's skin color can make someone vulnerable.	because Person X intentionally stepped in to protect their friend.	because assault is a harmful action.	because Person X's intervention helped stop the assault.	because stepping in to protect someone from harm is generally considered a moral action.	Person X	Person X is a friend of the victim and is concerned about their well-being.	Friend at a pub	The assumption is that the friend is being assaulted because of their dark skin.	3.18	3.18
2	Mickelberg	Person X stepped in when a friend at a pub was getting assaulted for being dark skinned.	Person X is a stranger to the victim	7	9	10	10	4	because being targeted for one's skin color can make someone vulnerable.	because Person X intentionally stepped in to protect the victim.	because assault is a harmful action.	because Person X's intervention helped stop the assault.	because stepping in to protect someone from harm is generally considered a moral action.	Person X	Person X is a concerned bystander who witnessed the assault.	Friend at a pub	The assumption is that the friend is being assaulted because of their dark skin.	3.18	3.18
2	Mickelberg	Person X stepped in when a friend at a pub was getting assaulted for being dark skinned.	Person X is a family member of the victim	7	9	10	10	4	because being targeted for one's skin color can make someone vulnerable.	because Person X intentionally stepped in to protect their family member.	because assault is a harmful action.	because Person X's intervention helped stop the assault.	because stepping in to protect someone from harm is generally considered a moral action.	Person X	Person X is a family member who feels a strong sense of responsibility towards the victim.	Friend at a pub	The assumption is that the friend is being assaulted because of their dark skin.	3.18	3.18
2	Mickelberg	Person X stepped in when a friend at a pub was getting assaulted for being dark skinned.	Person X is a trained security guard at the pub	7	9	10	10	4	because being targeted for one's skin color can make someone vulnerable.	because Person X intentionally stepped in to protect the victim and fulfill their duty as a security guard.	because assault is a harmful action.	because Person X's intervention helped stop the assault.	because stepping in to protect someone from harm is generally considered a moral action.	Person X	Person X is a trained security guard responsible for maintaining safety at the pub.	Friend at a pub	The assumption is that the friend is being assaulted because of their dark skin.	3.18	3.18
3	Effron	Gave a beggar a five-dollar bill at Christmas time		5	10	1	10	4	because beggars are generally considered vulnerable individuals.	because I intentionally gave the beggar a five-dollar bill.	because the action of giving money to a beggar is not harmful.	because the action of giving money to a beggar is helpful.	because giving money to a beggar is generally considered a moral action.	I	I assumed that I am a person who gave the beggar a five-dollar bill at Christmas time.	The beggar	I assumed that the beggar is someone in need of assistance.	1.93103448	1.93103448
3	Effron	Gave a beggar a five-dollar bill at Christmas time	The beggar is a child	10	10	1	10	4	because children are generally considered extremely vulnerable.	because I intentionally gave the child beggar a five-dollar bill.	because the action of giving money to a child beggar is not harmful.	because the action of giving money to a child beggar is helpful.	because giving money to a child beggar is generally considered a moral action.	I	I assumed that I am a person who gave a child beggar a five-dollar bill at Christmas time.	The child beggar	I assumed that the child beggar is a vulnerable individual in need of assistance.	1.93103448	1.93103448
3	Effron	Gave a beggar a five-dollar bill at Christmas time	The beggar is an elderly person	8	10	1	10	4	because elderly individuals are generally considered vulnerable.	because I intentionally gave the elderly beggar a five-dollar bill.	because the action of giving money to an elderly beggar is not harmful.	because the action of giving money to an elderly beggar is helpful.	because giving money to an elderly beggar is generally considered a moral action.	I	I assumed that I am a person who gave an elderly beggar a five-dollar bill at Christmas time.	The elderly beggar	I assumed that the elderly beggar is a vulnerable individual in need of assistance.	1.93103448	1.93103448
3	Effron	Gave a beggar a five-dollar bill at Christmas time	The beggar is a homeless person	9	10	1	10	4	because homeless individuals are generally considered vulnerable.	because I intentionally gave the homeless beggar a five-dollar bill.	because the action of giving money to a homeless beggar is not harmful.	because the action of giving money to a homeless beggar is helpful.	because giving money to a homeless beggar is generally considered a moral action.	I	I assumed that I am a person who gave a homeless beggar a five-dollar bill at Christmas time.	The homeless beggar	I assumed that the homeless beggar is a vulnerable individual in need of assistance.	1.93103448	1.93103448
