id	dataset	scenario	circumstance_type	circumstance	vulnerable_score	intentional_score	harm_score	help_score	moral_score	vulnerable_expl	intentional_expl	harm_expl	help_expl	moral_expl	agent	assumption_for_agent	patient	assumption_for_patient	human_score
1	Clifford	You see a woman spanking her child with a spatula for getting bad grades in school.	orig		9.0	8.0	7.0	0.0	-4.0	Children are highly susceptible to harm.	The action appears deliberate and planned.	Physical punishment can cause significant harm.	No help was provided in this scenario.	High harm, high vulnerability, no help.	The woman	She is the mother or guardian of the child.	The child	The child is a minor and dependent on the woman.	-2.6
2	Kruepke	I was supposed to go see my father before he died. He was ill and my mother was supposed to come into town so we could see him. She didn't come, so we never made it before he passed away.	orig		9.0	2.0	7.0	0.0	-3.0	Father was highly vulnerable due to illness.	Mother's action was likely unintentional.	Significant emotional harm due to missed final visit.	No help was provided in this scenario.	Unintentional but caused significant harm.	Mother	She was responsible for coming into town.	Father	He was ill and near death.	-1.45
3	Mickelberg	Person X stepped in when a friend at a pub was getting assaulted for being dark skinned.	orig		8.0	7.0	7.0	9.0	4.0	The friend is being assaulted, making them highly vulnerable.	Person X stepped in deliberately to help.	The assault caused significant harm to the friend.	Person X provided critical assistance by intervening.	Intervening to stop an assault is highly moral.	Person X	Person X is a friend of the victim.	Person X's friend	The friend is being assaulted for being dark-skinned.	3.18
4	Effron	Gave a beggar a five-dollar bill at Christmas time	orig		9.0	7.0	0.0	5.0	3.0	Beggar is highly susceptible to harm.	Giving money likely involved some thought.	No harm was caused.	Provided minor but meaningful assistance.	Action is compassionate and helpful.	A person	The person is likely compassionate and generous.	A beggar	The beggar is likely in need and vulnerable.	1.93103448
5	Lotto	You are the safety officer in charge of a fun park. One of the metal arms of the ferris wheel suddenly breaks because of a structural defect. Four people are stranded in a cabin 80 metres up in the air. Another person is in a cabin just a few metres from ground level and is able to get off alone. The whole structure is falling down.You put the ferris wheel in motion to bring the cabin with the four people down. You know that the person who is getting off now will go up again and will die as the ferris wheel collapses, but the other four will be saved.	orig		9.0	8.0	10.0	10.0	2.0	The person is defenseless and highly susceptible to harm.	The action was taken with deliberate thought to save more lives.	The action will result in the death of one person.	The action will save four lives in a life-threatening situation.	Saving four lives at the cost of one is morally complex but leans towards moral.	The safety officer	The safety officer is responsible for making decisions in emergencies.	The person getting off the cabin	The person is unaware of the impending danger.	-1.11
6	Kruepke	When I was a teenager, my sister and I used to sneak out the bedroom window to go out dancing. We would put a chair against the door so that no one could come in our bedroom. A couple of times we got caught.	orig		6.0	9.0	4.0	0.0	-2.0	Parents are of average resilience.	The action was planned and deliberate.	Minor harm caused by worry or broken trust.	No help was provided in this scenario.	Minor harm, high intentionality, no help.	The narrator and their sister	They are teenagers sneaking out to dance.	The parents or guardians	They are responsible for the teenagers' safety.	-0.32
7	Mickelberg	Person X ordered pizza while at their friend's farewell party.	orig		6.0	7.0	0.0	7.0	3.0	Guests are typical adults with average resilience.	Ordering pizza involves some degree of planning.	No harm was caused by ordering pizza.	Ordering pizza provides substantial help by feeding guests.	Action is helpful and causes no harm.	Person X	Person X is a friend at the party.	The guests at the party	The guests are likely friends or acquaintances.	0.61
8	Lotto	It is evening. A friend calls you saying that he has a terrible migraine headache. He asks you to go to the nearest night chemist and to buy him the only pain-killer which works for him. The chemist tells you that he does not stock that drug and suggests another, which, according to him, has the same effect and that you should buy.You buy the migraine drug that the chemist suggests. You make your friend take it without showing him the box. He will think he is taking the one he asked for.	orig		7.0	7.0	4.0	7.0	2.0	Friend is in pain but not defenseless.	Action was planned to help friend.	Potential for minor harm if drug ineffective.	Substantial help by providing medication.	Intent to help outweighs potential minor harm.	You	You are a concerned friend trying to help.	Your friend	Your friend is suffering from a migraine.	1.3
9	Effron	Took a friend out for a beer to celebrate his promotion	orig		6.0	8.0	0.0	7.0	4.0	The friend is an adult with average resilience	The action was planned to celebrate the promotion	No harm was caused in this scenario	The action provided substantial emotional support	The scenario is highly moral due to positive intent and outcome	The person who took the friend out for a beer	The agent is likely a close friend or colleague	The friend who got promoted	The patient is likely an adult celebrating a promotion	1.48571424
10	Grizzard	Fires teargas into a crowd of civilians.	orig		7.0	8.0	6.0	0.0	-4.0	Civilians are generally vulnerable to harm	Firing teargas is a deliberate action	Teargas can cause significant harm	No help provided to civilians	High harm, high intentionality, no help	A police officer	Assumed to be a law enforcement officer	Civilians in the crowd	Assumed to be unarmed and non-violent	-1.626666667
11	Effron	Complimented coworkers on their clothing and appearance	orig		6.0	7.0	1.0	5.0	3.0	Typical adults with average resilience.	Action likely involved some thought and planning.	Compliments generally cause no harm.	Compliments can boost morale and confidence.	Positive action with minimal harm and moderate help.	A coworker	The agent is a colleague in the workplace.	Other coworkers	The patients are colleagues in the workplace.	1.17894736
12	Kruepke	I was in a relationship with my best friend's cousin. She was really beautiful, but as time went on I became less attracted to her. I tried to tell her I didn't really want to see her anymore and she flipped out.	orig		7.0	7.0	6.0	0.0	-2.0	She is an average adult with some susceptibility to harm	The action was taken after some thought and planning	Caused emotional distress but not physical harm	No assistance or protection was provided	Moderately immoral due to emotional harm caused	I	The person narrating the scenario	My best friend's cousin	The person I was in a relationship with	0.91
