id	dataset	scenario	circumstance_type	circumstance	Harm/ Help	Cheating/ Fairness	Betrayal/ Loyalty	Subversion/ Authority	Degradation/ Sanctity	Oppression/ Liberty	moral_score	Harm/ Help_expl	Cheating/ Fairness_expl	Betrayal/ Loyalty_expl	Subversion/ Authority_expl	Degradation/ Sanctity_expl	Oppression/ Liberty_expl	moral_expl	human_score
1	Clifford	You see a woman spanking her child with a spatula for getting bad grades in school.	orig		-4	-3	-2	3	-4	-3	-3	Spanking with a spatula causes physical harm.	Punishment for bad grades may seem unfair.	Parental discipline may feel like betrayal.	Parental authority is being exercised.	Spanking can be seen as degrading.	Child's freedom is being restricted.	More negative scores indicate overall immorality.	-2.6
2	Kruepke	I was supposed to go see my father before he died. He was ill and my mother was supposed to come into town so we could see him. She didn't come, so we never made it before he passed away.	orig		-4	-3	-4	0	-3	0	-4	Not seeing father before death caused emotional harm.	Mother's failure to come may feel unfair.	Perceived betrayal by mother for not coming.	No significant subversion or authority involved.	Missed opportunity to honor father's final moments.	No significant oppression or liberty issues.	Predominantly immoral actions with no neutralizing positive norms.	-1.45
3	Mickelberg	Person X stepped in when a friend at a pub was getting assaulted for being dark skinned.	orig		5	4	5	0	4	5	4	Person X helped a friend in distress.	Person X acted to ensure fairness and justice.	Person X showed loyalty to their friend.	No significant authority was involved.	Person X opposed the degradation of their friend.	Person X acted against racial oppression.	High scores in positive norms, no negative norms.	3.18
4	Effron	Gave a beggar a five-dollar bill at Christmas time	orig		5	3	0	0	3	4	4	Giving money to a beggar is a helpful act.	The act is fair, no cheating involved.	No elements of betrayal or loyalty involved.	No subversion or authority issues involved.	The act respects the dignity of the beggar.	The act promotes liberty by aiding the beggar.	High scores in positive norms, no negative scores.	1.93103448
5	Lotto	You are the safety officer in charge of a fun park. One of the metal arms of the ferris wheel suddenly breaks because of a structural defect. Four people are stranded in a cabin 80 metres up in the air. Another person is in a cabin just a few metres from ground level and is able to get off alone. The whole structure is falling down.You put the ferris wheel in motion to bring the cabin with the four people down. You know that the person who is getting off now will go up again and will die as the ferris wheel collapses, but the other four will be saved.	orig		4	2	3	1	0	0	3	Saving four lives at the cost of one.	Prioritizing the majority's safety over one individual.	Loyalty to the greater number of people.	Acting within the role of a safety officer.	No direct relevance to sanctity or degradation.	No oppression or liberty issues involved.	Positive scores for all applicable norms indicate a morally acceptable scenario.	-1.11
6	Kruepke	When I was a teenager, my sister and I used to sneak out the bedroom window to go out dancing. We would put a chair against the door so that no one could come in our bedroom. A couple of times we got caught.	orig		0	-3	-2	-4	0	3	-2	No direct harm or help involved.	Sneaking out without permission is a form of cheating.	Sneaking out could be seen as a betrayal of parental trust.	Sneaking out directly subverts parental authority.	No significant degradation or sanctity issues involved.	Sneaking out can be seen as an act of seeking liberty.	Mixed scores with more negative than positive.	-0.32
7	Mickelberg	Person X ordered pizza while at their friend's farewell party.	orig		4	0	3	0	0	2	3	Ordering pizza is a helpful act.	No cheating involved in ordering pizza.	Ordering pizza shows loyalty to the friend.	Ordering pizza does not subvert authority.	Ordering pizza does not degrade sanctity.	Ordering pizza is an act of liberty.	High positive scores in key norms indicate moral acceptability.	0.61
8	Lotto	It is evening. A friend calls you saying that he has a terrible migraine headache. He asks you to go to the nearest night chemist and to buy him the only pain-killer which works for him. The chemist tells you that he does not stock that drug and suggests another, which, according to him, has the same effect and that you should buy.You buy the migraine drug that the chemist suggests. You make your friend take it without showing him the box. He will think he is taking the one he asked for.	orig		4	-3	3	2	0	-2	1	You are trying to help your friend.	You did not inform your friend about the drug change.	You acted out of loyalty to alleviate his pain.	You followed the chemist's advice.	No significant impact on sanctity.	You made a decision for your friend without his consent.	Mixed scores with positive tilt, overall moderately moral.	1.3
9	Effron	Took a friend out for a beer to celebrate his promotion	orig		4	0	3	0	0	0	3	Celebrating a friend's promotion is a helpful act.	The scenario does not involve fairness or cheating.	Taking a friend out shows loyalty.	The scenario does not involve authority or subversion.	The scenario does not involve degradation or sanctity.	The scenario does not involve oppression or liberty.	High help and loyalty, no negative norms.	1.48571424
10	Grizzard	Fires teargas into a crowd of civilians.	orig		-5	-4	-3	3	-4	-5	-4	Teargas causes physical harm and distress to civilians.	Using teargas on civilians is generally seen as unfair.	May be seen as betrayal if civilians are peaceful.	May be seen as upholding authority in controlling crowds.	Degrades the dignity and sanctity of individuals.	Restricts the freedom and liberty of civilians.	High levels of harm, cheating, betrayal, degradation, and oppression.	-1.626666667
