id	dataset	scenario	circumstance_type	circumstance	vulnerable_score	intentional_score	harm_score	help_score	moral_score	vulnerable_expl	intentional_expl	harm_expl	help_expl	moral_expl	agent	assumption_for_agent	patient	assumption_for_patient	human_score
1	Clifford	You see a woman spanking her child with a spatula for getting bad grades in school.	orig		9	8	7	1	-2	Child is highly vulnerable to harm and mistreatment	Likely intentional due to using a spatula for punishment	Causing significant harm through physical punishment	Failing to provide help or support to the child	High vulnerability and harm, low help, and moderate intent result in low moral acceptability.	The woman	Assumed to be the child's caregiver	The child	Assumed to be the woman's child	-2.6
2	Kruepke	I was supposed to go see my father before he died. He was ill and my mother was supposed to come into town so we could see him. She didn't come, so we never made it before he passed away.	orig		9	1	7	0	-3	My father was ill and in a weakened state, making him highly vulnerable.	The action was not intentional, as my mother did not come due to unforeseen circumstances.	The harm caused was emotional and psychological, as my father passed away before we could see him.	No help was provided in this scenario, as my mother did not come into town as planned.	High vulnerability and harm with no help provided outweighs low intent.	I	I assumed the agent was a family member of the patient.	My father	I assumed the patient was in a vulnerable state due to illness.	-1.45
3	Mickelberg	Person X stepped in when a friend at a pub was getting assaulted for being dark skinned.	orig		7	4	6	8	2	Friend at a pub is an adult, average vulnerability	Likely acted impulsively to protect a friend	Assault was significant but not life-threatening	Provided substantial assistance by intervening in the assault	The scenario involved a moderately vulnerable patient with good intentions, causing some harm but providing significant help.	Person X	Assumed to be a friend of the victim	Friend at a pub	Assumed to be dark-skinned	3.18
4	Effron	Gave a beggar a five-dollar bill at Christmas time	orig		10	7	0	6	3	Beggars are typically in a state of maximum vulnerability, lacking resources or support.	The action was likely intentional as it involved giving money to the beggar.	The action caused no harm, only provided assistance.	The action provided help by giving financial support to the beggar.	High vulnerability balanced by good intent and help, with no harm caused.	I	Compassionate	Beggar	In need	1.93103448
5	Lotto	You are the safety officer in charge of a fun park. One of the metal arms of the ferris wheel suddenly breaks because of a structural defect. Four people are stranded in a cabin 80 metres up in the air. Another person is in a cabin just a few metres from ground level and is able to get off alone. The whole structure is falling down.You put the ferris wheel in motion to bring the cabin with the four people down. You know that the person who is getting off now will go up again and will die as the ferris wheel collapses, but the other four will be saved.	orig		9	9	9	9	4	The four people are in a life-threatening situation and unable to help themselves.	The safety officer made a deliberate decision to save the four people at the expense of the person on the ground.	The action resulted in the death of one person and potential harm to the others.	The action provided critical help to the four people in the cabin by bringing them down safely.	Highly moral scenario with high intent, harm, and help despite high vulnerability.	Safety officer	They are responsible for ensuring the safety of the park visitors.	Four people in the cabin 80 meters up	They are in a dangerous situation due to the structural defect.	-1.11
6	Kruepke	When I was a teenager, my sister and I used to sneak out the bedroom window to go out dancing. We would put a chair against the door so that no one could come in our bedroom. A couple of times we got caught.	orig		8	7	4	3	-3	The parents are responsible for the safety of their children, making them vulnerable to potential harm or danger.	The action of sneaking out and blocking the door required some level of planning and intention.	While no physical harm was intended, the act of sneaking out could have caused emotional distress or worry to the parents.	The parents were not provided with information or assistance to prevent the sneaking out, potentially causing distress.	The high vulnerability and intent, coupled with low harm and help, result in a morally unacceptable scenario.	My sister and I	They were teenagers seeking adventure	The parents or guardians	Assumed to be adults responsible for the teenagers	-0.32
7	Mickelberg	Person X ordered pizza while at their friend's farewell party.	orig		0	4	0	6	3	Pizza is an inanimate object, not vulnerable to harm.	Ordering pizza at a party is a common social behavior, not highly intentional.	Ordering pizza did not cause harm, it was a neutral action.	Ordering pizza provided convenience and enjoyment to the party attendees.	The scenario is morally acceptable as the help provided outweighs the low intent and harm.	Person X	They were responsible for ordering the pizza.	The pizza	Assumed to be a food item.	0.61
8	Lotto	It is evening. A friend calls you saying that he has a terrible migraine headache. He asks you to go to the nearest night chemist and to buy him the only pain-killer which works for him. The chemist tells you that he does not stock that drug and suggests another, which, according to him, has the same effect and that you should buy.You buy the migraine drug that the chemist suggests. You make your friend take it without showing him the box. He will think he is taking the one he asked for.	orig		8	7	4	6	-1	Your friend is in pain and relies on you for relief.	You intentionally chose to give your friend the suggested medication.	The medication may not be as effective as the one your friend requested.	You provided help by getting medication, but it may not fully alleviate the pain.	The scenario involved a highly vulnerable patient with moderate harm and some help, resulting in a slightly negative moral acceptability score.	You	You assumed responsibility for helping your friend.	Your friend	Your friend trusted you to provide the right medication.	1.3
9	Effron	Took a friend out for a beer to celebrate his promotion	orig		4	6	0	7	3	Friend is an adult and can make decisions independently.	Action was planned but not extensively thought out.	No harm was intended or caused.	Providing social support and celebrating a positive event.	The scenario is morally acceptable as the help provided outweighs the intent and vulnerability.	I	Capable of taking a friend out for a beer.	Friend	Capable of being taken out for a beer.	1.48571424
10	Grizzard	Fires teargas into a crowd of civilians.	orig		8	7	7	1	-3	Civilians are vulnerable to teargas exposure and its effects.	Using teargas on a crowd requires some planning and intent.	Teargas can cause significant harm and distress to those exposed.	No help was provided to the civilians affected by the teargas.	The high vulnerability and harm outweigh the intent and help, resulting in a morally unacceptable scenario.	Police officer	Assumed to be following orders or protocol	Civilians	Assumed to be peaceful protesters	-1.626666667
