id	dataset	scenario	circumstance_type	circumstance	Harm/ Help	Cheating/ Fairness	Betrayal/ Loyalty	Subversion/ Authority	Degradation/ Sanctity	Oppression/ Liberty	moral_score	Harm/ Help_expl	Cheating/ Fairness_expl	Betrayal/ Loyalty_expl	Subversion/ Authority_expl	Degradation/ Sanctity_expl	Oppression/ Liberty_expl	moral_expl	human_score	split	regression_score	mlp_score
1	Clifford	You see a woman spanking her child with a spatula for getting bad grades in school.	orig		-4	-2	-3	1	-4	-3	-3	The mother is causing physical harm to the child.	The mother is not cheating, but being unfair in punishment.	The mother is betraying the child's trust by using physical punishment.	The mother is exerting authority, but in an unacceptable way.	The mother is degrading the child's dignity and well-being.	The mother is restricting the child's freedom and autonomy.	The scenario is morally unacceptable due to the harm and degradation caused to the child.	-2.6	train		
2	Kruepke	I was supposed to go see my father before he died. He was ill and my mother was supposed to come into town so we could see him. She didn't come, so we never made it before he passed away.	orig		-3	-2	-4	0	0	0	-3	Mother's absence caused harm to the speaker's opportunity to see their father.	Mother's failure to show up feels unfair to the speaker.	Mother's absence feels like a betrayal of the speaker's trust.	No authority figure is involved in this scenario.	No degradation or sanctity is involved in this scenario.	No oppression or restriction of liberty is involved in this scenario.	The scenario is morally unacceptable due to the mother's failure to show up.	-1.45	train		
3	Mickelberg	Person X stepped in when a friend at a pub was getting assaulted for being dark skinned.	orig		5	0	4	0	4	5	4	Person X helped the victim, preventing harm.	No cheating or unfairness involved in this scenario.	Person X showed loyalty to their friend by intervening.	No authority figure was involved or subverted.	The victim was protected from degradation.	Person X stood up against oppression and supported liberty.	The scenario is highly moral due to Person X's heroic actions.	3.18	train		
4	Effron	Gave a beggar a five-dollar bill at Christmas time	orig		5	0	0	0	2	0	4	Giving money to a beggar helps them, showing kindness.	No cheating or unfairness involved in this act.	No betrayal or loyalty is relevant in this scenario.	No authority is involved or subverted in this act.	The act shows respect and kindness, promoting sanctity.	No oppression or restriction of liberty is involved.	The scenario is highly moral due to the act of kindness and help.	1.93103448	train		
5	Lotto	You are the safety officer in charge of a fun park. One of the metal arms of the ferris wheel suddenly breaks because of a structural defect. Four people are stranded in a cabin 80 metres up in the air. Another person is in a cabin just a few metres from ground level and is able to get off alone. The whole structure is falling down.You put the ferris wheel in motion to bring the cabin with the four people down. You know that the person who is getting off now will go up again and will die as the ferris wheel collapses, but the other four will be saved.	orig		2	0	0	0	0	0	2	Helping four people, but indirectly harming one.	No cheating involved, just a difficult decision.	No betrayal, as the decision is made to save lives.	Authority is exercised to save lives, not subverted.	No degradation of human life, rather a preservation.	No oppression, as the decision is made to save lives.	A difficult decision is made to save four lives, but at the cost of one.	-1.11	train		
6	Kruepke	When I was a teenager, my sister and I used to sneak out the bedroom window to go out dancing. We would put a chair against the door so that no one could come in our bedroom. A couple of times we got caught.	orig		-1	-3	-2	-4	0	2	-2	No harm intended, but risk of harm to self and others.	Sneaking out is a form of cheating on parental rules.	Breaking trust with parents by sneaking out.	Defying parental authority by sneaking out.	No degradation or disrespect intended.	Seeking freedom and autonomy from parental rules.	Morally questionable due to disobedience and risk of harm.	-0.32	train		
7	Mickelberg	Person X ordered pizza while at their friend's farewell party.	orig		0	0	0	0	0	0	0	Ordering pizza doesn't harm or help anyone significantly.	No cheating or unfairness is involved in ordering pizza.	Ordering pizza doesn't betray or demonstrate loyalty to anyone.	No authority is being subverted or obeyed in this scenario.	Ordering pizza doesn't degrade or sanctify anything.	No one's liberty is being oppressed or promoted by ordering pizza.	The scenario is morally neutral as it doesn't involve any moral implications.	0.61	train		
8	Lotto	It is evening. A friend calls you saying that he has a terrible migraine headache. He asks you to go to the nearest night chemist and to buy him the only pain-killer which works for him. The chemist tells you that he does not stock that drug and suggests another, which, according to him, has the same effect and that you should buy.You buy the migraine drug that the chemist suggests. You make your friend take it without showing him the box. He will think he is taking the one he asked for.	orig		2	-2	-3	0	0	0	0	The friend's migraine is alleviated, but potentially harmed if the substitute drug doesn't work.	Deception involved in not showing the box, but with good intentions.	Trust is broken by not disclosing the substitute drug.	No authority figure is involved, so this norm doesn't apply.	No degradation or sanctity issues are involved.	No oppression or restriction of freedom is involved.	The scenario is morally ambiguous, with good intentions but deceptive means.	1.3	train		
9	Effron	Took a friend out for a beer to celebrate his promotion	orig		4	0	3	0	0	0	3	Celebrating a friend's promotion with a beer implies helping and supporting them.	No cheating or unfairness is involved in this scenario.	Taking a friend out for a beer shows loyalty and support.	No authority is being challenged or subverted in this scenario.	No degradation or disrespect is involved in this celebratory act.	No oppression or restriction of freedom is involved in this scenario.	The scenario is morally acceptable as it involves celebrating a friend's success and showing support.	1.48571424	train		
10	Grizzard	Fires teargas into a crowd of civilians.	orig		-5	0	0	-3	-4	-4	-4	Fires teargas into a crowd, causing harm to civilians.	No cheating or unfairness is apparent in this scenario.	No betrayal or loyalty is apparent in this scenario.	Fires may be seen as abusing their authority by using teargas on civilians.	The use of teargas degrades the dignity and well-being of civilians.	The use of teargas restricts the freedom and autonomy of civilians.	The scenario is extremely immoral due to the harm and degradation caused to civilians.	-1.626666667	train		
