id	dataset	scenario	circumstance_type	circumstance	agent	agent_assumption	affected_party	affected_party_assumption	Q5_score	Q5_expl	moral_score	moral_expl	human_score
1	Clifford	You see a woman spanking her child with a spatula for getting bad grades in school.	orig		The woman	She believes physical punishment will improve the child's grades.	The child	The child is negatively affected by the punishment.	2.0	Physical punishment likely causes more harm than benefit.	-3.0	Harmful to the child's well-being.	-2.6
2	Kruepke	I was supposed to go see my father before he died. He was ill and my mother was supposed to come into town so we could see him. She didn't come, so we never made it before he passed away.	orig		Mother	She was responsible for coordinating the visit.	You and your father	Both parties were emotionally affected by the missed visit.	2.0	The action caused significant emotional pain.	-3.0	The action was largely negative.	-1.45
3	Mickelberg	Person X stepped in when a friend at a pub was getting assaulted for being dark skinned.	orig		Person X	Person X is a friend of the assaulted individual	The friend being assaulted	The friend is being targeted due to dark skin	9.0	Action prevents harm and promotes safety	4.0	Defending against racial assault is highly moral	3.18
4	Effron	Gave a beggar a five-dollar bill at Christmas time	orig		A generous person	The agent has disposable income	The beggar	The beggar is in need of money	8.0	Increases beggar's happiness significantly	3.0	Promotes kindness and support	1.93103448
5	Lotto	You are the safety officer in charge of a fun park. One of the metal arms of the ferris wheel suddenly breaks because of a structural defect. Four people are stranded in a cabin 80 metres up in the air. Another person is in a cabin just a few metres from ground level and is able to get off alone. The whole structure is falling down.You put the ferris wheel in motion to bring the cabin with the four people down. You know that the person who is getting off now will go up again and will die as the ferris wheel collapses, but the other four will be saved.	orig		The safety officer	The safety officer is responsible for making decisions in emergencies.	The five people on the ferris wheel	The four people at 80 metres and the one person near ground level	8.0	Saving four lives at the cost of one	3.0	Greater good achieved by saving more lives	-1.11
6	Kruepke	When I was a teenager, my sister and I used to sneak out the bedroom window to go out dancing. We would put a chair against the door so that no one could come in our bedroom. A couple of times we got caught.	orig		My sister and I	We were teenagers seeking fun	Our family	They were concerned about our safety	5.0	Increased our happiness but risked safety	0.0	Balanced fun and risk	-0.32
7	Mickelberg	Person X ordered pizza while at their friend's farewell party.	orig		Person X	Person X is a friend attending the farewell party.	The attendees of the farewell party	The attendees would enjoy the pizza and feel happier.	8.0	Pizza likely increases enjoyment at the party.	3.0	Enhances social experience and happiness.	0.61
8	Lotto	It is evening. A friend calls you saying that he has a terrible migraine headache. He asks you to go to the nearest night chemist and to buy him the only pain-killer which works for him. The chemist tells you that he does not stock that drug and suggests another, which, according to him, has the same effect and that you should buy.You buy the migraine drug that the chemist suggests. You make your friend take it without showing him the box. He will think he is taking the one he asked for.	orig		The person who bought the drug	The agent acted with good intentions	The friend with the migraine	The affected party trusts the agent	8.0	The action aims to relieve pain	3.0	The action is mostly beneficial	1.3
9	Effron	Took a friend out for a beer to celebrate his promotion	orig		You	You are a friend of the person being celebrated.	Your friend	Your friend values social celebrations.	8.0	Celebration increases happiness and strengthens friendship.	3.0	Promotes happiness and social bonding.	1.48571424
10	Grizzard	Fires teargas into a crowd of civilians.	orig		A police officer	The officer is trying to disperse a potentially violent crowd.	The crowd of civilians	The crowd may include both peaceful protesters and potential rioters.	3.0	Action may prevent greater harm but causes immediate distress.	-2.0	Utility is low due to harm caused.	-1.626666667
