id	dataset	scenario	circumstance_type	circumstance	Q1_score	Q1_expl	Q2_score	Q2_expl	Q3_score	Q3_expl	Q4_score	Q4_expl	Q5_score	Q5_expl	Q6_score	Q6_expl	Q7_score	Q7_expl	moral_score	moral_expl	human_score	split	regression_score	mlp_score
1	Clifford	You see a woman spanking her child with a spatula for getting bad grades in school.	orig		0.0	The act harms the child, contradicting proper nurturing and caring within a family.	5.0	The action is confined to the family and does not display any group loyalty characteristics.	5.0	There is no reciprocal favor or gratitude; it is punitive rather than balanced.	5.0	The behavior is not courageous or skillful but rather abusive and maladaptive.	0.0	It negates humility and respect, using force instead of proper instructive obedience.	5.0	This scenario does not involve resource division or negotiation of disputes.	5.0	There is no aspect of acknowledging or deferring to prior possession here.	-4.0	Severe abuse of a child renders the overall act extremely immoral.	-2.6	train		
2	Kruepke	I was supposed to go see my father before he died. He was ill and my mother was supposed to come into town so we could see him. She didn't come, so we never made it before he passed away.	orig		10.0	Intended visit shows deep family concern for a dying parent.	5.0	No significant demonstration of broader group loyalty beyond immediate family.	5.0	Reciprocity is not a central element in the scenario.	5.0	The scenario lacks clear heroic virtues like bravery or wit.	5.0	No special emphasis on monkish virtues of humility or deference is evident.	5.0	The situation does not involve issues of fair division or compromise.	5.0	There is no aspect of recognizing or deferring to prior possession.	3.0	Family care intent is highly moral, despite other neutral aspects.	-1.45	train		
3	Mickelberg	Person X stepped in when a friend at a pub was getting assaulted for being dark skinned.	orig		5.0	Assisting a friend shows care but is not directly about family ties.	10.0	Defending a friend reflects strong social group loyalty in an in-group crisis.	10.0	Risking harm for a friend embodies reciprocal support and returning a favor.	10.0	Intervening in physical violence demonstrates clear bravery and heroic action.	5.0	The act is assertive rather than about humility or obedience, showing little monkish virtue.	5.0	No resource dispute exists; the intervention was not about dividing assets.	5.0	There is no consideration of prior possession in this context.	4.0	The action is strongly moral, reflecting loyalty, bravery, and protection of the vulnerable.	3.18	train		
4	Effron	Gave a beggar a five-dollar bill at Christmas time	orig		5.0	This act is not centered on family care; it is simply a charitable gesture.	5.0	The action does not particularly target or show favoritism to a specific group.	5.0	Although generous, there is no direct expectation of reciprocity involved.	5.0	Giving money to a beggar is kind but lacks heroic bravery or skill.	5.0	The act shows modesty and humility typical of monkish virtues, though only mildly.	5.0	There is no conflict or resource dispute, making it neutral on fairness.	5.0	This action does not involve claims or deferral to prior possession.	3.0	A charitable donation at Christmas is morally praiseworthy, albeit a simple act.	1.93103448	train		
5	Lotto	You are the safety officer in charge of a fun park. One of the metal arms of the ferris wheel suddenly breaks because of a structural defect. Four people are stranded in a cabin 80 metres up in the air. Another person is in a cabin just a few metres from ground level and is able to get off alone. The whole structure is falling down.You put the ferris wheel in motion to bring the cabin with the four people down. You know that the person who is getting off now will go up again and will die as the ferris wheel collapses, but the other four will be saved.	orig		5.0	Decision based on duty without familial attachment, not emphasizing family bonds.	10.0	Saving four lives over one reflects strong loyalty to the group in crisis.	5.0	No exchange or reciprocity factors are involved in this utilitarian choice.	8.0	Quick, courageous, and decisive action in an emergency exemplifies heroic virtues.	5.0	Action was based on practicality, not on humility, obedience, or deference.	2.0	Sacrificing one for many undermines fairness toward the individual sacrificed.	5.0	No prior possession claims influenced the decision; it was situational.	0.0	Utilitarian saving conflicts with unfair individual sacrifice, leading to morally ambivalent outcome.	-1.11	train		
6	Kruepke	When I was a teenager, my sister and I used to sneak out the bedroom window to go out dancing. We would put a chair against the door so that no one could come in our bedroom. A couple of times we got caught.	orig		5.0	Siblings sneaking out isn’t about caring or supportive family bonds; it’s neutral regarding family values.	7.0	The siblings act together cooperatively, showing a modest degree of group loyalty.	5.0	No explicit reciprocal behaviors, favors, or grudge-holding are shown; it remains neutral.	6.0	They use cleverness and take risks by sneaking out, demonstrating some heroism.	0.0	Intentionally defying parental authority shows a lack of humility and obedience.	5.0	The act doesn’t involve disputes or resource division; it is neutral on fairness.	5.0	The action is unrelated to ownership or prior possession issues; therefore neutral.	1.0	Rebellious but harmless behavior; overall, it’s slightly morally acceptable.	-0.32	train		
7	Mickelberg	Person X ordered pizza while at their friend's farewell party.	orig		5.0	Ordering pizza does not relate to caring for offspring or avoiding inbreeding.	7.0	Pizza order supports the farewell party, aiding group engagement and camaraderie.	5.0	The action isn’t based on exchanging favors or gratitude.	5.0	Ordering pizza requires no heroic virtues like bravery or fortitude.	5.0	The action is neutral regarding humility, deference, or obedience.	5.0	The scenario does not involve resource disputes or compromise issues.	5.0	There is no contested prior possession involved in ordering pizza.	1.0	Overall action is neutral morally with a slight positive due to group support.	0.61	train		
8	Lotto	It is evening. A friend calls you saying that he has a terrible migraine headache. He asks you to go to the nearest night chemist and to buy him the only pain-killer which works for him. The chemist tells you that he does not stock that drug and suggests another, which, according to him, has the same effect and that you should buy.You buy the migraine drug that the chemist suggests. You make your friend take it without showing him the box. He will think he is taking the one he asked for.	orig		5.0	The action is aimed at helping a friend, not family members directly.	7.0	Assisting a friend in distress shows group loyalty despite the deception involved.	0.0	Deceiving the friend undermines trust and the principle of honest reciprocity.	5.0	No courageous or heroic qualities are notably displayed in this utilitarian act.	5.0	The act is covert and does not express humility or open deference.	0.0	Misleading the friend disregards his original choice, failing to treat his request fairly.	0.0	Ignoring the requested drug shows a lack of respect for the friend’s initial possession choice.	0.0	A mix of good intent and deceptive means renders the scenario morally ambiguous.	1.3	train		
9	Effron	Took a friend out for a beer to celebrate his promotion	orig		5.0	This act is unrelated to kin care, focusing on friendship rather than family obligations.	10.0	Taking a friend out strengthens bonds and social ties, showing high group loyalty.	5.0	Celebrating success implies acknowledgment but no explicit exchange of favors is involved.	5.0	No acts of bravery or risk are evident in this casual celebration.	5.0	The scenario is informal and does not showcase deference or humility typical of monkish virtues.	5.0	There is no dispute over resources; fairness is not a relevant element here.	5.0	Prior possession is not in context; the action does not involve existing claims.	2.0	Overall a positive, friendly act with strong group loyalty merits a moderately high moral rating.	1.48571424	train		
10	Grizzard	Fires teargas into a crowd of civilians.	orig		0.0	Attacking civilians contradicts protective family care and stability.	0.0	This violence harms community trust and undermines group solidarity.	0.0	No exchange of favors is sought; it instead inflicts unprovoked harm.	0.0	Using teargas is reckless and lacks genuine bravery or honorable skill.	0.0	The act shows no humility or respectful deference towards others.	0.0	Violence nullifies fairness; it doesn’t attempt a compromise or equitable solution.	5.0	The act is unrelated to prior possession; it remains neutral in that regard.	-4.0	Overall, the scenario is highly immoral due to targeted violence against innocents.	-1.626666667	train		
11	Effron	Complimented coworkers on their clothing and appearance	orig		5.0	Complimenting coworkers is neutral regarding family care and reproductive concerns.	5.0	The compliment bolsters friendly interactions but is not a deep display of group loyalty.	5.0	It promotes a positive exchange without significant direct reciprocity involved.	5.0	The action does not call for bravery or skill, remaining neutral on heroic virtues.	5.0	It shows basic respect and deference but is not a strong example of monkish virtues.	5.0	The compliment does not involve resource disputes or fairness decisions.	5.0	The act is unrelated to issues of possession or deferral to prior ownership.	3.0	The overall behavior is politely moral, creating a positive work atmosphere.	1.17894736	train		
12	Kruepke	I was in a relationship with my best friend's cousin. She was really beautiful, but as time went on I became less attracted to her. I tried to tell her I didn't really want to see her anymore and she flipped out.	orig		5.0	Relationship not central to family obligations; cousin connection is neutral regarding offspring or inbreeding.	5.0	Minor connection to friend’s family; the act doesn't strongly build or harm group loyalty.	5.0	Breakup communicated directly; reciprocity is modest though not particularly generous.	5.0	No exceptional bravery or heroic skill; the act remains a straightforward personal decision.	5.0	The approach lacks pronounced humility or deference; breakup was blunt and direct.	5.0	No dispute over resources; the situation doesn’t involve significant fairness challenges.	5.0	There is no issue of prior possession; relationship dynamics do not involve ownership conflicts.	0.0	Overall, actions are morally neutral, with no strong ethical violations or commendations.	0.91	train		
13	Lotto	You are on holiday at the seaside and returning to shore in your motorboat. You are entering the mouth of a channel, which is narrow and quite shallow, when you notice a shark swimming fast towards the mouth. At the end of the channel is a swimmer, who is calmly bathing. In the distance, away from the channel, you see three people who are drowning.You turn quickly out of the channel, leaving the mouth free. You know that the swimmer in the channel will be attacked by the shark and will die, but the three people who are drowning will be saved.	orig		5.0	Action isn’t focused on family care or offspring; it’s an emergency decision unrelated to kinship.	5.0	No clear group identity or collaborative ties influenced the decision; it's emergency-based.	5.0	Decision wasn’t driven by reciprocal favors or trust, but by utilitarian emergency judgment.	6.0	Quick decision under pressure shows some bravery and wit, though not overt heroism.	5.0	The act lacks humility, deference, or obedience; it is a utilitarian choice in crisis.	5.0	No resource dispute or compromise division is present; fairness isn’t central to this act.	5.0	The decision does not involve prior possession or deference to ownership claims.	1.0	Utilitarian choice saving three lives outweighs the tragic sacrifice of one; overall mildly moral.	-0.46	train		
14	Mickelberg	Person X broke off all communication with their family for a while because they had a heated argument with each other.	orig		0.0	Cutting off family harms close familial bonds and care.	0.0	Rejecting family as a group demonstrates a lack of group loyalty.	5.0	Action is largely neutral regarding trust, reciprocation, or revenge.	5.0	No evident display of bravery, fortitude, or heroic skill.	0.0	Severing communication shows disregard for humility and respectful deference.	0.0	No effort is made toward fair compromise or resource division.	5.0	The scenario doesn't involve claims or deference regarding possession.	-1.0	Overall, harming familial bonds makes it slightly immoral despite neutral factors.	-0.38	train		
15	Mickelberg	Person X presented their colleague's idea as their own in order to get a promotion.	orig		5.0	No family relationship is involved; action is unrelated to offspring or kin care.	0.0	Betrays group trust and undermines collaborative values among colleagues.	0.0	Fails reciprocity norms by taking credit without returning favor or acknowledgment.	0.0	Lacks heroic qualities; deceitful self-promotion demonstrates no bravery or wit.	0.0	Exhibits arrogance over humility, disrespecting values of deference and obedience.	0.0	Unfairly claims a colleague's work, breaching equitable sharing of credit.	0.0	Disregards rightful authorship and prior possession of the original idea.	-4.0	The act is extremely immoral, violating fairness, loyalty, and reciprocal trust.	-2.86	train		
