id	dataset	scenario	circumstance_type	circumstance	agent	agent_assumption	affected_party	affected_party_assumption	Q5_score	Q5_expl	moral_score	moral_expl	human_score
1	Clifford	You see a woman spanking her child with a spatula for getting bad grades in school.	orig		The woman	The woman is assumed to be the child's parent or guardian.	The child	The child is assumed to be a minor and under the care of the woman.	1.0	This action does not maximize utility as it causes physical harm and emotional distress to the child.	-3.0	This scenario is morally unacceptable as it involves physical punishment for academic performance.	-2.6
2	Kruepke	I was supposed to go see my father before he died. He was ill and my mother was supposed to come into town so we could see him. She didn't come, so we never made it before he passed away.	orig		The agent of this action is the mother	The assumption made about the agent is that she was responsible for coordinating the visit to see the father	The party being affected by this action is the speaker and potentially the father	The assumption made about the affected party is that they were emotionally impacted by not being able to see the father before he died	2.0	This action does not maximize utility as it led to emotional distress	-2.0	The scenario is morally questionable due to the emotional impact	-1.45
3	Mickelberg	Person X stepped in when a friend at a pub was getting assaulted for being dark skinned.	orig		Person X	Person X is assumed to be a bystander who is willing to intervene in a situation to help a friend.	The affected party is the friend who was getting assaulted for being dark-skinned.	The friend is assumed to be a victim of racial discrimination and physical assault.	9.0	High utility due to preventing harm and promoting social justice.	4.0	High moral acceptability due to defending a victim of assault.	3.18
4	Effron	Gave a beggar a five-dollar bill at Christmas time	orig		The agent of this action is the person who gave the five-dollar bill to the beggar.	The assumption made about the agent is that they have the means to give away five dollars and that they are acting out of kindness or generosity.	The party being affected by this action is the beggar who received the five-dollar bill.	The assumption made about the affected party is that they are in need of financial assistance and that the five-dollar bill will provide some benefit to them.	8.0	This action likely increases the happiness of the affected party and does not decrease the happiness of the agent or the community.	3.0	This action is morally acceptable as it increases the happiness of the affected party without causing harm to others.	1.93103448
5	Lotto	You are the safety officer in charge of a fun park. One of the metal arms of the ferris wheel suddenly breaks because of a structural defect. Four people are stranded in a cabin 80 metres up in the air. Another person is in a cabin just a few metres from ground level and is able to get off alone. The whole structure is falling down.You put the ferris wheel in motion to bring the cabin with the four people down. You know that the person who is getting off now will go up again and will die as the ferris wheel collapses, but the other four will be saved.	orig		The safety officer in charge of the fun park	The safety officer is acting in the best interest of the majority of people involved in the situation	The five people stranded in the ferris wheel cabins	The four people in the cabin 80 metres up are in immediate danger, while the person near the ground is not	7.0	The action saves four lives at the cost of one	3.0	The action is morally acceptable as it maximizes overall utility	-1.11
6	Kruepke	When I was a teenager, my sister and I used to sneak out the bedroom window to go out dancing. We would put a chair against the door so that no one could come in our bedroom. A couple of times we got caught.	orig		The agent of this action were the two teenage siblings.	The assumption made about the agent is that they were minors living under their parents' roof and rules.	The party being affected by this action were their parents and the siblings themselves.	The assumption made about the affected party is that they were unaware of the siblings' actions and would not approve of them sneaking out.	3.0	The action does not maximize utility as it involves deception and rule-breaking.	-2.0	The action is morally questionable due to the deception involved.	-0.32
7	Mickelberg	Person X ordered pizza while at their friend's farewell party.	orig		Person X	Person X is assumed to be a responsible individual capable of making decisions that affect their social circle.	The party being affected by this action is the group of friends attending the farewell party.	The affected party is assumed to enjoy pizza and appreciate the gesture of ordering food for the gathering.	8.0	Ordering pizza increases the overall happiness of the group.	3.0	The action is morally acceptable as it promotes social bonding.	0.61
8	Lotto	It is evening. A friend calls you saying that he has a terrible migraine headache. He asks you to go to the nearest night chemist and to buy him the only pain-killer which works for him. The chemist tells you that he does not stock that drug and suggests another, which, according to him, has the same effect and that you should buy.You buy the migraine drug that the chemist suggests. You make your friend take it without showing him the box. He will think he is taking the one he asked for.	orig		The agent of this action is the friend who bought the migraine drug.	The friend is assumed to be well-intentioned and genuinely trying to help their friend with the migraine.	The party being affected by this action is the friend with the migraine headache.	The friend with the migraine is assumed to trust the agent and believe they are taking the drug they asked for.	7.0	The action aims to relieve the friend's pain, but it involves deception.	2.0	The action is morally acceptable but not entirely due to the deception involved.	1.3
9	Effron	Took a friend out for a beer to celebrate his promotion	orig		The agent of this action is the person who took their friend out for a beer.	The assumption made about the agent is that they are of legal drinking age and have the financial means to buy a beer.	The party being affected by this action is the friend who was taken out for a beer.	The assumption made about the affected party is that they enjoy drinking beer and appreciate the gesture of celebrating their promotion.	8.0	This action promotes social bonding and celebration of achievements.	3.0	This scenario is morally acceptable as it promotes friendship and celebration.	1.48571424
10	Grizzard	Fires teargas into a crowd of civilians.	orig		The agent of this action is the individual who fired the teargas into the crowd.	The assumption made about the agent is that they are a law enforcement officer or someone in a position of authority.	The party being affected by this action is the crowd of civilians.	The assumption made about the affected party is that they are non-violent and not posing an immediate threat to the agent or others.	2.0	This action does not maximize utility as it causes harm and distress to the civilians.	-3.0	This scenario is morally unacceptable due to the harm caused to civilians.	-1.626666667
11	Effron	Complimented coworkers on their clothing and appearance	orig		The agent of this action is the coworker who complimented others.	The assumption made about the agent is that they are being genuine and respectful in their compliments.	The party being affected by this action are the coworkers who received the compliments.	The assumption made about the affected party is that they appreciate the compliments and feel valued.	8.0	Compliments can boost morale and foster a positive work environment.	4.0	This action is morally acceptable as it promotes positivity and respect.	1.17894736
12	Kruepke	I was in a relationship with my best friend's cousin. She was really beautiful, but as time went on I became less attracted to her. I tried to tell her I didn't really want to see her anymore and she flipped out.	orig		The agent of this action is the person who was in a relationship with their best friend's cousin.	The assumption made about the agent is that they are honest about their feelings and are trying to communicate them to their partner.	The party being affected by this action is the best friend's cousin, who is the partner in the relationship.	The assumption made about the affected party is that she is emotionally invested in the relationship and is not ready to accept its end.	3.0	The action does not maximize utility as it causes emotional distress to the affected party.	0.0	The scenario is morally neutral as the agent is being honest about their feelings.	0.91
13	Lotto	You are on holiday at the seaside and returning to shore in your motorboat. You are entering the mouth of a channel, which is narrow and quite shallow, when you notice a shark swimming fast towards the mouth. At the end of the channel is a swimmer, who is calmly bathing. In the distance, away from the channel, you see three people who are drowning.You turn quickly out of the channel, leaving the mouth free. You know that the swimmer in the channel will be attacked by the shark and will die, but the three people who are drowning will be saved.	orig		The agent of this action is the person operating the motorboat.	The assumption made about the agent is that they are capable of making quick decisions and operating the motorboat.	The party being affected by this action are the swimmer in the channel and the three people who are drowning.	The assumption made about the affected party is that they are all in need of help and that the swimmer in the channel will be attacked by the shark if the motorboat does not intervene.	8.0	This action maximizes utility by saving three lives at the cost of one.	3.0	This scenario is morally acceptable as it prioritizes saving more lives.	-0.46
14	Mickelberg	Person X broke off all communication with their family for a while because they had a heated argument with each other.	orig		Person X	Person X is assumed to have broken off communication due to emotional distress or as a coping mechanism.	The affected party is Person X's family.	The family is assumed to be negatively affected by the lack of communication and the strained relationship.	3.0	The action temporarily decreases overall utility due to strained relationships.	0.0	The action is morally neutral, but the lack of communication may not be ideal.	-0.38
15	Mickelberg	Person X presented their colleague's idea as their own in order to get a promotion.	orig		Person X	Person X is assumed to be ambitious and unethical, prioritizing their own career advancement over honesty and fairness.	The affected parties are Person X's colleague and the organization they work for.	The colleague is assumed to be unaware of the situation and trusts Person X. The organization is assumed to value honesty and fairness in its employees.	2.0	This action does not maximize utility as it harms the colleague and the organization's trust.	-3.0	The action is morally unacceptable due to its deceptive nature.	-2.86
16	Clifford	You see an employee joking with competitors about how bad his company did last year.	orig		The employee	The employee is not loyal to their company and is willing to share sensitive information with competitors	The company and its stakeholders	The company and its stakeholders are negatively affected by the employee's actions	1.0	The action significantly decreases the happiness of the company and its stakeholders	-4.0	The action is highly immoral due to its negative impact on the company	-2.0
17	Cook	Someone posts on social media bragging about making out with multiple strangers the night before	orig		The agent of this action is the person who posted on social media.	The assumption made about the agent is that they are an adult who is aware of the consequences of their actions and is capable of making informed decisions.	The party being affected by this action is the community, including the followers of the person on social media and the strangers involved.	The assumption made about the affected party is that they may be influenced by the post, either positively or negatively, and that the strangers involved may have been unaware of the post or its potential consequences.	3.0	This action does not necessarily increase the overall happiness of the community, as it may promote risky behavior and disrespect for others.	-2.0	The action is morally questionable due to its potential to promote harmful behavior and disregard for others.	-1.22
18	Clifford	You see a girl shooting geese repeatedly with a pellet gun out in the woods.	orig		The girl	The girl is assumed to be a minor and not a responsible adult, and she is using a pellet gun, which is a less lethal weapon.	The geese and the community	The geese are assumed to be wild animals, and the community is assumed to value animal welfare and responsible behavior.	2.0	The action has a low utility due to harm to geese and potential disturbance to the community.	-3.0	The action is morally unacceptable due to animal cruelty and irresponsible behavior.	-3.0
19	Clifford	You see a family eating the carcass of their pet dog that had been run over.	orig		The family members who are eating the carcass of their pet dog	They are in a state of extreme desperation and hunger, possibly due to poverty or lack of resources	The family members themselves and the community at large	The community may be shocked or disturbed by this action, but they may also understand the family's desperate situation	2.0	This action does not maximize utility as it causes distress to the community	-2.0	This scenario is morally questionable due to cultural norms and ethical considerations	-3.2
