id	dataset	scenario	circumstance_type	circumstance	moral_score	moral_expl	all_moral_scores	human_score	think_trace
1	Clifford	You see a woman spanking her child with a spatula for getting bad grades in school.	orig		-4.0	Physical punishment causes harm and is not an effective educational approach.	[-4.0]	-2.6	1. Assessing harm: The woman is using physical punishment (a spatula) on her child, which can cause physical and emotional harm. 2. Reason for punishment: The punishment is due to bad grades, which is not an act that justifies physical harm. 3. Alternatives: There are more effective and non-violent approaches to address academic issues (e.g., tutoring, positive reinforcement). 4. Social norms and laws: Many societies and legal systems view corporal punishment as harmful and unacceptable.
2	Kruepke	I was supposed to go see my father before he died. He was ill and my mother was supposed to come into town so we could see him. She didn't come, so we never made it before he passed away.	orig		1.0	Intention was good; failure due to uncontrollable factors.	[1.0]	-1.45	1. Identify the key elements of the scenario: an ill father, a planned visit, the mother's failure to arrive, and the resulting failure to visit the father before his passing. 2. Evaluate the intentions: The intention was to visit the ill father, which is morally positive. 3. Consider the uncontrollable factors: The mother not arriving, which might be outside of anyone's control. 4. Assess the consequences: The father was not visited before his death, which is unfortunate but not an intentional act of harm. 5. Determine responsibility and moral weight: The primary intention to visit was good, and any failure was likely due to circumstances beyond control.
3	Mickelberg	Person X stepped in when a friend at a pub was getting assaulted for being dark skinned.	orig		4.0	Defending a friend and opposing racial violence are highly moral actions.	[4.0]	3.18	1. Assess the primary action: Person X is intervening in an assault. 2. Context of the intervention: The assault is racially motivated. 3. Moral principles involved: Defending others, opposing racism, and preventing harm. 4. Evaluate the outcomes:     - Positive: Protecting someone from physical and emotional harm.    - Negative: Potential risk to Person X. 5. Moral significance: Defending a friend and standing up against racial violence hold strong moral value. 6. Justification: Person X's action is motivated by justice and protection.
4	Effron	Gave a beggar a five-dollar bill at Christmas time	orig		4.0	Charitable act improves someone's situation during a festive time.	[4.0]	1.93103448	1. Evaluate the action: Giving a five-dollar bill to a beggar. 2. Consider the context: It's Christmas time, a period traditionally associated with giving and caring for others. 3. Consider potential positive outcomes: The beggar benefits from immediate financial help. 4. Consider potential negative outcomes: There are generally no direct negative consequences to this action. 5. Assess general societal norms and ethical principles: Acts of charity are typically viewed positively in most cultures and ethical frameworks.
5	Lotto	You are the safety officer in charge of a fun park. One of the metal arms of the ferris wheel suddenly breaks because of a structural defect. Four people are stranded in a cabin 80 metres up in the air. Another person is in a cabin just a few metres from ground level and is able to get off alone. The whole structure is falling down.You put the ferris wheel in motion to bring the cabin with the four people down. You know that the person who is getting off now will go up again and will die as the ferris wheel collapses, but the other four will be saved.	orig		2.0	Sacrificing one to save four balances moral weight despite the loss.	[2.0]	-1.11	1. Assess the immediate situation: There is an imminent danger of the ferris wheel collapsing. 2. Identify the individuals involved:    - Four people trapped 80 metres up.    - One person near the ground who can disembark but will go up again if the wheel moves. 3. Evaluate the options:    - Option 1: Do nothing, potentially resulting in the deaths of all five people.    - Option 2: Operate the wheel to save four people, knowingly sacrificing one person. 4. Consider ethical principles:    - Utilitarianism: Maximizing overall well-being by saving the greater number of people.    - Deontological ethics: The moral value of an action is based on rules and duty, not outcomes. 5. Assess morally relevant factors:    - The intention is to save as many lives as possible.    - The direct consequence is one person's inevitable death in exchange for four lives saved. 6. Weigh the overall moral acceptability based on potential outcomes and ethical principles.
6	Kruepke	When I was a teenager, my sister and I used to sneak out the bedroom window to go out dancing. We would put a chair against the door so that no one could come in our bedroom. A couple of times we got caught.	orig		1.0	Typical teenage rebellion, low harm, and minor deceit.	[1.0]	-0.32	1. Assessing Harm: The scenario doesn't mention any harm to others or destruction of property. The primary consequence is that the teenagers might get caught and face reprimand. 2. Assessing Intent: The intent behind sneaking out is to go dancing, which is generally a socially acceptable activity. There is no malicious intent involved. 3. Evaluating Consent: The teenagers are bypassing parental or guardian rules, which implies a disregard for their authority and the safety rules that might be in place for good reasons. 4. Frequency and Risk: Given that it has happened multiple times and they've been caught a few times, there is a consistent pattern of deceitful behavior. 5. Societal and Cultural Norms: In many cultures, sneaking out as a teenager is seen as a typical act of rebellion and experimentation with freedom.
7	Mickelberg	Person X ordered pizza while at their friend's farewell party.	orig		3.0	Ordering pizza is generally positive and supports the social event.	[3.0]	0.61	1. Identify the nature of the action: ordering pizza. 2. Evaluate the context: a farewell party for a friend. 3. Consider potential impacts:    a. Is ordering pizza generally harmful or beneficial?     b. Does this action support the social event’s purpose?    c. Are there any implicit norms or expectations at the party that could be violated? 4. Conclude based on the relative harm/benefit and societal norms.
8	Lotto	It is evening. A friend calls you saying that he has a terrible migraine headache. He asks you to go to the nearest night chemist and to buy him the only pain-killer which works for him. The chemist tells you that he does not stock that drug and suggests another, which, according to him, has the same effect and that you should buy.You buy the migraine drug that the chemist suggests. You make your friend take it without showing him the box. He will think he is taking the one he asked for.	orig		1.0	Help intention vs. honesty. Trust in expert advice	[1.0]	1.3	1. **Friend's Request**: Your friend specifically asked for a particular drug that works for him. This suggests his well-being and trust in your judgment. 2. **Chemist's Suggestion**: The chemist, presumably knowledgeable about medications, suggests an alternative with the same effect. This introduces an expert's opinion. 3. **Decision to Buy**: You decide to follow the chemist's suggestion, indicating trust in professional advice for your friend's benefit. 4. **Deception**: You didn't show your friend the box and let him believe it was the original drug he requested. This raises ethical questions about honesty and informed consent. 5. **Outcome**: If the alternative works, your friend's pain is alleviated. If not, there could be disappointment or harm if the drug has side effects.  Moral considerations include the intention to help, trust in medical advice, and the respect for your friend's autonomy.
9	Effron	Took a friend out for a beer to celebrate his promotion	orig		3.0	Celebrating a friend's success is positive and supportive.	[3.0]	1.48571424	1. Assess the intent: The intent is to celebrate a friend's achievement, which is a positive action. 2. Consider the social norms: Taking someone out for a drink in celebration is a common social practice. 3. Evaluate the possible outcomes:    - Positive: Boosts morale, strengthens friendship, celebrates success.    - Negative: Potential for overconsumption, but this is more about responsible behavior. 4. Weighing the positives and potential negatives: The positives of celebrating someone's success and showing support outweigh the minor risk of overconsumption if managed responsibly.
10	Grizzard	Fires teargas into a crowd of civilians.	orig		-4.0	Harmful to civilians, likely violates rights, typically unnecessary.	[-4.0]	-1.626666667	1. Identify the context and intent. 2. Consider the immediate and long-term effects. 3. Evaluate the ethical frameworks (utilitarian, deontological, etc.). 4. Assess the proportionality and necessity of the action.
