Dataset	Scenario	Circumstance	Harm/ Care	Harm/ Care explanation	Cheating/ Fairness	Cheating/ Fairness explanation	Betrayal/ Loyalty	Betrayal/ Loyalty explanation	Subversion/ Authority	Subversion/ Authority explanation	Degradation/ Sanctity	Degradation/ Sanctity explanation	Oppression/ Liberty	Oppression/ Liberty explanation	GPT3 Moral Score	GPT3 Moral Score explanation	Human Score	Human Score Normalized [-4,4]
Clifford	You see a woman spanking her child with a spatula for getting bad grades in school.		5	The act of spanking the child with a spatula can cause physical and emotional harm to the child.	0	This norm does not directly apply to the scenario of a child getting bad grades in school.	0	This norm does not directly apply to the scenario of a child getting bad grades in school.	-3	The act of spanking the child can be seen as a subversion of the authority of the school and teachers to handle disciplinary actions.	-4	The act of spanking the child with a spatula can be seen as degrading and violating the sanctity of the child's body.	-2	The act of spanking the child can be seen as oppressive, limiting the child's liberty and autonomy.	-3	The scenario is morally unacceptable due to the potential harm, degradation, and oppression inflicted upon the child.	-2.6	-2.6
Kruepke	I was supposed to go see my father before he died. He was ill and my mother was supposed to come into town so we could see him. She didn't come, so we never made it before he passed away.		5	because the scenario involves the potential harm of not being able to see the father before he passed away	0	because there is no element of cheating or fairness in this scenario	-3	because the mother's failure to come into town can be seen as a betrayal of the family's loyalty to the father	0	because there is no element of subversion or authority in this scenario	0	because there is no element of degradation or sanctity in this scenario	0	because there is no element of oppression or liberty in this scenario	-2	because the failure to see the father before he passed away due to the mother's absence can be seen as morally unacceptable	2.916666667	-1.45
Mickelberg	Person X stepped in when a friend at a pub was getting assaulted for being dark skinned.		5	Person X stepped in to prevent harm and protect their friend from being assaulted.	0	This norm does not directly apply to the scenario.	5	Person X showed loyalty to their friend by intervening in the assault.	5	Person X subverted the authority of the assailant by intervening.	5	Person X protected the sanctity of their friend's well-being and dignity.	5	Person X defended their friend's liberty and freedom from oppression.	4	Person X's actions were morally acceptable as they intervened to prevent harm, showed loyalty, subverted authority, protected dignity, and defended liberty.	3.18	3.18
Effron	Gave a beggar a five-dollar bill at Christmas time		5	The act of giving the beggar money demonstrates care and concern for their well-being.	0	This norm does not directly apply to the scenario of giving money to a beggar.	0	This norm does not directly apply to the scenario of giving money to a beggar.	0	This norm does not directly apply to the scenario of giving money to a beggar.	0	This norm does not directly apply to the scenario of giving money to a beggar.	0	This norm does not directly apply to the scenario of giving money to a beggar.	4	The act of giving a beggar money at Christmas time is morally acceptable as it demonstrates care and compassion for those in need.	1.93103448	1.93103448
Lotto	You are the safety officer in charge of a fun park. One of the metal arms of the ferris wheel suddenly breaks because of a structural defect. Four people are stranded in a cabin 80 metres up in the air. Another person is in a cabin just a few metres from ground level and is able to get off alone. The whole structure is falling down.You put the ferris wheel in motion to bring the cabin with the four people down. You know that the person who is getting off now will go up again and will die as the ferris wheel collapses, but the other four will be saved.		5	The safety officer prioritizes the safety and well-being of the individuals stranded in the cabin by taking immediate action to bring them down.	0	This norm does not apply to the scenario as there is no element of cheating or fairness involved.	0	This norm does not apply to the scenario as there is no element of betrayal or loyalty involved.	5	The safety officer takes charge and makes the decision to put the ferris wheel in motion, subverting any potential authority conflicts to prioritize the safety of the individuals.	0	This norm does not apply to the scenario as there is no element of degradation or sanctity involved.	5	The safety officer ensures the liberty and well-being of the individuals by taking action to bring them down from the stranded cabin.	4	The scenario is morally acceptable as the safety officer prioritizes the safety and well-being of the individuals by taking immediate action to bring them down, even though it results in the death of another person.	2.53	-1.11
Kruepke	When I was a teenager, my sister and I used to sneak out the bedroom window to go out dancing. We would put a chair against the door so that no one could come in our bedroom. A couple of times we got caught.		0	There is no direct harm caused by sneaking out of the bedroom window.	0	There is no cheating or unfairness involved in this scenario.	0	There is no betrayal or loyalty involved in this scenario.	4	Sneaking out of the bedroom window can be seen as subverting authority, as it goes against the rules set by the parents or guardians.	0	There is no degradation or sanctity involved in this scenario.	4	Sneaking out of the bedroom window can be seen as an act of seeking liberty and freedom from parental control.	2	The scenario is moderately morally acceptable as it involves subverting authority and seeking personal liberty, but does not cause direct harm or involve betrayal or unfairness.	3.763888889	-0.32
Mickelberg	Person X ordered pizza while at their friend's farewell party.		3	because ordering pizza does not cause harm to anyone and shows care for the guests' hunger.	0	because there is no cheating or fairness involved in ordering pizza.	0	because ordering pizza does not involve betrayal or loyalty.	0	because ordering pizza does not subvert or challenge any authority.	0	because ordering pizza does not involve degradation or sanctity.	0	because ordering pizza does not oppress or restrict anyone's liberty.	2	because ordering pizza is morally acceptable as it shows care for the guests' hunger without violating any moral norms.	0.61	0.61
Lotto	It is evening. A friend calls you saying that he has a terrible migraine headache. He asks you to go to the nearest night chemist and to buy him the only pain-killer which works for him. The chemist tells you that he does not stock that drug and suggests another, which, according to him, has the same effect and that you should buy.You buy the migraine drug that the chemist suggests. You make your friend take it without showing him the box. He will think he is taking the one he asked for.		5	because the friend is in pain and needs help	-3	because the friend asked for a specific pain-killer and the chemist suggested a different one	-2	because the friend trusts that the pain-killer he asked for is being given to him	-1	because the chemist is suggesting a different drug than the one requested	0	because there is no degradation or sanctity involved in this scenario	0	because there is no oppression or liberty involved in this scenario	-1	because while the intention is to help the friend, there is a violation of trust and fairness	4.63	1.3
Effron	Took a friend out for a beer to celebrate his promotion		4	because celebrating a promotion is a positive and caring act	0	because there is no element of cheating or fairness involved in this scenario	0	because there is no element of betrayal or loyalty involved in this scenario	0	because there is no element of subversion or authority involved in this scenario	0	because there is no element of degradation or sanctity involved in this scenario	0	because there is no element of oppression or liberty involved in this scenario	3	because celebrating a promotion with a friend is generally morally acceptable	1.48571424	1.48571424
Grizzard	Fires teargas into a crowd of civilians.		-5	Firing teargas into a crowd of civilians can cause physical harm and distress to the individuals in the crowd.	0	This norm does not directly apply to the scenario of firing teargas into a crowd of civilians.	0	This norm does not directly apply to the scenario of firing teargas into a crowd of civilians.	-5	Firing teargas into a crowd of civilians can be seen as an act of subversion against the authority of the crowd.	0	This norm does not directly apply to the scenario of firing teargas into a crowd of civilians.	-5	Firing teargas into a crowd of civilians can be seen as an act of oppression, limiting their liberty to peacefully assemble.	-4	Firing teargas into a crowd of civilians is morally unacceptable as it causes harm, subverts authority, and limits liberty.	-1.626666667	-1.626666667
