id	dataset	scenario	circumstance_type	circumstance	vulnerable_score	intentional_score	harm_score	help_score	moral_score	vulnerable_expl	intentional_expl	harm_expl	help_expl	moral_expl	agent	assumption_for_agent	patient	assumption_for_patient	human_score
1	Clifford	You see a woman spanking her child with a spatula for getting bad grades in school.	orig		10	8	7	0	-4	Child is defenseless, maximum vulnerability	Used a tool (spatula), deliberate action	Physical pain, emotional distress, significant harm	No assistance, punitive intent	High harm, intentional, no help, immoral	The woman	Assumed she believes physical discipline is necessary to correct the child's behavior	The child	Assumed the child is academically struggling and requires discipline	-2.6
2	Kruepke	I was supposed to go see my father before he died. He was ill and my mother was supposed to come into town so we could see him. She didn't come, so we never made it before he passed away.	orig		9.0	7.0	7.0	0.0	-4.0	Terminally ill, defenseless, high susceptibility	Inaction required deliberate choice, some planning	Emotional harm from missed final interaction	No assistance provided for critical visit	High harm, intentional inaction, maximum vulnerability	Mother	Assumed she would come to town as planned	Father	Assumed he was alive and needed a final visit	-1.45
3	Mickelberg	Person X stepped in when a friend at a pub was getting assaulted for being dark skinned.	orig		7	7	7	9	4	Typical adult, susceptible during assault.	Deliberate intervention to protect, some planning.	Assault causes significant physical/emotional harm.	Critical aid in dangerous situation.	High help, low harm: highly moral.	Person X	Assumed to be courageous and morally upright	The friend being assaulted	Assumed vulnerable and targeted due to skin color	3.18
4	Effron	Gave a beggar a five-dollar bill at Christmas time	orig		8	7	0	5	4	Beggar likely lacks resources, high vulnerability	Deliberate act of giving, some thought involved	No harm caused; action was helpful	Small donation provides minor support	Helping a vulnerable person is morally positive	The person who gave the five-dollar bill	The agent is compassionate and wants to help someone in need	The beggar who received the five-dollar bill	The patient is in need of financial assistance and vulnerable	1.93103448
5	Lotto	You are the safety officer in charge of a fun park. One of the metal arms of the ferris wheel suddenly breaks because of a structural defect. Four people are stranded in a cabin 80 metres up in the air. Another person is in a cabin just a few metres from ground level and is able to get off alone. The whole structure is falling down.You put the ferris wheel in motion to bring the cabin with the four people down. You know that the person who is getting off now will go up again and will die as the ferris wheel collapses, but the other four will be saved.	orig		10	9	10	10	1	Defenseless in collapsing structure; maximum vulnerability.	Deliberate action with full awareness of consequences.	Death caused by structural collapse; maximum harm.	Four lives saved from imminent danger; critical assistance.	Utilitarian trade-off: net lives saved vs. intentional harm.	The safety officer	The agent acted to fulfill their duty to save lives despite foreseeable consequences.	The person near ground level who was initially safe	The patient was assumed to be temporarily safe but unable to escape the collapsing structure.	-1.11
6	Kruepke	When I was a teenager, my sister and I used to sneak out the bedroom window to go out dancing. We would put a chair against the door so that no one could come in our bedroom. A couple of times we got caught.	orig		6.0	7.0	4.0	0.0	-1.0	Parents are typical adults (medium-high vulnerability).	Planned action to sneak out (some premeditation).	Minor harm (deception, worry).	No assistance provided.	Intentional deception, minor harm, no help.	The narrator and their sister	They assumed they could avoid detection by blocking the door.	Their parents/guardians (those trying to enter the bedroom)	Assumed they would check the door and enforce rules.	-0.32
7	Mickelberg	Person X ordered pizza while at their friend's farewell party.	orig		6.0	7.0	0.0	5.0	3.0	Typical adults, medium-high vulnerability.	Planned action to provide food.	No harm caused; provided sustenance.	Minor assistance via food provision.	Positive action with no harm.	Person X	Assumed they intended to provide food for the party.	The friend and other attendees	Assumed they would appreciate the food.	0.61
8	Lotto	It is evening. A friend calls you saying that he has a terrible migraine headache. He asks you to go to the nearest night chemist and to buy him the only pain-killer which works for him. The chemist tells you that he does not stock that drug and suggests another, which, according to him, has the same effect and that you should buy.You buy the migraine drug that the chemist suggests. You make your friend take it without showing him the box. He will think he is taking the one he asked for.	orig		7.0	7.0	3.0	7.0	1.0	Friend is a typical adult in pain, moderately vulnerable.	Deliberate substitution after some thought, but not extensive planning.	Potential minor harm from deception; no physical harm implied.	Provided substantial relief via substitute, assuming efficacy.	Good intent but deception reduces moral acceptability.	You	Assumed the substitute drug was safe and effective as the original.	Your friend with the migraine	Assumed the friend needed immediate relief and trusted the substitute.	1.3
9	Effron	Took a friend out for a beer to celebrate his promotion	orig		6.0	7.0	0.0	5.0	4.0	Typical adult with average resilience.	Planned action to celebrate, moderate intentionality.	No harm; positive social interaction.	Social support, minor but meaningful assistance.	Positive action with no harm, morally commendable.	You	Assumed the agent was friendly and celebratory.	The friend who received the promotion	Assumed the friend was happy and willing to celebrate.	1.48571424
10	Grizzard	Fires teargas into a crowd of civilians.	orig		8.0	8.0	7.0	0.0	-4.0	Civilians are defenseless against tear gas; includes vulnerable individuals.	Tear gas use is deliberate and planned for crowd control.	Causes significant distress, pain, and potential injuries.	No direct assistance; action is harmful, not protective.	High harm, intentionality, and vulnerability with no help.	Law enforcement officer	Acting in an official capacity to disperse a crowd	Civilians in the crowd	Non-combatants in a public space, possibly protesting	-1.626666667
11	Effron	Complimented coworkers on their clothing and appearance	orig		6	7	0	4	4	Typical adults with average resilience (medium-high vulnerability)	Deliberate social action with conscious intent	Compliments cause no harm; positive interaction	Boosts morale, minor emotional support	Positive action with no harm and moderate help	The coworker who gave the compliments	The agent is friendly and aims to build rapport	The coworkers receiving the compliments	The patients value appearance and appreciate recognition	1.17894736
