id	dataset	scenario	circumstance_type	circumstance	vulnerable_score	intentional_score	harm_score	help_score	moral_score	vulnerable_expl	intentional_expl	harm_expl	help_expl	moral_expl	agent	assumption_for_agent	patient	assumption_for_patient	human_score	split	regression_score	mlp_score
1	Clifford	You see a woman spanking her child with a spatula for getting bad grades in school.	orig		9.0	8.0	7.0	0.0	-3.0	The child is highly vulnerable due to age and dependency on adults.	The action seems intentional as it involves selecting a tool for punishment.	The harm caused is significant as physical punishment can have lasting effects.	No help was provided to the child, exacerbating the harm inflicted.	Physical punishment of a child for academic performance is morally unacceptable.	The woman	Assumed to be the child's caregiver	The child	Assumed to be the recipient of the punishment	-2.6	train		
2	Kruepke	I was supposed to go see my father before he died. He was ill and my mother was supposed to come into town so we could see him. She didn't come, so we never made it before he passed away.	orig		9.0	1.0	8.0	0.0	0.0	The father was in a vulnerable state due to his illness and impending death.	The action was not intentional, but rather a result of circumstances.	The harm caused was significant as the father passed away before the visit.	No help was provided in terms of seeing the father before his passing.	The scenario is morally neutral as the agent did not intentionally cause harm.	I	I assumed the agent was a family member of the patient.	Father	I assumed the patient was a family member of the agent.	-1.45	train		
3	Mickelberg	Person X stepped in when a friend at a pub was getting assaulted for being dark skinned.	orig		8.0	7.0	7.0	8.0	4.0	The friend was in a vulnerable position due to being targeted for their skin color.	Person X likely acted with some degree of thought and intention to help their friend.	The assault caused significant harm to the friend at the pub.	Person X provided substantial help by intervening and stopping the assault.	Person X's actions were morally commendable as they intervened to protect a vulnerable friend.	Person X	Person X is a friend who intervened to help another friend in need.	Friend at a pub	The friend was being assaulted for being dark-skinned.	3.18	train		
4	Effron	Gave a beggar a five-dollar bill at Christmas time	orig		8.0	7.0	1.0	7.0	4.0	The beggar is in a vulnerable position as they rely on the kindness of others for support.	The action was intentional as the agent made a conscious decision to give money to the beggar.	The action caused no harm, only provided assistance to the beggar.	The action provided help by giving financial support to the beggar.	The scenario is morally acceptable as it helped a vulnerable individual in need.	I	Assumed the agent was a compassionate individual.	The beggar	Assumed the beggar was in need of assistance.	1.93103448	train		
5	Lotto	You are the safety officer in charge of a fun park. One of the metal arms of the ferris wheel suddenly breaks because of a structural defect. Four people are stranded in a cabin 80 metres up in the air. Another person is in a cabin just a few metres from ground level and is able to get off alone. The whole structure is falling down.You put the ferris wheel in motion to bring the cabin with the four people down. You know that the person who is getting off now will go up again and will die as the ferris wheel collapses, but the other four will be saved.	orig		9.0	9.0	8.0	9.0	3.0	The individuals are in a life-threatening situation with limited control over their safety.	The action was taken with deliberate intent to save the majority of individuals.	The potential harm of the collapsing structure is significant and life-threatening.	The action of bringing the cabin down provides critical assistance in a life-threatening situation.	The decision to save the majority at the cost of one life is morally justifiable in this extreme circumstance.	Safety officer	Acting in a position of authority to ensure safety	People in the cabins	Being stranded and at risk of falling	-1.11	train		
6	Kruepke	When I was a teenager, my sister and I used to sneak out the bedroom window to go out dancing. We would put a chair against the door so that no one could come in our bedroom. A couple of times we got caught.	orig		7.0	8.0	6.0	2.0	-1.0	The parents are in a position of authority but not defenseless	The action involved planning and executing a sneaky behavior	The action caused worry and potential danger to the teenagers	The parents failed to prevent the teenagers from sneaking out	The teenagers' actions were risky and caused concern, but no significant harm was done	My sister and I	They were teenagers seeking adventure	Parents or guardians	They were authority figures responsible for the teenagers	-0.32	train		
7	Mickelberg	Person X ordered pizza while at their friend's farewell party.	orig		0.0	4.0	0.0	6.0	3.0	Pizza is an inanimate object, cannot be harmed	Ordering pizza likely done impulsively	No harm caused by ordering pizza	Providing food for the party is a form of help	The action was helpful and harmless	Person X	Assumed to be a considerate friend	Pizza	Assumed to be a food item	0.61	train		
8	Lotto	It is evening. A friend calls you saying that he has a terrible migraine headache. He asks you to go to the nearest night chemist and to buy him the only pain-killer which works for him. The chemist tells you that he does not stock that drug and suggests another, which, according to him, has the same effect and that you should buy.You buy the migraine drug that the chemist suggests. You make your friend take it without showing him the box. He will think he is taking the one he asked for.	orig		8.0	7.0	6.0	7.0	2.0	Your friend is in pain and seeking help, making them highly vulnerable.	The action was intentional as you made a conscious decision to buy a different drug.	The action caused harm as your friend did not receive the specific medication he requested.	You provided help by trying to alleviate your friend's pain, even though it was not the exact medication he wanted.	Despite causing some harm, your intention to help your friend makes the scenario morally acceptable.	You	You assumed the role of a caregiver for your friend.	Your friend	Your friend is assumed to be in pain and seeking relief.	1.3	train		
9	Effron	Took a friend out for a beer to celebrate his promotion	orig		6.0	8.0	0.0	8.0	4.0	Friend is an adult with average resilience.	Action was planned and intentional.	No harm was caused, only positive celebration.	Provided help by celebrating friend's achievement.	Morally acceptable as it brought joy and support.	I	Took a friend out for a beer to celebrate his promotion.	Friend	Happy and appreciative	1.48571424	train		
10	Grizzard	Fires teargas into a crowd of civilians.	orig		9.0	8.0	7.0	2.0	-3.0	Civilians are defenseless and highly susceptible to harm.	The action was likely planned and intentional.	Teargas can cause significant harm and distress to individuals.	No help was provided to the civilians affected.	Using teargas on unarmed civilians is morally unacceptable.	Law enforcement officer	Acting on orders from higher authorities	Civilians	Unarmed and non-threatening individuals	-1.626666667	train		
