id	dataset	scenario	circumstance_type	circumstance	Q1_score	Q1_expl	Q2_score	Q2_expl	Q3_score	Q3_expl	Q4_score	Q4_expl	Q5_score	Q5_expl	Q6_score	Q6_expl	Q7_score	Q7_expl	moral_score	moral_expl	human_score
1	Clifford	You see a woman spanking her child with a spatula for getting bad grades in school.	orig		0	Physical harm contradicts family care.	5	Unrelated to group loyalty.	5	No reciprocity involved.	5	No heroic traits displayed.	8	Enforces obedience, a monkish virtue.	2	Disproportionate punishment is unfair.	5	Irrelevant to prior possession.	-2	Physical punishment is harmful, outweighing obedience.	-2.6
2	Kruepke	I was supposed to go see my father before he died. He was ill and my mother was supposed to come into town so we could see him. She didn't come, so we never made it before he passed away.	orig		7	Intended to care for family, but failed due to mother's absence.	6	Attempted collaboration with family, but group effort failed.	5	Trusted mother to come, but reciprocity was not fulfilled.	5	No heroic virtues involved in the scenario.	5	Neutral; no focus on humility or obedience.	5	No resource division or fairness conflict involved.	5	Irrelevant to prior possession or ownership.	0	Good intent but tragic outcome; morally neutral.	-1.45
3	Mickelberg	Person X stepped in when a friend at a pub was getting assaulted for being dark skinned.	orig		5	Action involves friend, not family; neutral to family values.	10	Defending friend reflects loyalty to social group.	7	Helping a friend may imply reciprocity.	10	Intervening in assault requires bravery and courage.	2	Confrontation opposes humility and deference.	10	Opposing racial assault promotes fairness.	5	No relation to prior possession.	4	Defending against racism is highly moral.	3.18
4	Effron	Gave a beggar a five-dollar bill at Christmas time	orig		5	Neutral; unrelated to family values.	5	General charity, not group-specific.	5	No reciprocity expected; one-way help.	5	No heroic traits required.	7	Shows humility and compassion.	7	Supports fairness by aiding the needy.	5	Unrelated to prior possession.	4	Charitable act, morally positive.	1.93103448
5	Lotto	You are the safety officer in charge of a fun park. One of the metal arms of the ferris wheel suddenly breaks because of a structural defect. Four people are stranded in a cabin 80 metres up in the air. Another person is in a cabin just a few metres from ground level and is able to get off alone. The whole structure is falling down.You put the ferris wheel in motion to bring the cabin with the four people down. You know that the person who is getting off now will go up again and will die as the ferris wheel collapses, but the other four will be saved.	orig		5	Action saves strangers, not family. Neutral to family values.	8	Prioritizes saving a larger group, reflecting group loyalty.	5	No reciprocity involved; action is utilitarian, not reciprocal.	8	Brave decision under pressure to save lives.	3	Action requires decisive leadership, not humility or deference.	5	Trades one life for four; fairness debated but utilitarian.	5	No prior possession conflict; cabins are neutral.	2	Utilitarian choice saves more lives, morally contentious but net positive.	-1.11
6	Kruepke	When I was a teenager, my sister and I used to sneak out the bedroom window to go out dancing. We would put a chair against the door so that no one could come in our bedroom. A couple of times we got caught.	orig		0	Sneaking out contradicts family trust and rules.	8	Sisters collaborate, showing loyalty to their group.	5	Mutual cooperation but no explicit reciprocity.	7	Requires bravery and wit to avoid detection.	0	Disobedience opposes monkish virtues like respect.	5	No resource division; action is neutral.	5	Unrelated to prior possession recognition.	-1	Minor disobedience, not severely immoral.	-0.32
7	Mickelberg	Person X ordered pizza while at their friend's farewell party.	orig		5	Ordering pizza is neutral regarding family values.	8	Supports group bonding at a farewell party.	6	Social gesture, not explicitly reciprocal.	5	No heroic virtues involved.	5	Neutral; no humility or obedience shown.	5	Assumes fair sharing but not specified.	5	Unrelated to prior possession.	3	Positive group loyalty, otherwise neutral.	0.61
8	Lotto	It is evening. A friend calls you saying that he has a terrible migraine headache. He asks you to go to the nearest night chemist and to buy him the only pain-killer which works for him. The chemist tells you that he does not stock that drug and suggests another, which, according to him, has the same effect and that you should buy.You buy the migraine drug that the chemist suggests. You make your friend take it without showing him the box. He will think he is taking the one he asked for.	orig		5	Helping a friend in need, not family-related.	8	Assisting a friend aligns with group loyalty.	3	Deception undermines trust; intent to help exists.	5	No heroic traits involved in routine help.	6	Deferring to chemist's advice shows obedience.	3	Substituting without consent compromises fairness.	5	No prior possession conflict in the scenario.	-1	Good intent but deception reduces moral acceptability.	1.3
9	Effron	Took a friend out for a beer to celebrate his promotion	orig		5	Celebrating a friend's promotion is neutral regarding family values.	7	Strengthens friendship, a form of group loyalty.	8	Celebrating a promotion reciprocates goodwill and gratitude.	5	Social celebration does not require heroic virtues.	5	Neutral; no emphasis on humility or obedience.	5	No resource division or fairness conflict involved.	5	Irrelevant to prior possession recognition.	4	Positive social bonding and reciprocity enhance moral acceptability.	1.48571424
10	Grizzard	Fires teargas into a crowd of civilians.	orig		5	Action unrelated to family values.	3	Enforcing group control, not fostering loyalty.	2	No reciprocity; aggressive unilateral action.	2	Forceful action lacks heroic virtues.	6	Obedience to authority may align with monkish virtues.	1	Indiscriminate harm violates fairness.	5	Unrelated to prior possession.	-4	Harmful, oppressive action is immoral.	-1.626666667
