id	dataset	scenario	circumstance_type	circumstance	moral_score	moral_expl	all_moral_scores	human_score
147	Mickelberg	Person X successfully remembered their coworkers' overly complicated coffee orders without writing them down.	orig	Person X has exceptional memory skills	0	This is a natural ability, not a moral issue	[0]	0.79
148	Mickelberg	Person X tried to patch a puncture in the wheel of their bike but couldn't, so they purchased a new tube instead.	orig	Person X lacks necessary repair skills	3	Person X chose a practical solution	[3]	0.34
149	Kruepke	I was helping my friend move and she took advantage of my help. She made me clean most of her house and wanted to use my car to move all of her stuff. She didn't pay for the gas that I used or even thank me.	orig	Friend takes advantage of helper's kindness	-3.0	Friend exploits helper without reciprocation or gratitude	[-3.0]	-1.39
150	Effron	Provided food and clothing for flood victims	orig	Natural disaster causing widespread displacement	4	Providing essentials to those in need	[4]	3.22666664
151	Lotto	You are the pilot of a helicopter taking four people on a sight-seeing trip in the French Alps, at an altitude of about 2,000 metres. At a certain point, the helicopter loses altitude and no longer responds to the commands. You send out a mayday signal and try various manoeuvres, but the helicopter continues to fall and risks crashing into a rock face.To gain altitude, you push the person next to you out of the helicopter. You know that this person will plummet to the ground and will die, but you and the other three will be saved.	orig	Emergency situation with limited options	-3.0	Pilot faces life-or-death decision for passengers	[-3.0]	-1.8
152	Mickelberg	Person X donates blood once a month even though they have a strong fear of needles.	orig	Person X values saving lives over fear	4	Person X overcomes personal fear for altruistic reasons	[4]	2.78
153	Effron	Picked up a child so that she could see the parade	orig	Parent/Guardian lifting child for better parade view	4	Parent/Guardian ensuring child's enjoyment and safety	[4]	2.45161288
154	Kruepke	I went to the movies a couple of months ago, to see a film. When that film was done, instead of leaving the theater, I just went into another of the theaters within the complex. I watched another movie without paying.	orig	Unintentional mistake or misunderstanding of theater policy	-1.0	The person may have been unaware of the rules	[-1.0]	-1.39
155	Clifford	You see a girl asking for allowance even though her brother did her chores for her.	orig	Girl is unaware of brother's help	2.0	She may not know chores were done	[2.0]	-2.7
156	Clifford	You see a soccer player pretending to be seriously fouled by an opposing player.	orig	Player attempting to deceive referee for advantage	-3.0	Player exaggerates foul to gain free kick or penalty	[-3.0]	-2.5
157	Kruepke	When I was eleven or twelve, I called someone a racial name. The person I'd called the name was a sort of a friend of my sister's. It got back to her and she was humiliated.	orig	Lack of understanding about racial sensitivity	-3.0	The child may not grasp the impact of racial slurs	[-3.0]	-2.54
158	Effron	Swore at a cashier who made an error on his bill	orig	Customer under extreme stress or frustration	-3.0	Stress or frustration may cause poor impulse control	[-3.0]	-2.34666672
159	Effron	Spat off the balcony at the theater	orig	Self-defense against an attacker on the balcony	3.0	Defending oneself against immediate harm is generally accepted	[3.0]	-2.3
160	Clifford	You see someone at the school gym lifting free weights in nice business clothes.	orig	Unexpected gym time due to work emergencies	2	Person had no time to change clothes	[2]	-0.2
161	Clifford	You see a man secretly voting against his wife in a local beauty pageant.	orig	Man believes his wife won't be affected	-1.0	He may think it won't impact her feelings	[-1.0]	-1.9
162	Effron	Invited an unpopular coworker to go to lunch with him	orig	Coworker is often excluded and lonely	4	Promotes inclusivity and empathy in the workplace	[4]	1.825
163	Kruepke	For the past two Christmases we had our family celebration at my sister’s house. I’m not really partial to her husband and their kids are spoiled rotten, which makes for an unpleasant Christmas. So for the last two Christmases in a row, I didn’t go visit that part of my family.	orig	Strained family relationships during holidays	2	Person avoiding uncomfortable family dynamics	[2]	-0.71
164	Clifford	You see a homosexual in a gay bar offering sex to anyone who buys him a drink.	orig	Consenting adults in a safe environment	3.0	Both parties are adults and consenting	[3.0]	-2.6
165	Clifford	You see a professor giving a bad grade to a student just because he dislikes him.	orig	Professor's personal bias against the student	-4.0	Professor is not objectively evaluating student's work	[-4.0]	-3.7
166	Mickelberg	Person X could have saved the life of a man stabbed in a dark alley but couldn't be bothered calling an ambulance.	orig	Person X was too afraid to intervene	-2.0	Fear for personal safety can deter action	[-2.0]	-3.2
167	Clifford	You see a woman pressuring her daughter to become a famous evening news anchor.	orig	Mother's unfulfilled career aspirations	-2.0	Mother living vicariously through daughter's career	[-2.0]	-1.5
168	Lotto	You are at sea aboard a rubber dinghy with a friend and another two people whom you do not know. In the distance, you can see a boat in difficulty which has caught fire. The six people on board have jumped into the water and are drowning. To save them you must head towards them at high speed, but the dinghy is too heavy.To lighten the load, you push overboard the two people you do not know. You know that they cannot swim and will drown, but the six other people in the water will be saved.	orig	Life-threatening emergency at sea	-3.0	Desperate attempt to save lives	[-3.0]	-1.55
169	Kruepke	Just a few weeks ago I got a call from my friend's niece. She was living in my town and having some financial difficulties. I told her that she could come live with me for one week just until she got her act together.	orig	Friend's niece facing temporary financial hardship	4	Helping a friend's relative in need	[4]	2.42
170	Mickelberg	Person X arrived at the airport only to discover they had left their passport at home.	orig	Person X was in a rush or distracted	0	Leaving a passport at home is usually unintentional	[0]	0.06
171	Mickelberg	Person X regularly cheats on their girlfriend when she is traveling for work.	orig	Person X struggles with commitment and self-control	-4.0	This behavior is driven by personal issues, not circumstances	[-4.0]	-3.09
172	Lotto	You have just finished doing your shopping in a big and very crowded shopping centre and you are late for an appointment on the other side of town. In your hurry to leave the car park, you misjudge a manoeuvre and your car scrapes the car next to you causing a very visible scratch on the door. It is lunch time and there are no people in the car park.After having checked that nobody has seen what happened, you continue the manoeuvre and leave the car park. You know that the damage will cost the owner a lot of money, but no one can say that you caused it.	orig	Pressure of being late for an appointment	-3.0	Individual prioritizes time over responsibility due to stress	[-3.0]	-0.98
173	Mickelberg	Person X put money in the expired parking meter of a stranger.	orig	Person X wants to prevent a stranger from getting a parking ticket	4	Person X is showing kindness and consideration towards a stranger	[4]	2.52
174	Lotto	You and another five actors are taking part in rehearsals for a stage show. The lighting technician is adjusting the spotlights and is on the catwalks several meters above. Suddenly, a criminal armed with a gun comes into the theatre and threatens to kill you and the other actors. He is standing right under the catwalk.You activate the opening of a trapdoor in the catwalks in which there is heavy scenery and other material which will fall on top of the criminal. You know that the technician will also fall, and will die, but you and the other five will be unhurt.	orig	Self-defense in a life-threatening situation	2.0	The actor is trying to save lives	[2.0]	-0.75
175	Mickelberg	Person X solved a crossword puzzle in the newspaper.	orig	Person X solved the puzzle for leisure	4	Solving puzzles is a common, harmless pastime	[4]	0.11
176	Effron	Put a roach down another person's shirt	orig	Prank between close friends with consent	2.0	Mutual agreement and understanding of boundaries	[2.0]	-3.04
177	Lotto	You are the fourth in a team of five mountaineers involved in a climb. The head of the team has just secured himself to the rock face when the second in the team starts to slide, pulling you, and the others, with him. You all fall for tens of metres and stop suspended above a crevasse. Your weight is too much and the rope is not going to resist for long.To lighten the load, you cut the rope which links you to the last climber. You know that he will fall into the crevasse and die, but you and the other two climbers will survive.	orig	Life-threatening situation with no alternative	-1.0	Self-preservation instinct in a dire situation	[-1.0]	-1.25
178	Cook	Someone participates in a non-violent white nationalist rally	orig	Expressing controversial political beliefs peacefully	-2.0	Participant exercises freedom of speech non-violently	[-2.0]	-1.86
179	Cook	Someone refuses to stand for the pledge of allegiance at a public event	orig	Exercising freedom of speech and expression	3	Individual chooses not to participate due to personal beliefs	[3]	-1.13
180	Kruepke	A woman at work would always bring in pictures of her dogs. One day she had to make the decision to put her dogs to sleep. So I cried with her and comforted her.	orig	Euthanizing a pet due to old age or illness	4	Comforting a grieving coworker is morally commendable	[4]	2.49
181	Clifford	You see a man forbidding his wife to wear clothing that he has not first approved.	orig	Cultural or religious beliefs dictating modesty	2.0	Some cultures or religions require modest attire	[2.0]	-3.1
182	Lotto	You are a soldier in the Gulf War. An armed group has taken four civilians hostage and threatens to kill them. You have been able to discover where the hostages are being held and you must act quickly before they are killed. You have discovered that a tanker transporting oil is about to pass in front of where the hostages are being held.You shoot at the tanker so that it explodes, causing the kidnappers to leave their hideout. You know that the explosion will kill the driver, but it will make it possible to enter into action and save the four civilians.	orig	Hostage situation with imminent threat to civilians	3	Soldier must make a difficult decision to save lives	[3]	-0.52
183	Effron	Helped an older man carry his luggage to his car	orig	Helping a stranger in need	4	Display of kindness and empathy	[4]	2.4
184	Kruepke	A friend of mine decided to move to the city where I lived. My friend didn't know anyone in the city. So I went to pick her up at the airport and drove her around the city throughout the next week so she could become familiar with the city.	orig	Friend moving to a new city	4	Helping a friend in a new city	[4]	2.64
185	Effron	Drove through a puddle, splashing some pedestrians	orig	Unintentional splash during rainy weather	0.0	Accidental action, no intent to harm	[0.0]	-1.52941176
186	Clifford	You see a teenager urinating in the wave pool at a crowded amusement park.	orig	Teenager unable to find a restroom in time	-3.0	Urgent need, no nearby facilities, lack of awareness	[-3.0]	-3.4
187	Effron	Offered to help a neighbor fix a fence	orig	Neighbor's fence is damaged due to natural causes	4	Offering help is a kind and neighborly act	[4]	2.53333336
188	Mickelberg	Person X burned their country's flag because they don't like their country.	orig	Protesting against unjust government actions	-1.0	Expressing dissent through flag burning	[-1.0]	-1.37
189	Lotto	You are a lawyer who is working on an important legal case. The presiding judge in the case is someone whom you know from your university days. At the time, you were on friendly terms, but now, after many years, it seems that he hardly remembers you. You know that he has just finished a hearing and is about to leave the court.You organize it so that you meet the judge outside the court and invite him to lunch. You know that becoming friends again will be useful to you in the important case you are working on.	orig	Attempting to influence judge through personal relationship	-3.0	Using friendship for professional gain is unethical	[-3.0]	0.12
190	Clifford	You see a man walking down a dark hallway while still wearing his sunglasses.	orig	The man is visually impaired or sensitive to light	4.0	He's wearing sunglasses for medical reasons, not rudeness	[4.0]	-0.2
191	Mickelberg	Person X went to a friend's house to play a card game.	orig	Friendly gathering for social interaction and fun	4	No harmful intentions, promoting social bonding	[4]	0.44
192	Mickelberg	Person X turned their home into a shelter for flood victims, making meals and providing clothing to those who needed it.	orig	Natural disaster causing widespread flooding	4	Person X is helping those in need	[4]	3.63
193	Kruepke	When I was a first grade teacher in a Spanish-speaking school, I wanted to get to know all of my children’s parents. So I made a point to make myself available at any time of day. Many of them were illiterate, so I wouldn’t just send letters home, but I would call them as well.	orig	Parents with limited literacy skills	4	Teacher adapts communication methods to accommodate parents	[4]	2.56
194	Grizzard	Breaks the hand of a wounded combatant to gain information.	orig	Life-threatening situation requiring urgent information	-2.0	Urgency to save lives may justify extreme measures	[-2.0]	-1.546666667
195	Kruepke	When I first went to dance school in New York I lied about my age. There is a lot of pressure to be young in the dance industry. I was twenty and told people I was only sixteen.	orig	Pressure to conform to age expectations	-2.0	Individual feels compelled to lie due to ageism	[-2.0]	-1.39
196	Mickelberg	Person X drove their car the wrong way down a one-way street.	orig	Person X was unfamiliar with the area	-1.0	Lack of knowledge about one-way streets	[-1.0]	-1.07
197	Lotto	You are the bodyguard for an important politician. At the end of a rally, as you are getting into the car together with three other people, the secret services inform you that there is a terrorist heading towards you at high speed in a car filled with dynamite. With the binoculars you see a car at a distance of several hundred metres.You shoot at the car coming towards you by aiming at the petrol tank. The explosion will hit a traffic policeman, who, unaware of the danger, is patrolling the area. You know that he will die, but you and the other four will be unhurt.	orig	Imminent threat to high-profile individuals	2	Self-defense and protection of others	[2]	-0.67
198	Clifford	You see a college president singing a rival school's fight song during a pep rally.	orig	President participating in a friendly rivalry prank	3	President showing good sportsmanship and humor	[3]	-1.7
199	Clifford	You see a man eating a bowl of cereal in the morning with water instead of milk.	orig	Man is lactose intolerant or vegan	4	He's avoiding milk for health or ethical reasons	[4]	-0.1
200	Clifford	You see a woman snatching away her dog's food for making a mess in the living room.	orig	Woman is teaching dog discipline and cleanliness	2	She's correcting the dog's behavior to maintain order	[2]	-2.2
201	Clifford	You see a teenage girl openly staring at a disfigured woman as she walks past.	orig	Teenager's lack of exposure to disfigurement	0.0	Teenager is curious due to lack of exposure	[0.0]	-2.0
202	Mickelberg	Person X cared for and housed their five nieces and nephews for a year because PersonX's sister was very unwell.	orig	Family support during medical crisis	4	Person X is helping family in need	[4]	3.36
203	Effron	Made breakfast for his wife on her birthday	orig	Husband expressing love and care on wife's birthday	4	A loving gesture to celebrate a special day	[4]	2.7636364
204	Clifford	You see a former Secretary of State publicly giving up his citizenship to the US.	orig	Seeking political asylum in another country	2.0	To avoid political persecution or legal issues	[2.0]	-2.1
205	Lotto	You are a worker in an atomic energy plant. Following an explosion, there has been a leakage of radioactivity in your work area, where there are another three people. The doors are blocked because the security system has activated, but the decontamination and communications systems have broken down. If you remain exposed to the radiation you will die in a short time.You activate the ventilation system to divert the radioactivity towards another work division. You know that there is a worker in the area who will die from the radiation, but you and the other three workers will be saved.	orig	Life-threatening emergency with no alternative solution	-2.0	The worker is forced to choose between certain death or sacrificing another to save themselves and others	[-2.0]	-1.55
206	Effron	Told a joke about a nun on a train	orig	Joke told in a casual social setting	2	Joke is not intended to harm or offend	[2]	-0.575
207	Mickelberg	Person X walks to work through the park each day, as they enjoy listening to the birds.	orig	Person X lives close to work and park	3	Walking to work through the park is eco-friendly	[3]	0.81
208	Effron	Ignored a neighbor's request to borrow some tools	orig	Neighbor has a history of not returning borrowed items	2	Protecting personal property from potential loss or damage	[2]	-0.89523808
209	Lotto	You are returning from a mountain hut by chairlift with three other people, when a storm breaks out. Lightning hits the cable. The chairlift stalls and you are stuck swinging in the air at a height of tens of metres. The mechanism which fixes your chair to the cable has been seriously damaged and is starting to disintegrate.You push the person next to you off the chair to lighten the load. You know that this person will fall to their death, but you and the other two will be able to resist until help arrives.	orig	Survival instinct in a life-threatening situation	-2.0	Desperate attempt to save lives in an emergency	[-2.0]	-1.78
210	Kruepke	Before I was in the actor's union, I used to lie and say I was in the union anyway. When you are working as an actor doing background work, it really changes how they treat you if you are a union member. So I would pretend I was in the union.	orig	Competitive acting industry with union benefits	-2.0	Actor lies to access union benefits	[-2.0]	-1.18
211	Effron	Helped a neighbor move his piano	orig	Neighbor asked for help, no compensation expected	4	Act of kindness, neighborly goodwill, no harm done	[4]	1.9636364
212	Effron	Tripped someone in the hall	orig	Accidentally tripped while trying to help	2.0	Unintentional action during an attempt to assist	[2.0]	-2.776
213	Mickelberg	Person X jumped off a boat to save a drowning friend even though this put PersonX's own life at risk.	orig	Person X is a strong swimmer and lifeguard	4	Person X has the skills to save others	[4]	3.55
214	Lotto	For some time your knee has been hurting when you walk. You therefore decided to make an appointment with an orthopaedic consultant, which has been fixed for a month’s time. Several days ago, you told a friend about your problem and he was able to organize an appointment for you much sooner than the one you fixed.You go to the appointment which your friend organized, without bothering to cancel the one you booked. You know that many patients’ problems are serious.	orig	Unaware of the need to cancel appointments	-1.0	The person may not know the impact of not canceling	[-1.0]	-0.32
215	Kruepke	I remember getting married when I was 17 years old. I got married just so I could get away from my mother. I certainly felt relieved to separate myself from her.	orig	Escaping a toxic or abusive home environment	2	Individual sought independence due to difficult family situation	[2]	-1.15
216	Mickelberg	Person X put on a suit and wore their lucky socks in preparation for a job interview.	orig	Person X is seeking employment opportunity	4	Preparing for a job interview is a responsible action	[4]	0.47
217	Clifford	You see a boy setting a series of traps to kill stray cats in his neighborhood.	orig	Lack of education about animal welfare	-3.0	The boy may not understand the harm	[-3.0]	-3.6
218	Mickelberg	Person X ordered their favorite dish from a Chinese restaurant.	orig	Person X is a regular customer supporting a local business	3	Supporting local businesses is generally seen as morally positive	[3]	0.22
219	Effron	Volunteered his time as a big brother to a fatherless child	orig	Absence of a father figure in the child's life	4	Volunteer fills a crucial void in child's development	[4]	3.31851848
220	Effron	Worked on a campaign to release prisoners of war	orig	During an armed conflict or war	4	Releasing prisoners of war is a humanitarian act	[4]	3.0588236
221	Clifford	You see a girl ignoring her father's orders by taking the car after her curfew.	orig	Emergency situation requiring immediate action	3.0	Girl needs to help someone in danger	[3.0]	-2.5
222	Effron	Sells drugs to high school sudents	orig	Seller is a victim of drug abuse	-3.0	Seller may not understand consequences due to addiction	[-3.0]	-3.432
223	Kruepke	When my first husband and I split up, I was seventeen years old with a six-month-old baby and working in a grocery store. Sometimes I would just take things I needed. I remember taking cans of tuna, milk and loaves of bread.	orig	Extreme financial hardship and young single parenthood	-1.0	Desperation to provide for her child	[-1.0]	-0.87
224	Mickelberg	Person X was unable to fix the dripping faucet so they had to call the plumber.	orig	Person X lacks plumbing skills or knowledge	4	It's common for people to lack expertise in certain areas	[4]	0.38
225	Kruepke	My friends and I were going to the movies and I was taking this guy with me in my car. He was being a jerk about my driving so I decided to go really fast and drive recklessly. It got to the point where he told me to stop the car so he could get out.	orig	Friends engaging in reckless driving prank	-4.0	Reckless driving is dangerous and irresponsible	[-4.0]	-1.52
226	Clifford	You see a mother forcing her daughter to enroll as a pre-med student in college.	orig	Mother's unfulfilled dream of becoming a doctor	-2.0	Mother's vicarious ambition pressures daughter's choices	[-2.0]	-2.3
227	Effron	Smiled and greeted people while walking down the street	orig	Everyday social interaction in a friendly neighborhood	4	Greeting and smiling at people is a common sign of respect and friendliness	[4]	1.90769232
228	Effron	Was arrested on suspicion of child beating	orig	Misunderstanding or false accusation	4	Innocent person wrongly accused	[4]	-2.92
229	Clifford	You see a woman using a fork to eat a bowl of vanilla ice cream and marshmallows.	orig	Personal preference or playful experimentation	4	There's no harm in using a fork	[4]	-0.1
230	Lotto	You are on board a ship which is sinking. You are heading for the deck where the lifeboats are together with seven other people. You and another person have just crossed through a watertight door when it starts to close quickly. The other six people are behind the door, too far away to be able to pass through it in time.You knock the person next to you unconscious and use his body to block the door open. You know that this person will be crushed to death, but the other six will have time to save themselves.	orig	Imminent threat to multiple lives	2.0	Sacrificing one to save many in life-threatening situations	[2.0]	-1.43
231	Effron	Gave his seat to someone on the crowded bus	orig	Person giving seat is physically able	4	Giving up seat shows kindness and respect	[4]	2.64242424
232	Effron	Told the owner of a store that she gave him too much change	orig	Customer accidentally given too much change	4	Customer returns excess change out of honesty	[4]	2.75789472
233	Kruepke	I used to work for the federal government. I used a calculator from work at home for some audits. When I left government services, I kept the calculator.	orig	Unintentional possession after leaving employment	-1.0	Employee forgot to return the calculator	[-1.0]	-0.84
234	Clifford	You see a judge taking on a criminal case although he is friends with the defendant.	orig	Judge discloses friendship, no conflict of interest	3	Judge maintains impartiality, no bias towards defendant	[3]	-3.1
235	Effron	Translated menu items for a foreigner in a restaurant	orig	Foreigner trying to order food in a foreign country	4	Translated menus aid communication and understanding	[4]	2.24516128
236	Mickelberg	Person X bribed a landlord to be the first to get their apartment repainted.	orig	Person X urgently needs repainting for health reasons	1.0	Bribe is due to health necessity, not personal gain	[1.0]	-1.51
237	Lotto	You are in charge of the division of a factory where wood panels are made. Because of a malfunction in one of the main machines, three workers have been caught up in a roller which is pulling them quickly into a very large press. The emergency system which blocks the machine has not activated and time is running out.You push the worker next to you into the cogs of the machine which operates the press to block the system. You know that this worker will die crushed, but the other three workers will be unhurt.	orig	Emergency situation with life-threatening consequences	2.0	Sacrificing one life to save many others	[2.0]	-1.63
238	Lotto	You have taken your DVD player to be repaired at the shopping centre where you bought it. The technician told you it would cost €100 to repair. Some days later, passing by an electronics shop, you see a new and slightly better DVD reader in the window on sale for €120.You think for a bit and decide to buy the new DVD player, knowing well that the other one has already been repaired. You did not leave any contact details, and you will not go there again.	orig	Customer prioritizes upgrade over repair cost	2	Customer made a personal decision to upgrade	[2]	-0.29
239	Effron	Allowed an evicted friend to stay with him temporarily	orig	Friend is evicted due to financial hardship	3	Helping a friend in need is generally seen as morally good	[3]	2.125
240	Kruepke	One summer I had a job on the beach picking up trash. I found a wallet on the beach and it had $60 in it. So I picked it up and turned it in to my supervisor.	orig	Person lost their wallet on the beach	4	Returning lost property shows honesty and integrity	[4]	2.89
241	Clifford	You see a man turn his back and walk away while his boss questions his work.	orig	Employee feels unfairly criticized or disrespected	1.0	Employee chooses to disengage rather than escalate	[1.0]	-2.1
242	Kruepke	I was on vacation and rented a car. I paid for the parking fee and the guy gave me the wrong change back. I knew he gave me too much but I kept it anyway.	orig	Unintentional mistake by parking attendant	-2.0	The attendant made an error in change	[-2.0]	-1.74
243	Mickelberg	Person X closed the elevator door before an elderly neighbor could get in.	orig	Person X was in a rush and didn't notice	-1.0	Unintentional act due to haste or distraction	[-1.0]	-2.08
244	Kruepke	I lent my friend a large amount of money to get his car out of impound. He said he would pay me back, but then his wife showed up after several years. She took him for all his money, even the money he set aside for me, and he was embarrassed to tell me.	orig	Financial mismanagement and unexpected life events	-2.0	Friend faced financial difficulties due to poor planning and unforeseen circumstances	[-2.0]	-0.86
245	Mickelberg	Person X told a coworker that PersonX's brother was HIV-positive, a secret that their brother had told them in confidence.	orig	Person X lacks understanding of confidentiality	-3.0	Person X may not grasp the importance of keeping a secret	[-3.0]	-2.78
246	Kruepke	I took my sister's ring that was given to her by our father's aunt. I had never met our fatherÍs aunt but my sister spent some time with her. I took the ring because I didn't think that my sister deserved it.	orig	Sibling rivalry and perceived unfairness	-3.0	The sister may feel jealous or resentful	[-3.0]	-2.72
247	Mickelberg	Person X failed their driver's license test for the fourth time.	orig	Person X has test anxiety or learning difficulty	4	This is a common issue affecting performance	[4]	-0.07
248	Effron	Stole Halloween candy	orig	Child steals candy due to peer pressure	-2.0	Peer pressure can lead to poor decisions	[-2.0]	-1.88571432
249	Mickelberg	Person X took their nephew to the fair and bought some cotton candy.	orig	Person X is a responsible adult	4	Taking a child to a fair is a common, positive activity	[4]	1.59
