scenario_id	participant_id	dataset	scenario	circumstance_type	circumstance	Harm/ Help	Cheating/ Fairness	Betrayal/ Loyalty	Subversion/ Authority	Degradation/ Sanctity	Oppression/ Liberty	moral_score	Harm/ Help_expl	Cheating/ Fairness_expl	Betrayal/ Loyalty_expl	Subversion/ Authority_expl	Degradation/ Sanctity_expl	Oppression/ Liberty_expl	moral_expl	human_score
5	0	Lotto	You are the safety officer in charge of a fun park. One of the metal arms of the ferris wheel suddenly breaks because of a structural defect. Four people are stranded in a cabin 80 metres up in the air. Another person is in a cabin just a few metres from ground level and is able to get off alone. The whole structure is falling down.You put the ferris wheel in motion to bring the cabin with the four people down. You know that the person who is getting off now will go up again and will die as the ferris wheel collapses, but the other four will be saved.	orig		3	2	1	0	4	1	6	As a 29-year-old male who speaks Spanish at home, the person's cultural background emphasizes the importance of helping others, which outweighs the harm caused to the person who will die.	As a US-born male who speaks English at home, the person's upbringing emphasizes the importance of fairness and honesty, which is reflected in their decision to prioritize saving the four people over the one who will die.	As a person with a mixed Hispanic and Caucasian background, the person's sense of loyalty is influenced by their cultural heritage, which emphasizes the importance of family and community over individual interests.	As a Buddhist, the person's religious beliefs emphasize the importance of compassion and non-violence, which may lead them to question the authority's decision to prioritize saving the four people over the one who will die.	As a person who identifies as Latino or Latina and White or Caucasian, the person's sense of self-worth is influenced by their cultural background, which emphasizes the importance of dignity and respect for human life.	As a person who lives in a city with a population size between 10,000 to 24,999, the person's sense of freedom and autonomy is influenced by their local environment, which may lead them to prioritize individual freedom over the authority's decision.	The person's decision to prioritize saving the four people over the one who will die is motivated by a sense of compassion and fairness, which is reflected in their moral acceptability score.	4.0
5	1	Lotto	You are the safety officer in charge of a fun park. One of the metal arms of the ferris wheel suddenly breaks because of a structural defect. Four people are stranded in a cabin 80 metres up in the air. Another person is in a cabin just a few metres from ground level and is able to get off alone. The whole structure is falling down.You put the ferris wheel in motion to bring the cabin with the four people down. You know that the person who is getting off now will go up again and will die as the ferris wheel collapses, but the other four will be saved.	orig		4	2	3	1	4	3	6	As a male born in the US, English-speaking, and living in a city, the person is likely to prioritize helping others, especially in a life-threatening situation.	Given the person's cultural background and upbringing, they are likely to value fairness and honesty, which would lead them to consider the moral implications of their decision.	As a male with a strong sense of loyalty, the person may feel a sense of responsibility to save the four people, even if it means sacrificing one person.	Given the person's age and cultural background, they may be more likely to question authority and consider alternative solutions, rather than blindly following orders.	As a male with a strong sense of morality, the person may be more concerned with preserving human life and dignity, rather than sacrificing one person for the greater good.	Given the person's cultural background and upbringing, they are likely to value individual freedom and autonomy, which would lead them to consider the moral implications of their decision.	The person is torn between saving four people and sacrificing one, but ultimately prioritizes saving the four people, considering it a more moral decision.	4.0
5	2	Lotto	You are the safety officer in charge of a fun park. One of the metal arms of the ferris wheel suddenly breaks because of a structural defect. Four people are stranded in a cabin 80 metres up in the air. Another person is in a cabin just a few metres from ground level and is able to get off alone. The whole structure is falling down.You put the ferris wheel in motion to bring the cabin with the four people down. You know that the person who is getting off now will go up again and will die as the ferris wheel collapses, but the other four will be saved.	orig		4	-4	2	3	2	-4	1	As a female, 30-year-old, Spanish-speaking person who lives in a city with a population between 50,000 to 99,999, and who identifies as agnostic, this person prioritizes helping others over causing harm.	Given this person's liberal political leanings (D11), they are likely to prioritize fairness over cheating, and would not consider sacrificing one person to save four others as fair.	As a person who identifies as agnostic, this person may not have strong religious or moral beliefs that would lead them to prioritize loyalty over betrayal, but their liberal leanings (D11) suggest they would prioritize saving lives over betraying someone.	Given this person's liberal leanings (D11), they may be more likely to question authority and prioritize saving lives over following orders, especially if those orders would result in harm.	As a person who identifies as agnostic, this person may not have strong religious beliefs that would lead them to prioritize sanctity over degradation, but their liberal leanings (D11) suggest they would prioritize human life and dignity over degrading someone.	Given this person's liberal leanings (D11), they would likely prioritize liberty and the freedom to make choices over oppression, and would not consider sacrificing one person to save four others as a just or fair decision.	This scenario presents a difficult moral dilemma, but given this person's liberal leanings and prioritization of helping others, they would likely find it highly immoral to sacrifice one person to save four others.	4.0
5	3	Lotto	You are the safety officer in charge of a fun park. One of the metal arms of the ferris wheel suddenly breaks because of a structural defect. Four people are stranded in a cabin 80 metres up in the air. Another person is in a cabin just a few metres from ground level and is able to get off alone. The whole structure is falling down.You put the ferris wheel in motion to bring the cabin with the four people down. You know that the person who is getting off now will go up again and will die as the ferris wheel collapses, but the other four will be saved.	orig		2	1	1	0	4	3	6	As a Latino male, the person may prioritize family and community over individual harm, but also recognize the need to help others in distress.	The person may see the situation as a moral dilemma, where fairness is compromised to save lives, but also recognize the need to prioritize the greater good.	As a Latino male, the person may prioritize loyalty to family and community, but also recognize the need to make difficult decisions to save lives.	The person may see the situation as a challenge to authority, but also recognize the need to prioritize safety and human life.	The person may see the situation as a moral test, where the sanctity of human life is at stake, and prioritize saving lives over individual harm.	The person may see the situation as a test of personal freedom and autonomy, and prioritize saving lives over individual harm.	The person recognizes the moral complexity of the situation, where difficult choices must be made to save lives, and prioritizes the greater good over individual harm.	4.0
5	4	Lotto	You are the safety officer in charge of a fun park. One of the metal arms of the ferris wheel suddenly breaks because of a structural defect. Four people are stranded in a cabin 80 metres up in the air. Another person is in a cabin just a few metres from ground level and is able to get off alone. The whole structure is falling down.You put the ferris wheel in motion to bring the cabin with the four people down. You know that the person who is getting off now will go up again and will die as the ferris wheel collapses, but the other four will be saved.	orig		5	0	2	2	5	5	6	As an atheist, the person prioritizes human life and well-being, and would likely choose to save the four people over the one who can get off safely.	The person's liberal views (D11) and lack of religious beliefs (D7) suggest they would prioritize fairness and equality, and would not consider cheating by saving one person over the others.	The person's decision to save the four people over the one who can get off safely may be seen as a betrayal of the person who is about to die, but the person's liberal views and lack of religious beliefs suggest they would prioritize human life over loyalty.	The person's decision to save the four people over the one who can get off safely may be seen as a subversion of authority, as they are going against the expected course of action, but the person's liberal views and lack of religious beliefs suggest they would prioritize human life over authority.	The person's decision to save the four people over the one who can get off safely does not involve degradation or disrespect for human life, and instead prioritizes human well-being and safety.	The person's decision to save the four people over the one who can get off safely does not involve oppression or restriction of individual freedom, and instead prioritizes human life and well-being.	The person's decision to save the four people over the one who can get off safely is a difficult and complex moral dilemma, but ultimately prioritizes human life and well-being.	4.0
5	5	Lotto	You are the safety officer in charge of a fun park. One of the metal arms of the ferris wheel suddenly breaks because of a structural defect. Four people are stranded in a cabin 80 metres up in the air. Another person is in a cabin just a few metres from ground level and is able to get off alone. The whole structure is falling down.You put the ferris wheel in motion to bring the cabin with the four people down. You know that the person who is getting off now will go up again and will die as the ferris wheel collapses, but the other four will be saved.	orig		5	-5	-3	-2	5	2	6	As a Jewish person, I am taught to help others in need, and saving four lives is a moral imperative.	As an American-born person, I value fairness and honesty, and deliberately causing one person to die to save others goes against these values.	As a person of Puerto Rican descent, I am taught to prioritize family and community, and sacrificing one person to save others goes against this value.	As a city-dweller, I am accustomed to following rules and authority, and deliberately disobeying safety protocols to save lives is a difficult decision.	As a Jewish person, I believe in the sanctity of human life, and saving four lives is a moral imperative.	As a person of mixed race, I value individual freedom and autonomy, and the decision to sacrifice one person to save others is a difficult but necessary choice.	While the decision is difficult and goes against some of my values, saving four lives is a moral imperative that outweighs the harm caused to one person.	5.0
5	6	Lotto	You are the safety officer in charge of a fun park. One of the metal arms of the ferris wheel suddenly breaks because of a structural defect. Four people are stranded in a cabin 80 metres up in the air. Another person is in a cabin just a few metres from ground level and is able to get off alone. The whole structure is falling down.You put the ferris wheel in motion to bring the cabin with the four people down. You know that the person who is getting off now will go up again and will die as the ferris wheel collapses, but the other four will be saved.	orig		3	4	2	1	4	3	6	As a Catholic, the person is likely influenced by the value of helping others, even if it means sacrificing one life.	The person's English-speaking background and urban upbringing may lead them to value fairness and honesty, making them less likely to cheat.	As a Mexican-American, the person may prioritize loyalty to their community and family, which could lead them to prioritize saving the four people over the one.	As a Catholic, the person may be more likely to respect authority and follow the rules, even if it means making a difficult decision.	The person's Catholic upbringing may lead them to value human life and dignity, making them less likely to prioritize the degradation of one life over the others.	As a resident of a large city, the person may be more likely to value individual freedom and autonomy, making them less likely to support oppressive actions.	The person's moral decision is influenced by their Catholic values, loyalty to their community, and respect for authority. While it's a difficult decision, they prioritize saving the four people over the one.	2.0
5	7	Lotto	You are the safety officer in charge of a fun park. One of the metal arms of the ferris wheel suddenly breaks because of a structural defect. Four people are stranded in a cabin 80 metres up in the air. Another person is in a cabin just a few metres from ground level and is able to get off alone. The whole structure is falling down.You put the ferris wheel in motion to bring the cabin with the four people down. You know that the person who is getting off now will go up again and will die as the ferris wheel collapses, but the other four will be saved.	orig		4	1	2	1	2	3	6	The person prioritizes saving lives over individual sacrifice, reflecting their liberal values and emphasis on human life.	The person's decision to save four people by sacrificing one is seen as a necessary evil, rather than a deliberate attempt to cheat or gain an unfair advantage.	The person's decision to save four people by sacrificing one is not seen as a betrayal, as it is a necessary action to prevent greater harm.	The person's decision to save four people by sacrificing one is not seen as a subversion of authority, as it is a necessary action to prevent harm and maintain order.	The person's decision to sacrifice one person to save four is not seen as degrading or violating the sanctity of human life, as it is a necessary action to prevent greater harm.	The person's decision to save four people by sacrificing one is not seen as oppressive, as it is a necessary action to prevent harm and maintain individual liberty.	The person's decision to save four people by sacrificing one is a difficult moral dilemma, but ultimately prioritizes the greater good and the preservation of human life.	2.0
5	8	Lotto	You are the safety officer in charge of a fun park. One of the metal arms of the ferris wheel suddenly breaks because of a structural defect. Four people are stranded in a cabin 80 metres up in the air. Another person is in a cabin just a few metres from ground level and is able to get off alone. The whole structure is falling down.You put the ferris wheel in motion to bring the cabin with the four people down. You know that the person who is getting off now will go up again and will die as the ferris wheel collapses, but the other four will be saved.	orig		4	3	2	1	4	3	6	As a Catholic, the person is likely influenced by the value of saving human life, which is a key principle in Catholicism.	The person's Catholic upbringing may emphasize the importance of fairness and justice, leading them to prioritize saving the four people over the one who can get off safely.	The person's mixed heritage and cultural background may influence their sense of loyalty, but in this scenario, they prioritize saving human life over loyalty to the person who can get off safely.	As a safety officer, the person is likely trained to follow protocols and prioritize safety, which may lead them to question the authority's decision to prioritize saving the four people.	The person's Catholic upbringing may emphasize the sanctity of human life, leading them to prioritize saving the four people over the one who can get off safely.	The person's Catholic values may emphasize the importance of protecting human life and promoting freedom, leading them to prioritize saving the four people over the one who can get off safely.	The person prioritizes saving human life over individual safety, which is a key principle in Catholicism. This decision is morally acceptable as it promotes the greater good.	4.0
5	9	Lotto	You are the safety officer in charge of a fun park. One of the metal arms of the ferris wheel suddenly breaks because of a structural defect. Four people are stranded in a cabin 80 metres up in the air. Another person is in a cabin just a few metres from ground level and is able to get off alone. The whole structure is falling down.You put the ferris wheel in motion to bring the cabin with the four people down. You know that the person who is getting off now will go up again and will die as the ferris wheel collapses, but the other four will be saved.	orig		4	2	1	0	4	3	6	As a Catholic, the person is likely influenced by the value of saving human life, which is a key principle in Catholicism.	As a person born and raised in the United States, the person may be influenced by the value of fairness and equality, which is a core American value.	As a person with a strong sense of loyalty to their family and community, the person may be torn between saving the four people and potentially sacrificing the one person who will die.	As a safety officer, the person is responsible for following safety protocols, but in this scenario, they are forced to make a difficult decision that may go against their training.	As a person with strong religious beliefs, the person may be influenced by the value of human dignity and the sanctity of life.	As a person who values individual freedom and autonomy, the person may be influenced by the desire to save the four people and give them a chance to live their lives freely.	The person is faced with a difficult moral dilemma, but ultimately decides to prioritize saving the four people, which is a morally justifiable decision.	4.0
