id	dataset	scenario	circumstance_type	circumstance	moral_score	moral_expl	human_score
1	Clifford	You see a woman spanking her child with a spatula for getting bad grades in school.	orig		-2.0	This action lacks prudence, justice, and temperance, but shows some fortitude in disciplining the child.	-2.6
2	Kruepke	I was supposed to go see my father before he died. He was ill and my mother was supposed to come into town so we could see him. She didn't come, so we never made it before he passed away.	orig		-3.0	The action reflects a lack of prudence in prioritizing family relationships and practical wisdom.	-1.45
3	Mickelberg	Person X stepped in when a friend at a pub was getting assaulted for being dark skinned.	orig		4.0	Stepping in to prevent assault aligns with justice, fortitude, and potentially temperance, reflecting moral courage and righteousness.	3.18
4	Effron	Gave a beggar a five-dollar bill at Christmas time	orig		3.0	This action reflects generosity and compassion towards the beggar, showing a balance of virtues.	1.93103448
5	Lotto	You are the safety officer in charge of a fun park. One of the metal arms of the ferris wheel suddenly breaks because of a structural defect. Four people are stranded in a cabin 80 metres up in the air. Another person is in a cabin just a few metres from ground level and is able to get off alone. The whole structure is falling down.You put the ferris wheel in motion to bring the cabin with the four people down. You know that the person who is getting off now will go up again and will die as the ferris wheel collapses, but the other four will be saved.	orig		3.0	The action reflects a balance of prudence, justice, fortitude, and temperance in a difficult situation.	-1.11
6	Kruepke	When I was a teenager, my sister and I used to sneak out the bedroom window to go out dancing. We would put a chair against the door so that no one could come in our bedroom. A couple of times we got caught.	orig		-2.0	The action lacks prudence, justice, and temperance, but shows some fortitude in facing consequences.	-0.32
7	Mickelberg	Person X ordered pizza while at their friend's farewell party.	orig		3.0	Ordering pizza at a farewell party shows consideration for guests' preferences and practicality.	0.61
8	Lotto	It is evening. A friend calls you saying that he has a terrible migraine headache. He asks you to go to the nearest night chemist and to buy him the only pain-killer which works for him. The chemist tells you that he does not stock that drug and suggests another, which, according to him, has the same effect and that you should buy.You buy the migraine drug that the chemist suggests. You make your friend take it without showing him the box. He will think he is taking the one he asked for.	orig		-3.0	This scenario lacks prudence, justice, and temperance as it involves deception and potentially harmful consequences.	1.3
9	Effron	Took a friend out for a beer to celebrate his promotion	orig		3.0	Celebrating a friend's success is a virtuous act of friendship and joy, reflecting prudence, justice, and fortitude.	1.48571424
10	Grizzard	Fires teargas into a crowd of civilians.	orig		-4.0	This action lacks prudence, justice, fortitude, and temperance, as it involves harming civilians with teargas.	-1.626666667
11	Effron	Complimented coworkers on their clothing and appearance	orig		3.0	Complimenting coworkers on their clothing and appearance shows kindness and positivity, reflecting virtues of prudence and justice.	1.17894736
12	Kruepke	I was in a relationship with my best friend's cousin. She was really beautiful, but as time went on I became less attracted to her. I tried to tell her I didn't really want to see her anymore and she flipped out.	orig		-3.0	Lack of prudence, justice, and fortitude in handling the situation with honesty and respect for the other person's feelings.	0.91
13	Lotto	You are on holiday at the seaside and returning to shore in your motorboat. You are entering the mouth of a channel, which is narrow and quite shallow, when you notice a shark swimming fast towards the mouth. At the end of the channel is a swimmer, who is calmly bathing. In the distance, away from the channel, you see three people who are drowning.You turn quickly out of the channel, leaving the mouth free. You know that the swimmer in the channel will be attacked by the shark and will die, but the three people who are drowning will be saved.	orig		3.0	The action reflects a difficult moral dilemma where saving three lives outweighs sacrificing one.	-0.46
14	Mickelberg	Person X broke off all communication with their family for a while because they had a heated argument with each other.	orig		-2.0	Person X's action lacks prudence, justice, and fortitude, but shows some temperance in seeking space to cool off.	-0.38
15	Mickelberg	Person X presented their colleague's idea as their own in order to get a promotion.	orig		-3.0	This action lacks justice and honesty, showing a deficiency in moral principles and fairness.	-2.86
16	Clifford	You see an employee joking with competitors about how bad his company did last year.	orig		-3.0	This action lacks prudence, justice, and fortitude, as it undermines the company's reputation and integrity.	-2.0
17	Cook	Someone posts on social media bragging about making out with multiple strangers the night before	orig		-3.0	This action lacks temperance, justice, and prudence, as it involves reckless behavior and disrespect towards others.	-1.22
18	Clifford	You see a girl shooting geese repeatedly with a pellet gun out in the woods.	orig		-3.0	Shooting geese for sport lacks prudence, justice, fortitude, and temperance, as it involves unnecessary harm to animals.	-3.0
19	Clifford	You see a family eating the carcass of their pet dog that had been run over.	orig		-4.0	Eating a pet dog is a violation of justice, lacking empathy and respect for life.	-3.2
20	Mickelberg	Person X stole the collection tin of a blind beggar on the street.	orig		-4.0	This action reflects extreme immorality by lacking justice, prudence, fortitude, and temperance.	-3.38
21	Effron	Refused to hold the door for a man in a wheelchair	orig		-3.0	This action reflects a lack of justice and compassion towards a person in need, showing a deficiency in moral virtue.	-3.008
22	Effron	Spent time voluntarily tutoring disadvantaged students	orig		4.0	This action reflects high levels of justice, fortitude, and temperance, balancing moral principles with practical wisdom.	3.2
23	Mickelberg	Person X saw a homeless person in the rain, so they gave the person their jacket and umbrella, plus $20 for a hot meal	orig		4.0	This scenario reflects high levels of prudence, justice, fortitude, and temperance in helping the homeless person.	3.47
24	Kruepke	For a while I was a security officer at a bank. One day I was walking by the front door when I saw a fifty-dollar bill. I was tempted to take the money but instead I reported it to the manager.	orig		4.0	Reflects prudence, justice, and fortitude by choosing honesty over temptation.	2.75
25	Effron	Heckled a woman speaking on human rights	orig		-3.0	Heckling a woman speaking on human rights shows a lack of respect and decency, reflecting immorality.	-2.25454544
26	Effron	Criticized an old woman for being too slow	orig		-3.0	This action lacks prudence, justice, fortitude, and temperance as it shows disrespect and lack of empathy towards the old woman.	-1.96129032
27	Mickelberg	Person X took public transport so their sister could use their car to get to work safely.	orig		3.0	This action reflects prudence in balancing the needs of family members and practical considerations.	2.58
28	Kruepke	I had a bad relationship with my father and had not talked to him for years. He had left my mother. When my mother died I gathered the strength to call him and tell him that she died and that I loved him.	orig		3.0	This action reflects courage and love, showing fortitude and justice in reaching out to mend a broken relationship.	2.33
29	Kruepke	My husband ran a business and I worked in his shop. Once a rather unsavory character came in and handed my husband something. So, I looked through my husband's wallet to see what the man gave him.	orig		-2.0	This action lacks prudence, justice, and temperance, but shows some fortitude in seeking the truth.	-1.14
30	Lotto	You are the head of a group of five travellers who are exploring the remote regions of South America. During the trip, you inadvertently camp in the sacred cemetery of a local tribe. The members of the tribe capture you and condemn you all to death. After some negotiation, they propose a possible alternative in the form of a human sacrifice that will pacify their god who has been offended.You accept the tribe’s proposal, and during the ceremony, you kill one of the travellers in the group. This person will die, but you and the other four travellers’ lives will be spared.	orig		-4.0	The action lacks prudence, justice, fortitude, and temperance, as it involves sacrificing an innocent life for personal gain.	-1.24
31	Effron	Rescued an injured kitten from a tree	orig		4.0	Rescuing an injured kitten shows compassion and courage, reflecting virtues of justice and fortitude.	2.7428572
32	Kruepke	About a year ago I started re-selling medications from a Canadian pharmacy. I helped a great deal of elderly people so that they didn't have to pay exorbitant amounts for their medications that they needed.	orig		-2.0	While the action may have helped elderly people, it involves illegal activity and potential harm to others.	0.57
33	Kruepke	I was at the pharmacy buying something and I noticed a man who was sitting outside selling trinkets. He was homeless and it was freezing out. So I went next door to a store and bought him some food and new clothes.	orig		4.0	This action reflects high levels of justice, fortitude, and temperance, balancing moral principles with practical wisdom.	2.62
34	Kruepke	My husband had a problem with always wanting new computer equipment, what I called "techno-lust". It was a really huge financial problem, and I told him he had to go on a 5-year plan to financially police himself or I would divorce him. He has greatly improved.	orig		3.0	This scenario reflects prudence in balancing financial responsibility with the well-being of the relationship.	0.38
35	Effron	Took the neighbor's newspaper	orig		-3.0	Taking the neighbor's newspaper shows a lack of justice and respect for others' property.	-1.73714296
36	Clifford	You see someone cheating in a card game while playing with a group of strangers.	orig		-3.0	Cheating in a card game goes against fairness and honesty, lacking justice and prudence.	-2.6
37	Mickelberg	Person X did really well at the quiz night.	orig		3.0	Person X demonstrating knowledge and skill in a quiz night reflects prudence and fortitude.	0.41
38	Effron	Sang at a prison in order to entertain the inmates	orig		3.0	Entertaining inmates can bring joy and hope, reflecting justice and fortitude.	1.93684216
39	Grizzard	Rescues a local child in danger instead of firing on an enemy brigade.	orig		4.0	Rescuing a local child in danger reflects high levels of prudence, justice, fortitude, and temperance.	2.893333333
40	Lotto	You are in a field playing frisbee with three young people you have just met. Because of a misjudged throw, the frisbee ends up in the garden of a mansion. You decide to climb the wall to look for it. Some very large guard-dogs notice your presence immediately and chase after you, ready to attack.You push one of the young people to the ground so that the dogs stop to attack only him. You know that he will die, but you, and the other two, will be able to escape.	orig		-3.0	This action reflects a lack of justice and fortitude, as sacrificing someone for personal gain is unjust and lacks courage.	-1.82
41	Mickelberg	Person X worked on a campaign to release wrongfully convicted prisoners.	orig		4.0	Person X's action reflects justice, fortitude, and temperance in seeking fairness and upholding moral convictions.	3.27
42	Effron	Gave his coat to someone when it was cold	orig		4.0	This action reflects generosity and kindness, balancing self-interest with concern for others.	3.04
43	Effron	Kicked a stray cat to get it to leave his yard	orig		-3.0	Kicking a defenseless animal shows lack of compassion and self-control, reflecting immorality.	-3.048
44	Effron	Tricked a stay at home mom into donating to a fake charity	orig		-3.0	This scenario reflects a lack of justice, prudence, and fortitude, as it involves deceiving and taking advantage of someone vulnerable.	-3.088
45	Mickelberg	Person X volunteers at a dog refuge, walking the dogs and cleaning their kennels once a week.	orig		2.0	This scenario reflects justice by showing compassion and care for animals, but lacks in other virtues.	2.67
46	Mickelberg	Person X buys a loaf of bread every day, as they love the smell of freshly baked bread in the morning.	orig		-2.0	The action reflects a lack of temperance and moderation in desires, potentially leading to excess consumption.	0.2
47	Mickelberg	Person X cleaned the bookshelf and picked up some items that had dropped onto the floor.	orig		3.0	This action reflects prudence by balancing cleanliness with practicality and organization.	1.0
48	Clifford	You see a teenage girl wearing a long trench coat on a hot summer afternoon.	orig		-2.0	The action may reflect a lack of prudence and possibly a lack of temperance.	-0.2
49	Clifford	You see a pastor banning his congregants from wearing bright colors in the church.	orig		-3.0	This action lacks prudence, justice, and temperance as it restricts personal expression without valid reason.	-2.6
50	Mickelberg	Person X always pays off their debts first before buying things for themselves.	orig		3.0	This scenario reflects prudence, justice, and temperance by prioritizing responsibility and self-control.	1.85
51	Kruepke	My mother would always bring home clothes for me that I hated and would never wear. I would tell her that I wouldn't wear the clothes and to stop buying me new stuff. She would get really mad at me.	orig		-2.0	The action reflects a lack of prudence in understanding the child's preferences and respecting their autonomy.	-0.44
52	Effron	Lent money to a friend in a financial crisis	orig		3.0	Lending money to a friend in need reflects justice and fortitude, balancing moral principles with practical wisdom.	2.4
53	Mickelberg	Person X saved a man who was about to be hit by a car by jumping in front of the car and pushing him out of the way.	orig		4.0	The action reflects high levels of fortitude and justice, with a balance of prudence and temperance.	3.38
54	Clifford	You see an employee at a morgue eating his pepperoni pizza off of a dead body.	orig		-4.0	This action lacks prudence, justice, fortitude, and temperance, making it extremely immoral.	-3.2
55	Clifford	You see an employee lying about how many hours she worked during the week.	orig		-3.0	Lying about hours worked shows lack of prudence, justice, fortitude, and temperance, impacting relationships and fairness.	-2.9
56	Effron	Pushed into the front of a line at a theater	orig		-3.0	This action reflects a lack of justice and consideration for others, as well as a lack of temperance in controlling impulses.	-1.91111104
