id	dataset	scenario	circumstance_type	circumstance	moral_score	moral_expl	human_score
1	Clifford	You see a woman spanking her child with a spatula for getting bad grades in school.	orig		-4	It lacks prudence, justice, fortitude, and temperance, exceeding the golden mean with excessive, unjust, harsh discipline.	-2.6
2	Kruepke	I was supposed to go see my father before he died. He was ill and my mother was supposed to come into town so we could see him. She didn't come, so we never made it before he passed away.	orig		2	Good intentions aligned with virtue, but external factors hindered fulfillment; overall, the action isn’t blameworthy.	-1.45
3	Mickelberg	Person X stepped in when a friend at a pub was getting assaulted for being dark skinned.	orig		4.0	Action reflects balanced prudence, strong justice, admirable fortitude, and controlled temperance in defending a vulnerable friend.	3.18
4	Effron	Gave a beggar a five-dollar bill at Christmas time	orig		3.0	Reflects balanced prudence, fairness, moderate fortitude, and temperance; a generous, morally sound act.	1.93103448
5	Lotto	You are the safety officer in charge of a fun park. One of the metal arms of the ferris wheel suddenly breaks because of a structural defect. Four people are stranded in a cabin 80 metres up in the air. Another person is in a cabin just a few metres from ground level and is able to get off alone. The whole structure is falling down.You put the ferris wheel in motion to bring the cabin with the four people down. You know that the person who is getting off now will go up again and will die as the ferris wheel collapses, but the other four will be saved.	orig		-2	Demonstrates practical wisdom and courage yet neglects fairness and self-restraint by instrumentally sacrificing a life.	-1.11
6	Kruepke	When I was a teenager, my sister and I used to sneak out the bedroom window to go out dancing. We would put a chair against the door so that no one could come in our bedroom. A couple of times we got caught.	orig		-1.0	Youthful thrill-seeking shows a lack of prudence and temperance, breaking trust, so it is mildly morally unacceptable.	-0.32
7	Mickelberg	Person X ordered pizza while at their friend's farewell party.	orig		0.0	Displays prudence and justice moderately, with temperance; absence of adversity tests fortitude. Overall, ethically neutral.	0.61
8	Lotto	It is evening. A friend calls you saying that he has a terrible migraine headache. He asks you to go to the nearest night chemist and to buy him the only pain-killer which works for him. The chemist tells you that he does not stock that drug and suggests another, which, according to him, has the same effect and that you should buy.You buy the migraine drug that the chemist suggests. You make your friend take it without showing him the box. He will think he is taking the one he asked for.	orig		-3.0	Deception undermines trust and justice, showing poor prudence and fortitude in upholding moral duties.	1.3
9	Effron	Took a friend out for a beer to celebrate his promotion	orig		4	The act shows balanced prudence, fairness, strength, and moderation in celebrating success within accepted social norms.	1.48571424
10	Grizzard	Fires teargas into a crowd of civilians.	orig		-4	Lacks prudence, justice, fortitude, and temperance, harming civilians disproportionately.	-1.626666667
