id	dataset	scenario	circumstance_type	circumstance	moral_score	moral_expl	all_moral_scores	human_score
147	Mickelberg	Person X successfully remembered their coworkers' overly complicated coffee orders without writing them down.	orig	Person X is a barista at a coffee shop.	4.0	Remembering orders is part of their job responsibilities.	[4.0]	0.79
148	Mickelberg	Person X tried to patch a puncture in the wheel of their bike but couldn't, so they purchased a new tube instead.	orig	Person X lacks the skills to patch the puncture	3.0	They chose a practical solution to continue using their bike	[3.0]	0.34
149	Kruepke	I was helping my friend move and she took advantage of my help. She made me clean most of her house and wanted to use my car to move all of her stuff. She didn't pay for the gas that I used or even thank me.	orig	Friend exploiting generosity without reciprocation	-3.0	Taking advantage of someone's help without gratitude or compensation	[-3.0]	-1.39
150	Effron	Provided food and clothing for flood victims	orig	Flood victims receiving aid from a charity organization	4.0	Providing essential aid to those in need is highly moral	[4.0]	3.22666664
151	Lotto	You are the pilot of a helicopter taking four people on a sight-seeing trip in the French Alps, at an altitude of about 2,000 metres. At a certain point, the helicopter loses altitude and no longer responds to the commands. You send out a mayday signal and try various manoeuvres, but the helicopter continues to fall and risks crashing into a rock face.To gain altitude, you push the person next to you out of the helicopter. You know that this person will plummet to the ground and will die, but you and the other three will be saved.	orig	Helicopter overloaded, risking all lives	-3.0	Sacrificing one to save three others	[-3.0]	-1.8
152	Mickelberg	Person X donates blood once a month even though they have a strong fear of needles.	orig	X donates to help those in need	4.0	Overcoming fear for altruism is commendable	[4.0]	2.78
153	Effron	Picked up a child so that she could see the parade	orig	Parent lifting child to see better	4.0	Enhances child's experience without harm	[4.0]	2.45161288
154	Kruepke	I went to the movies a couple of months ago, to see a film. When that film was done, instead of leaving the theater, I just went into another of the theaters within the complex. I watched another movie without paying.	orig	You couldn't afford another ticket.	-3.0	Theft of service from the theater.	[-3.0]	-1.39
155	Clifford	You see a girl asking for allowance even though her brother did her chores for her.	orig	She promised to pay her brother for doing her chores.	2.0	She is fulfilling a prior agreement.	[2.0]	-2.7
156	Clifford	You see a soccer player pretending to be seriously fouled by an opposing player.	orig	Player wants to gain a free kick or penalty	-3.0	Deceptive behavior to gain unfair advantage	[-3.0]	-2.5
157	Kruepke	When I was eleven or twelve, I called someone a racial name. The person I'd called the name was a sort of a friend of my sister's. It got back to her and she was humiliated.	orig	Immature child repeating learned behavior without understanding impact	-3.0	Child likely unaware of the harm caused by racial slurs	[-3.0]	-2.54
158	Effron	Swore at a cashier who made an error on his bill	orig	Customer frustrated by repeated billing errors	-3.0	Frustration doesn't justify swearing; respectful communication is key.	[-3.0]	-2.34666672
159	Effron	Spat off the balcony at the theater	orig	Disrespectful behavior during a performance	-4.0	Disrupts others' experience and shows lack of respect	[-4.0]	-2.3
160	Clifford	You see someone at the school gym lifting free weights in nice business clothes.	orig	Person forgot gym clothes and decided to work out anyway.	3.0	Shows dedication to fitness despite inconvenience.	[3.0]	-0.2
161	Clifford	You see a man secretly voting against his wife in a local beauty pageant.	orig	He believes another contestant is more deserving.	1.0	He values fairness over personal loyalty.	[1.0]	-1.9
162	Effron	Invited an unpopular coworker to go to lunch with him	orig	Trying to be inclusive and build team rapport	4.0	Promotes kindness and a positive work environment	[4.0]	1.825
163	Kruepke	For the past two Christmases we had our family celebration at my sister’s house. I’m not really partial to her husband and their kids are spoiled rotten, which makes for an unpleasant Christmas. So for the last two Christmases in a row, I didn’t go visit that part of my family.	orig	Avoiding unpleasant family interactions	2.0	Choosing personal well-being over uncomfortable family gatherings	[2.0]	-0.71
164	Clifford	You see a homosexual in a gay bar offering sex to anyone who buys him a drink.	orig	Consensual adults engaging in mutual agreement	2.0	Both parties are consenting and aware	[2.0]	-2.6
165	Clifford	You see a professor giving a bad grade to a student just because he dislikes him.	orig	Professor has personal bias against the student.	-4.0	Grading should be based on merit, not personal feelings.	[-4.0]	-3.7
166	Mickelberg	Person X could have saved the life of a man stabbed in a dark alley but couldn't be bothered calling an ambulance.	orig	Person X was indifferent and apathetic.	-4.0	Neglecting to help when capable shows a lack of basic human empathy.	[-4.0]	-3.2
167	Clifford	You see a woman pressuring her daughter to become a famous evening news anchor.	orig	Mother wants daughter to achieve financial stability and success.	1.0	Mother believes this career ensures a secure future.	[1.0]	-1.5
168	Lotto	You are at sea aboard a rubber dinghy with a friend and another two people whom you do not know. In the distance, you can see a boat in difficulty which has caught fire. The six people on board have jumped into the water and are drowning. To save them you must head towards them at high speed, but the dinghy is too heavy.To lighten the load, you push overboard the two people you do not know. You know that they cannot swim and will drown, but the six other people in the water will be saved.	orig	Limited resources to save everyone	-3.0	Sacrificing two to save six lives	[-3.0]	-1.55
169	Kruepke	Just a few weeks ago I got a call from my friend's niece. She was living in my town and having some financial difficulties. I told her that she could come live with me for one week just until she got her act together.	orig	Friend's niece lost her job unexpectedly	4.0	Helping someone in need is generally seen as a moral act	[4.0]	2.42
170	Mickelberg	Person X arrived at the airport only to discover they had left their passport at home.	orig	Person X was in a rush and forgot the passport.	3.0	Forgetting due to rushing is a common human error.	[3.0]	0.06
171	Mickelberg	Person X regularly cheats on their girlfriend when she is traveling for work.	orig	Person X feels neglected and unloved in the relationship.	-3.0	Cheating is still a betrayal of trust.	[-3.0]	-3.09
172	Lotto	You have just finished doing your shopping in a big and very crowded shopping centre and you are late for an appointment on the other side of town. In your hurry to leave the car park, you misjudge a manoeuvre and your car scrapes the car next to you causing a very visible scratch on the door. It is lunch time and there are no people in the car park.After having checked that nobody has seen what happened, you continue the manoeuvre and leave the car park. You know that the damage will cost the owner a lot of money, but no one can say that you caused it.	orig	Accidentally damaging another car in a parking lot	-4.0	Leaving without taking responsibility is unethical	[-4.0]	-0.98
173	Mickelberg	Person X put money in the expired parking meter of a stranger.	orig	Stranger's car at risk of getting a ticket	4.0	Helping avoid a fine without personal gain	[4.0]	2.52
