id	dataset	scenario	circumstance_type	circumstance	Harm/ Help	Cheating/ Fairness	Betrayal/ Loyalty	Subversion/ Authority	Degradation/ Sanctity	Oppression/ Liberty	moral_score	Harm/ Help_expl	Cheating/ Fairness_expl	Betrayal/ Loyalty_expl	Subversion/ Authority_expl	Degradation/ Sanctity_expl	Oppression/ Liberty_expl	moral_expl	human_score
1	Clifford	You see a woman spanking her child with a spatula for getting bad grades in school.	orig		-4.0	0.0	0.0	3.0	-3.0	-3.0	-3.0	Inflicts physical pain on a vulnerable child without clear benefit.	Not directly about academic or social cheating or fairness in treatment.	Does not clearly involve betrayal of trust or issues of loyalty.	Uses harsh discipline to assert authority, reflecting an aggressive power dynamic.	The physical act can be seen as degrading, negatively impacting the child’s dignity.	Imposes control and restricts the child’s autonomous freedom through abuse.	The act is largely immoral due to the harm inflicted and abuse of authority.	-2.6
2	Kruepke	I was supposed to go see my father before he died. He was ill and my mother was supposed to come into town so we could see him. She didn't come, so we never made it before he passed away.	orig		-1.0	0.0	0.0	0.0	0.0	0.0	2.0	Opportunity to help was missed, but no deliberate harm was done.	No cheating or fairness violations occurred in this situation.	No intentional betrayal occurred; it was an unfortunate miscommunication.	No challenges to authority or deliberate subversion are evident.	There is no degradation of sanctity or moral purity in the events.	No oppression or infringements on liberty are involved.	A tragic, regrettable outcome without immoral actions; circumstances were unfortunate.	-1.45
3	Mickelberg	Person X stepped in when a friend at a pub was getting assaulted for being dark skinned.	orig		-4.0	-3.0	0.0	-3.0	-3.0	-4.0	4.0	Stops physical harm and protects a vulnerable person.	Supports fair treatment by intervening to defend an unjust attack.	Demonstrates personal loyalty to a friend in crisis.	Opposes unjust authority and challenges abusive behavior.	Rejects degrading treatment based on skin color.	Fights against oppression, promoting individual liberty.	Intervening to defend a marginalized friend is highly moral and upholds human rights.	3.18
4	Effron	Gave a beggar a five-dollar bill at Christmas time	orig		-4.0	0.0	0.0	0.0	0.0	0.0	4.0	The act is clearly charitable, providing help with no harm intended.	There is no element of cheating or fairness issues in this simple charitable act.	The situation does not involve loyalty or betrayal in any significant way.	The act does not challenge or relate to any authority structures.	There is no concern with degradation or sanctity in giving money charitably.	This scenario does not engage with issues of oppression or liberty.	The act is highly moral, reflecting generosity and care during a festive season.	1.93103448
5	Lotto	You are the safety officer in charge of a fun park. One of the metal arms of the ferris wheel suddenly breaks because of a structural defect. Four people are stranded in a cabin 80 metres up in the air. Another person is in a cabin just a few metres from ground level and is able to get off alone. The whole structure is falling down.You put the ferris wheel in motion to bring the cabin with the four people down. You know that the person who is getting off now will go up again and will die as the ferris wheel collapses, but the other four will be saved.	orig		-2.0	-3.0	0.0	-1.0	-4.0	-3.0	-1.0	Intentionally sacrificing one life to save four produces significant harmful intent.	Assigning an unequal risk without consent undermines fairness towards the individual.	No direct betrayal of trust or loyalty is observed.	Emergency measures override standard protocols, subverting typical authority rules.	Treating one person as a means to an end compromises individual sanctity.	Forcing one into a death sentence without genuine choice restricts personal liberty.	A utilitarian choice saving more lives, yet it infringes on individual rights.	-1.11
6	Kruepke	When I was a teenager, my sister and I used to sneak out the bedroom window to go out dancing. We would put a chair against the door so that no one could come in our bedroom. A couple of times we got caught.	orig		0	-2	-1	-4	0	3	2	No tangible harm or help occurs; the act is largely risk-free.	They used deception to bypass parental rules, reflecting a mild fairness violation.	Siblings acted together without betraying each other, though parental trust was slightly compromised.	The act was a clear rejection of parental authority in favor of self-directed freedom.	There is no degradation or violation of sanctity in this harmless teenage escapade.	They challenged restrictive rules, favoring personal liberty over imposed limitations.	A harmless, rebellious teenage act that prioritizes freedom yields moderate moral acceptability.	-0.32
7	Mickelberg	Person X ordered pizza while at their friend's farewell party.	orig		0.0	0.0	0.0	0.0	0.0	0.0	0.0	Ordering pizza at a party causes no physical or emotional harm.	The act does not involve deceit or unfair advantages towards anyone.	There is no indication of disloyalty or betrayal in choosing personal food preference.	No authority or established order is challenged by ordering pizza.	The action does not degrade any value or sacred tradition.	Ordering pizza supports individual liberty without imposing on others.	The scenario is morally neutral with a personal choice that poses no ethical issues.	0.61
8	Lotto	It is evening. A friend calls you saying that he has a terrible migraine headache. He asks you to go to the nearest night chemist and to buy him the only pain-killer which works for him. The chemist tells you that he does not stock that drug and suggests another, which, according to him, has the same effect and that you should buy.You buy the migraine drug that the chemist suggests. You make your friend take it without showing him the box. He will think he is taking the one he asked for.	orig		2.0	-3.0	-2.0	0.0	0.0	-2.0	-1.0	The drug relieves pain, so it helps, though deception introduces minor risk.	Deceiving a friend by substituting medicine undermines fairness and honest exchange.	The act misleads a friend, breaching the trust implicit in the relationship.	No clear challenge to authority; the chemist’s advice was followed without rebellion.	There is no degradation of personal dignity or violation of sacred norms here.	Withholding medication information restricts the friend’s informed choice and autonomy.	Good intent to help is marred by deceptive practices causing moderate moral concern.	1.3
9	Effron	Took a friend out for a beer to celebrate his promotion	orig		3.0	0.0	2.0	0.0	0.0	1.0	4.0	Celebrating his promotion is supportive, uplifting, and minimizes harm by providing emotional help.	No unfairness or cheating is involved in a friendly celebratory outing.	The act reinforces loyalty and friendship through shared celebration.	The event respects social norms and does not challenge or subvert authority.	No degradation or violation of sanctity is present in a genuine celebration.	The outing promotes individual liberty and self-expression without imposing restrictions.	The scenario is positive, supportive, and clearly morally acceptable.	1.48571424
10	Grizzard	Fires teargas into a crowd of civilians.	orig		-5	-4	-3	5	-4	-5	-4	Inflicts severe harm on civilians, showing complete disregard for their well‐being.	Unjust action targeting innocent civilians undermines fairness and equitable treatment.	Violates the trust and loyalty owed to the public by using excessive force.	Uses state authority oppressively to silence dissent rather than protect citizens.	Dehumanizes civilians and disrespects their dignity through aggressive repression.	Severely restricts individual freedoms and violates civil liberties in an authoritarian manner.	The act is extremely immoral due to inflicted harm, oppression, and violation of civil rights.	-1.626666667
