id	dataset	scenario	circumstance_type	circumstance	aspect1	aspect1_score	aspect1_expl	aspect2	aspect2_score	aspect2_expl	aspect3	aspect3_score	aspect3_expl	aspect4	aspect4_score	aspect4_expl	aspect5	aspect5_score	aspect5_expl	aspect6	aspect6_score	aspect6_expl	moral_score	moral_expl	human_score
1	Clifford	You see a woman spanking her child with a spatula for getting bad grades in school.	orig		Intentions of the mother	3.0	Was the mother's intention to discipline or harm the child?	Effectiveness of the punishment	2.0	Did the punishment effectively address the issue?	Alternative disciplinary methods	5.0	Were there other non-physical ways to address the situation?	Child's well-being	1.0	Did the punishment consider the child's emotional and physical well-being?	Cultural context	4.0	Is physical discipline culturally accepted in this context?	Long-term impact on the child	2.0	Consider the potential psychological effects on the child.	-1.0	While the mother's intentions may have been to discipline, there are more effective and less harmful ways to address the issue.	-2.6
2	Kruepke	I was supposed to go see my father before he died. He was ill and my mother was supposed to come into town so we could see him. She didn't come, so we never made it before he passed away.	orig		Intentions	8	Did the individual intend to see their father before he passed away?	Responsibility	6	Was the individual responsible for ensuring they saw their father?	Family obligations	9	Did the individual have a duty to see their father before he died?	Communication	4	Was there clear communication between family members about the visit?	Emotional impact	7	How did missing the opportunity to see their father affect the individual emotionally?	Timing	5	Was there enough time to make the visit before the father passed away?	2	While there were some factors that affected the situation, overall, missing the opportunity to see their father before he passed away is morally acceptable.	-1.45
3	Mickelberg	Person X stepped in when a friend at a pub was getting assaulted for being dark skinned.	orig		Intentions of Person X	9.0	Did Person X intervene with good intentions to protect their friend?	Use of appropriate force	8.0	Did Person X use reasonable force to stop the assault?	Respect for others' autonomy	7.0	Did Person X respect the autonomy of their friend in intervening?	Consequences of intervention	8.0	Did the intervention lead to a positive outcome for the friend?	Context of the situation	6.0	Was the situation at the pub conducive to intervention?	Consistency with moral values	9.0	Did Person X's actions align with commonly accepted moral values?	3.0	Given the high scores on intentions, appropriate force, and consequences, the scenario is morally acceptable.	3.18
4	Effron	Gave a beggar a five-dollar bill at Christmas time	orig		Intentions	8	The motivation behind giving the money.	Impact on the beggar	7	How the beggar benefited from the gesture.	Long-term help	5	Whether the act provided sustainable assistance.	Personal sacrifice	6	The level of sacrifice made by the giver.	Ethical considerations	4	Any ethical implications of giving money to beggars.	Systemic change	3	Addressing root causes of poverty.	2	While the act was well-intentioned and helped the beggar temporarily, it may not address systemic issues of poverty.	1.93103448
5	Lotto	You are the safety officer in charge of a fun park. One of the metal arms of the ferris wheel suddenly breaks because of a structural defect. Four people are stranded in a cabin 80 metres up in the air. Another person is in a cabin just a few metres from ground level and is able to get off alone. The whole structure is falling down.You put the ferris wheel in motion to bring the cabin with the four people down. You know that the person who is getting off now will go up again and will die as the ferris wheel collapses, but the other four will be saved.	orig		Number of lives saved	10.0	Saving more lives is generally considered morally good.	Intentions of the safety officer	8.0	The intentions behind the actions taken are important in evaluating morality.	Sacrificing one life for the greater good	7.0	Ethical dilemma of sacrificing one life to save more lives.	Responsibility of the safety officer	9.0	The duty and responsibility of the safety officer to ensure safety of all visitors.	Communication with the individuals involved	6.0	The importance of clear communication in such a crisis situation.	Structural integrity of the ferris wheel	3.0	The importance of regular maintenance and inspection of the equipment.	3.0	While sacrificing one life is a difficult decision, saving more lives and fulfilling the duty of ensuring safety makes the scenario morally acceptable.	-1.11
6	Kruepke	When I was a teenager, my sister and I used to sneak out the bedroom window to go out dancing. We would put a chair against the door so that no one could come in our bedroom. A couple of times we got caught.	orig		Intentions	6.0	Did they have good intentions or were they being reckless?	Consequences	4.0	Did anyone get hurt or was there any damage caused?	Honesty	2.0	Were they being honest with their parents about their whereabouts?	Respect for rules	3.0	Did they respect the rules set by their parents?	Safety	5.0	Did they put themselves in danger by sneaking out?	Trustworthiness	3.0	Did they break the trust of their parents by sneaking out?	1.0	The scenario shows a mix of good intentions but also risky behavior and lack of honesty and respect for rules.	-0.32
7	Mickelberg	Person X ordered pizza while at their friend's farewell party.	orig		Intentions	8	Did Person X order pizza with good intentions for the party?	Impact on others	7	Did ordering pizza positively impact the farewell party?	Respect for friend's farewell	6	Did ordering pizza show respect for the friend leaving?	Consideration for dietary restrictions	4	Did Person X consider any dietary restrictions of the guests?	Environmental impact	3	Was the pizza delivery environmentally friendly?	Cost-effectiveness	5	Was ordering pizza a cost-effective choice for the party?	3	Overall, the scenario is morally acceptable as it had good intentions and positively impacted the party.	0.61
8	Lotto	It is evening. A friend calls you saying that he has a terrible migraine headache. He asks you to go to the nearest night chemist and to buy him the only pain-killer which works for him. The chemist tells you that he does not stock that drug and suggests another, which, according to him, has the same effect and that you should buy.You buy the migraine drug that the chemist suggests. You make your friend take it without showing him the box. He will think he is taking the one he asked for.	orig		Intentions	8	The intention to help a friend in pain.	Honesty	3	The act of deceiving the friend about the medication.	Beneficence	7	The potential benefit of the suggested medication.	Autonomy	4	Respecting the friend's choice of medication.	Trust	2	Breaking the trust by not getting the requested medication.	Consequences	6	The potential harm or relief caused by the medication.	-1	The scenario is morally questionable due to deception and lack of trust.	1.3
9	Effron	Took a friend out for a beer to celebrate his promotion	orig		Intentions	8.0	Celebrating a friend's success is a positive intention.	Alcohol consumption	6.0	Moderate drinking is acceptable, but excessive drinking is not.	Friendship	9.0	Supporting a friend's achievements strengthens the bond.	Responsibility	7.0	Ensuring safe transportation after drinking is important.	Impact on work	4.0	Drinking during work hours may have negative consequences.	Equality	8.0	Ensuring all friends are included in celebrations is important.	7.0	Overall, the scenario is morally acceptable as it promotes friendship and positive intentions.	1.48571424
10	Grizzard	Fires teargas into a crowd of civilians.	orig		Intent	7.0	Was the tear gas used with the intention to disperse a violent crowd or harm civilians? 	Proportionality	6.0	Was the use of tear gas proportional to the threat posed by the crowd?	Necessity	5.0	Was tear gas the only viable option to control the situation?	Accountability	3.0	Were those responsible for deploying tear gas held accountable for their actions?	Impact on civilians	8.0	What was the physical and psychological impact on the civilians exposed to tear gas?	Alternatives	4.0	Were there non-violent alternatives to using tear gas to disperse the crowd?	-2.0	The scenario is morally questionable due to the high impact on civilians and lack of accountability.	-1.626666667
