scenario_id	participant_id	dataset	scenario	circumstance_type	circumstance	vulnerable_score	intentional_score	harm_score	help_score	moral_score	vulnerable_expl	intentional_expl	harm_expl	help_expl	moral_expl	agent	assumption_for_agent	patient	assumption_for_patient	human_score
5	0	Lotto	You are the safety officer in charge of a fun park. One of the metal arms of the ferris wheel suddenly breaks because of a structural defect. Four people are stranded in a cabin 80 metres up in the air. Another person is in a cabin just a few metres from ground level and is able to get off alone. The whole structure is falling down.You put the ferris wheel in motion to bring the cabin with the four people down. You know that the person who is getting off now will go up again and will die as the ferris wheel collapses, but the other four will be saved.	orig		8	9	6	9	6	The four people are in a life-threatening situation, and their lives are at risk if they don't get rescued	The safety officer made a deliberate decision to put the ferris wheel in motion to save the four people	The action caused harm to the person who was getting off the ferris wheel, but it also saved the lives of the four people	The safety officer's action helped to save the lives of the four people	The safety officer's action was a difficult decision, but it ultimately saved lives and prioritized the greater good	The safety officer	The safety officer is the one who made the decision to put the ferris wheel in motion	The four people stranded in the cabin 80 metres up in the air	The safety officer assumed that the four people were in a life-threatening situation and needed to be saved	4.0
5	1	Lotto	You are the safety officer in charge of a fun park. One of the metal arms of the ferris wheel suddenly breaks because of a structural defect. Four people are stranded in a cabin 80 metres up in the air. Another person is in a cabin just a few metres from ground level and is able to get off alone. The whole structure is falling down.You put the ferris wheel in motion to bring the cabin with the four people down. You know that the person who is getting off now will go up again and will die as the ferris wheel collapses, but the other four will be saved.	orig		8	9	6	9	6	The person is concerned about the well-being of the four people and wants to save them from a potentially fatal situation	The person is the safety officer and has a responsibility to make decisions to ensure the safety of the people in the park	The person knows that the action will cause harm to one person, but believes it is necessary to save the lives of the four people	The person's action will save the lives of the four people, which is a positive outcome	The person believes that saving the lives of the four people is more important than the harm caused to one person, and that the action is necessary to prevent a greater harm	The safety officer	The safety officer is the one who made the decision to put the ferris wheel in motion	The four people stranded in the cabin 80 metres up in the air	The person assumed that the four people are in a life-threatening situation and need to be saved	4.0
5	2	Lotto	You are the safety officer in charge of a fun park. One of the metal arms of the ferris wheel suddenly breaks because of a structural defect. Four people are stranded in a cabin 80 metres up in the air. Another person is in a cabin just a few metres from ground level and is able to get off alone. The whole structure is falling down.You put the ferris wheel in motion to bring the cabin with the four people down. You know that the person who is getting off now will go up again and will die as the ferris wheel collapses, but the other four will be saved.	orig		8	7	6	9	6	The person is concerned about the well-being of the four people and wants to save them from a potentially fatal situation	The person is motivated by a sense of responsibility to save the four people and is willing to make a difficult decision	The person acknowledges that the action will cause harm to one person, but believes it is necessary to save the four others	The person believes that saving the four people is the right thing to do, even if it means sacrificing one person	The person believes that saving the four people is the morally justifiable decision, despite the harm caused to one person	The safety officer	The safety officer is the one who made the decision to put the ferris wheel in motion	The four people stranded in the cabin 80 metres up in the air	The person assumed that the four people are in a life-threatening situation and need to be saved	4.0
5	3	Lotto	You are the safety officer in charge of a fun park. One of the metal arms of the ferris wheel suddenly breaks because of a structural defect. Four people are stranded in a cabin 80 metres up in the air. Another person is in a cabin just a few metres from ground level and is able to get off alone. The whole structure is falling down.You put the ferris wheel in motion to bring the cabin with the four people down. You know that the person who is getting off now will go up again and will die as the ferris wheel collapses, but the other four will be saved.	orig		8	9	6	10	5	The person is concerned about the well-being of the four people and wants to save them from a potentially fatal situation	The person is the safety officer and has a responsibility to make decisions to ensure the safety of the people in the park	The person is aware that the action will cause harm to one person, but believes it is necessary to save the four others	The person's action will save the lives of the four people in distress	The person believes that the action is necessary to save the four people, despite the harm caused to one person	The safety officer	The safety officer is the one who made the decision to put the ferris wheel in motion	The four people stranded in the cabin 80 metres up in the air	The person assumed that the four people are in a life-threatening situation and need to be saved	4.0
5	4	Lotto	You are the safety officer in charge of a fun park. One of the metal arms of the ferris wheel suddenly breaks because of a structural defect. Four people are stranded in a cabin 80 metres up in the air. Another person is in a cabin just a few metres from ground level and is able to get off alone. The whole structure is falling down.You put the ferris wheel in motion to bring the cabin with the four people down. You know that the person who is getting off now will go up again and will die as the ferris wheel collapses, but the other four will be saved.	orig		8	6	7	9	6	The four people are in a life-threatening situation, and immediate action is needed to save them	The safety officer is making a difficult decision to save the four people, but it's a necessary one to prevent further harm	The action of putting the ferris wheel in motion will cause harm to the person who is getting off, but it will also save the four people	The action will save the lives of the four people, which is a positive outcome	The safety officer is making a difficult decision to save the four people, but it's a necessary one to prevent further harm, and the positive outcome outweighs the negative	The safety officer	The safety officer is the one who made the decision to put the ferris wheel in motion	The four people stranded in the cabin 80 metres up in the air	The person assumed that the four people are in danger and need to be saved	4.0
5	5	Lotto	You are the safety officer in charge of a fun park. One of the metal arms of the ferris wheel suddenly breaks because of a structural defect. Four people are stranded in a cabin 80 metres up in the air. Another person is in a cabin just a few metres from ground level and is able to get off alone. The whole structure is falling down.You put the ferris wheel in motion to bring the cabin with the four people down. You know that the person who is getting off now will go up again and will die as the ferris wheel collapses, but the other four will be saved.	orig		8	9	7	9	6	The four people are in a life-threatening situation, and the safety officer's decision will determine their fate	The safety officer is taking deliberate action to save the four people, despite the risk of harming the other person	The safety officer's decision will result in the death of one person, but save the lives of four others	The safety officer's decision will save the lives of four people, despite the risk of harming one other person	The safety officer's decision is a difficult one, but ultimately prioritizes saving human life, which is a core value in many cultures and religions	The safety officer	The safety officer is the one who made the decision to put the ferris wheel in motion	The four people stranded in the cabin 80 metres up in the air	The safety officer assumed that the four people were in a life-threatening situation and needed to be saved	5.0
5	6	Lotto	You are the safety officer in charge of a fun park. One of the metal arms of the ferris wheel suddenly breaks because of a structural defect. Four people are stranded in a cabin 80 metres up in the air. Another person is in a cabin just a few metres from ground level and is able to get off alone. The whole structure is falling down.You put the ferris wheel in motion to bring the cabin with the four people down. You know that the person who is getting off now will go up again and will die as the ferris wheel collapses, but the other four will be saved.	orig		8	6	7	9	6	The person is concerned about the well-being of the four people and wants to save them from a potentially fatal situation	The person is motivated by a sense of responsibility to save the four people and is willing to make a difficult decision	The person is aware that the action will cause harm to one person, but believes it is necessary to save the four others	The person is motivated by a sense of responsibility to save the four people and is willing to make a difficult decision	The person believes that saving the four people is the right thing to do, even if it means causing harm to one person	The safety officer	The safety officer is the one who made the decision to put the ferris wheel in motion	The four people stranded in the cabin 80 metres up in the air	The person assumed that the four people are in a life-threatening situation and need to be saved	2.0
5	7	Lotto	You are the safety officer in charge of a fun park. One of the metal arms of the ferris wheel suddenly breaks because of a structural defect. Four people are stranded in a cabin 80 metres up in the air. Another person is in a cabin just a few metres from ground level and is able to get off alone. The whole structure is falling down.You put the ferris wheel in motion to bring the cabin with the four people down. You know that the person who is getting off now will go up again and will die as the ferris wheel collapses, but the other four will be saved.	orig		8	6	7	9	6	The four people are stranded in a life-threatening situation, making them highly vulnerable.	The safety officer's decision to put the ferris wheel in motion is intentional, but the goal is to save lives, which may justify the harm caused.	Four people will be saved, but one person will die, causing harm to the individual and their loved ones.	The safety officer's decision will save four lives, providing significant help to the stranded individuals.	The safety officer's decision is a difficult one, but ultimately saves more lives than it takes, making it a morally acceptable choice.	The safety officer	The safety officer is the one who made the decision to put the ferris wheel in motion	The four people stranded in the cabin 80 metres up in the air	The person assumed that the four people are in a life-threatening situation and need to be saved	2.0
5	8	Lotto	You are the safety officer in charge of a fun park. One of the metal arms of the ferris wheel suddenly breaks because of a structural defect. Four people are stranded in a cabin 80 metres up in the air. Another person is in a cabin just a few metres from ground level and is able to get off alone. The whole structure is falling down.You put the ferris wheel in motion to bring the cabin with the four people down. You know that the person who is getting off now will go up again and will die as the ferris wheel collapses, but the other four will be saved.	orig		8	8	6	9	6	The four people are stranded in a precarious situation, and their lives are at risk.	The safety officer's decision to put the ferris wheel in motion is a deliberate action to save the four people.	The safety officer's decision results in the death of one person, but saves the lives of four others.	The safety officer's decision saves the lives of four people, which is a significant positive outcome.	The safety officer's decision is morally acceptable because it prioritizes saving lives, even if it means sacrificing one person.	The safety officer	The safety officer is the one who made the decision to put the ferris wheel in motion	The four people stranded in the cabin 80 metres up in the air	The safety officer assumed that the four people were in danger and needed to be saved	4.0
5	9	Lotto	You are the safety officer in charge of a fun park. One of the metal arms of the ferris wheel suddenly breaks because of a structural defect. Four people are stranded in a cabin 80 metres up in the air. Another person is in a cabin just a few metres from ground level and is able to get off alone. The whole structure is falling down.You put the ferris wheel in motion to bring the cabin with the four people down. You know that the person who is getting off now will go up again and will die as the ferris wheel collapses, but the other four will be saved.	orig		8	5	6	9	5	The person is concerned about the well-being of the four people and wants to save them from a potentially fatal situation	The person is making a difficult decision to sacrifice one life to save four, considering the practical consequences of their actions	The person is causing harm to one person by putting the ferris wheel in motion, but is doing so to save four others	The person is causing help by saving the four people from a life-threatening situation	The person is making a difficult decision to sacrifice one life to save four, considering the practical consequences of their actions and the need to prioritize the well-being of the four people	The safety officer	The safety officer is the one who made the decision to put the ferris wheel in motion	The four people stranded in the cabin 80 metres up in the air	The person assumed that the four people are in a life-threatening situation and need to be saved	4.0
