scenario_id	participant_id	dataset	scenario	circumstance_type	circumstance	aspect1	aspect1_score	aspect1_expl	aspect2	aspect2_score	aspect2_expl	aspect3	aspect3_score	aspect3_expl	aspect4	aspect4_score	aspect4_expl	aspect5	aspect5_score	aspect5_expl	aspect6	aspect6_score	aspect6_expl	moral_score	moral_expl	human_score
5	0	Lotto	You are the safety officer in charge of a fun park. One of the metal arms of the ferris wheel suddenly breaks because of a structural defect. Four people are stranded in a cabin 80 metres up in the air. Another person is in a cabin just a few metres from ground level and is able to get off alone. The whole structure is falling down.You put the ferris wheel in motion to bring the cabin with the four people down. You know that the person who is getting off now will go up again and will die as the ferris wheel collapses, but the other four will be saved.	orig		Consequences of the action	8	The person's age and cultural background may influence their perspective on the consequences of the action.	Number of lives at stake	9	As a Latino or Latina, the person may be more empathetic towards the lives of others, especially in a situation where four people are in danger.	Fairness and equality	6	As a bilingual person, the person may consider the fairness of the situation and the fact that one person is being sacrificed for the greater good.	Personal values and beliefs	8	As a Buddhist, the person may prioritize the greater good and the concept of karma, which could influence their decision.	Emotional impact on the individuals involved	7	As someone who speaks English at home, the person may be more attuned to the emotional impact of the situation on the individuals involved.	Structural and systemic issues	5	As someone with a mixed cultural background, the person may be more aware of the structural and systemic issues that led to the ferris wheel's defect.	5	The person's decision is influenced by their cultural background, personal values, and empathy towards others. While it's a difficult decision, they prioritize the greater good and the lives of the four people.	4.0
5	1	Lotto	You are the safety officer in charge of a fun park. One of the metal arms of the ferris wheel suddenly breaks because of a structural defect. Four people are stranded in a cabin 80 metres up in the air. Another person is in a cabin just a few metres from ground level and is able to get off alone. The whole structure is falling down.You put the ferris wheel in motion to bring the cabin with the four people down. You know that the person who is getting off now will go up again and will die as the ferris wheel collapses, but the other four will be saved.	orig		Consequences of the action	8	The person's moral framework is shaped by their American upbringing and English language, leading them to prioritize consequences.	Number of lives saved	9	As a Latino individual, the person may be more inclined to prioritize the greater good and saving more lives.	Fairness and equality	6	Growing up in a family with both parents born in the US, the person may value fairness and equality, leading them to consider the fate of the four people.	Personal responsibility	5	As an American male, the person may be more inclined to take personal responsibility for the decision and its consequences.	Emotional impact	7	The person's emotional response to the scenario is influenced by their cultural background and language, leading them to consider the emotional toll of the decision.	Alternative solutions	4	As a 22-year-old American male, the person may be more inclined to consider alternative solutions and the potential consequences of each option.	6	The person weighs the consequences of the action, the number of lives saved, and fairness and equality, ultimately deciding that saving the four people is the most moral choice.	4.0
5	2	Lotto	You are the safety officer in charge of a fun park. One of the metal arms of the ferris wheel suddenly breaks because of a structural defect. Four people are stranded in a cabin 80 metres up in the air. Another person is in a cabin just a few metres from ground level and is able to get off alone. The whole structure is falling down.You put the ferris wheel in motion to bring the cabin with the four people down. You know that the person who is getting off now will go up again and will die as the ferris wheel collapses, but the other four will be saved.	orig		Consequences for the people involved	8	The person's Latino background and liberal views may lead them to prioritize the well-being of the people involved.	Fairness and equality	9	As a liberal, the person may believe in fairness and equality, and therefore prioritize saving the four people over the one who will die.	Human life and dignity	9	The person's Latino background and liberal views may lead them to prioritize human life and dignity, and therefore choose to save the four people.	Moral obligation to act	8	As a liberal, the person may feel a strong moral obligation to act and save the four people, even if it means sacrificing one life.	Personal values and beliefs	9	The person's liberal views and agnostic beliefs may lead them to prioritize saving the four people over the one who will die.	Practical considerations and feasibility	6	As a 30-year-old person, the person may consider the practical implications of their decision and choose to save the four people due to their age and potential future responsibilities.	6	Based on the person's liberal views, agnostic beliefs, and Latino background, they may prioritize saving the four people over the one who will die, considering the consequences for the people involved, fairness, and human life and dignity.	4.0
5	3	Lotto	You are the safety officer in charge of a fun park. One of the metal arms of the ferris wheel suddenly breaks because of a structural defect. Four people are stranded in a cabin 80 metres up in the air. Another person is in a cabin just a few metres from ground level and is able to get off alone. The whole structure is falling down.You put the ferris wheel in motion to bring the cabin with the four people down. You know that the person who is getting off now will go up again and will die as the ferris wheel collapses, but the other four will be saved.	orig		Consequences of the action	8	The person's Mexican heritage and upbringing may influence their concern for the well-being of others, particularly in a situation where lives are at risk.	Fairness and equality	6	As a self-identified liberal, the person may prioritize fairness and equality, considering that all lives are valuable and deserving of protection.	Personal responsibility	5	The person's age and life experience may lead them to consider the role of personal responsibility in the situation, recognizing that the structural defect was a preventable error.	Human life and dignity	9	As a Latino individual, the person may be deeply committed to the value of human life and dignity, particularly in a situation where innocent people are in danger.	Practicality and feasibility	7	The person's age and experience may lead them to consider the practicality and feasibility of the situation, recognizing that the ferris wheel is collapsing and immediate action is necessary.	Moral absolutism	4	As a self-identified liberal, the person may be more inclined to consider moral absolutism, recognizing that all lives are equal and deserving of protection, regardless of the circumstances.	6	The person's moral acceptability score is influenced by their consideration of the consequences of the action, fairness and equality, and human life and dignity. While they recognize the need for immediate action, they prioritize the lives of the four people in the cabin over the life of the person who could get off safely.	4.0
5	4	Lotto	You are the safety officer in charge of a fun park. One of the metal arms of the ferris wheel suddenly breaks because of a structural defect. Four people are stranded in a cabin 80 metres up in the air. Another person is in a cabin just a few metres from ground level and is able to get off alone. The whole structure is falling down.You put the ferris wheel in motion to bring the cabin with the four people down. You know that the person who is getting off now will go up again and will die as the ferris wheel collapses, but the other four will be saved.	orig		Consequences of the action	8	The person's young age and liberal views may lead them to prioritize saving lives over other considerations.	Fairness and equality	6	As a person of color, the individual may be more sensitive to issues of fairness and equality, leading them to consider the fate of the four people equally.	Human life and dignity	9	As an atheist, the person may not be influenced by religious beliefs, but still value human life and dignity.	Moral obligation to act	8	The person's liberal views and sense of responsibility may lead them to feel a strong moral obligation to act and save lives.	Personal risk and sacrifice	7	The person's young age and liberal views may lead them to be more willing to take risks and make sacrifices for the greater good.	Practical considerations and feasibility	6	The person's practical and rational thinking may lead them to consider the feasibility of the options and choose the one that saves the most lives.	6	Based on the importance of human life, fairness, and moral obligation, the person would likely choose to save the four people, despite the tragic consequences for the other person.	4.0
5	5	Lotto	You are the safety officer in charge of a fun park. One of the metal arms of the ferris wheel suddenly breaks because of a structural defect. Four people are stranded in a cabin 80 metres up in the air. Another person is in a cabin just a few metres from ground level and is able to get off alone. The whole structure is falling down.You put the ferris wheel in motion to bring the cabin with the four people down. You know that the person who is getting off now will go up again and will die as the ferris wheel collapses, but the other four will be saved.	orig		Consequences of the action	8	The person's age and cultural background may influence their perspective on the consequences of the action.	Number of lives at stake	9	The person's urban upbringing and exposure to diverse perspectives may make them more empathetic to the lives of others.	Fairness and equality	6	The person's mixed heritage and exposure to different cultural values may influence their perspective on fairness and equality.	Personal sacrifice	7	The person's age and life experience may make them more willing to consider personal sacrifice.	Alternative solutions	5	The person's language and cultural background may influence their ability to think creatively about alternative solutions.	Religious beliefs	4	The person's Jewish faith may influence their perspective on the morality of the action.	6	Based on the evaluation of the aspects, the person would likely consider the moral acceptability of the scenario to be high, as the action would save four lives, but at the cost of one life.	5.0
5	6	Lotto	You are the safety officer in charge of a fun park. One of the metal arms of the ferris wheel suddenly breaks because of a structural defect. Four people are stranded in a cabin 80 metres up in the air. Another person is in a cabin just a few metres from ground level and is able to get off alone. The whole structure is falling down.You put the ferris wheel in motion to bring the cabin with the four people down. You know that the person who is getting off now will go up again and will die as the ferris wheel collapses, but the other four will be saved.	orig		Consequences of the action	8	The person's age and cultural background may influence their perspective on the value of human life.	Fairness and equality	6	As a female and a Latina, the person may prioritize fairness and equality in their decision-making.	Human life and dignity	9	The person's Catholic faith may emphasize the importance of preserving human life and dignity.	Moral obligation to act	7	The person's age and life experience may influence their sense of moral obligation to act in a certain way.	Personal responsibility	5	As a Latina, the person may be more likely to prioritize personal responsibility and accountability.	Practical considerations	4	The person's urban upbringing and familiarity with city life may influence their practical considerations in this scenario.	6	Based on the importance of human life and dignity, fairness and equality, and moral obligation to act, the person would likely choose to save the four people in the cabin.	2.0
5	7	Lotto	You are the safety officer in charge of a fun park. One of the metal arms of the ferris wheel suddenly breaks because of a structural defect. Four people are stranded in a cabin 80 metres up in the air. Another person is in a cabin just a few metres from ground level and is able to get off alone. The whole structure is falling down.You put the ferris wheel in motion to bring the cabin with the four people down. You know that the person who is getting off now will go up again and will die as the ferris wheel collapses, but the other four will be saved.	orig		Consequences of the action	8	The person's moderate conservative views may lead them to prioritize preserving life over saving one person.	Fairness and equality	6	As a white person, they may be more likely to prioritize saving the four people equally, rather than sacrificing one for the greater good.	Human life and dignity	9	As a female, they may be more empathetic towards the four people in danger, and prioritize saving them.	Moral obligation and duty	7	Their moderate conservative views may lead them to prioritize fulfilling their duty as a safety officer over personal feelings.	Personal sacrifice and risk	5	As a 30-year-old woman, they may be more willing to take risks to save others, but also consider the potential consequences for themselves.	Practicality and feasibility	4	Living in a city with a population size between 500,000 to 999,999, they may be more familiar with emergency response procedures and prioritize practical solutions.	5	The person's moderate conservative views and prioritization of human life and dignity lead them to choose the option that saves the most lives, despite the moral complexity of the situation.	2.0
5	8	Lotto	You are the safety officer in charge of a fun park. One of the metal arms of the ferris wheel suddenly breaks because of a structural defect. Four people are stranded in a cabin 80 metres up in the air. Another person is in a cabin just a few metres from ground level and is able to get off alone. The whole structure is falling down.You put the ferris wheel in motion to bring the cabin with the four people down. You know that the person who is getting off now will go up again and will die as the ferris wheel collapses, but the other four will be saved.	orig		Consequences of the action	8	The person's conservative views (D11) may lead them to prioritize saving lives over potential harm to others.	Fairness and equality	6	As a White or Caucasian person (D10), the individual may be more likely to prioritize saving the lives of those in the higher cabin, as they may perceive them as more similar to themselves.	Human life and dignity	9	As a Catholic (D7) and a male (D1), the person may be more inclined to prioritize saving human life and dignity, as these values are central to their religious beliefs.	Moral obligation to act	8	The person's conservative views (D11) may lead them to feel a strong moral obligation to act and save lives, as they may believe that inaction would be morally wrong.	Potential harm to others	7	The person's conservative views (D11) may lead them to consider the potential harm to others, such as the person who would be sent back up the wheel, and prioritize saving the lives of those in the higher cabin.	Responsibility and accountability	9	As a safety officer (D1) and a conservative person (D11), the individual may feel a strong sense of responsibility and accountability to make a decision that prioritizes saving lives.	6	The person's conservative views and Catholic beliefs lead them to prioritize saving human life and dignity, while also considering the potential harm to others. They may feel a strong moral obligation to act and make a decision that prioritizes saving the lives of those in the higher cabin.	4.0
5	9	Lotto	You are the safety officer in charge of a fun park. One of the metal arms of the ferris wheel suddenly breaks because of a structural defect. Four people are stranded in a cabin 80 metres up in the air. Another person is in a cabin just a few metres from ground level and is able to get off alone. The whole structure is falling down.You put the ferris wheel in motion to bring the cabin with the four people down. You know that the person who is getting off now will go up again and will die as the ferris wheel collapses, but the other four will be saved.	orig		Consequences of the action	8	The person's conservative views (D11) may lead them to prioritize saving lives over potential harm to others.	Fairness and equality	6	As a Latino individual (D10), the person may be more sensitive to issues of fairness and equality, considering the potential harm to the person who will die.	Human life and dignity	9	As a Catholic (D7), the person may prioritize the value of human life and dignity, leading them to choose the option that saves more lives.	Moral obligation to act	8	The person's conservative views (D11) may lead them to feel a strong moral obligation to act and save lives.	Potential harm to others	7	The person's conservative views (D11) may lead them to consider the potential harm to others, including the person who will die, and prioritize saving lives.	Responsibility and accountability	8	The person's conservative views (D11) may lead them to consider their responsibility and accountability as a safety officer, prioritizing the safety of all individuals.	5	The person's conservative views and Catholic beliefs lead them to prioritize saving lives and consider the moral obligation to act, making this scenario moderately moral.	4.0
