id	dataset	scenario	circumstance_type	circumstance	agent	agent_assumption	affected_party	affected_party_assumption	Q5_score	Q5_expl	moral_score	moral_expl	human_score	split	regression_score	mlp_score
1	Clifford	You see a woman spanking her child with a spatula for getting bad grades in school.	orig		The woman	Assumed to be the child's mother	The child	Assumed to be a student	2.0	The action treats the child as a means to improve grades, not as an end in itself.	-2.0	Using physical punishment to motivate academic performance is morally questionable.	-2.6	train		
2	Kruepke	I was supposed to go see my father before he died. He was ill and my mother was supposed to come into town so we could see him. She didn't come, so we never made it before he passed away.	orig		I	I assumed the agent had the intention to visit their ill father before he passed away.	Father	I assumed the father was in a vulnerable state due to his illness.	9.0	The action prioritizes the well-being and dignity of the father, treating him as an end in itself.	3.0	Despite not being able to fulfill the intention, the moral intent was to visit the father out of care and respect.	-1.45	train		
3	Mickelberg	Person X stepped in when a friend at a pub was getting assaulted for being dark skinned.	orig		Person X	Person X assumed the responsibility to intervene in a situation of injustice.	Friend at a pub who was being assaulted for being dark-skinned	The assumption made is that the friend was in a vulnerable position and needed help.	9.0	The action of stepping in to prevent assault aligns with treating humanity as an end in itself.	3.0	Intervening to protect someone from harm is morally praiseworthy.	3.18	train		
4	Effron	Gave a beggar a five-dollar bill at Christmas time	orig		I	Assumed the agent is a person capable of making moral decisions.	The beggar	Assumed the beggar is a human being deserving of respect and dignity.	9.0	The action respects the dignity of the beggar by providing assistance without exploiting them.	3.0	The action aligns with Kant's categorical imperative by treating the beggar as an end in itself.	1.93103448	train		
5	Lotto	You are the safety officer in charge of a fun park. One of the metal arms of the ferris wheel suddenly breaks because of a structural defect. Four people are stranded in a cabin 80 metres up in the air. Another person is in a cabin just a few metres from ground level and is able to get off alone. The whole structure is falling down.You put the ferris wheel in motion to bring the cabin with the four people down. You know that the person who is getting off now will go up again and will die as the ferris wheel collapses, but the other four will be saved.	orig		Safety officer	Capable of making decisions in emergency situations	People on the ferris wheel	In danger of falling due to structural defect	9.0	The action prioritizes saving the lives of the four people, treating them as ends in themselves.	3.0	The safety officer made a difficult decision to save the majority, sacrificing one life to save four others.	-1.11	train		
6	Kruepke	When I was a teenager, my sister and I used to sneak out the bedroom window to go out dancing. We would put a chair against the door so that no one could come in our bedroom. A couple of times we got caught.	orig		I	The agent is a teenager who wanted to go out dancing with their sister.	Parents or guardians	The affected party is assumed to be the parents or guardians who may be worried about the safety of the teenagers.	2.0	The action involves deception and potential danger, treating the affected party as a means.	-2.0	The action lacks consideration for the well-being of the affected party.	-0.32	train		
7	Mickelberg	Person X ordered pizza while at their friend's farewell party.	orig		Person X	Person X wanted to order pizza for their friend's farewell party.	Friend's farewell party attendees	Assumed the attendees would enjoy having pizza at the party.	8.0	Ordering pizza for a party is a common practice and can be considered treating the attendees as an end in itself.	3.0	The action is morally acceptable as it contributes to the enjoyment of the party.	0.61	train		
8	Lotto	It is evening. A friend calls you saying that he has a terrible migraine headache. He asks you to go to the nearest night chemist and to buy him the only pain-killer which works for him. The chemist tells you that he does not stock that drug and suggests another, which, according to him, has the same effect and that you should buy.You buy the migraine drug that the chemist suggests. You make your friend take it without showing him the box. He will think he is taking the one he asked for.	orig		You	You assumed the role of a caring friend trying to help alleviate your friend's pain.	Your friend	You assumed your friend trusts you to act in their best interest.	9.0	The action prioritizes the well-being of the affected party over personal gain.	2.0	Although deceiving, the action is motivated by care and concern for the friend's well-being.	1.3	train		
9	Effron	Took a friend out for a beer to celebrate his promotion	orig		I	Assumed I wanted to celebrate my friend's promotion	Friend	Assumed my friend would appreciate the gesture	9.0	Buying a friend a beer to celebrate is a common social norm that is generally accepted as treating the friend as an end in itself.	3.0	The action is morally acceptable as it shows care and support for the friend's achievement.	1.48571424	train		
10	Grizzard	Fires teargas into a crowd of civilians.	orig		Police officer	Assumed the police officer was following orders to disperse the crowd	Civilians in the crowd	Assumed the civilians were peacefully protesting	2.0	The action treats the civilians as a means to an end, disregarding their humanity.	-3.0	Using force against peaceful civilians is morally unacceptable.	-1.626666667	train		
