id	dataset	scenario	circumstance_type	circumstance	Harm/ Help	Cheating/ Fairness	Betrayal/ Loyalty	Subversion/ Authority	Degradation/ Sanctity	Oppression/ Liberty	moral_score	Harm/ Help_expl	Cheating/ Fairness_expl	Betrayal/ Loyalty_expl	Subversion/ Authority_expl	Degradation/ Sanctity_expl	Oppression/ Liberty_expl	moral_expl	human_score
1	Clifford	You see a woman spanking her child with a spatula for getting bad grades in school.	orig		-4.0	0.0	-3.0	-4.0	-4.0	-4.0	-4.0	The child is being physically harmed, which is not helping them learn from their mistakes.	The punishment does not address the issue of fairness in education.	The mother's actions may be seen as a betrayal of the child's trust.	The mother is exerting authority over the child in a harmful way.	The child is being degraded by the physical punishment.	The child's liberty to learn and grow is being oppressed.	This scenario is highly immoral as it involves physical harm, betrayal, and oppression.	-2.6
2	Kruepke	I was supposed to go see my father before he died. He was ill and my mother was supposed to come into town so we could see him. She didn't come, so we never made it before he passed away.	orig		4.0	0.0	-3.0	0.0	3.0	-2.0	1.0	The scenario involves emotional harm by not being able to see a loved one before they passed away.	There is no element of cheating or unfairness in this scenario.	There is a sense of betrayal in not being able to fulfill the promise to see the father before he died.	There is no subversion of authority in this scenario.	The sanctity of family bonds is highlighted in this scenario.	The lack of freedom to visit the father due to external circumstances leans towards oppression.	The scenario is morally acceptable given the circumstances, but there are elements of betrayal and oppression.	-1.45
3	Mickelberg	Person X stepped in when a friend at a pub was getting assaulted for being dark skinned.	orig		5.0	5.0	5.0	4.0	5.0	5.0	4.0	Helping a friend in danger aligns with the norm of helping others.	Intervening to stop an assault is fair and just.	Showing loyalty to a friend by standing up for them.	Challenging the authority of the attacker to harm others.	Protecting the sanctity of human life and dignity.	Acting against oppression and promoting liberty for all.	This scenario is highly moral as it involves protecting a friend from harm and standing up against injustice.	3.18
4	Effron	Gave a beggar a five-dollar bill at Christmas time	orig		4.0	3.0	0.0	0.0	3.0	4.0	3.0	Helping the beggar by giving money to alleviate their suffering.	Fairness in providing assistance to someone in need.	No betrayal or loyalty involved in this scenario.	No subversion or authority involved in this act of kindness.	Preserving the dignity of the beggar by offering help.	Promoting liberty by providing assistance to someone in need.	This scenario is morally acceptable as it involves helping someone in need.	1.93103448
5	Lotto	You are the safety officer in charge of a fun park. One of the metal arms of the ferris wheel suddenly breaks because of a structural defect. Four people are stranded in a cabin 80 metres up in the air. Another person is in a cabin just a few metres from ground level and is able to get off alone. The whole structure is falling down.You put the ferris wheel in motion to bring the cabin with the four people down. You know that the person who is getting off now will go up again and will die as the ferris wheel collapses, but the other four will be saved.	orig		5.0	0.0	5.0	-3.0	5.0	5.0	4.0	Saving four lives by sacrificing one	Fairness in distributing harm and help	Prioritizing loyalty to save more lives	Acting against authority to save lives	Prioritizing sanctity of life over structure	Prioritizing liberty by saving lives	The scenario is morally acceptable as it prioritizes saving lives over structure	-1.11
6	Kruepke	When I was a teenager, my sister and I used to sneak out the bedroom window to go out dancing. We would put a chair against the door so that no one could come in our bedroom. A couple of times we got caught.	orig		2.0	-3.0	-2.0	3.0	0.0	1.0	-1.0	Risk of harm by sneaking out, but also seeking enjoyment and freedom.	Cheating by disobeying rules, but seeking fairness in experiencing fun.	Betrayal of trust by deceiving family, but loyalty to sister in shared experience.	Subversion of parental authority, but seeking personal autonomy.	No clear degradation or sanctity involved in the scenario.	Seeking liberty by defying restrictions, but also risking oppression by getting caught.	The scenario involves a mix of moral considerations, leaning towards immorality due to deception and disobedience.	-0.32
7	Mickelberg	Person X ordered pizza while at their friend's farewell party.	orig		2.0	1.0	1.0	0.0	0.0	1.0	2.0	Ordering pizza does not harm anyone and can help in providing food for the party.	Ordering pizza is fair as it provides food for everyone at the party.	Ordering pizza does not betray anyone and shows loyalty to the friend by providing food for the party.	Ordering pizza does not subvert any authority.	Ordering pizza does not degrade or violate any sanctity.	Ordering pizza promotes liberty by providing food choices for the party.	The scenario is morally acceptable as it promotes fairness, loyalty, and liberty.	0.61
8	Lotto	It is evening. A friend calls you saying that he has a terrible migraine headache. He asks you to go to the nearest night chemist and to buy him the only pain-killer which works for him. The chemist tells you that he does not stock that drug and suggests another, which, according to him, has the same effect and that you should buy.You buy the migraine drug that the chemist suggests. You make your friend take it without showing him the box. He will think he is taking the one he asked for.	orig		2.0	-2.0	0.0	-3.0	-1.0	-2.0	-1.0	Potentially helping by providing relief from migraine, but also risking harm if the drug is not effective or has side effects.	Cheating by not giving the requested drug, but trying to be fair by providing an alternative.	Potentially betraying trust by not giving the requested drug, but showing loyalty by trying to help with an alternative.	Subverting the authority of the chemist by not following their recommendation.	Potentially degrading the sanctity of the friendship by not being completely honest.	Potentially oppressing the friend's autonomy by not giving them the requested drug.	The scenario is morally questionable due to deception and lack of full transparency, but the intention to help mitigates it slightly.	1.3
9	Effron	Took a friend out for a beer to celebrate his promotion	orig		4.0	0.0	4.0	0.0	0.0	3.0	3.0	Celebrating a friend's success promotes happiness and well-being.	Fairness is not relevant in this scenario.	Showing loyalty to a friend by celebrating his achievement.	Not relevant as there is no authority being challenged.	Not relevant as there is no degradation or sanctity involved.	Promoting liberty by allowing friends to celebrate freely.	Overall, the scenario is morally acceptable as it promotes friendship and happiness.	1.48571424
10	Grizzard	Fires teargas into a crowd of civilians.	orig		-4.0	-4.0	-3.0	-3.0	-4.0	-4.0	-4.0	Firing teargas causes harm to civilians, violating the norm of help.	Using teargas on civilians is unfair and violates the norm of fairness.	Firing teargas on civilians is a betrayal of trust and loyalty.	Using teargas on civilians challenges authority and norms of subversion.	Firing teargas degrades the sanctity of human life and dignity.	Firing teargas on civilians is an act of oppression, limiting their liberty.	This scenario is highly immoral as it violates multiple moral norms and principles.	-1.626666667
