id	dataset	scenario	circumstance_type	circumstance	moral_score	moral_expl	all_moral_scores	human_score
147	Mickelberg	Person X successfully remembered their coworkers' overly complicated coffee orders without writing them down.	orig	Coworkers have unique preferences and appreciate personalized service.	3.0	Effort to remember shows care and consideration for coworkers' preferences.	[3.0]	0.79
148	Mickelberg	Person X tried to patch a puncture in the wheel of their bike but couldn't, so they purchased a new tube instead.	orig	Inability to patch the puncture despite trying	3.0	Effort was made to fix the issue before resorting to buying a new tube	[3.0]	0.34
149	Kruepke	I was helping my friend move and she took advantage of my help. She made me clean most of her house and wanted to use my car to move all of her stuff. She didn't pay for the gas that I used or even thank me.	orig	Friend taking advantage of help during a stressful time.	-3.0	Taking advantage of someone's kindness and not showing gratitude is morally unacceptable.	[-3.0]	-1.39
150	Effron	Provided food and clothing for flood victims	orig	Natural disaster causing loss of basic needs	4.0	Providing essential items to those in need during a crisis	[4.0]	3.22666664
151	Lotto	You are the pilot of a helicopter taking four people on a sight-seeing trip in the French Alps, at an altitude of about 2,000 metres. At a certain point, the helicopter loses altitude and no longer responds to the commands. You send out a mayday signal and try various manoeuvres, but the helicopter continues to fall and risks crashing into a rock face.To gain altitude, you push the person next to you out of the helicopter. You know that this person will plummet to the ground and will die, but you and the other three will be saved.	orig	Immediate danger of crashing into a rock face at high altitude	3.0	Sacrificing one to save four lives in a life-threatening situation	[3.0]	-1.8
152	Mickelberg	Person X donates blood once a month even though they have a strong fear of needles.	orig	Person X donates blood to save lives despite fear of needles.	3.0	Altruistic act outweighs personal discomfort.	[3.0]	2.78
153	Effron	Picked up a child so that she could see the parade	orig	Parent wanting child to experience joy of parade	4.0	Act of kindness and creating a memorable experience for the child	[4.0]	2.45161288
154	Kruepke	I went to the movies a couple of months ago, to see a film. When that film was done, instead of leaving the theater, I just went into another of the theaters within the complex. I watched another movie without paying.	orig	Unintentional mistake or misunderstanding	1.0	Assumed movies were included in ticket price or theater hopping was allowed.	[1.0]	-1.39
155	Clifford	You see a girl asking for allowance even though her brother did her chores for her.	orig	Girl is taking advantage of her brother's kindness and labor.	-3.0	It is morally unacceptable to exploit someone else's work for personal gain.	[-3.0]	-2.7
156	Clifford	You see a soccer player pretending to be seriously fouled by an opposing player.	orig	Player is trying to draw a foul to help their team win.	1.0	It is a common tactic in soccer to gain an advantage.	[1.0]	-2.5
157	Kruepke	When I was eleven or twelve, I called someone a racial name. The person I'd called the name was a sort of a friend of my sister's. It got back to her and she was humiliated.	orig	Peer pressure or influence from family or friends to use racial slurs.	-4.0	Using racial slurs is never acceptable, regardless of external pressures.	[-4.0]	-2.54
158	Effron	Swore at a cashier who made an error on his bill	orig	Cashier repeatedly made errors and was rude.	2.0	Customer's frustration and anger may be justified due to poor service.	[2.0]	-2.34666672
159	Effron	Spat off the balcony at the theater	orig	Disagreement with the performance or behavior of the actors.	-3.0	Disrespectful and disruptive behavior towards the performers and other audience members.	[-3.0]	-2.3
160	Clifford	You see someone at the school gym lifting free weights in nice business clothes.	orig	Person had no time to change after work.	3	Efficient use of time and dedication to fitness.	[3]	-0.2
161	Clifford	You see a man secretly voting against his wife in a local beauty pageant.	orig	The man disagrees with his wife's participation in beauty pageants.	2.0	He may have personal beliefs against objectifying women in such competitions.	[2.0]	-1.9
162	Effron	Invited an unpopular coworker to go to lunch with him	orig	Coworker is often excluded from social activities.	3.0	Promotes inclusivity and kindness in the workplace.	[3.0]	1.825
163	Kruepke	For the past two Christmases we had our family celebration at my sister’s house. I’m not really partial to her husband and their kids are spoiled rotten, which makes for an unpleasant Christmas. So for the last two Christmases in a row, I didn’t go visit that part of my family.	orig	Disliking sister's husband and spoiled kids	2	Avoiding unpleasant family dynamics for personal well-being	[2]	-0.71
164	Clifford	You see a homosexual in a gay bar offering sex to anyone who buys him a drink.	orig	Consensual transaction between adults in a designated space for such activities.	3.0	Both parties are aware and agree to the terms, no harm is done to anyone else.	[3.0]	-2.6
165	Clifford	You see a professor giving a bad grade to a student just because he dislikes him.	orig	Professor's personal bias against the student	-4.0	Unfair grading based on personal feelings rather than academic performance	[-4.0]	-3.7
166	Mickelberg	Person X could have saved the life of a man stabbed in a dark alley but couldn't be bothered calling an ambulance.	orig	Person X was in a hurry to catch a flight and feared missing it.	-2.0	The urgency of catching a flight may have clouded their judgment and sense of responsibility.	[-2.0]	-3.2
167	Clifford	You see a woman pressuring her daughter to become a famous evening news anchor.	orig	Mother believes fame and success will bring happiness and fulfillment to her daughter.	2	The mother's intentions are likely well-meaning but misguided.	[2]	-1.5
168	Lotto	You are at sea aboard a rubber dinghy with a friend and another two people whom you do not know. In the distance, you can see a boat in difficulty which has caught fire. The six people on board have jumped into the water and are drowning. To save them you must head towards them at high speed, but the dinghy is too heavy.To lighten the load, you push overboard the two people you do not know. You know that they cannot swim and will drown, but the six other people in the water will be saved.	orig	Immediate danger to six people in the water	4	Sacrificing two to save six in a life-threatening situation	[4]	-1.55
169	Kruepke	Just a few weeks ago I got a call from my friend's niece. She was living in my town and having some financial difficulties. I told her that she could come live with me for one week just until she got her act together.	orig	Friend's niece in financial difficulties needing temporary shelter.	4.0	Providing temporary shelter to someone in need is a compassionate act.	[4.0]	2.42
