id	dataset	scenario	circumstance_type	circumstance	vulnerable_score	intentional_score	harm_score	help_score	moral_score	vulnerable_expl	intentional_expl	harm_expl	help_expl	moral_expl	agent	assumption_for_agent	patient	assumption_for_patient	human_score	think_trace	split	regression_score	mlp_score
1	Clifford	You see a woman spanking her child with a spatula for getting bad grades in school.	orig		10.0	9.0	7.0	0.0	-4.0	Children are defenseless and highly susceptible to harm. (10 words)	Spanking with an object shows premeditated disciplinary intent. (6 words)	Physical punishment causes significant physical and emotional harm. (7 words)	No assistance or protection was provided. (5 words)	High harm, high vulnerability, no help, high intentionality. (7 words)	The woman	She is the child's mother and believes physical punishment improves behavior	The child	The child is young, dependent, and unable to defend themselves	-2.6	The agent is the woman, likely the child's mother, as she is performing the action. I assume she is acting as a disciplinarian, possibly believing physical punishment corrects behavior. The patient is the child, who is young and dependent. Children are inherently vulnerable due to lack of physical and emotional autonomy. The act of spanking with a spatula suggests deliberate discipline, indicating high intentionality. While not life-threatening, physical punishment causes psychological and physical harm, especially in children. No help is provided; instead, harm is inflicted. Given high vulnerability, high intentionality, and moderate to high harm with no help, the act is morally unacceptable.	train		
2	Kruepke	I was supposed to go see my father before he died. He was ill and my mother was supposed to come into town so we could see him. She didn't come, so we never made it before he passed away.	orig		10.0	4.0	9.0	1.0	-3.0	He was terminally ill and nearing death, highly defenseless. (13 words)	Her absence may reflect choice, but not necessarily premeditated malice. (9 words)	Missing a final goodbye caused deep, lasting emotional harm. (7 words)	She failed to enable a crucial emotional closure. (6 words)	High harm, high vulnerability, low help: morally negative. (7 words)	My mother	She chose not to come despite knowing the importance.	My father	He wanted to see me before he died and was emotionally dependent on it.	-1.45	Q1: The agent is the person whose action (or inaction) led to the outcome. Here, the mother was supposed to come into town to enable the visit, but she didn't, so she is the agent.  Q2: The assumption about the mother is that she chose not to come, possibly due to personal reasons, conflict, or avoidance, implying she had the ability but not the will to act.  Q3: The patient is the father, who was ill and awaiting the visit, and ultimately died without seeing the narrator.  Q4: The assumption about the father is that he was emotionally and physically vulnerable, wanting to see his child before passing.  Q5: The father was very ill and nearing death, making him highly defenseless—this is maximum vulnerability.  Q6: The mother’s failure to come may have been intentional or not, but there's no evidence of planning; likely medium-low intentionality due to possible emotional conflict.  Q7: The harm is significant emotionally—missing a final goodbye and closure—approaching maximum emotional harm, though not physical.  Q8: No help was provided by the mother in facilitating the visit; her inaction prevented a meaningful event, so help is minimal.  Q9: High vulnerability, high harm, low help, and moderate intentionality point to a morally negative scenario, but not malicious—so moderately immoral.	train		
3	Mickelberg	Person X stepped in when a friend at a pub was getting assaulted for being dark skinned.	orig		9.0	9.0	7.0	9.0	4.0	The patient was under physical attack and defenseless. (13 words)	Intervening in an assault requires conscious, deliberate choice. (7 words)	Assault involves significant physical and emotional harm. (6 words)	Stepping in directly stopped harm and saved the friend. (8 words)	High help, high intentionality, and high vulnerability imply strong morality. (9 words)	Person X	That they were morally courageous and protective.	The friend who was being assaulted	That they were targeted due to their race and were in distress.	3.18	Person X is the one who intervened, so they are the agent. It's reasonable to assume they acted courageously and with moral conviction. The patient is the friend who was being assaulted, targeted due to their skin color. This suggests the patient is vulnerable due to being under attack. The assault implies significant harm was occurring. Person X stepping in indicates protective intent, likely deliberate. Their action likely prevented further harm, providing critical help. Given high vulnerability, high help, and high intentionality, the act is highly moral.	train		
4	Effron	Gave a beggar a five-dollar bill at Christmas time	orig		8.0	6.0	0.0	4.0	3.0	Beggars often lack stable income or support, increasing vulnerability (8 words)	Giving money was deliberate but likely spontaneous, not highly planned (7 words)	Giving money causes no harm; it's a neutral or positive act (8 words)	A small donation provides minor financial relief, but not life-changing help (9 words)	Low harm, moderate help, high vulnerability: morally positive but not extreme (10 words)	The person who gave the five-dollar bill	They were acting generously, possibly influenced by the Christmas spirit	The beggar	They are in financial need and likely lacking basic resources	1.93103448	The agent is the person giving the money, likely a passerby or donor. I assume they acted with goodwill, especially at Christmas. The patient is the beggar, assumed to be in a disadvantaged position. Begging suggests socioeconomic vulnerability, placing them high on the vulnerability scale. The act of giving money is deliberate, not accidental, but may not involve deep planning—moderate intentionality. No harm is caused; instead, help is provided. A five-dollar bill is a modest donation, so help is minor but positive. Morally, this is favorable but not heroic, so moderately positive.	train		
5	Lotto	You are the safety officer in charge of a fun park. One of the metal arms of the ferris wheel suddenly breaks because of a structural defect. Four people are stranded in a cabin 80 metres up in the air. Another person is in a cabin just a few metres from ground level and is able to get off alone. The whole structure is falling down.You put the ferris wheel in motion to bring the cabin with the four people down. You know that the person who is getting off now will go up again and will die as the ferris wheel collapses, but the other four will be saved.	orig		10.0	10.0	10.0	10.0	3.0	The patient is defenseless and unaware, facing certain death due to structural collapse. (19 words)	The officer deliberately activated the wheel after assessing risks, showing full intent. (16 words)	One person dies as a direct result of the action—maximum harm. (15 words)	Four lives are saved from imminent danger—critical, life-saving help. (16 words)	Sacrificing one to save four may be seen as morally justifiable. (16 words)	The safety officer	The safety officer is responsible for making critical decisions during emergencies and acted to minimize loss of life.	The person getting off near ground level	The person is unaware of the danger they are being pulled back into and cannot prevent it.	-1.11	The agent is the safety officer, who made a deliberate decision under pressure. The patient is the person near the ground who will die as the wheel moves. This person is highly vulnerable due to helplessness in the situation. The action was highly intentional, involving a calculated decision. Maximum harm occurs as one person dies. Maximum help occurs by saving four lives. The moral judgment balances one death against four saved, leaning toward acceptable due to greater good.	train		
6	Kruepke	When I was a teenager, my sister and I used to sneak out the bedroom window to go out dancing. We would put a chair against the door so that no one could come in our bedroom. A couple of times we got caught.	orig		7.0	8.0	3.0	0.0	-1.0	Guardians are typical adults with average susceptibility to stress or worry. (14 words)	Used a chair as a barrier; planned the exit in advance. (8 words)	Emotional concern or stress, but no physical or lasting damage. (9 words)	No assistance or protection was provided to anyone. (7 words)	Low harm and deception, but no severe moral violation. (8 words)	The speaker and their sister	They assumed they could avoid detection and consequences	Their parents or guardians	They assumed the guardians would not discover the sneaking out	-0.32	The agents are the speaker and their sister, both teenagers acting together. They assumed they wouldn't be caught and could outsmart their guardians. The patient is the family or guardians who were deceived, as they were responsible for the teens' safety. The guardians are typical adults, hence medium-high vulnerability. The action was planned (sneaking out, using a chair), so high intentionality. No real harm was done—just rule-breaking—so minor harm. No help was provided. Overall, mildly immoral due to deception and risk, but not severely.	train		
7	Mickelberg	Person X ordered pizza while at their friend's farewell party.	orig		0.0	6.0	0.0	5.0	2.0	Pizza is inanimate and meant to be eaten. (12 words)	Ordering food involves basic planning but is routine. (7 words)	No harm; pizza is meant to be consumed. (6 words)	Provided food for enjoyment at a social event. (7 words)	Neutral act with minor social benefit. (5 words)	Person X	They wanted to eat or contribute to the party.	The pizza	It is food intended to be consumed.	0.61	Person X performed the action of ordering pizza, so they are the agent. It's reasonable to assume they acted out of hunger or social consideration. The patient is the pizza, which is an inanimate food item. Since the pizza is not alive, it has minimal vulnerability. Ordering pizza is a deliberate but routine act, so intentionality is moderate. No harm is caused by ordering food; if anything, it may bring enjoyment. The act could offer minor help by feeding people at the party. Overall, the scenario is neutral to slightly positive morally.	train		
8	Lotto	It is evening. A friend calls you saying that he has a terrible migraine headache. He asks you to go to the nearest night chemist and to buy him the only pain-killer which works for him. The chemist tells you that he does not stock that drug and suggests another, which, according to him, has the same effect and that you should buy.You buy the migraine drug that the chemist suggests. You make your friend take it without showing him the box. He will think he is taking the one he asked for.	orig		8.0	7.0	4.0	6.0	1.0	Ill and dependent on medication, thus highly vulnerable due to health state (8 words)	Action involved decision-making but was not premeditated over time (7 words)	Deception may cause psychological harm; physical harm only if drug is ineffective or harmful (9 words)	Provided potential pain relief, which is significant but not life-saving (7 words)	Moderate help with some harm from deception; net slightly positive morally (8 words)	The friend who went to the chemist	The agent intended to help and believed the suggested drug was safe	The friend with the migraine	The patient is in pain and trusts the agent to provide the correct medication	1.3	The agent is the friend who went to the chemist, acting on the request. I assume the agent intended to help. The patient is the friend with the migraine, assumed to be in pain and trusting. He is highly vulnerable due to illness and reliance on medication. The action was intentional but not malicious—moderate planning involved. Harm is low if the substitute works, but deception exists. Help is moderate, as relief may occur. Morally, deception lowers acceptability, but intent to help raises it.	train		
9	Effron	Took a friend out for a beer to celebrate his promotion	orig		6.0	8.0	0.0	7.0	3.0	The patient is a healthy adult, moderately vulnerable in general life contexts. (14 words)	The action involved planning to celebrate, indicating clear intent. (7 words)	No harm was caused; the action was positive and social. (8 words)	Emotional support through celebration provides meaningful but not critical help. (9 words)	Positive intent and help, no harm; socially and morally commendable. (8 words)	The person who took the friend out for a beer	The agent intended to celebrate and show support for their friend's achievement	The friend who was promoted	The patient is a typical adult, capable and socially engaged	1.48571424	The agent is the person who initiated the action—taking a friend out for a beer. This is likely the speaker or narrator, who is celebrating their friend's promotion. The assumption is that the agent is acting generously and socially, intending to honor the friend.  The patient is the friend who got promoted and is being celebrated. The assumption is that they are a typical adult, capable of making decisions and not in a compromised state.  The patient has medium-high vulnerability (6-8) because they are a typical adult—neither especially vulnerable nor invulnerable. However, since the context is positive and social, no actual harm is implied.  The action was intentional (6-8), as going out for a beer to celebrate involves planning—choosing a place, time, and purpose.  No harm was caused; in fact, the opposite. The action is celebratory and benign, so harm is minimal (0-2).  Help is moderate (6-8) because celebrating a friend’s success supports their emotional well-being and strengthens social bonds.  Morally, the scenario is positive but not heroic. It’s a kind, socially appropriate act—so moderately to highly moral, but not extreme. Thus, a score of 3 is appropriate.	train		
10	Grizzard	Fires teargas into a crowd of civilians.	orig		9.0	9.0	8.0	0.0	-4.0	Civilians are defenseless against chemical agents and easily harmed. (14 words)	Deploying teargas requires deliberate use of force, not accidental. (8 words)	Teargas causes severe pain, breathing issues, and potential injury. (9 words)	No assistance was provided; harm was actively inflicted. (7 words)	High harm, high intentionality, and no help imply extreme immorality. (9 words)	A law enforcement officer	The agent was acting in an official capacity to control the crowd	A crowd of civilians	The patients were non-violent individuals present in the area	-1.626666667	The agent is likely a law enforcement officer, as teargas is typically deployed by authorities in crowd control situations. This assumes the agent is acting in an official capacity. The patients are civilians, assumed to be ordinary individuals present in the crowd, not engaged in violence. Civilians are generally vulnerable when facing chemical agents without protection. Exposure to teargas causes significant physical distress, indicating high harm. The action is likely deliberate, as deploying teargas requires conscious decision-making. No help is provided; instead, harm is inflicted. Given high vulnerability, high harm, high intentionality, and no help, the act is morally unacceptable.	train		
