id	dataset	scenario	circumstance_type	circumstance	Q1_score	Q1_expl	Q2_score	Q2_expl	Q3_score	Q3_expl	Q4_score	Q4_expl	Q5_score	Q5_expl	Q6_score	Q6_expl	Q7_score	Q7_expl	moral_score	moral_expl	human_score	split	regression_score	mlp_score
1	Clifford	You see a woman spanking her child with a spatula for getting bad grades in school.	orig		7.0	Spanking for bad grades may be seen as caring for offspring's education.	5.0	Spanking may not directly relate to group loyalty.	5.0	Spanking may not directly relate to reciprocity.	5.0	Spanking may not directly relate to heroic virtues.	5.0	Spanking may not directly relate to monkish virtues.	5.0	Spanking may not directly relate to fairness in dividing resources.	5.0	Spanking may not directly relate to recognition of prior possession.	0.0	The scenario is controversial and can be seen as morally acceptable or unacceptable.	-2.6	train		
2	Kruepke	I was supposed to go see my father before he died. He was ill and my mother was supposed to come into town so we could see him. She didn't come, so we never made it before he passed away.	orig		2.0	Failing to see a dying family member goes against caring for offspring and helping family members.	5.0	Not directly related to group loyalty as it is a personal family matter.	1.0	Lack of reciprocity in not fulfilling the promise to visit the father before he passed away.	5.0	No direct display of heroic virtues in this scenario.	3.0	Lack of monkish virtues like deference and respect towards the father's situation.	5.0	Fairness is not directly applicable in this scenario.	5.0	No relevance to recognition of prior possession in this context.	-2.0	The scenario is morally questionable due to the lack of fulfilling a family obligation.	-1.45	train		
3	Mickelberg	Person X stepped in when a friend at a pub was getting assaulted for being dark skinned.	orig		8.0	Stepping in to help a friend reflects caring for offspring and protecting family members.	9.0	Intervening in a situation to protect a friend shows loyalty to the group.	8.0	Helping a friend in need demonstrates reciprocity and loyalty.	9.0	Intervening in a potentially dangerous situation requires bravery and courage.	3.0	Standing up against injustice shows a lack of deference and respect for unfair treatment.	8.0	Protecting a friend from assault is a fair and just action.	5.0	Prior possession is not relevant in this scenario.	3.0	The action of stepping in to help a friend being assaulted is morally acceptable.	3.18	train		
4	Effron	Gave a beggar a five-dollar bill at Christmas time	orig		8.0	Helping those in need reflects caring for others, a key aspect of family values.	7.0	Showing compassion towards a stranger aligns with group loyalty and local conventions.	6.0	Giving to a beggar can be seen as reciprocating kindness and expressing gratitude.	5.0	While not a heroic act, showing kindness and generosity can be considered virtuous.	7.0	Displaying humility and compassion towards others reflects monkish virtues.	6.0	The act of giving to a beggar can be seen as fair and just.	7.0	Recognizing the need of the beggar and giving reflects deferring to prior possession.	3.0	Overall, the action of giving to a beggar at Christmas time is morally acceptable.	1.93103448	train		
5	Lotto	You are the safety officer in charge of a fun park. One of the metal arms of the ferris wheel suddenly breaks because of a structural defect. Four people are stranded in a cabin 80 metres up in the air. Another person is in a cabin just a few metres from ground level and is able to get off alone. The whole structure is falling down.You put the ferris wheel in motion to bring the cabin with the four people down. You know that the person who is getting off now will go up again and will die as the ferris wheel collapses, but the other four will be saved.	orig		8.0	Saving the four people reflects caring for others, a key aspect of family values.	7.0	Choosing to save the majority over the individual shows group loyalty.	9.0	The action reflects reciprocity by prioritizing saving the four people in return for the sacrifice of one.	9.0	Putting the ferris wheel in motion to save the stranded individuals demonstrates bravery and quick thinking.	8.0	The decision to save the majority over the individual aligns with monkish virtues of selflessness.	8.0	The action is fair as it prioritizes saving the four people over the one individual.	5.0	The recognition of prior possession is not relevant in this scenario.	3.0	The scenario is morally acceptable as it prioritizes saving the majority while acknowledging the sacrifice of one.	-1.11	train		
6	Kruepke	When I was a teenager, my sister and I used to sneak out the bedroom window to go out dancing. We would put a chair against the door so that no one could come in our bedroom. A couple of times we got caught.	orig		2.0	Sneaking out without informing family shows lack of care for offspring.	8.0	Sneaking out with sister shows loyalty to immediate family.	3.0	Sneaking out without permission shows lack of trust and reciprocity.	7.0	Sneaking out requires bravery and skill to avoid getting caught.	2.0	Disobeying rules and sneaking out shows lack of respect and obedience.	3.0	Not involving others in decision-making lacks fairness.	2.0	Not considering ownership of the house or room.	-1.0	Overall, the action is morally questionable due to lack of respect, trust, and fairness.	-0.32	train		
7	Mickelberg	Person X ordered pizza while at their friend's farewell party.	orig		8.0	Ordering pizza for a friend's farewell party shows caring for others.	9.0	Ordering pizza fosters group bonding and social interaction.	7.0	Reciprocity is shown by providing food for others in return for socializing.	5.0	No direct link to heroic virtues in ordering pizza for a party.	5.0	No direct link to monkish virtues in ordering pizza for a party.	8.0	Fairness is demonstrated by sharing food equally among party attendees.	5.0	No relevance to recognition of prior possession in this scenario.	3.0	Overall, ordering pizza for a friend's party is a morally acceptable action.	0.61	train		
8	Lotto	It is evening. A friend calls you saying that he has a terrible migraine headache. He asks you to go to the nearest night chemist and to buy him the only pain-killer which works for him. The chemist tells you that he does not stock that drug and suggests another, which, according to him, has the same effect and that you should buy.You buy the migraine drug that the chemist suggests. You make your friend take it without showing him the box. He will think he is taking the one he asked for.	orig		8.0	Helping a friend in need reflects caring for others, a key family value.	9.0	Assisting a friend demonstrates loyalty and forming friendships.	7.0	Buying the painkiller for a friend shows reciprocity and trust in relationships.	8.0	Taking action to alleviate a friend's suffering shows bravery and compassion.	7.0	Acting selflessly to help a friend reflects humility and respect for others.	6.0	Choosing a solution that benefits the friend demonstrates fairness and compromise.	5.0	Prior possession is not relevant in this scenario.	3.0	The scenario is morally acceptable as it demonstrates care and loyalty towards a friend.	1.3	train		
9	Effron	Took a friend out for a beer to celebrate his promotion	orig		8.0	Celebrating a friend's success promotes family values of caring and support.	9.0	Taking a friend out for a beer shows group loyalty and friendship.	7.0	Reciprocating the celebration of a friend's promotion reflects gratitude and trust.	5.0	The action may not directly relate to heroic virtues.	5.0	The action may not directly relate to monkish virtues.	5.0	The action does not involve dividing disputed resources or reaching a compromise.	5.0	The action does not involve recognition of prior possession.	3.0	Overall, the scenario is morally acceptable as it promotes friendship and support.	1.48571424	train		
10	Grizzard	Fires teargas into a crowd of civilians.	orig		5.0	Tearing gas into a crowd of civilians does not directly relate to family values.	2.0	Using teargas on civilians goes against group loyalty and local conventions.	2.0	The action does not reflect reciprocity as it involves harm without reason.	2.0	The action does not demonstrate heroic virtues as it involves harming civilians.	2.0	The action does not align with monkish virtues as it lacks humility and respect.	2.0	The action does not show fairness as it involves using force against civilians.	2.0	The action does not recognize or defer to prior possession.	-4.0	The scenario is morally unacceptable as it involves harming innocent civilians.	-1.626666667	train		
11	Effron	Complimented coworkers on their clothing and appearance	orig		8.0	Complimenting coworkers shows care and support, reflecting family values.	7.0	Complimenting fosters positive relationships and group cohesion.	6.0	Compliments can lead to reciprocity and gratitude among coworkers.	7.0	Complimenting coworkers may demonstrate social skills and kindness.	6.0	Complimenting with humility and respect can enhance workplace harmony.	7.0	Complimenting coworkers can promote fairness and positivity in the workplace.	8.0	Compliments acknowledge others' efforts and contributions.	3.0	Complimenting coworkers is morally acceptable and promotes a positive work environment.	1.17894736	train		
12	Kruepke	I was in a relationship with my best friend's cousin. She was really beautiful, but as time went on I became less attracted to her. I tried to tell her I didn't really want to see her anymore and she flipped out.	orig		3.0	Dating best friend's cousin may disrupt family harmony and loyalty.	4.0	Breaking up with cousin may show lack of loyalty to group.	2.0	Trying to end relationship shows lack of reciprocity towards partner.	8.0	Being honest about feelings reflects bravery and honesty.	5.0	Breaking up respectfully shows some monkish virtues.	4.0	Trying to end relationship shows some fairness towards partner.	5.0	Not applicable in this scenario.	2.0	Overall, the scenario is morally acceptable due to honesty and respect shown.	0.91	train		
13	Lotto	You are on holiday at the seaside and returning to shore in your motorboat. You are entering the mouth of a channel, which is narrow and quite shallow, when you notice a shark swimming fast towards the mouth. At the end of the channel is a swimmer, who is calmly bathing. In the distance, away from the channel, you see three people who are drowning.You turn quickly out of the channel, leaving the mouth free. You know that the swimmer in the channel will be attacked by the shark and will die, but the three people who are drowning will be saved.	orig		8.0	Choosing to save three people over one reflects caring for more individuals.	7.0	Prioritizing the group of three drowning people over the lone swimmer.	6.0	Sacrificing one to save three aligns with reciprocity towards the majority.	9.0	Acting quickly to save the majority shows bravery and quick thinking.	7.0	The decision to save the majority reflects humility and respect for life.	8.0	Choosing to save the majority is a fair decision in a life-threatening situation.	7.0	Recognizing the drowning people's need for help over the lone swimmer's leisure.	3.0	Saving the majority in a life-threatening situation is morally acceptable.	-0.46	train		
14	Mickelberg	Person X broke off all communication with their family for a while because they had a heated argument with each other.	orig		2.0	Breaking off communication goes against caring for family members.	3.0	Breaking off communication shows lack of group loyalty.	2.0	Breaking off communication does not reflect reciprocity.	3.0	Breaking off communication does not demonstrate heroic virtues.	2.0	Breaking off communication lacks monkish virtues like respect.	2.0	Breaking off communication does not reflect fairness in resolving conflicts.	2.0	Breaking off communication disregards prior possession of family ties.	0.0	The scenario is morally neutral as it lacks positive virtues but also does not involve extreme immorality.	-0.38	train		
15	Mickelberg	Person X presented their colleague's idea as their own in order to get a promotion.	orig		2.0	Taking credit for others' work goes against caring for offspring and helping family members.	2.0	Betraying a colleague's trust contradicts group loyalty and collaborative endeavors.	2.0	Presenting someone else's idea as your own lacks reciprocity and trustworthiness.	1.0	Taking credit for others' work does not demonstrate bravery, fortitude, skill, or wit.	1.0	Claiming someone else's idea as your own shows lack of humility and respect.	2.0	Presenting a colleague's idea as your own is unfair and lacks compromise.	1.0	Not acknowledging the original idea goes against recognizing prior possession.	-3.0	The scenario is morally unacceptable as it involves deceit and dishonesty.	-2.86	train		
16	Clifford	You see an employee joking with competitors about how bad his company did last year.	orig		5.0	The action does not directly relate to family values.	2.0	The action goes against group loyalty by joking with competitors.	1.0	The action lacks reciprocity as it involves mocking one's own company.	2.0	The action does not exhibit heroic virtues as it involves undermining one's own company.	1.0	The action lacks monkish virtues as it involves disrespect towards one's own company.	2.0	The action is unfair as it involves sharing sensitive company information with competitors.	1.0	The action does not recognize or defer to prior possession.	-3.0	The scenario is morally unacceptable due to lack of loyalty, reciprocity, and fairness.	-2.0	train		
