id	dataset	scenario	circumstance_type	circumstance	moral_score	moral_expl	all_moral_scores	human_score
1	Clifford	You see a woman spanking her child with a spatula for getting bad grades in school.	orig		-3.0	Physical punishment is harmful and ineffective, violating child's rights and dignity.	[-3.0]	-2.6
2	Kruepke	I was supposed to go see my father before he died. He was ill and my mother was supposed to come into town so we could see him. She didn't come, so we never made it before he passed away.	orig		0.0	Missing a chance to see a dying parent due to someone else's failure to show up is unfortunate, but not morally reprehensible.	[0.0]	-1.45
3	Mickelberg	Person X stepped in when a friend at a pub was getting assaulted for being dark skinned.	orig		4.0	Intervening to stop racial violence and protect a victim is a highly moral and courageous act.	[4.0]	3.18
4	Effron	Gave a beggar a five-dollar bill at Christmas time	orig		2.0	Giving to those in need is good, but impact is limited and context matters.	[2.0]	1.93103448
5	Lotto	You are the safety officer in charge of a fun park. One of the metal arms of the ferris wheel suddenly breaks because of a structural defect. Four people are stranded in a cabin 80 metres up in the air. Another person is in a cabin just a few metres from ground level and is able to get off alone. The whole structure is falling down.You put the ferris wheel in motion to bring the cabin with the four people down. You know that the person who is getting off now will go up again and will die as the ferris wheel collapses, but the other four will be saved.	orig		0.0	Sacrificing one life to save four is morally complex, balancing harm and utilitarian benefit.	[0.0]	-1.11
6	Kruepke	When I was a teenager, my sister and I used to sneak out the bedroom window to go out dancing. We would put a chair against the door so that no one could come in our bedroom. A couple of times we got caught.	orig		-1.0	Sneaking out and deceiving parents is a common teenage behavior, but it shows disrespect and lack of honesty.	[-1.0]	-0.32
7	Mickelberg	Person X ordered pizza while at their friend's farewell party.	orig		0.0	Ordering pizza at a friend's farewell party is a neutral action, neither harming nor benefiting others.	[0.0]	0.61
8	Lotto	It is evening. A friend calls you saying that he has a terrible migraine headache. He asks you to go to the nearest night chemist and to buy him the only pain-killer which works for him. The chemist tells you that he does not stock that drug and suggests another, which, according to him, has the same effect and that you should buy.You buy the migraine drug that the chemist suggests. You make your friend take it without showing him the box. He will think he is taking the one he asked for.	orig		-2.0	Deception and lack of informed consent undermine trust and autonomy, even if intention is to help.	[-2.0]	1.3
9	Effron	Took a friend out for a beer to celebrate his promotion	orig		3.0	Showing kindness and celebrating a friend's success is a positive and supportive action.	[3.0]	1.48571424
10	Grizzard	Fires teargas into a crowd of civilians.	orig		-4.0	Using teargas against civilians is a harmful and violent act, violating human rights and dignity.	[-4.0]	-1.626666667
11	Effron	Complimented coworkers on their clothing and appearance	orig		3.0	Showing appreciation and kindness towards others through genuine compliments is a positive and respectful behavior.	[3.0]	1.17894736
12	Kruepke	I was in a relationship with my best friend's cousin. She was really beautiful, but as time went on I became less attracted to her. I tried to tell her I didn't really want to see her anymore and she flipped out.	orig		0.0	Honesty about feelings is good, but handling the situation with empathy and care is important.	[0.0]	0.91
13	Lotto	You are on holiday at the seaside and returning to shore in your motorboat. You are entering the mouth of a channel, which is narrow and quite shallow, when you notice a shark swimming fast towards the mouth. At the end of the channel is a swimmer, who is calmly bathing. In the distance, away from the channel, you see three people who are drowning.You turn quickly out of the channel, leaving the mouth free. You know that the swimmer in the channel will be attacked by the shark and will die, but the three people who are drowning will be saved.	orig		0.0	Sacrificing one life to save three is morally complex, balancing harm and utilitarian benefit.	[0.0]	-0.46
14	Mickelberg	Person X broke off all communication with their family for a while because they had a heated argument with each other.	orig		0.0	Temporary communication break seen as understandable but not ideal for resolving family conflicts.	[0.0]	-0.38
15	Mickelberg	Person X presented their colleague's idea as their own in order to get a promotion.	orig		-3.0	Stealing credit undermines trust, fairness, and integrity, harming workplace relationships and ethical standards.	[-3.0]	-2.86
16	Clifford	You see an employee joking with competitors about how bad his company did last year.	orig		-2.0	Disloyalty and breach of confidentiality undermine trust and company interests.	[-2.0]	-2.0
17	Cook	Someone posts on social media bragging about making out with multiple strangers the night before	orig		-1.0	Bragging about casual, potentially harmful behavior shows lack of respect for others and oneself.	[-1.0]	-1.22
