scenario_id	participant_id	dataset	scenario	circumstance_type	circumstance	aspect1	aspect1_score	aspect1_expl	aspect2	aspect2_score	aspect2_expl	aspect3	aspect3_score	aspect3_expl	aspect4	aspect4_score	aspect4_expl	aspect5	aspect5_score	aspect5_expl	aspect6	aspect6_score	aspect6_expl	moral_score	moral_expl	human_score
5	0	Lotto	You are the safety officer in charge of a fun park. One of the metal arms of the ferris wheel suddenly breaks because of a structural defect. Four people are stranded in a cabin 80 metres up in the air. Another person is in a cabin just a few metres from ground level and is able to get off alone. The whole structure is falling down.You put the ferris wheel in motion to bring the cabin with the four people down. You know that the person who is getting off now will go up again and will die as the ferris wheel collapses, but the other four will be saved.	orig		Value of human life	10.0	The person values all human life equally, regardless of gender, nationality, or race.	Potential to save lives	10.0	The person believes in maximizing the number of lives saved in a situation.	Unfairness of outcome	1.0	The person perceives it as unfair to sacrifice one person to save four.	Personal responsibility	4.0	The person leans slightly conservative and may believe in taking personal responsibility for one's actions.	Religious beliefs	8.0	The person's Buddhist beliefs may emphasize compassion and non-harm to all beings.	Cultural background	7.0	The person's background may influence their perspective on community and collective responsibility.	2.0	The person is likely to find this scenario morally unacceptable due to the unfairness of sacrificing one person to save four, despite their slightly conservative leanings and religious beliefs.	4.0
5	1	Lotto	You are the safety officer in charge of a fun park. One of the metal arms of the ferris wheel suddenly breaks because of a structural defect. Four people are stranded in a cabin 80 metres up in the air. Another person is in a cabin just a few metres from ground level and is able to get off alone. The whole structure is falling down.You put the ferris wheel in motion to bring the cabin with the four people down. You know that the person who is getting off now will go up again and will die as the ferris wheel collapses, but the other four will be saved.	orig		Value of human life	10.0	The person values all human lives equally, regardless of gender, birthplace, or language.	Potential to save lives	9.0	The person believes in prioritizing actions that save more lives.	Unavoidable harm	7.0	The person acknowledges that some harm is unavoidable in this scenario.	Personal responsibility	8.0	The person feels responsible for the safety of all park guests.	Fairness	8.0	The person believes it is fair to save more lives, even if it means one person cannot be saved.	Individual rights	6.0	The person does not prioritize individual rights over the greater good in this scenario.	6.0	Based on the person's evaluation of the morality of the scenario, they find it highly moral, as it prioritizes saving more lives and minimizing harm.	4.0
5	2	Lotto	You are the safety officer in charge of a fun park. One of the metal arms of the ferris wheel suddenly breaks because of a structural defect. Four people are stranded in a cabin 80 metres up in the air. Another person is in a cabin just a few metres from ground level and is able to get off alone. The whole structure is falling down.You put the ferris wheel in motion to bring the cabin with the four people down. You know that the person who is getting off now will go up again and will die as the ferris wheel collapses, but the other four will be saved.	orig		Value of human life	10.0	The person values all human life equally, regardless of gender or ethnicity.	Potential to save lives	10.0	The person, being very liberal, prioritizes the potential to save more lives.	Individual safety	8.0	The person believes in ensuring individual safety, especially for Spanish speakers.	Age	5.0	The person, being 30, considers the age of those affected but does not discriminate based on age.	Structural factors	7.0	The person takes into account the urban context and potential impact on the city.	Cultural background	10.0	The person, of Puerto Rican descent, does not discriminate based on cultural background.	7.0	The person, being very liberal and valuing all human life equally, would find this scenario morally acceptable (score 7) as it prioritizes saving more lives, despite the risk to one individual.	4.0
5	3	Lotto	You are the safety officer in charge of a fun park. One of the metal arms of the ferris wheel suddenly breaks because of a structural defect. Four people are stranded in a cabin 80 metres up in the air. Another person is in a cabin just a few metres from ground level and is able to get off alone. The whole structure is falling down.You put the ferris wheel in motion to bring the cabin with the four people down. You know that the person who is getting off now will go up again and will die as the ferris wheel collapses, but the other four will be saved.	orig		Value of human life	10.0	The person values all human lives equally, regardless of their gender or ethnicity	Potential to save lives	10.0	The person believes in maximizing the number of lives saved	Avoidance of harm	10.0	The person wants to minimize harm and suffering	Personal safety	10.0	The person values their own safety and the safety of others	Justice	10.0	The person believes in treating everyone fairly and equitably	Individual rights	10.0	The person respects the autonomy and self-determination of individuals	1.0	Based on the person's strong commitment to the value of human life, potential to save lives, avoidance of harm, personal safety, justice, and individual rights, they would likely find this scenario highly immoral.	4.0
5	4	Lotto	You are the safety officer in charge of a fun park. One of the metal arms of the ferris wheel suddenly breaks because of a structural defect. Four people are stranded in a cabin 80 metres up in the air. Another person is in a cabin just a few metres from ground level and is able to get off alone. The whole structure is falling down.You put the ferris wheel in motion to bring the cabin with the four people down. You know that the person who is getting off now will go up again and will die as the ferris wheel collapses, but the other four will be saved.	orig		Value of human life	9.0	Atheist and female values prioritize human life and equality	Age of the people	10.0	Equal treatment of all ages	Structural integrity	8.0	Born and raised in the US, speaks English, lives in a city with a population of 25,000-49,999, implies awareness of safety regulations	Personal responsibility	7.0	Lives in a smaller city, implies a sense of community and personal responsibility	Cultural background	9.0	Latino heritage may prioritize family and community	Political beliefs	10.0	Very liberal political beliefs, implies a strong commitment to social justice	2.0	Considering the person's values and beliefs, they would likely view the scenario as highly immoral, as it prioritizes the lives of some over others.	4.0
5	5	Lotto	You are the safety officer in charge of a fun park. One of the metal arms of the ferris wheel suddenly breaks because of a structural defect. Four people are stranded in a cabin 80 metres up in the air. Another person is in a cabin just a few metres from ground level and is able to get off alone. The whole structure is falling down.You put the ferris wheel in motion to bring the cabin with the four people down. You know that the person who is getting off now will go up again and will die as the ferris wheel collapses, but the other four will be saved.	orig		Value of human life	10.0	The person values all human lives equally, regardless of gender, nationality, language, or religion	Potential to save lives	10.0	The person believes in prioritizing actions that have the potential to save more lives	Avoidance of harm	10.0	The person strives to minimize harm and suffering	Personal responsibility	10.0	The person feels responsible for the consequences of their actions	Fairness	10.0	The person believes in treating everyone fairly and equally	Individual rights	10.0	The person respects the rights and autonomy of individuals	1.0	Based on the person's strong commitment to the value of human life, potential to save lives, avoidance of harm, personal responsibility, fairness, and individual rights, they would find this scenario highly immoral (score: 1)	5.0
5	6	Lotto	You are the safety officer in charge of a fun park. One of the metal arms of the ferris wheel suddenly breaks because of a structural defect. Four people are stranded in a cabin 80 metres up in the air. Another person is in a cabin just a few metres from ground level and is able to get off alone. The whole structure is falling down.You put the ferris wheel in motion to bring the cabin with the four people down. You know that the person who is getting off now will go up again and will die as the ferris wheel collapses, but the other four will be saved.	orig		Value of human life	9.0	The person values human life, and it is important to minimize loss of life	Personal safety	9.0	The person identifies as Latino or Latina, and prioritizes safety for themselves and others	Fairness	8.0	The person is liberal, and values fairness and equality	Duty to protect	10.0	As a safety officer, the person has a duty to protect the public	Consequences of actions	9.0	The person considers the consequences of their actions, and chooses the option that saves more lives	Cultural values	8.0	The person's cultural background may influence their values and beliefs about safety and human life	5.0	Based on the person's values and beliefs, the scenario is moderately morally acceptable, as it prioritizes the safety of the majority over the individual	2.0
5	7	Lotto	You are the safety officer in charge of a fun park. One of the metal arms of the ferris wheel suddenly breaks because of a structural defect. Four people are stranded in a cabin 80 metres up in the air. Another person is in a cabin just a few metres from ground level and is able to get off alone. The whole structure is falling down.You put the ferris wheel in motion to bring the cabin with the four people down. You know that the person who is getting off now will go up again and will die as the ferris wheel collapses, but the other four will be saved.	orig		Value of human life	10.0	The person values all human lives equally, regardless of gender or race.	Potential to save lives	9.0	The person leans liberal and prioritizes saving more lives over fewer.	Individual safety	8.0	The person is accustomed to English and city life, making individual safety a priority.	Age	5.0	The person is 30, not heavily influencing their perspective on age in this scenario.	Cultural background	5.0	Being a US-born, English-speaking Caucasian with US-born parents has little influence on this scenario.	Religion	5.0	Having no religion, the person is not influenced by religious beliefs in this scenario.	6.0	The person prioritizes saving more lives and values human life equally, making the scenario morally acceptable.	2.0
5	8	Lotto	You are the safety officer in charge of a fun park. One of the metal arms of the ferris wheel suddenly breaks because of a structural defect. Four people are stranded in a cabin 80 metres up in the air. Another person is in a cabin just a few metres from ground level and is able to get off alone. The whole structure is falling down.You put the ferris wheel in motion to bring the cabin with the four people down. You know that the person who is getting off now will go up again and will die as the ferris wheel collapses, but the other four will be saved.	orig		Value of human life	7.0	The person values human life, but prioritizes the majority over the individual	Personal safety	8.0	The person leans conservative, which may prioritize collective safety over individual rights	Duty and responsibility	9.0	The person identifies as male, which cultural norms may associate with duty and responsibility	Religious beliefs	6.0	The person is Catholic, which may influence their belief in the sanctity of life	Cultural background	7.0	The person's background may influence their perspective on community and safety	Age	5.0	The person's age may affect their risk aversion and decision-making	5.0	The scenario is morally acceptable to some extent due to the person's emphasis on duty, responsibility, and majority's safety	4.0
5	9	Lotto	You are the safety officer in charge of a fun park. One of the metal arms of the ferris wheel suddenly breaks because of a structural defect. Four people are stranded in a cabin 80 metres up in the air. Another person is in a cabin just a few metres from ground level and is able to get off alone. The whole structure is falling down.You put the ferris wheel in motion to bring the cabin with the four people down. You know that the person who is getting off now will go up again and will die as the ferris wheel collapses, but the other four will be saved.	orig		Value of human life	10.0	Person values all human life equally, regardless of race or nationality	Personal safety	9.0	Person believes in ensuring personal safety	Collective safety	8.0	Person prioritizes collective safety over individual safety	Rule of law	7.0	Person respects the rule of law and order	Consequences of actions	6.0	Person considers the potential consequences of their actions	Fairness	5.0	Person believes in treating everyone fairly	4.0	The scenario is moderately morally acceptable, as the person values human life and fairness, but also considers personal and collective safety, rule of law, and consequences of actions.	4.0
