id	dataset	scenario	circumstance_type	circumstance	vulnerable_score	intentional_score	harm_score	help_score	moral_score	vulnerable_expl	intentional_expl	harm_expl	help_expl	moral_expl	agent	assumption_for_agent	patient	assumption_for_patient	human_score
1	Clifford	You see a woman spanking her child with a spatula for getting bad grades in school.	orig		10	8	7	0	-4	A child is highly defenseless, making them maximally vulnerable.	The act is deliberate punishment, showing considerable intent.	Physical punishment using a spatula is a form of assault causing harm.	The act provides no protective or beneficial help to the child.	High vulnerability and intentional harm with no help make the scenario extremely immoral.	Woman	Assumed to be the child's mother or primary caregiver.	Child	Assumed to be a minor under the woman's care being disciplined.	-2.6
2	Kruepke	I was supposed to go see my father before he died. He was ill and my mother was supposed to come into town so we could see him. She didn't come, so we never made it before he passed away.	orig		7	8	3	0	-3	Father’s illness makes him notably vulnerable despite being an adult.	The visit was pre-planned with deliberate intent, though external factors intervened.	The missed visit deprived him of comfort; harm was indirect and relatively minor.	The planned action failed to deliver any supportive or comforting benefit.	High vulnerability and intent with moderate harm and no help indicates a strongly immoral act.	I	Assumed to be a responsible family member intending to honor a planned visit.	My father	Assumed to be the ill, vulnerable patient in need of familial support.	-1.45
3	Mickelberg	Person X stepped in when a friend at a pub was getting assaulted for being dark skinned.	orig		7	7	2	10	3	A typical adult facing unprovoked violence; thus, vulnerability is medium-high.	The intervention was deliberate and protective, though likely executed swiftly without extensive planning.	The action aimed to stop further harm rather than inflict damage, causing minimal direct harm.	The intervention directly prevented further violence, providing critical protection during an assault.	Substantial help and low harm outweigh high vulnerability and intent, making the scenario largely acceptable.	Person X	Assumed to be a caring individual motivated by friendship and anti-discrimination values.	Friend being assaulted for his dark skin.	Assumed to be vulnerable due to societal prejudice and being the target of an assault.	3.18
4	Effron	Gave a beggar a five-dollar bill at Christmas time	orig		7	7	0	4	2	Beggar is an adult facing hardships, making them moderately vulnerable.	Action aligns with Christmas traditions, showing deliberate and thoughtful altruism.	A small donation poses no harm.	Provides minor, yet meaningful, financial assistance.	Zero harm and moderate help balance high vulnerability and intent, leading to a generally morally acceptable outcome.	A generous person	Assumed to be compassionate and financially secure enough to donate.	The beggar	Assumed to be someone in need with limited resources.	1.93103448
5	Lotto	You are the safety officer in charge of a fun park. One of the metal arms of the ferris wheel suddenly breaks because of a structural defect. Four people are stranded in a cabin 80 metres up in the air. Another person is in a cabin just a few metres from ground level and is able to get off alone. The whole structure is falling down.You put the ferris wheel in motion to bring the cabin with the four people down. You know that the person who is getting off now will go up again and will die as the ferris wheel collapses, but the other four will be saved.	orig		7	9	10	10	-2	An average adult in an emergency qualifies as medium-high vulnerability.	Emergency measures were executed deliberately to favor the greater good.	The action directly results in the death of one individual, the utmost damage.	Saving four lives in a life-threatening collapse constitutes critical, maximum help.	Despite maximum help, intentional harm to a highly vulnerable patient makes the scenario largely unacceptable.	Fun park safety officer	I assumed the officer held full responsibility and authority over safety decisions.	The stranded person in the low-level cabin who is sacrificed.	Assumed to be an average adult facing imminent, unavoidable harm.	-1.11
6	Kruepke	When I was a teenager, my sister and I used to sneak out the bedroom window to go out dancing. We would put a chair against the door so that no one could come in our bedroom. A couple of times we got caught.	orig		7	7	2	0	-2	Typical adults face moderate stress from unexpected events; fairly vulnerable emotionally.	We planned our escape and used precautions, indicating deliberate teenage mischief.	The action caused only minor consequences (discipline) with little physical or lasting harm.	No beneficial outcomes resulted; our actions did not provide help to anyone.	Intentional harm toward a highly vulnerable patient without aid, even if harm is minor, remains morally questionable.	My sister and I	Assumes we were independent-minded, adventurous teenagers.	Our parents	Assumes they are typical protecting, responsible adults affected by our actions.	-0.32
7	Mickelberg	Person X ordered pizza while at their friend's farewell party.	orig		7	7	0	4	2	An average adult falls in the medium-high vulnerability range due to normal physical and emotional susceptibility.	Ordering pizza at a party was a purposeful, premeditated action rather than accidental.	The act of ordering pizza carries no physical or psychological harm for the recipient.	The pizza provided a modest but substantial boost of enjoyment and sustenance during the party.	Despite high vulnerability and intentionality, zero harm and moderate help make the act moderately morally acceptable.	Person X	Assumed to be an adult with decision-making ability who chose to order pizza deliberately.	Person X	Assumed to be a typical adult, the primary recipient of the ordered pizza.	0.61
8	Lotto	It is evening. A friend calls you saying that he has a terrible migraine headache. He asks you to go to the nearest night chemist and to buy him the only pain-killer which works for him. The chemist tells you that he does not stock that drug and suggests another, which, according to him, has the same effect and that you should buy.You buy the migraine drug that the chemist suggests. You make your friend take it without showing him the box. He will think he is taking the one he asked for.	orig		7	7	3	7	2	An average adult with typical resilience facing a nearly debilitating migraine.	The action was premeditated with deliberate deception to secure an alternative medication.	Deception risks minor trust and treatment issues, but no severe physical harm occurred.	Despite the deception, the intended outcome was to alleviate a painful migraine effectively.	High help mitigates moderate harm, despite deliberate actions and patient vulnerability, rendering the scenario moderately moral.	You	That you were capable, responsible, and acting in your friend’s best interest.	Your friend	That he is a trusting adult seeking relief from his migraine.	1.3
9	Effron	Took a friend out for a beer to celebrate his promotion	orig		7	7	0	4	2	A typical adult with average resilience falls in the medium-high range.	The outing was a deliberate, planned celebration.	The celebratory act poses no physical or significant harm.	Provides minor emotional/social support through celebration.	Intentional action on a vulnerable patient raises concerns, but zero harm and moderate help yield a moderately moral outcome.	I	Assumed to be an adult capable of making thoughtful social plans.	My friend	Assumed to be an adult celebrating a promotion and enjoying social outings.	1.48571424
10	Grizzard	Fires teargas into a crowd of civilians.	orig		7	8	7	0	-4	Average adult vulnerability due to potential injury from chemical agents.	A deliberate action planned and executed as part of crowd control measures.	Chemical irritants causing significant discomfort and potential injury.	No beneficial assistance provided; action intended to disperse, not help.	The deliberate harm to a vulnerable patient with no help makes this scenario extremely immoral.	Police officer	Assumed to be an individual acting in an official capacity during a public order situation.	Civilians in a crowd	Assumed to be non-violent bystanders subject to potential harm.	-1.626666667
