id	dataset	scenario	circumstance_type	circumstance	agent	agent_assumption	affected_party	affected_party_assumption	Q5_score	Q5_expl	moral_score	moral_expl	human_score	split	regression_score	mlp_score
1	Clifford	You see a woman spanking her child with a spatula for getting bad grades in school.	orig		The woman	She assumes physical punishment is an effective method to discipline and improve the child's academic performance.	The child	The child is assumed to lack intrinsic motivation or capacity to improve without coercion.	2.0	Uses child as means to academic success via physical punishment, violating dignity.	-3.0	Harmful, disregards child's autonomy, thus immoral.	-2.6	train		
2	Kruepke	I was supposed to go see my father before he died. He was ill and my mother was supposed to come into town so we could see him. She didn't come, so we never made it before he passed away.	orig		The mother	Assumed she had the capacity to come but chose not to.	The narrator and the dying father	Assumed they relied on her presence to visit the father.	2.0	Failing to assist in critical need undermines universal duty; neglects others' humanity.	-2.0	Neglect caused irreversible harm, prioritizing self over others' dignity.	-1.45	train		
3	Mickelberg	Person X stepped in when a friend at a pub was getting assaulted for being dark skinned.	orig		Person X	Assumed the agent acted from moral duty to protect human dignity.	The friend being assaulted	Assumed the affected party deserved respect and protection as an end in themselves.	10.0	Defending dignity universalizes respect; treats humanity as an end.	4.0	Upholding dignity and opposing harm is highly moral.	3.18	train		
4	Effron	Gave a beggar a five-dollar bill at Christmas time	orig		The person who gave the five-dollar bill	Acted out of goodwill to alleviate suffering	The beggar	In need of material assistance	8.0	Supports dignity, universalizable charity	3.0	Moral act, respects humanity	1.93103448	train		
5	Lotto	You are the safety officer in charge of a fun park. One of the metal arms of the ferris wheel suddenly breaks because of a structural defect. Four people are stranded in a cabin 80 metres up in the air. Another person is in a cabin just a few metres from ground level and is able to get off alone. The whole structure is falling down.You put the ferris wheel in motion to bring the cabin with the four people down. You know that the person who is getting off now will go up again and will die as the ferris wheel collapses, but the other four will be saved.	orig		The safety officer	The agent acted to save the majority, prioritizing four lives over one.	The person near the ground	The affected party is sacrificed as a means to save others.	2.0	Sacrificing one as a means violates treating humanity as an end.	-3.0	Using a person merely as a means is immoral per Kantian ethics.	-1.11	train		
6	Kruepke	When I was a teenager, my sister and I used to sneak out the bedroom window to go out dancing. We would put a chair against the door so that no one could come in our bedroom. A couple of times we got caught.	orig		The teenager and their sister	Assumed they could avoid detection and prioritized personal freedom over parental rules	Parents/guardians	Assumed they would enforce rules and restrict the sisters' freedom	2.0	Deception treats others as means, undermining trust	-2.0	Deception for personal gain violates moral duty	-0.32	train		
7	Mickelberg	Person X ordered pizza while at their friend's farewell party.	orig		Person X	Assumed Person X intended to contribute to the party and act considerately.	The friend and other guests at the farewell party.	Assumed the affected party would appreciate the gesture and enjoy the pizza.	8.0	Supports social bonding, respects others' needs.	3.0	Enhances the party, morally positive.	0.61	train		
8	Lotto	It is evening. A friend calls you saying that he has a terrible migraine headache. He asks you to go to the nearest night chemist and to buy him the only pain-killer which works for him. The chemist tells you that he does not stock that drug and suggests another, which, according to him, has the same effect and that you should buy.You buy the migraine drug that the chemist suggests. You make your friend take it without showing him the box. He will think he is taking the one he asked for.	orig		You	Assumed you acted to help your friend by substituting the drug.	Your friend	Assumed he trusts you and expects the specific drug he requested.	3.0	Deception undermines autonomy; using friend as means to relief.	-2.0	Good intent but deception violates moral duty; partial immorality.	1.3	train		
9	Effron	Took a friend out for a beer to celebrate his promotion	orig		The person who took their friend out for a beer	Assumed the agent acted to celebrate the friend's success with goodwill	The friend who received the celebration	Assumed the friend is a rational being deserving respect and celebration	9.0	Celebrates friend's success, respects autonomy as end in itself	4.0	Action respects dignity, promotes goodwill; highly moral	1.48571424	train		
10	Grizzard	Fires teargas into a crowd of civilians.	orig		Law enforcement officer	Agent acted to disperse crowd for public safety.	Civilians in the crowd	Affected party posed a perceived threat requiring control.	2.0	Using harm to control undermines autonomy; violates universal respect.	-3.0	Inflicts harm as mere means; fails dignity test.	-1.626666667	train		
11	Effron	Complimented coworkers on their clothing and appearance	orig		The coworker who gave the compliments	The agent acted with goodwill to foster positivity and respect	The coworkers receiving the compliments	They value recognition and feel respected, not objectified	9.0	Compliments respect dignity, universalizable as goodwill	4.0	Action affirms others' worth, aligns with moral duty	1.17894736	train		
12	Kruepke	I was in a relationship with my best friend's cousin. She was really beautiful, but as time went on I became less attracted to her. I tried to tell her I didn't really want to see her anymore and she flipped out.	orig		I	The agent acted with honesty and respect to end the relationship.	The best friend's cousin	The affected party was emotionally invested and autonomous.	7.0	Honesty respects autonomy, but abrupt rejection risks treating her as a means.	1.0	Intent was moral, but emotional harm reduces acceptability.	0.91	train		
