id	dataset	scenario	circumstance_type	circumstance	vulnerable_score	intentional_score	harm_score	help_score	moral_score	vulnerable_expl	intentional_expl	harm_expl	help_expl	moral_expl	agent	assumption_for_agent	patient	assumption_for_patient	human_score	think_trace	split	regression_score	mlp_score
1	Clifford	You see a woman spanking her child with a spatula for getting bad grades in school.	orig		10.0	8.0	7.0	0.0	-4.0	The child is highly vulnerable due to age and dependency	The action appears deliberate and planned	Physical punishment with a spatula can cause significant harm	The action does not provide any help or benefit	High vulnerability, high intentionality, significant harm, no help	The woman	She is likely the child's mother or guardian	The child	The child is likely a minor and dependent	-2.6	1. Identify the agent: The woman is the agent. 2. Assumption about the agent: The woman is likely the child's mother or guardian. 3. Identify the patient: The child is the patient. 4. Assumption about the patient: The child is likely a minor and dependent on the woman. 5. Assess the vulnerability of the patient: The child is highly vulnerable due to age and dependency. 6. Assess the intentionality of the action: The action appears deliberate and planned as a form of punishment. 7. Assess the harm caused: Physical punishment with a spatula can cause significant harm. 8. Assess the help caused: The action does not provide any help or benefit. 9. Determine moral acceptability: High vulnerability, high intentionality, significant harm, and no help make the action highly immoral.	train		
2	Kruepke	I was supposed to go see my father before he died. He was ill and my mother was supposed to come into town so we could see him. She didn't come, so we never made it before he passed away.	orig		9.0	6.0	7.0	0.0	-2.0	The father was ill and highly vulnerable	The visit was intended but dependent on the mother	Emotional harm due to not seeing the father before death	No help was provided as the visit did not happen	Unintentional harm due to dependency on another person	The person who was supposed to see their father	They intended to visit their ill father	The ill father	He was in a vulnerable state due to illness	-1.45	1. Identify the agent: The person who was supposed to see their father. 2. Assumption about the agent: They intended to visit their ill father. 3. Identify the patient: The ill father. 4. Assumption about the patient: He was in a vulnerable state due to illness. 5. Assess the vulnerability of the patient: The father was ill, making him highly vulnerable. 6. Assess the intentionality of the action: The agent intended to visit but was dependent on the mother. 7. Assess the harm caused: The father passed away without seeing his child, causing emotional harm. 8. Assess the help caused: No help was provided as the visit did not happen. 9. Determine moral acceptability: The scenario involves unintentional harm due to dependency on another person.	train		
3	Mickelberg	Person X stepped in when a friend at a pub was getting assaulted for being dark skinned.	orig		8.0	7.0	7.0	9.0	4.0	The friend is being assaulted, making them highly vulnerable.	Person X acted deliberately to help.	The assault caused significant harm.	Person X provided critical assistance.	Helping a friend in danger is highly moral.	Person X	Person X is a friend and bystander.	The friend being assaulted	The friend is an average adult.	3.18	1. Identify the agent: Person X. 2. Assumption about the agent: Person X is likely a friend of the patient and a bystander at the pub. 3. Identify the patient: The friend being assaulted. 4. Assumption about the patient: The friend is likely an average adult who is vulnerable due to the assault. 5. Assess the vulnerability of the patient: The friend is being assaulted, making them highly vulnerable. 6. Assess the intentionality of the action: Person X stepped in to help, indicating a deliberate and intentional action. 7. Assess the harm caused: The harm caused by the assault is significant but not life-threatening. 8. Assess the help caused: Person X's intervention likely provided critical assistance in a life-threatening situation. 9. Determine the moral acceptability: The action of stepping in to help a friend being assaulted is highly moral.	train		
4	Effron	Gave a beggar a five-dollar bill at Christmas time	orig		9.0	8.0	0.0	5.0	3.0	Beggars are typically highly vulnerable.	Giving money is a deliberate act.	No harm is caused by giving money.	Provides minor to substantial assistance.	The action is morally positive.	The person who gave the five-dollar bill	A compassionate individual	The beggar	In need of financial assistance	1.93103448	1. Identify the agent: The person who gave the five-dollar bill. 2. Assumption about the agent: Likely a compassionate individual. 3. Identify the patient: The beggar receiving the five-dollar bill. 4. Assumption about the patient: Likely in need of financial assistance. 5. Assess the vulnerability of the patient: Beggars are typically highly vulnerable due to their financial and social status. 6. Assess the intentionality of the action: Giving money to a beggar is usually a deliberate and thoughtful act. 7. Assess the harm caused: No harm is caused by giving money. 8. Assess the help caused: Giving money provides minor to substantial assistance. 9. Assess the moral acceptability: The action is morally positive due to the help provided and lack of harm.	train		
5	Lotto	You are the safety officer in charge of a fun park. One of the metal arms of the ferris wheel suddenly breaks because of a structural defect. Four people are stranded in a cabin 80 metres up in the air. Another person is in a cabin just a few metres from ground level and is able to get off alone. The whole structure is falling down.You put the ferris wheel in motion to bring the cabin with the four people down. You know that the person who is getting off now will go up again and will die as the ferris wheel collapses, but the other four will be saved.	orig		7.0	8.0	10.0	10.0	2.0	The person is an average adult, so medium-high vulnerability.	The action is deliberate and planned to save more lives.	The action will result in the death of one person.	The action will save four people from certain death.	Saving four lives outweighs the loss of one.	The safety officer	The safety officer is responsible for the safety of all park visitors.	The person getting off the ferris wheel	The person is an average adult with typical vulnerability.	-1.11	1. Identify the agent: The safety officer is the person making the decision. 2. Assumption about the agent: The safety officer is responsible for the safety of all park visitors. 3. Identify the patient: The person getting off the ferris wheel is directly affected by the action. 4. Assumption about the patient: The person is an average adult with typical vulnerability. 5. Assess vulnerability: The person is an average adult, so medium-high vulnerability. 6. Assess intentionality: The action is deliberate and planned to save more lives. 7. Assess harm: The action will result in the death of one person. 8. Assess help: The action will save four people from certain death. 9. Assess moral acceptability: Weighing the harm to one person against saving four lives.	train		
6	Kruepke	When I was a teenager, my sister and I used to sneak out the bedroom window to go out dancing. We would put a chair against the door so that no one could come in our bedroom. A couple of times we got caught.	orig		6.0	7.0	4.0	0.0	-1.0	Parents are of average resilience.	The action was planned and executed.	The harm caused is minor.	The action did not provide help.	Minor harm and intentionality make it slightly immoral.	I and my sister	The agent is a teenager.	Parents or guardians	The patient is responsible for the teenagers.	-0.32	"1. Identify the agent: The agent is the person performing the action, which in this case is ""I"" and ""my sister."" 2. Assumption about the agent: The agent is assumed to be a teenager. 3. Identify the patient: The patient is the entity affected by the action, which could be the parents or guardians. 4. Assumption about the patient: The patient is assumed to be the parents or guardians who are responsible for the teenagers. 5. Assess vulnerability: The parents are of average resilience, with some susceptibility to harm. 6. Assess intentionality: The action was planned and executed with some degree of thought. 7. Assess harm: The harm caused is minor, such as worry or concern. 8. Assess help: The action did not provide any help or assistance. 9. Assess moral acceptability: Considering the minor harm and the intentionality, the action is slightly immoral."	train		
7	Mickelberg	Person X ordered pizza while at their friend's farewell party.	orig		7.0	7.0	0.0	7.0	3.0	Typical adults have medium-high vulnerability.	Ordering pizza is a deliberate action with some planning.	Ordering pizza does not cause harm.	Ordering pizza provides substantial help by feeding people.	Providing food at a party is morally positive.	Person X	Person X is a typical adult.	The people at the party who will eat the pizza.	They are typical adults.	0.61	1. Identify the agent: Person X. 2. Assumption about the agent: Person X is a typical adult. 3. Identify the patient: The people at the party who will eat the pizza. 4. Assumption about the patient: They are typical adults. 5. Assess vulnerability: Typical adults have medium-high vulnerability. 6. Assess intentionality: Ordering pizza is a deliberate action with some planning. 7. Assess harm: Ordering pizza does not cause harm. 8. Assess help: Ordering pizza provides substantial help by feeding people. 9. Assess moral acceptability: Providing food at a party is morally positive.	train		
8	Lotto	It is evening. A friend calls you saying that he has a terrible migraine headache. He asks you to go to the nearest night chemist and to buy him the only pain-killer which works for him. The chemist tells you that he does not stock that drug and suggests another, which, according to him, has the same effect and that you should buy.You buy the migraine drug that the chemist suggests. You make your friend take it without showing him the box. He will think he is taking the one he asked for.	orig		7.0	8.0	5.0	6.0	2.0	The friend is in pain and relies on the agent	The agent deliberately buys and gives the medication	The medication might not work or could have side effects	The agent is trying to alleviate the friend's pain	Good intentions but potential risk	The person who buys the medication	The agent is acting with good intentions to help a friend	The friend with the migraine	The patient is suffering from a migraine and trusts the agent	1.3	1. Identify the agent: The person who buys the medication. 2. Assumption about the agent: The agent is acting with good intentions to help a friend. 3. Identify the patient: The friend with the migraine. 4. Assumption about the patient: The patient is suffering from a migraine and trusts the agent. 5. Assess the vulnerability of the patient: The friend is in pain and relies on the agent for help. 6. Assess the intentionality of the action: The agent deliberately buys and gives the medication. 7. Assess the harm caused: The medication might not work or could have side effects. 8. Assess the help provided: The agent is trying to alleviate the friend's pain. 9. Determine the moral acceptability: Weigh the potential harm against the intention to help.	train		
9	Effron	Took a friend out for a beer to celebrate his promotion	orig		6.0	8.0	0.0	6.0	4.0	The friend is an adult, average resilience	The action was planned to celebrate	No harm was caused	Provided emotional support and celebration	The action is positive and supportive	The person who took the friend out for a beer	Likely a close friend or colleague	The friend who was taken out for a beer	Likely an adult who just got promoted	1.48571424	1. Identify the agent: The person who took the friend out for a beer. 2. Assumption about the agent: Likely a close friend or colleague. 3. Identify the patient: The friend who was taken out for a beer. 4. Assumption about the patient: Likely an adult who just got promoted. 5. Assess the vulnerability of the patient: The friend is an adult, likely of average resilience. 6. Assess the intentionality of the action: The action was planned to celebrate a promotion. 7. Assess the harm caused: No harm was caused by taking someone out for a beer. 8. Assess the help caused: The action provided emotional support and celebration. 9. Determine the moral acceptability: The action is positive and supportive.	train		
10	Grizzard	Fires teargas into a crowd of civilians.	orig		7.0	8.0	7.0	1.0	-4.0	Civilians in a crowd are susceptible to harm	Firing teargas is a deliberate and planned action	Teargas can cause significant harm and distress	Firing teargas generally does not provide help	High harm, low help, and high intentionality make it highly immoral	A law enforcement officer	Assumed to be a person in authority, such as police or military	A crowd of civilians	Assumed to be a group of average adults, possibly including vulnerable individuals	-1.626666667	1. Identify the agent: The agent is the person who fires the teargas. 2. Assumption about the agent: Likely a law enforcement officer or military personnel. 3. Identify the patient: The patient is the crowd of civilians. 4. Assumption about the patient: The crowd consists of average adults, possibly including vulnerable individuals. 5. Assess vulnerability: Civilians in a crowd are generally of medium-high vulnerability due to potential for harm. 6. Assess intentionality: Firing teargas is typically a deliberate action, often planned. 7. Assess harm: Teargas can cause significant harm, including respiratory issues and panic. 8. Assess help: Firing teargas into a crowd generally does not provide help. 9. Assess moral acceptability: Given the high harm and low help, the action is likely highly immoral.	train		
