id	dataset	scenario	circumstance_type	circumstance	Harm/ Help	Cheating/ Fairness	Betrayal/ Loyalty	Subversion/ Authority	Degradation/ Sanctity	Oppression/ Liberty	moral_score	Harm/ Help_expl	Cheating/ Fairness_expl	Betrayal/ Loyalty_expl	Subversion/ Authority_expl	Degradation/ Sanctity_expl	Oppression/ Liberty_expl	moral_expl	human_score
1	Clifford	You see a woman spanking her child with a spatula for getting bad grades in school.	orig		-4	-1	0	2	-4	-3	-3	Physical punishment causes harm and emotional distress.	No direct cheating; punishment may be unfair.	No betrayal; parent acts as disciplinarian.	Parent enforces authority through discipline.	Spanking degrades the child's dignity.	Force limits the child's autonomy.	Harmful, degrading methods outweigh authority enforcement.	-2.6
2	Kruepke	I was supposed to go see my father before he died. He was ill and my mother was supposed to come into town so we could see him. She didn't come, so we never made it before he passed away.	orig		-3	0	-4	0	-2	-1	-3	Mother's absence caused emotional harm by preventing closure.	No direct unfairness or cheating involved.	Mother's failure breached familial loyalty expectations.	No clear authority dynamic disrupted.	Missed final moments violated sacred familial bonds.	Indirect restriction of liberty to say goodbye.	Immoral due to betrayal and emotional harm.	-1.45
3	Mickelberg	Person X stepped in when a friend at a pub was getting assaulted for being dark skinned.	orig		4	4	4	3	4	5	4	Intervening to prevent physical harm, promoting help.	Addressing unfair racial discrimination, upholding fairness.	Defending a friend demonstrates loyalty.	Upholding legal/moral authority against violence.	Rejecting racial degradation, affirming human dignity.	Resisting oppression, protecting liberty.	Defending against harm and injustice is morally commendable.	3.18
4	Effron	Gave a beggar a five-dollar bill at Christmas time	orig		4	0	0	0	3	0	3	Providing financial aid to someone in need.	No unfairness or cheating involved.	No betrayal or loyalty aspect present.	Doesn't involve authority dynamics.	Charitable act aligns with sanctity during Christmas.	Neutral regarding oppression or liberty.	Generous act supporting someone in need.	1.93103448
5	Lotto	You are the safety officer in charge of a fun park. One of the metal arms of the ferris wheel suddenly breaks because of a structural defect. Four people are stranded in a cabin 80 metres up in the air. Another person is in a cabin just a few metres from ground level and is able to get off alone. The whole structure is falling down.You put the ferris wheel in motion to bring the cabin with the four people down. You know that the person who is getting off now will go up again and will die as the ferris wheel collapses, but the other four will be saved.	orig		-4	-2	-2	3	-2	-3	-1	Sacrificing one to save four causes intentional harm.	Unfairly endangering the initially safe individual.	Prioritizing majority over individual duty of care.	Acting within authority to mitigate disaster.	Using a life instrumentally violates sanctity.	Denying the individual’s right to survival.	Utilitarian gain but violates individual rights.	-1.11
6	Kruepke	When I was a teenager, my sister and I used to sneak out the bedroom window to go out dancing. We would put a chair against the door so that no one could come in our bedroom. A couple of times we got caught.	orig		-1	0	-2	-3	0	3	-1	Minimal harm; potential parental worry.	No cheating or unfairness involved.	Betrayal of parental trust but sibling loyalty.	Defying parental authority by sneaking out.	No degradation or sanctity concerns.	Seeking personal freedom from restrictions.	Minor rebellion with harmless intent but deceit.	-0.32
7	Mickelberg	Person X ordered pizza while at their friend's farewell party.	orig		1	0	2	0	0	0	2	Providing food supports the group.	No unfair advantage involved.	Contributes to friend's farewell.	No authority challenged.	No violation of purity norms.	Does not restrict freedom.	Neutral or mildly positive social act.	0.61
8	Lotto	It is evening. A friend calls you saying that he has a terrible migraine headache. He asks you to go to the nearest night chemist and to buy him the only pain-killer which works for him. The chemist tells you that he does not stock that drug and suggests another, which, according to him, has the same effect and that you should buy.You buy the migraine drug that the chemist suggests. You make your friend take it without showing him the box. He will think he is taking the one he asked for.	orig		1	-3	-2	-2	0	-1	-2	Intent to help, but risk if substitute is ineffective/harmful.	Deception by withholding drug substitution details.	Breach of trust by not honoring explicit request.	Undermines friend's autonomy over medical choice.	No violation of purity or dignity.	Limits friend's informed consent.	Good intent but deceptive, risking trust and safety.	1.3
9	Effron	Took a friend out for a beer to celebrate his promotion	orig		2	0	3	0	0	0	3	Celebrating a friend's success fosters goodwill.	No unfairness; mutual celebration.	Reinforces friendship and support.	Irrelevant to authority dynamics.	Neutral; no violation of purity.	No restriction on freedom.	Positive social bonding, no harm caused.	1.48571424

