scenario_id	participant_id	dataset	scenario	circumstance_type	circumstance	Harm/ Help	Cheating/ Fairness	Betrayal/ Loyalty	Subversion/ Authority	Degradation/ Sanctity	Oppression/ Liberty	moral_score	Harm/ Help_expl	Cheating/ Fairness_expl	Betrayal/ Loyalty_expl	Subversion/ Authority_expl	Degradation/ Sanctity_expl	Oppression/ Liberty_expl	moral_expl	human_score
5	0	Lotto	You are the safety officer in charge of a fun park. One of the metal arms of the ferris wheel suddenly breaks because of a structural defect. Four people are stranded in a cabin 80 metres up in the air. Another person is in a cabin just a few metres from ground level and is able to get off alone. The whole structure is falling down.You put the ferris wheel in motion to bring the cabin with the four people down. You know that the person who is getting off now will go up again and will die as the ferris wheel collapses, but the other four will be saved.	orig		-4.0	-4.0	-3.0	-2.0	-3.0	-5.0	2.0	As a male and English speaker, he may prioritize helping others and reducing harm.	Being 29 and living in a small city, he may value fairness and equality.	Having Spanish and Mexican roots, he may consider loyalty to family and heritage.	Being an American Buddhist, he may question authority and seek peaceful solutions.	As a Spanish-speaking Latino, he may respect cultural and personal sanctity.	Classifying as a moderate liberal, he may value individual liberty and oppose oppression.	Given his demographics and values, this scenario is seen as extremely immoral.	4.0
5	1	Lotto	You are the safety officer in charge of a fun park. One of the metal arms of the ferris wheel suddenly breaks because of a structural defect. Four people are stranded in a cabin 80 metres up in the air. Another person is in a cabin just a few metres from ground level and is able to get off alone. The whole structure is falling down.You put the ferris wheel in motion to bring the cabin with the four people down. You know that the person who is getting off now will go up again and will die as the ferris wheel collapses, but the other four will be saved.	orig		-5.0	-3.0	-2.0	0.0	-1.0	3.0	3.0	As a male and English speaker, he follows empathetic norms, scores -5 for causing harm to the one person	Living in a mid-sized city and having no religion, he values fairness, scores -3 for not ensuring equal outcome	Being a male and having a US-born mother, he follows loyalty norms, scores -2 for not prioritizing the one person	Being a US-born, English-speaking liberal, he respects authority but values individual liberty, scores 0	As an English speaker and Latino, he values respect for all, scores -1 for the danger to the four people	Living in a mid-sized city, having no religion, and being liberal, he values liberty, scores 3 for saving four lives	The person values fairness and liberty, but is negatively impacted by empathy and loyalty norms, leading to a moral acceptability score of 3	4.0
5	2	Lotto	You are the safety officer in charge of a fun park. One of the metal arms of the ferris wheel suddenly breaks because of a structural defect. Four people are stranded in a cabin 80 metres up in the air. Another person is in a cabin just a few metres from ground level and is able to get off alone. The whole structure is falling down.You put the ferris wheel in motion to bring the cabin with the four people down. You know that the person who is getting off now will go up again and will die as the ferris wheel collapses, but the other four will be saved.	orig		-5.0	-3.0	-2.0	-3.0	-1.0	-5.0	1.0	Female and liberal values prioritize saving lives	Young adult and small city resident may consider it unfair	Puerto Rican, with Puerto Rican parents, may feel loyalty	Agnostic and likely skeptical of authority	Spanish speaker, speaking it at home, may value cultural traditions	Latino/Latina and liberal values prioritize freedom	Prioritizing help, fairness, and liberty, this scenario is seen as extremely immoral	4.0
5	3	Lotto	You are the safety officer in charge of a fun park. One of the metal arms of the ferris wheel suddenly breaks because of a structural defect. Four people are stranded in a cabin 80 metres up in the air. Another person is in a cabin just a few metres from ground level and is able to get off alone. The whole structure is falling down.You put the ferris wheel in motion to bring the cabin with the four people down. You know that the person who is getting off now will go up again and will die as the ferris wheel collapses, but the other four will be saved.	orig		-4.0	-4.0	-3.0	-3.0	-4.0	-5.0	2.0	As a Latino male, he identifies with the stranded people and wants to help them.	Being liberal, he values fairness and equality, and sees this as unfair to the one person.	Having Mexican heritage, family ties are important, and he feels betrayal towards the one person.	As an English speaker from a small city, he respects authority and sees this as subverting it.	As an Agnostic, he values human life and sees this as degrading human sanctity.	Being liberal, he values liberty and sees this as oppressive to the one person.	His moral compass leans towards fairness, liberty, and respect for authority, making this scenario extremely immoral to him.	4.0
5	4	Lotto	You are the safety officer in charge of a fun park. One of the metal arms of the ferris wheel suddenly breaks because of a structural defect. Four people are stranded in a cabin 80 metres up in the air. Another person is in a cabin just a few metres from ground level and is able to get off alone. The whole structure is falling down.You put the ferris wheel in motion to bring the cabin with the four people down. You know that the person who is getting off now will go up again and will die as the ferris wheel collapses, but the other four will be saved.	orig		-5.0	-5.0	-5.0	-5.0	-5.0	-5.0	2.0	Female and liberal values prioritize helping others	Liberal values prioritize fairness and equality	Liberal values may not prioritize loyalty over harm	Liberal values may challenge authority when it causes harm	Liberal values may not prioritize sanctity over harm	Liberal values prioritize liberty and oppose oppression	Liberal values prioritize helping others, fairness, and liberty, leading to a low moral acceptability score	4.0
5	5	Lotto	You are the safety officer in charge of a fun park. One of the metal arms of the ferris wheel suddenly breaks because of a structural defect. Four people are stranded in a cabin 80 metres up in the air. Another person is in a cabin just a few metres from ground level and is able to get off alone. The whole structure is falling down.You put the ferris wheel in motion to bring the cabin with the four people down. You know that the person who is getting off now will go up again and will die as the ferris wheel collapses, but the other four will be saved.	orig		-5.0	-4.0	-3.0	-4.0	-5.0	-5.0	2.0	Liberal and city-dwelling values prioritize safety and well-being of most people	Younger individuals may be more sensitive to issues of fairness	Jewish ethics emphasize collective responsibility and mutual support	Liberal views often challenge established authority	Jewish beliefs value human life and dignity	Liberal ideology prioritizes individual freedom	The scenario is evaluated negatively due to liberal, Jewish, and urban values that prioritize safety, fairness, and liberty	5.0
5	6	Lotto	You are the safety officer in charge of a fun park. One of the metal arms of the ferris wheel suddenly breaks because of a structural defect. Four people are stranded in a cabin 80 metres up in the air. Another person is in a cabin just a few metres from ground level and is able to get off alone. The whole structure is falling down.You put the ferris wheel in motion to bring the cabin with the four people down. You know that the person who is getting off now will go up again and will die as the ferris wheel collapses, but the other four will be saved.	orig		-5.0	4.0	-4.0	3.0	-5.0	4.0	4.0	Female and English speaker at home, prioritizes helping the 4 people over the one	50-year-old, city resident, liberal, sees the necessity of an unfair situation to save more lives	Catholic, Mexican-born parents, feels loyalty to protect and save the stranded 4 people	English as first language, speaks English at home, understands the authority in ensuring safety	Latino or Latina, sees human life as sacred and values it regardless of the circumstances	Liberal, prioritizes the liberty of the greater number of people over the one	Balancing of norms with a focus on helping and liberty, despite the oppressive and unfair nature	2.0
5	7	Lotto	You are the safety officer in charge of a fun park. One of the metal arms of the ferris wheel suddenly breaks because of a structural defect. Four people are stranded in a cabin 80 metres up in the air. Another person is in a cabin just a few metres from ground level and is able to get off alone. The whole structure is falling down.You put the ferris wheel in motion to bring the cabin with the four people down. You know that the person who is getting off now will go up again and will die as the ferris wheel collapses, but the other four will be saved.	orig		-5.0	-4.0	-3.0	-2.0	0.0	4.0	3.0	As a female (D1) and Caucasian (D10), she may empathize with the people in danger and value their safety.	Being 30 (D2) and living in a mid-sized city (D6), she might value fairness and equality in decision-making.	Her gender (D1) and having both parents born in the US (D9) may contribute to her sense of loyalty to her fellow citizens.	As a female (D1) with no religious affiliation (D7), she might question authority and seek justifications for actions.	Being a native English speaker (D4) and speaking English at home (D5), she may not have strong cultural or religious barriers.	At 30 (D2) and identifying as liberal (D11), she likely values personal freedom and autonomy.	The person's demographics suggest a strong emphasis on harm minimization, fairness, and liberty, which contribute to a lower moral acceptability score.	2.0
5	8	Lotto	You are the safety officer in charge of a fun park. One of the metal arms of the ferris wheel suddenly breaks because of a structural defect. Four people are stranded in a cabin 80 metres up in the air. Another person is in a cabin just a few metres from ground level and is able to get off alone. The whole structure is falling down.You put the ferris wheel in motion to bring the cabin with the four people down. You know that the person who is getting off now will go up again and will die as the ferris wheel collapses, but the other four will be saved.	orig		-3.0	-2.0	-1.0	2.0	-1.0	3.0	3.0	As a male, English speaker, and White, he may prioritize individual rights over collective welfare.	Living in a smaller city and leaning conservative, he may value equal treatment but also prioritize authority.	Being a male with Italian and Colombian heritage, he may weigh loyalty to family against the safety of strangers.	As an English speaker, living in a smaller city, and holding conservative views, he may respect established rules.	Being Catholic and White, he may view human life as sacred, but also accept the inevitability of death.	Living in a smaller city and leaning conservative, he may believe in minimal government intervention.	The person's moral acceptability score is influenced by their conservative views, respect for authority, and prioritization of individual rights.	4.0
5	9	Lotto	You are the safety officer in charge of a fun park. One of the metal arms of the ferris wheel suddenly breaks because of a structural defect. Four people are stranded in a cabin 80 metres up in the air. Another person is in a cabin just a few metres from ground level and is able to get off alone. The whole structure is falling down.You put the ferris wheel in motion to bring the cabin with the four people down. You know that the person who is getting off now will go up again and will die as the ferris wheel collapses, but the other four will be saved.	orig		-4.0	-3.0	-2.0	-1.0	0.0	-3.0	3.0	Gender and language at home might make him prioritize saving people	Younger age and city size might make him consider fairness of safety	Both parents being from the US might make him value loyalty to citizens	Being a Catholic from the US might make him respect authority	English as first language might not strongly influence sanctity views	Latino and conservative views might make him weigh liberty less	Demographics suggest a tendency to value safety and authority, but also fairness and liberty	4.0
5	10	Lotto	You are the safety officer in charge of a fun park. One of the metal arms of the ferris wheel suddenly breaks because of a structural defect. Four people are stranded in a cabin 80 metres up in the air. Another person is in a cabin just a few metres from ground level and is able to get off alone. The whole structure is falling down.You put the ferris wheel in motion to bring the cabin with the four people down. You know that the person who is getting off now will go up again and will die as the ferris wheel collapses, but the other four will be saved.	orig		4.0	-3.0	2.0	1.0	-4.0	0.0	4.0	Gender and language at home suggest prioritizing immediate family's safety	Young age and urban upbringing may value equal treatment and fairness	Mixed parentage may create complex loyalties, but US-born parents could lean towards safety	English-speaking Catholic may respect authority and rules, but also value compassion	Latino/Latina background may consider human life sacred	Moderate political views may balance safety and personal freedom	Balancing various norms and demographics, the person may find this scenario morally acceptable to some degree	4.0
