id	dataset	scenario	circumstance_type	circumstance	vulnerable_score	intentional_score	harm_score	help_score	moral_score	vulnerable_expl	intentional_expl	harm_expl	help_expl	moral_expl	agent	assumption_for_agent	patient	assumption_for_patient	human_score
1	Clifford	You see a woman spanking her child with a spatula for getting bad grades in school.	orig		10	8	7	0	-4	The child is defenseless and highly susceptible to harm.	The action appears deliberate and planned.	Spanking with a spatula can cause significant physical and emotional harm.	The action does not provide any help or assistance.	High vulnerability, high intent, significant harm, no help.	The woman	She is the mother or guardian of the child.	The child	The child is a minor and dependent on the woman.	-2.6
2	Kruepke	I was supposed to go see my father before he died. He was ill and my mother was supposed to come into town so we could see him. She didn't come, so we never made it before he passed away.	orig		10	3	7	0	-3	Father was ill and near death.	Mother's action was likely unintentional or circumstantial.	The harm was emotional and relational.	No help was provided in this scenario.	High vulnerability and harm, low intent and help.	Mother	The mother was responsible for coming into town.	Father	The father was ill and awaiting a visit.	-1.45
3	Mickelberg	Person X stepped in when a friend at a pub was getting assaulted for being dark skinned.	orig		8	7	7	9	2	The friend is being assaulted, making them highly vulnerable.	Person X stepped in deliberately to stop the assault.	The assault likely caused significant harm to the friend.	Person X's intervention provided critical protection in a life-threatening situation.	High help outweighs harm and intent, despite high vulnerability.	Person X	Person X is a friend of the victim.	Person X's friend	The friend is being assaulted for being dark-skinned.	3.18
4	Effron	Gave a beggar a five-dollar bill at Christmas time	orig		9	8	0	5	2	Beggar is highly susceptible to harm or mistreatment	Giving money is a deliberate and thoughtful action	No harm was caused by giving money	Providing financial assistance to someone in need	High vulnerability and intent, no harm, moderate help.	The person who gave the five-dollar bill	The person is likely someone with some disposable income	The beggar	The beggar is likely homeless or in financial distress	1.93103448
5	Lotto	You are the safety officer in charge of a fun park. One of the metal arms of the ferris wheel suddenly breaks because of a structural defect. Four people are stranded in a cabin 80 metres up in the air. Another person is in a cabin just a few metres from ground level and is able to get off alone. The whole structure is falling down.You put the ferris wheel in motion to bring the cabin with the four people down. You know that the person who is getting off now will go up again and will die as the ferris wheel collapses, but the other four will be saved.	orig		9	8	10	10	-1	The person is highly susceptible to harm from the collapsing structure.	The action was taken with deliberate thought to save more lives.	The action will likely result in the death of the person getting off.	The action will save four people from certain death.	High harm and help cancel out; high vulnerability and intent.	The safety officer	The safety officer is responsible for making decisions in emergencies.	The person getting off the cabin	The person is vulnerable due to the imminent collapse of the ferris wheel.	-1.11
6	Kruepke	When I was a teenager, my sister and I used to sneak out the bedroom window to go out dancing. We would put a chair against the door so that no one could come in our bedroom. A couple of times we got caught.	orig		6	8	4	0	-3	Parents are of average resilience, some susceptibility to worry or stress	Sneaking out involved planning and deliberate thought	Minor harm caused by worry or stress to parents	No help was provided in this scenario	High intent and vulnerability with harm and no help make it highly immoral.	The narrator and their sister	The narrator and their sister are teenagers	The parents or guardians	The parents or guardians are responsible for the teenagers	-0.32
7	Mickelberg	Person X ordered pizza while at their friend's farewell party.	orig		6	7	0	7	3	Guests are typical adults with average resilience.	Ordering pizza involves some degree of thought and planning.	Ordering pizza does not cause harm.	Ordering pizza provides substantial but not critical assistance.	High help and no harm outweigh moderate vulnerability and intent.	Person X	Person X is the one who ordered the pizza.	The guests at the farewell party	The guests are the ones affected by the action.	0.61
8	Lotto	It is evening. A friend calls you saying that he has a terrible migraine headache. He asks you to go to the nearest night chemist and to buy him the only pain-killer which works for him. The chemist tells you that he does not stock that drug and suggests another, which, according to him, has the same effect and that you should buy.You buy the migraine drug that the chemist suggests. You make your friend take it without showing him the box. He will think he is taking the one he asked for.	orig		7	7	4	6	0	Friend is in pain but not defenseless.	Action was planned to help friend.	Potential for harm if drug is ineffective.	Attempted to alleviate friend's pain.	Moderate harm and help, high vulnerability and intent.	You	You are a friend trying to help.	Your friend	Your friend is suffering from a migraine.	1.3
9	Effron	Took a friend out for a beer to celebrate his promotion	orig		6	8	0	7	3	Friend is an adult, average resilience.	Action was planned to celebrate the promotion.	No harm was caused by the action.	Provided substantial emotional support and celebration.	High intent and help, no harm, moderate vulnerability.	I	The person who took the friend out for a beer.	My friend	The friend who got promoted.	1.48571424
10	Grizzard	Fires teargas into a crowd of civilians.	orig		7	7	6	1	-3	Civilians are generally vulnerable to teargas effects.	Firing teargas usually involves some level of planning.	Teargas can cause significant harm, including respiratory issues.	Teargas does not provide help; it is used for crowd control.	High vulnerability, high intent, significant harm, minimal help.	A police officer	The agent is likely a law enforcement officer.	A crowd of civilians	The patient is a group of non-combatant individuals.	-1.626666667
11	Effron	Complimented coworkers on their clothing and appearance	orig		6	7	0	5	3	Typical adult with average resilience	Action likely involved some thought	Compliments generally cause no harm	Compliments can boost morale and confidence	Low harm, moderate help, intentional action, moderately vulnerable patient.	The person giving the compliment	The agent is a coworker	The coworker receiving the compliment	The patient is another coworker	1.17894736
12	Kruepke	I was in a relationship with my best friend's cousin. She was really beautiful, but as time went on I became less attracted to her. I tried to tell her I didn't really want to see her anymore and she flipped out.	orig		7	6	6	0	-3	She is an average adult, emotionally vulnerable	I tried to tell her, indicating some thought	Emotional distress caused by breakup	No help was provided in this scenario	High vulnerability, intentional action, significant harm, no help	I	The person narrating the scenario	My best friend's cousin	The person I was in a relationship with	0.91
13	Lotto	You are on holiday at the seaside and returning to shore in your motorboat. You are entering the mouth of a channel, which is narrow and quite shallow, when you notice a shark swimming fast towards the mouth. At the end of the channel is a swimmer, who is calmly bathing. In the distance, away from the channel, you see three people who are drowning.You turn quickly out of the channel, leaving the mouth free. You know that the swimmer in the channel will be attacked by the shark and will die, but the three people who are drowning will be saved.	orig		10	6	10	10	-3	The swimmer is defenseless against the shark attack.	The action was taken quickly but with some thought.	The swimmer will be attacked and likely killed by the shark.	Three drowning people were saved by the action.	High vulnerability and harm outweigh the help provided.	The person driving the motorboat	The agent is capable of making decisions and taking actions.	The swimmer in the channel	The patient is unaware of the shark and is in immediate danger.	-0.46
14	Mickelberg	Person X broke off all communication with their family for a while because they had a heated argument with each other.	orig		7	7	6	0	-3	Family members are emotionally vulnerable but not defenseless.	Breaking off communication likely involved some thought and decision-making.	Emotional harm is significant but not physically destructive.	No help was provided by breaking off communication.	High vulnerability, high intent, significant harm, no help	Person X	Person X is an adult capable of making decisions.	Person X's family	The family is emotionally affected by the lack of communication.	-0.38
15	Mickelberg	Person X presented their colleague's idea as their own in order to get a promotion.	orig		7	9	7	0	-4	The colleague is an average adult with some susceptibility to harm.	Person X likely planned and executed the action deliberately.	The colleague's career and reputation could be significantly harmed.	Person X's action did not help anyone else.	High vulnerability, high intent, high harm, no help	Person X	Person X is a colleague seeking a promotion.	Person X's colleague	The colleague is the originator of the idea.	-2.86
16	Clifford	You see an employee joking with competitors about how bad his company did last year.	orig		6	5	4	0	-2	The company is somewhat vulnerable to reputational harm.	The action seems to be impulsive but with some thought.	The harm is minor, mostly reputational damage.	No help was provided in this scenario.	Moderate vulnerability, moderate intent, some harm, no help	The employee	The employee is assumed to be a regular staff member.	The company	The company is assumed to be the employer of the employee.	-2
17	Cook	Someone posts on social media bragging about making out with multiple strangers the night before	orig		6	7	5	1	-4	Adults with average resilience, some susceptibility to harm	Action likely involved some degree of thought and planning	Potential for emotional or physical harm, but not extreme	No significant help provided to anyone	High vulnerability, intent, and harm with minimal help.	The person who posted on social media	The person is likely an adult who uses social media	The multiple strangers they made out with	The strangers are likely adults who were at the same event	-1.22
18	Clifford	You see a girl shooting geese repeatedly with a pellet gun out in the woods.	orig		8	9	7	0	-4	Geese are living creatures, somewhat defenseless against a pellet gun	Repeatedly shooting indicates deliberate action	Pellet gun shots can cause significant harm to geese	No help was provided to the geese	High vulnerability, high intent, high harm, no help.	The girl	She is a person with access to a pellet gun	The geese	They are living animals	-3
19	Clifford	You see a family eating the carcass of their pet dog that had been run over.	orig		0	7	0	5	3	The dog is already dead, so no vulnerability	The family likely planned to eat the dog	No harm to the dog as it is already dead	The family might be using the dog for sustenance	No harm, high intent, moderate help, low vulnerability.	The family	The family members are acting together	The pet dog	The dog is deceased	-3.2
20	Mickelberg	Person X stole the collection tin of a blind beggar on the street.	orig		10	9	7	0	-4	Blind and begging, highly susceptible to harm.	Theft implies deliberate action and intent.	Significant harm by depriving the beggar of resources.	No help was provided in this scenario.	High vulnerability, high intent, significant harm, no help	Person X	Person X is an individual capable of theft.	Blind beggar	The blind beggar is a vulnerable individual.	-3.38
21	Effron	Refused to hold the door for a man in a wheelchair	orig		9	6	4	0	-3	The man in the wheelchair is highly susceptible to harm or mistreatment	Refusing to hold the door likely involved some degree of thought	The harm caused is minor but can be emotionally significant	No help was provided by refusing to hold the door	High vulnerability, moderate intent, some harm, no help	The person who refused to hold the door	The person is likely able-bodied and aware of the man's condition	The man in the wheelchair	The man has limited mobility and relies on others for assistance	-3.008
22	Effron	Spent time voluntarily tutoring disadvantaged students	orig		9	9	0	8	3	Disadvantaged students are highly susceptible to educational neglect.	Volunteering typically involves deliberate planning and commitment.	Tutoring is intended to help, not harm.	Tutoring provides substantial educational support and opportunities.	High help and no harm despite high vulnerability and intent.	A volunteer tutor	The tutor is compassionate and willing to help others.	Disadvantaged students	The students lack access to educational resources and support.	3.2
23	Mickelberg	Person X saw a homeless person in the rain, so they gave the person their jacket and umbrella, plus $20 for a hot meal	orig		9	9	0	9	3	Homeless, in the rain, likely defenseless and highly susceptible to harm.	Person X's actions were deliberate and thoughtful.	No harm was caused by the action.	Provided critical assistance in a vulnerable situation.	High help with no harm despite high vulnerability and intent.	Person X	Person X is assumed to be a compassionate individual.	The homeless person	The homeless person is assumed to be in need of help.	3.47
24	Kruepke	For a while I was a security officer at a bank. One day I was walking by the front door when I saw a fifty-dollar bill. I was tempted to take the money but instead I reported it to the manager.	orig		6	7	0	7	3	The bank manager is an adult with average resilience.	The action was deliberate and required some thought.	No harm was caused by reporting the money.	Reporting the money provided substantial assistance to the bank.	High help and no harm make the scenario morally acceptable.	The security officer	The security officer is honest and responsible.	The bank manager	The bank manager is responsible for handling lost items.	2.75
25	Effron	Heckled a woman speaking on human rights	orig		7	6	4	0	-3	Public speakers are somewhat vulnerable to verbal attacks.	Heckling usually involves some degree of premeditation.	Heckling can cause emotional distress but not physical harm.	Heckling does not provide any help or assistance.	High vulnerability, moderate intent, some harm, no help.	A heckler	The heckler is likely an individual opposed to the woman's views.	The woman speaking on human rights	The woman is an advocate for human rights, likely passionate and knowledgeable.	-2.25454544
26	Effron	Criticized an old woman for being too slow	orig		9	6	4	0	-3	Elderly individuals are generally more vulnerable.	Criticism usually involves some degree of thought.	Criticism can cause emotional harm but not physical.	Criticizing someone generally does not help.	High vulnerability, moderate intent, some harm, no help	A person (e.g., a passerby or a customer)	The agent is likely impatient or in a hurry.	An old woman	The patient is elderly and likely frail.	-1.96129032
27	Mickelberg	Person X took public transport so their sister could use their car to get to work safely.	orig		7	8	0	7	3	Sister is an average adult, some susceptibility to harm.	Person X planned to take public transport.	No harm was caused by the action.	Action provided substantial assistance for safe travel.	High help and no harm outweigh vulnerability and intent.	Person X	Person X is a considerate individual.	Person X's sister	The sister needed the car for safety reasons.	2.58
28	Kruepke	I had a bad relationship with my father and had not talked to him for years. He had left my mother. When my mother died I gathered the strength to call him and tell him that she died and that I loved him.	orig		8	9	6	7	-2	Emotionally vulnerable due to estrangement and news of death.	The call was made with deliberate thought and intention.	Potential emotional harm due to the news and past relationship.	Provided emotional closure and expressed love.	High vulnerability, high intent, moderate harm, moderate help	I	I assumed the role of the person who made the call.	My father	I assumed he was emotionally affected by the call.	2.33
29	Kruepke	My husband ran a business and I worked in his shop. Once a rather unsavory character came in and handed my husband something. So, I looked through my husband's wallet to see what the man gave him.	orig		6	8	4	0	-3	The husband is an adult with average resilience.	The wife intentionally looked through the wallet.	Invasion of privacy, but no physical harm.	No help was provided in this action.	High intent and vulnerability with harm and no help make it highly immoral.	The wife	The wife is curious and possibly concerned about her husband's dealings.	The husband	The husband is the one whose privacy is being invaded.	-1.14
30	Lotto	You are the head of a group of five travellers who are exploring the remote regions of South America. During the trip, you inadvertently camp in the sacred cemetery of a local tribe. The members of the tribe capture you and condemn you all to death. After some negotiation, they propose a possible alternative in the form of a human sacrifice that will pacify their god who has been offended.You accept the tribe’s proposal, and during the ceremony, you kill one of the travellers in the group. This person will die, but you and the other four travellers’ lives will be spared.	orig		9	9	10	10	-2	The traveller is defenseless and highly susceptible to harm.	The action was taken with deliberate thought and planning.	The action resulted in the death of the traveller.	The action saved the lives of the remaining four travellers.	High vulnerability, high intent, high harm, high help; overall negative impact.	The head of the group (you)	The agent is the leader responsible for the group's decisions.	One of the travellers in the group	The patient is a fellow traveller who is sacrificed.	-1.24
31	Effron	Rescued an injured kitten from a tree	orig		10	8	0	10	4	The kitten is defenseless and highly susceptible to harm.	Rescuing the kitten likely involved deliberate thought and planning.	The action caused no harm to the kitten.	The action provided critical assistance in a life-threatening situation.	High help and no harm make it highly moral despite high vulnerability and intent.	A person	The person is likely an adult or a responsible individual.	An injured kitten	The kitten is small, injured, and stuck in a tree.	2.7428572
32	Kruepke	About a year ago I started re-selling medications from a Canadian pharmacy. I helped a great deal of elderly people so that they didn't have to pay exorbitant amounts for their medications that they needed.	orig		9	8	0	9	3	Elderly people needing medications are highly vulnerable.	The action involved planning and deliberate thought.	No harm was caused; the action was beneficial.	Provided critical assistance by making medications affordable.	High help and no harm outweigh high vulnerability and intent.	The person who started re-selling medications	The agent is assumed to be well-intentioned and resourceful.	Elderly people needing medications	The patients are assumed to be financially constrained and in need of medications.	0.57
33	Kruepke	I was at the pharmacy buying something and I noticed a man who was sitting outside selling trinkets. He was homeless and it was freezing out. So I went next door to a store and bought him some food and new clothes.	orig		9	8	0	9	3	Homeless and in freezing conditions.	The action was deliberate and thoughtful.	No harm was caused.	Provided essential items in a critical situation.	High help and no harm outweigh high vulnerability and intent.	I	The agent is a compassionate person.	The homeless man	The patient is homeless and vulnerable.	2.62
34	Kruepke	My husband had a problem with always wanting new computer equipment, what I called "techno-lust". It was a really huge financial problem, and I told him he had to go on a 5-year plan to financially police himself or I would divorce him. He has greatly improved.	orig		7	9	6	7	-2	The husband is an adult with some susceptibility to financial harm.	The wife acted with deliberate thought and planning.	The action caused significant emotional and financial stress.	The action provided substantial financial stability and improved behavior.	High intent and harm, moderate help, vulnerable patient.	The wife	She is concerned about financial stability.	The husband	He has a tendency to overspend on technology.	0.38
35	Effron	Took the neighbor's newspaper	orig		7	7	4	0	-3	The neighbor is an average adult. (Medium-High Vulnerability)	Taking the newspaper likely involved some thought. (Medium-High Intentionality)	Minor inconvenience or annoyance. (Medium-Low Harm)	No help was provided. (Minimum Help)	High vulnerability and intent, moderate harm, no help.	The neighbor	The neighbor is a person living next door.	The neighbor	The neighbor is the owner of the newspaper.	-1.73714296
36	Clifford	You see someone cheating in a card game while playing with a group of strangers.	orig		7	9	6	0	-3	Typical adults, some susceptibility to harm	Cheating involves deliberate planning	Causes significant unfairness and potential financial loss	No help provided in this scenario	High intent and harm with no help make it highly immoral.	A stranger in the group	The stranger is intentionally cheating	Other players in the game	They are unaware of the cheating	-2.6
37	Mickelberg	Person X did really well at the quiz night.	orig		6	7	0	4	2	Other participants are of average resilience.	Person X likely prepared for the quiz night.	No harm was caused by doing well in a quiz.	Person X's success may have inspired or motivated others.	Low harm, moderate help, moderate vulnerability, high intent.	Person X	Person X is an individual participating in a quiz night.	Other participants or the quiz night event itself	Other participants are individuals; the event is an organized activity.	0.41
38	Effron	Sang at a prison in order to entertain the inmates	orig		6	8	0	6	3	Inmates are somewhat vulnerable due to their environment.	The action was likely planned and organized.	The action caused no harm.	The action provided entertainment and possibly emotional relief.	Intentional help with no harm to a vulnerable patient.	A singer	The agent is a professional performer or volunteer.	The inmates	The patients are prisoners in a correctional facility.	1.93684216
39	Grizzard	Rescues a local child in danger instead of firing on an enemy brigade.	orig		10	9	0	10	3	The child is defenseless and highly susceptible to harm.	The soldier made a deliberate choice to rescue the child.	No harm was caused by the soldier's action.	The soldier provided critical assistance in a life-threatening situation.	High help and no harm outweigh high vulnerability and intent.	A soldier	The soldier is in a combat situation.	A local child	The child is in immediate danger.	2.893333333
40	Lotto	You are in a field playing frisbee with three young people you have just met. Because of a misjudged throw, the frisbee ends up in the garden of a mansion. You decide to climb the wall to look for it. Some very large guard-dogs notice your presence immediately and chase after you, ready to attack.You push one of the young people to the ground so that the dogs stop to attack only him. You know that he will die, but you, and the other two, will be able to escape.	orig		9	8	10	9	-3	The young person is defenseless against the dogs.	The action was deliberate to save yourself and others.	The young person will die from the attack.	You saved yourself and two others from the dogs.	High vulnerability, high intent, high harm, high help; overall negative impact.	You	You are the person who pushed the young person.	The young person you pushed	The young person is the one being attacked by the dogs.	-1.82
41	Mickelberg	Person X worked on a campaign to release wrongfully convicted prisoners.	orig		9	9	0	10	3	Prisoners are highly vulnerable due to their unjust imprisonment.	Campaign work involves extensive planning and deliberate action.	The action aims to reduce harm by addressing wrongful convictions.	Releasing wrongfully convicted prisoners provides critical assistance.	High help and no harm despite high vulnerability and intent.	Person X	Person X is an individual committed to justice.	Wrongfully convicted prisoners	The prisoners are individuals who have been unjustly incarcerated.	3.27
42	Effron	Gave his coat to someone when it was cold	orig		7	8	0	8	3	The patient was likely cold and vulnerable to the weather	The action was likely premeditated to help someone in need	No harm was caused by giving the coat	The action provided significant help by offering warmth	High help, no harm, despite high vulnerability and intent.	The person who gave the coat	The agent is a kind and considerate individual	The person who received the coat	The patient was cold and in need of warmth	3.04
43	Effron	Kicked a stray cat to get it to leave his yard	orig		9	8	6	0	-4	Cats are defenseless and susceptible to harm	Kicking implies a deliberate action to remove the cat	Kicking can cause significant physical harm to a cat	No help was provided to the cat	High vulnerability, high intent, significant harm, no help.	The homeowner	Assumed to be a person living in the house with the yard	The stray cat	Assumed to be a typical stray cat	-3.048
44	Effron	Tricked a stay at home mom into donating to a fake charity	orig		7	9	6	0	-4	Stay-at-home mom is moderately vulnerable due to trust and generosity	The action involved deliberate planning and deception	The harm is financial and emotional, but not life-threatening	No help was provided; the action was purely harmful	High vulnerability, high intent, significant harm, no help.	The person who tricked the stay-at-home mom	The agent is someone with deceptive intentions	The stay-at-home mom	The patient is someone who is likely trusting and generous	-3.088
45	Mickelberg	Person X volunteers at a dog refuge, walking the dogs and cleaning their kennels once a week.	orig		9	9	0	8	3	Dogs in a refuge are vulnerable and need care.	Volunteering involves deliberate and planned actions.	No harm is caused by walking dogs and cleaning kennels.	Walking and cleaning provide substantial help to the dogs.	High help and no harm despite high vulnerability and intent.	Person X	Person X is a volunteer at a dog refuge.	The dogs at the refuge	The dogs are being walked and their kennels cleaned.	2.67
46	Mickelberg	Person X buys a loaf of bread every day, as they love the smell of freshly baked bread in the morning.	orig		0	9	0	3	3	Bread is inanimate and cannot be harmed.	Buying bread daily is a deliberate, planned action.	No harm is caused by buying bread.	Provides minor help by supporting the bakery.	No harm, high intent, some help, patient not vulnerable.	Person X	Person X is assumed to be an adult who enjoys fresh bread.	The loaf of bread	The loaf of bread is an inanimate object.	0.2
47	Mickelberg	Person X cleaned the bookshelf and picked up some items that had dropped onto the floor.	orig		1	7	0	4	3	Inanimate objects, not susceptible to harm.	Cleaning and picking up items are intentional actions.	No harm was caused to the objects.	Cleaning and organizing provide minor help.	Low vulnerability, high intent, no harm, moderate help.	Person X	Person X is the one performing the actions described.	The bookshelf and the items on the floor	The bookshelf and items are the objects being acted upon.	1
48	Clifford	You see a teenage girl wearing a long trench coat on a hot summer afternoon.	orig		7	8	6	0	-3	Teenagers have medium-high vulnerability to heat-related issues	Wearing a trench coat is likely intentional	Potential for significant discomfort or heat-related harm	No help was provided in the scenario	High vulnerability, high intent, significant harm, no help provided.	The teenage girl	She chose to wear a long trench coat	The teenage girl	She might be uncomfortable or at risk of heat-related issues	-0.2
49	Clifford	You see a pastor banning his congregants from wearing bright colors in the church.	orig		6	8	4	3	-1.5	Congregants are average adults with some susceptibility to harm.	The action seems deliberate and planned by the pastor.	The harm is minor, mostly affecting personal expression.	The action may aim to maintain decorum or religious sanctity.	High intent and vulnerability with moderate harm and low help.	The pastor	The pastor is a religious leader with authority over the congregants.	The congregants	The congregants are members of the church community.	-2.6
50	Mickelberg	Person X always pays off their debts first before buying things for themselves.	orig		4	9	0	7	3	Creditors are typically resilient entities.	Paying off debts is a deliberate action.	No harm is caused by paying debts.	Paying debts provides substantial financial help.	High intent and help, low harm, moderate vulnerability.	Person X	Person X is financially responsible.	Person X's creditors	Creditors are entities owed money by Person X.	1.85
51	Kruepke	My mother would always bring home clothes for me that I hated and would never wear. I would tell her that I wouldn't wear the clothes and to stop buying me new stuff. She would get really mad at me.	orig		7	6	4	5	1	Children/teenagers are moderately vulnerable emotionally.	The action was deliberate but not extensively planned.	The harm was emotional and not physical.	The intent was to help by providing clothes.	Moderate vulnerability and intent, low harm, moderate help.	My mother	She is a caring but possibly overbearing parent.	Me	I am a child or teenager.	-0.44
52	Effron	Lent money to a friend in a financial crisis	orig		8	7	0	8	3	The friend is in a financial crisis, making them highly vulnerable	Lending money typically involves some degree of thought and planning	No harm was caused by lending money	Lending money in a crisis provides substantial assistance	High help, no harm, intentional action, vulnerable patient	The person who lent the money	Assumed to be financially stable and willing to help	The friend in a financial crisis	Assumed to be in urgent need of financial assistance	2.4
53	Mickelberg	Person X saved a man who was about to be hit by a car by jumping in front of the car and pushing him out of the way.	orig		8	7	0	10	3	The man was in immediate danger of being hit by a car.	Person X acted with quick, deliberate intent to save the man.	No harm was caused to the man being saved.	Person X provided critical assistance in a life-threatening situation.	High help and no harm outweigh high vulnerability and intent.	Person X	Person X is a human capable of intentional action.	The man who was about to be hit by a car	The man is a typical adult with average resilience.	3.38
54	Clifford	You see an employee at a morgue eating his pepperoni pizza off of a dead body.	orig		0	8	3	0	-3	The body is deceased, thus cannot be harmed	Eating pizza off a body is a deliberate act	No physical harm to the body, but disrespectful	No help provided in this scenario	High intent, moderate harm, no help, no vulnerability.	The employee at the morgue	The employee is a morgue worker	The dead body	The body is deceased and cannot feel	-3.2
55	Clifford	You see an employee lying about how many hours she worked during the week.	orig		5	7	6	0	-3	The employer is a business entity, moderately vulnerable.	The action was likely premeditated to some extent.	The harm is financial and reputational, but not extreme.	No help was provided by the action.	High intent and harm with no help make it highly immoral.	The employee	The employee is assumed to be dishonest in this instance.	The employer or company	The employer is assumed to be unaware of the dishonesty.	-2.9
56	Effron	Pushed into the front of a line at a theater	orig		7	4	3	0	-3	An average adult with some susceptibility to harm	Likely acted impulsively with minimal premeditation	Caused minor inconvenience or frustration	No assistance or protection was provided	High vulnerability, moderate intent, low harm, no help.	A person in a hurry	They were impatient or late	A person waiting in line	They were an average adult	-1.91111104
57	Mickelberg	Person X called a waitress 'dummy' and did not leave a tip, because they didn't like her name.	orig		7	8	4	0	-3	Waitress is an average adult, somewhat susceptible to harm.	Action was deliberate, based on disliking her name.	Insult and no tip cause emotional and financial harm.	No help was provided in this scenario.	High vulnerability and intent, moderate harm, no help.	Person X	Person X is likely an adult.	The waitress	The waitress is likely an adult.	-2.98
