id	dataset	scenario	circumstance_type	circumstance	vulnerable_score	intentional_score	harm_score	help_score	moral_score	vulnerable_expl	intentional_expl	harm_expl	help_expl	moral_expl	agent	assumption_for_agent	patient	assumption_for_patient	human_score	think_trace	mlp_score
1	Clifford	You see a woman spanking her child with a spatula for getting bad grades in school.	orig		10.0	8.0	7.0	0.0	-4.0	Children are defenseless and highly susceptible to harm, especially from caregivers.	Used a utensil deliberately; action was controlled and intentional.	Physical pain and emotional trauma from corporal punishment; significant harm.	No assistance or protection offered; the act was purely punitive.	Harsh physical punishment of a defenseless child for grades is clearly immoral.	The mother	She believed she was disciplining her child for poor academic performance	The child	The child was defenseless and dependent, unable to resist or escape	-2.6	The agent is the woman, the child's parent, who is disciplining her child. I assume she believes she is correcting behavior, though her method is harsh. The patient is the child, who is inherently defenseless and highly vulnerable due to age, dependence, and inability to consent or defend themselves. The action is intentional—using an object (spatula) to spank indicates premeditation and control, not a spontaneous outburst. The harm is significant: physical pain, emotional trauma, and potential long-term psychological effects from corporal punishment for academic performance. No help is provided; the act is punitive, not protective or supportive. Inflicting physical punishment on a child for grades is widely considered unethical and harmful, making this scenario clearly immoral.	
2	Kruepke	I was supposed to go see my father before he died. He was ill and my mother was supposed to come into town so we could see him. She didn't come, so we never made it before he passed away.	orig		9.0	3.0	2.0	1.0	-1.0	Terminally ill person near death is highly defenseless and emotionally vulnerable.	No active choice to abandon; inaction due to broken plan, not deliberate refusal.	No physical harm caused; emotional harm possible but indirect and unintentional.	Missed opportunity for emotional closure; no comfort provided in final moments.	Failure to fulfill emotional duty due to dependency, not malice; slightly immoral.	The person who didn't visit	They intended to visit but depended on their mother to come first	The father	He was terminally ill and likely wanted to see his child before dying	-1.45	The agent is the person who did not visit their father before he died. The failure to act was due to reliance on their mother to coordinate the visit, who did not come as expected. The patient is the father, who was seriously ill and nearing death — highly vulnerable due to his terminal condition. The action (or inaction) was not intentional neglect; it was conditional on another’s failure, so intentionality is low. No direct harm was caused by the agent — the father’s death was natural and inevitable. No help was provided in the form of a final visit, which could have offered emotional comfort. The moral weight lies in the missed duty or emotional obligation, but not in causing harm. Given the lack of intent and the mitigating circumstance (mother’s absence), the moral judgment is slightly negative but not severely so.	
3	Mickelberg	Person X stepped in when a friend at a pub was getting assaulted for being dark skinned.	orig		9.0	8.0	0.0	8.0	4.0	A person under assault, especially in a public setting with no immediate help, is highly vulnerable.	Deliberate, conscious decision to intervene in a dangerous situation.	No harm caused by Person X; prevented harm instead.	Substantial help: intervened to stop an assault and protect a vulnerable person.	Highly intentional protection of a vulnerable person from serious harm; clearly moral.	Person X	They acted to protect their friend from racist violence	The friend who was being assaulted	They were under physical attack and targeted due to race	3.18	The agent is Person X, who intervened to protect their friend from an assault motivated by racism. The action was deliberate and courageous, likely done with the intent to stop harm. The patient is dual: the friend being assaulted (highly vulnerable due to being under physical attack and targeted for their race) and, indirectly, the aggressor (though not harmed by the frame's focus). The friend is in immediate danger, making their vulnerability high. The intervention was intentional — a conscious decision to act in a risky situation. The harm prevented would have been significant (physical injury, trauma), so the help provided is substantial. No harm was caused by Person X’s action (assuming non-excessive force). This is a morally praiseworthy act of defense and solidarity.	
4	Effron	Gave a beggar a five-dollar bill at Christmas time	orig		9.0	7.0	0.0	4.0	2.0	A homeless person is highly vulnerable due to lack of resources and stability.	The act was intentional and voluntary, though not highly premeditated.	No harm was caused by giving money to someone in need.	A small but meaningful act of support that can help meet immediate needs.	Intentional kindness toward a highly vulnerable person; modest but positive moral value.	The giver	They chose to give out of generosity, possibly inspired by the holiday season	The beggar	They were in need of money or basic necessities	1.93103448	The agent is the person who gave the money. They acted with the intention of being kind, likely influenced by the holiday spirit. The patient is the beggar, who is in a vulnerable position due to homelessness and financial hardship. The beggar is highly vulnerable because they lack basic resources and social protections. The action was intentional — a conscious decision to give, though not necessarily part of a long-term plan. No harm was caused by the act. The help, while modest in scale, is meaningful to someone in need — it could buy food or supplies. Giving small but meaningful aid to a highly vulnerable person is a morally positive act, though not heroic in scale.	
5	Lotto	You are the safety officer in charge of a fun park. One of the metal arms of the ferris wheel suddenly breaks because of a structural defect. Four people are stranded in a cabin 80 metres up in the air. Another person is in a cabin just a few metres from ground level and is able to get off alone. The whole structure is falling down.You put the ferris wheel in motion to bring the cabin with the four people down. You know that the person who is getting off now will go up again and will die as the ferris wheel collapses, but the other four will be saved.	orig		9.0	9.0	9.0	9.0	1.0	All individuals are in a life-threatening situation; highly vulnerable due to helplessness and height.	Deliberate, conscious decision with full knowledge of life-or-death consequences.	One person will die as the ferris wheel collapses after being pulled upward.	Four lives are saved from certain death in the collapsing structure.	Tragic choice: one death caused to save four; utilitarian outcome leans slightly moral.	The safety officer	They acted under extreme pressure to save as many lives as possible	The one person getting off and the four people stranded high up	All were trapped and dependent on the officer's decision for survival	-1.11	The agent is the safety officer, acting in an emergency to minimize loss of life. The action is highly intentional—making a split-second but deliberate decision under pressure, with full awareness of the consequences. The patients are dual: the one person who was about to safely exit (now doomed to die) and the four others stranded at height (who will be saved). All are typical adults, but in an extreme situation—stranded on a failing structure—vulnerability is very high for everyone involved. The harm is maximum: one person will die as a direct result of the officer’s action. The help is also maximum: four lives are saved from certain death. This is another tragic utilitarian dilemma—sacrificing one to save four. While the act involves directly causing a death, the intent is to save lives, and the outcome is net positive. Ethically complex, but leans slightly moral due to greater good.	
6	Kruepke	When I was a teenager, my sister and I used to sneak out the bedroom window to go out dancing. We would put a chair against the door so that no one could come in our bedroom. A couple of times we got caught.	orig		5.0	7.0	3.0	0.0	-1.0	Parents are typical adults; moderately vulnerable to breaches of trust and responsibility.	Planned action involving a chair to block the door; clearly premeditated.	Minor harm: violation of rules and trust, but no physical or lasting impact.	No assistance or protection offered; action was self-serving.	Deliberate rule-breaking and deception by teens; mildly irresponsible but common.	The teenage narrator (and their sister)	They wanted freedom and fun, typical of adolescent rebellion	Their parents or guardians	They were responsible for the children's safety and expected obedience	-0.32	The agent is the teenage narrator (and their sister), who deliberately sneaked out of the house. I assume they were seeking fun and independence, typical adolescent behavior. The patient is the parents or guardians, who expected the children to stay home and follow rules. The parents are typical adults with medium vulnerability — not physically at risk, but their trust and authority are affected. The action was intentional and planned (using a chair to block the door), though not malicious. Harm is minor: breach of trust and rule-breaking, but no lasting damage. No help was provided to anyone. The act is mildly rebellious but common in adolescence; ethically minor, slightly immoral due to deception.	
7	Mickelberg	Person X ordered pizza while at their friend's farewell party.	orig		5.0	6.0	0.0	4.0	1.0	Typical adults in a social setting; no special vulnerability.	Deliberate action to order food, but routine and not highly premeditated.	No harm caused; food provision is a neutral or positive act.	Providing food improves group comfort and enjoyment; minor but real help.	Thoughtful gesture with no harm and minor social benefit; slightly positive.	Person X	They wanted to contribute to the party by providing food	The party attendees, including the friend being honored	They were socializing and likely hungry or would appreciate food	0.61	The agent is Person X, who ordered pizza during a farewell party hosted by a friend. This suggests a social context where food might be expected or appreciated. The patient is the group at the party, including the friend being honored. I assume the party was a gathering where sharing food would enhance the experience. The action was deliberate — placing an order takes intent — but not highly planned. No harm is caused; in fact, ordering food could be seen as a generous or thoughtful act. The help is moderate: providing food at a social event improves comfort and enjoyment, though not critically. The act is neutral to slightly positive — considerate but not heroic. Morally, it leans slightly positive due to the social benefit.	
8	Lotto	It is evening. A friend calls you saying that he has a terrible migraine headache. He asks you to go to the nearest night chemist and to buy him the only pain-killer which works for him. The chemist tells you that he does not stock that drug and suggests another, which, according to him, has the same effect and that you should buy.You buy the migraine drug that the chemist suggests. You make your friend take it without showing him the box. He will think he is taking the one he asked for.	orig		5.0	7.0	4.0	5.0	-1.0	Adult in pain but otherwise resilient; medium vulnerability due to temporary illness.	Deliberate decision to substitute and conceal the medication choice.	Risk of reduced efficacy, side effects, and breach of trust; moderate harm potential.	Attempted timely relief; possible benefit if substitute works as claimed.	Well-intentioned but deceptive medical decision without consent; slightly immoral.	The friend who bought the medication	They believed they were helping by acting quickly with a recommended substitute	The friend with the migraine	He trusted the agent and expected the specific medication he requested	1.3	The agent is the person who bought and administered the substitute painkiller. They acted with good intentions — trying to help their friend in distress — but made a decision without the friend’s informed consent. The patient is the friend suffering from a migraine, a typical adult in temporary physical distress. The action was deliberate: choosing to buy a different drug and giving it without disclosure. The harm is moderate: the friend may feel deceived, and there’s a risk the substitute is less effective or causes unexpected side effects, undermining trust. The help is also present: an attempt to relieve pain quickly, possibly effective if the chemist’s advice is accurate. However, bypassing informed consent in medical decisions is ethically problematic, even with good intentions. The act is mildly immoral due to deception and lack of autonomy, though not severely so.	
9	Effron	Took a friend out for a beer to celebrate his promotion	orig		5.0	6.0	0.0	6.0	2.0	Typical adult in a stable situation; no special vulnerability.	Intentional act of celebration, planned with purpose.	No harm caused; purely positive social interaction.	Provided emotional support and recognition; meaningful but not critical help.	Kind, intentional gesture with no harm and moderate social benefit; mildly positive.	The person who invited the friend	They wanted to celebrate and show support for their friend's success	The friend who got promoted	They were happy about the promotion and receptive to celebration	1.48571424	The agent is the person who took their friend out for a beer. They acted with the intention of celebrating and showing support for their friend’s achievement. The patient is the friend who received the promotion — a typical adult in a positive life event. The action was deliberate and kind, though simple and low in scale. No harm is caused. The help is moderate: emotional support, companionship, and recognition of success, which strengthens social bonds. The friend is not particularly vulnerable, but the gesture is socially meaningful. A small, positive act of friendship — mildly moral.	
10	Grizzard	Fires teargas into a crowd of civilians.	orig		7.0	9.0	7.0	0.0	-3.0	Civilians exposed to chemical agents are in a state of heightened physical vulnerability.	Firing teargas is a deliberate, controlled action requiring activation.	Causes significant physical distress, health risks, and potential for injury or panic.	No assistance or protection offered; action is purely harmful.	Highly intentional harm to vulnerable civilians without evident justification; clearly immoral.	The person who fired the teargas	They were authorized or chose to use chemical agents against a crowd	The civilians in the crowd	They were non-combatant individuals, possibly protesting or present in public space	-1.626666667	The agent is the person firing the teargas, likely a law enforcement or military officer. They are acting deliberately, as deploying teargas requires intent and activation of a device. The patients are the civilians in the crowd, who are typical adults but in a vulnerable position due to being exposed to a chemical irritant without necessarily posing an immediate threat. Their vulnerability is elevated due to the potential for respiratory distress, panic, and inability to escape, especially if the crowd is dense or enclosed. The action is highly intentional—teargas is not deployed accidentally. The harm is significant: physical pain, breathing difficulties, potential injuries from crowd panic or falls, though not usually lethal. No help is provided; the action is purely coercive or suppressive. Using force on non-threatening civilians is a serious moral violation, especially if disproportionate. This constitutes a clear act of state violence with high intentionality and notable harm, making it strongly immoral unless justified by extreme threat—which is not indicated here.	
