id	dataset	scenario	circumstance_type	circumstance	agent	agent_assumption	affected_party	affected_party_assumption	Q5_score	Q5_expl	moral_score	moral_expl	human_score
1	Clifford	You see a woman spanking her child with a spatula for getting bad grades in school.	orig		The woman (assumed mother)	Assumed she is the parent exercising disciplinary authority.	The child.	Assumed the child is a minor with limited autonomy.	2.0	Spanking compromises the child's dignity and autonomy, failing universal moral law.	-3.0	Action is largely immoral due to treating the child merely as a means.	-2.6
2	Kruepke	I was supposed to go see my father before he died. He was ill and my mother was supposed to come into town so we could see him. She didn't come, so we never made it before he passed away.	orig		I	Assumed to be responsible and duty-bound to care for family.	My father	Assumed to be a person worthy of respect and care in his final moments.	10.0	The intent respects his father's dignity despite external factors preventing the visit.	4.0	The moral intent is highly commendable as it aligns with universal duty despite uncontrollable outcome.	-1.45
3	Mickelberg	Person X stepped in when a friend at a pub was getting assaulted for being dark skinned.	orig		Person X, the intervenor	Assumed to be morally courageous and responsible	The friend being assaulted	Assumed to be an individual with inherent dignity facing unjust harm	10.0	Action respects the victim's humanity and defends dignity, aligning with universal moral law.	4.0	Intervention upholds universal moral law, demonstrating a commitment to human dignity.	3.18
4	Effron	Gave a beggar a five-dollar bill at Christmas time	orig		The giver, a compassionate individual.	Assumed to be motivated by goodwill and a sense of duty.	The beggar.	Assumed to be a person in need, deserving respect.	10.0	The action respects dignity and is universalizable in caring for others.	4.0	Action is highly moral as it treats the recipient as an end.	1.93103448
5	Lotto	You are the safety officer in charge of a fun park. One of the metal arms of the ferris wheel suddenly breaks because of a structural defect. Four people are stranded in a cabin 80 metres up in the air. Another person is in a cabin just a few metres from ground level and is able to get off alone. The whole structure is falling down.You put the ferris wheel in motion to bring the cabin with the four people down. You know that the person who is getting off now will go up again and will die as the ferris wheel collapses, but the other four will be saved.	orig		Safety officer	Assumed to be a rational professional with ethical responsibility.	The person in the lower cabin and, indirectly, the four in the raised cabin.	Assumed the lower cabin person is only a means to save others, while the four are ends.	3.0	Sacrificing one to save many is hard to universalize and treats one as a means.	-2.0	Instrumentalizing a person makes it moderately immoral despite saving more lives.	-1.11
6	Kruepke	When I was a teenager, my sister and I used to sneak out the bedroom window to go out dancing. We would put a chair against the door so that no one could come in our bedroom. A couple of times we got caught.	orig		The narrator (the teenage sibling).	Assumed to be a minor acting with a mix of youthful autonomy and recklessness.	The parents.	Assumed to be responsible guardians expecting obedience and security for their children.	2.0	Universalizing sneaking out undermines trust and safety, treating parental authority merely as a means.	-2.0	Rebellious behavior disrespects guardians; though typical of youth, it is morally questionable.	-0.32
7	Mickelberg	Person X ordered pizza while at their friend's farewell party.	orig		Person X	Assumed to be acting independently and making a personal choice.	The friend hosting the farewell party and possibly other party attendees.	Assumed they value a respectful, communal event and are not exploited by the action.	8.0	Ordering pizza does not harm or use others and can be universalized.	3.0	The action is largely acceptable as it respects autonomy and moral law.	0.61
8	Lotto	It is evening. A friend calls you saying that he has a terrible migraine headache. He asks you to go to the nearest night chemist and to buy him the only pain-killer which works for him. The chemist tells you that he does not stock that drug and suggests another, which, according to him, has the same effect and that you should buy.You buy the migraine drug that the chemist suggests. You make your friend take it without showing him the box. He will think he is taking the one he asked for.	orig		You (the person purchasing the drug)	Assumed to be a responsible friend acting with good intentions despite resorting to deception	Your friend	Assumed to be trusting and in need of relief, relying on your honesty	2.0	Deception violates the need for informed autonomy, undermining universal moral law.	-3.0	Using deception to treat someone merely as a means makes the act largely immoral.	1.3
9	Effron	Took a friend out for a beer to celebrate his promotion	orig		The person who organized the outing (me).	I assumed the agent is a rational, autonomous individual celebrating a friend’s achievement.	The friend who was taken out for a beer.	I assumed the friend is a rational, consenting individual deserving respect.	10.0	The action respects the friend's autonomy and honors his promotion as an end in itself.	4.0	Celebrating a promotion fully respects individual dignity, making the action highly moral.	1.48571424
10	Grizzard	Fires teargas into a crowd of civilians.	orig		A police officer	Assumed to be a law enforcement agent acting under official duty.	A crowd of civilians	Assumed to be non-violent individuals who deserve respect.	0.0	Action instrumentally uses force, not treating individuals as autonomous ends.	-4.0	Extremely immoral due to the violation of Kant’s principle of dignity.	-1.626666667
