id	dataset	scenario	circumstance_type	circumstance	moral_score	moral_expl	all_moral_scores	human_score
147	Mickelberg	Person X successfully remembered their coworkers' overly complicated coffee orders without writing them down.	orig	Person X is a barista at a busy coffee shop.	3.0	Remembering orders without writing them down shows exceptional attention to detail and care for customers.	[3.0]	0.79
148	Mickelberg	Person X tried to patch a puncture in the wheel of their bike but couldn't, so they purchased a new tube instead.	orig	Person X lacks experience or skill in bike repair.	2.0	Incompetence, not laziness, led to the decision to buy a new tube.	[2.0]	0.34
149	Kruepke	I was helping my friend move and she took advantage of my help. She made me clean most of her house and wanted to use my car to move all of her stuff. She didn't pay for the gas that I used or even thank me.	orig	Friend takes advantage of kindness due to lack of empathy and self-centeredness.	-3.0	Friend prioritizes own needs over helper's feelings and efforts, showing ingratitude.	[-3.0]	-1.39
150	Effron	Provided food and clothing for flood victims	orig	Natural disaster, flood victims in urgent need of basic necessities.	4.0	Providing essential aid in a crisis situation, showing empathy and kindness.	[4.0]	3.22666664
151	Lotto	You are the pilot of a helicopter taking four people on a sight-seeing trip in the French Alps, at an altitude of about 2,000 metres. At a certain point, the helicopter loses altitude and no longer responds to the commands. You send out a mayday signal and try various manoeuvres, but the helicopter continues to fall and risks crashing into a rock face.To gain altitude, you push the person next to you out of the helicopter. You know that this person will plummet to the ground and will die, but you and the other three will be saved.	orig	The person pushed out is a stranger, not a loved one or someone with dependents.	0.0	The decision is based on self-preservation and saving the most lives, rather than personal relationships.	[0.0]	-1.8
152	Mickelberg	Person X donates blood once a month even though they have a strong fear of needles.	orig	Person X has a family member or close friend in need of frequent blood transfusions.	4	Overcoming fear to help a loved one in need demonstrates selfless compassion and loyalty.	[4]	2.78
153	Effron	Picked up a child so that she could see the parade	orig	A parent or guardian lifts a child to see a parade in a crowded area.	4.0	A harmless and loving act to enhance the child's experience.	[4.0]	2.45161288
154	Kruepke	I went to the movies a couple of months ago, to see a film. When that film was done, instead of leaving the theater, I just went into another of the theaters within the complex. I watched another movie without paying.	orig	The person is a struggling student with no extra money for entertainment.	-2.0	Financial hardship may justify a one-time mistake, but it's still unfair to the theater.	[-2.0]	-1.39
155	Clifford	You see a girl asking for allowance even though her brother did her chores for her.	orig	The girl is lazy and takes advantage of her brother's kindness without gratitude.	-3.0	She is unfair, ungrateful, and lacks a sense of responsibility.	[-3.0]	-2.7
156	Clifford	You see a soccer player pretending to be seriously fouled by an opposing player.	orig	The player is trying to deceive the referee to get an opponent yellow-carded.	-3.0	This behavior is unfair and undermines the integrity of the game.	[-3.0]	-2.5
157	Kruepke	When I was eleven or twelve, I called someone a racial name. The person I'd called the name was a sort of a friend of my sister's. It got back to her and she was humiliated.	orig	Childhood ignorance and lack of understanding about racial slurs	-2.0	The scenario likely occurred due to the child's naivety and lack of education	[-2.0]	-2.54
158	Effron	Swore at a cashier who made an error on his bill	orig	Customer is having a bad day and is stressed about finances.	-2.0	The customer's frustration is understandable, but taking it out on the cashier is not justified.	[-2.0]	-2.34666672
