id	dataset	scenario	circumstance_type	circumstance	vulnerable_score	intentional_score	harm_score	help_score	moral_score	vulnerable_expl	intentional_expl	harm_expl	help_expl	moral_expl	agent	assumption_for_agent	patient	assumption_for_patient	human_score
1	Clifford	You see a woman spanking her child with a spatula for getting bad grades in school.	orig		10.0	7.0	6.0	0.0	-3.0	Children are highly defenseless and susceptible to physical harm.	The act was deliberate, planned as a disciplinary measure.	Spanking with a spatula causes noticeable physical pain without severe injury.	The action lacks genuine protective intent and does not provide beneficial help.	Using physical punishment on a vulnerable child is morally highly objectionable.	Woman	Assumed to be the child's parent with authority to administer discipline.	Child	Assumed to be the offspring of the agent.	-2.6
2	Kruepke	I was supposed to go see my father before he died. He was ill and my mother was supposed to come into town so we could see him. She didn't come, so we never made it before he passed away.	orig		7.0	1.0	3.0	0.0	0.0	His terminal illness renders him vulnerable though not completely defenseless.	The failure to visit was unintentional, due to circumstances beyond deliberate control.	The missed visit likely caused emotional distress and regret, a form of mild harm.	Not visiting provided no assistance or support during a critical time.	A regrettable accident causing minor harm without malice, morally neutral.	I	Assumed to be the narrator responsible for visiting my father.	My father	Assumed to be an ill, vulnerable individual needing familial support.	-1.45
3	Mickelberg	Person X stepped in when a friend at a pub was getting assaulted for being dark skinned.	orig		7.0	8.0	4.0	9.0	4.0	Average adult in a violent scenario; moderately vulnerable to physical harm.	Action was deliberate, with clear intent to protect a friend.	Intervention may have caused minor physical harm to the assailant.	Crucial assistance preventing further harm in a life-threatening situation.	Intervening to protect someone is highly moral and commendable.	Person X	Assumed to be a caring friend who deliberately intervened.	The friend who was being assaulted.	Assumed to be an average adult victim targeted due to racial prejudice.	3.18
4	Effron	Gave a beggar a five-dollar bill at Christmas time	orig		7.0	7.0	0.0	4.0	3.0	Beggar is an average adult likely facing financial hardship.	Action was deliberate with moral intent but not overly premeditated.	No damage was inflicted; the act is harmless.	Donation provides minor assistance and support.	Charitable act with minimal harm yields a morally positive outcome.	A generous person	Assumed to be kind-hearted and charitable	A beggar	Assumed to be impoverished and in need	1.93103448
5	Lotto	You are the safety officer in charge of a fun park. One of the metal arms of the ferris wheel suddenly breaks because of a structural defect. Four people are stranded in a cabin 80 metres up in the air. Another person is in a cabin just a few metres from ground level and is able to get off alone. The whole structure is falling down.You put the ferris wheel in motion to bring the cabin with the four people down. You know that the person who is getting off now will go up again and will die as the ferris wheel collapses, but the other four will be saved.	orig		7.0	7.0	10.0	10.0	2.0	A typical adult in a life-threatening scenario, moderately high susceptibility to harm.	Deliberate emergency decision with clear intent to save more lives.	Direct, intentional action causing the death of one individual.	The action rescued four lives in a critical, life-threatening emergency.	Utilitarian trade-off: one lost life to save four creates ethical tension yet is moderately acceptable.	Safety officer	Assumed the officer had the authority and competence to make life-and-death decisions in emergencies.	The person in the near-ground cabin forced to act, whose sacrifice was necessary.	Assumed the individual is a typical adult with average resilience and vulnerability.	-1.11
6	Kruepke	When I was a teenager, my sister and I used to sneak out the bedroom window to go out dancing. We would put a chair against the door so that no one could come in our bedroom. A couple of times we got caught.	orig		7.0	7.0	1.0	0.0	2.0	Parents are typical adults with average resilience.	Action involved planning and deliberate intent.	Minimal damage caused beyond minor rule-breaking repercussions.	No clear assistance provided to anyone.	Harmless teenage mischief with low actual harm implies slight moral acceptability.	The narrator (a teenager)	A rebellious teen acting on a desire for freedom.	The parents	Assumed to be responsible adults who care about home safety.	-0.32
7	Mickelberg	Person X ordered pizza while at their friend's farewell party.	orig		7	7	0	7	4	Average adult vulnerability; not highly defenseless but not immune to harm.	Pizza ordering was a deliberate choice to enhance the party experience.	No physical or emotional harm resulted from ordering pizza.	Pizza provided considerable sustenance and enjoyment at the farewell party.	The action is morally acceptable, boosting party enjoyment without causing harm.	Person X	Assumed to be a competent, autonomous adult making a food purchase decision.	The friend hosting the farewell party	Assumed to be an adult benefiting from the party environment.	0.61
8	Lotto	It is evening. A friend calls you saying that he has a terrible migraine headache. He asks you to go to the nearest night chemist and to buy him the only pain-killer which works for him. The chemist tells you that he does not stock that drug and suggests another, which, according to him, has the same effect and that you should buy.You buy the migraine drug that the chemist suggests. You make your friend take it without showing him the box. He will think he is taking the one he asked for.	orig		7.0	8.0	3.0	7.0	1.0	A typical adult is moderately vulnerable, susceptible to harm yet generally resilient.	The action was deliberate and premeditated to obtain and administer a substitute drug.	Physical harm was minimal; however, deception could slightly damage trust.	The friend received effective pain relief, representing substantial assistance in crisis.	Though deceit is troubling, the overall benefit to my friend renders it relatively acceptable.	You	I assumed I was competent, trustworthy, and acting in my friend’s best interest.	My friend	I assumed he was a typical adult in distress who trusted my judgment.	1.3
9	Effron	Took a friend out for a beer to celebrate his promotion	orig		6	8	0	6	4	Friend is an average adult, hence medium-high vulnerability.	The celebration was planned and intentional to honor his promotion.	No harm was inflicted; it was a harmless social outing.	Boosted morale and provided social support through celebration.	A supportive, positive celebration making it highly moral.	I (the person organizing the celebration)	Assumed to be a consenting, responsible adult planning a friendly gesture.	My friend who was promoted	Assumed to be a consenting adult, open to celebrating his achievement.	1.48571424
10	Grizzard	Fires teargas into a crowd of civilians.	orig		7.0	8.0	7.0	0.0	-4.0	Civilians have average resilience, fitting medium-high vulnerability.	The action was deliberate, executed with tactical intent against the crowd.	Teargas can cause significant temporary harm without being lethal.	No assistance is provided; the action is solely aimed to control.	Intentional harm against civilians renders the scenario extremely immoral.	A police officer	Assumed to be an individual with authority responsible for crowd control.	Civilians in the crowd	Assumed to be non-violent, average adults present during a protest.	-1.626666667
