id	dataset	scenario	circumstance_type	circumstance	Q1_score	Q1_expl	Q2_score	Q2_expl	Q3_score	Q3_expl	Q4_score	Q4_expl	Q5_score	Q5_expl	Q6_score	Q6_expl	Q7_score	Q7_expl	moral_score	moral_expl	human_score	split	regression_score	mlp_score
1	Clifford	You see a woman spanking her child with a spatula for getting bad grades in school.	orig		0.0	Spanking is harmful, not caring.	5.0	Action is not related to group loyalty.	5.0	Action does not involve reciprocity.	0.0	Action does not reflect heroic virtues.	0.0	Action does not reflect monkish virtues.	5.0	Action is not related to fairness.	5.0	Action is not related to prior possession.	-3.0	Spanking is generally considered immoral.	-2.6	train		
2	Kruepke	I was supposed to go see my father before he died. He was ill and my mother was supposed to come into town so we could see him. She didn't come, so we never made it before he passed away.	orig		2.0	Not visiting father before death is contrary to family values.	3.0	Not visiting father shows lack of group loyalty.	2.0	Not reciprocating care and support to father.	5.0	No reflection of bravery or fortitude.	3.0	Lack of respect and obedience to family duties.	5.0	Fairness not directly relevant in this context.	5.0	Prior possession not relevant in this context.	-2.0	Overall, the scenario is morally negative.	-1.45	train		
3	Mickelberg	Person X stepped in when a friend at a pub was getting assaulted for being dark skinned.	orig		5.0	Action is unrelated to family values.	9.0	Defending a friend shows strong group loyalty.	8.0	Stepping in reflects reciprocity and trust.	9.0	Action demonstrates bravery and fortitude.	5.0	Action is unrelated to monkish virtues.	5.0	Action is unrelated to fairness in resources.	5.0	Action is unrelated to prior possession.	4.0	Defending a friend is highly moral.	3.18	train		
4	Effron	Gave a beggar a five-dollar bill at Christmas time	orig		5.0	Not related to family values.	5.0	Not related to group loyalty.	5.0	Not related to reciprocity.	5.0	Not related to heroic virtues.	7.0	Reflects humility and respect.	5.0	Not related to fairness.	5.0	Not related to prior possession.	3.0	A kind and humble act.	1.93103448	train		
5	Lotto	You are the safety officer in charge of a fun park. One of the metal arms of the ferris wheel suddenly breaks because of a structural defect. Four people are stranded in a cabin 80 metres up in the air. Another person is in a cabin just a few metres from ground level and is able to get off alone. The whole structure is falling down.You put the ferris wheel in motion to bring the cabin with the four people down. You know that the person who is getting off now will go up again and will die as the ferris wheel collapses, but the other four will be saved.	orig		5.0	Action is neutral to family values.	8.0	Action reflects group loyalty by saving more people.	5.0	Action is neutral to reciprocity.	7.0	Action reflects bravery and quick decision-making.	5.0	Action is neutral to monkish virtues.	5.0	Action is not related to fairness.	5.0	Action is neutral to prior possession.	2.0	Action is morally acceptable, saving more lives.	-1.11	train		
6	Kruepke	When I was a teenager, my sister and I used to sneak out the bedroom window to go out dancing. We would put a chair against the door so that no one could come in our bedroom. A couple of times we got caught.	orig		2.0	Sneaking out is contrary to family values.	6.0	Sneaking out together shows some group loyalty.	5.0	Not related to reciprocity.	6.0	Shows some bravery and wit.	1.0	Contrary to obedience and respect.	5.0	Not related to fairness.	2.0	Contrary to deferring to prior possession.	0.0	Mostly neutral with some negative aspects.	-0.32	train		
7	Mickelberg	Person X ordered pizza while at their friend's farewell party.	orig		5.0	Ordering pizza is neutral to family values.	8.0	Ordering pizza supports group bonding and participation.	7.0	Ordering pizza can be seen as a favor or act of gratitude.	5.0	Ordering pizza does not reflect heroic virtues.	5.0	Ordering pizza is neutral to monkish virtues.	6.0	Ordering pizza can reflect fairness if shared equally.	5.0	Ordering pizza is neutral to prior possession.	3.0	Overall, the action is morally positive.	0.61	train		
8	Lotto	It is evening. A friend calls you saying that he has a terrible migraine headache. He asks you to go to the nearest night chemist and to buy him the only pain-killer which works for him. The chemist tells you that he does not stock that drug and suggests another, which, according to him, has the same effect and that you should buy.You buy the migraine drug that the chemist suggests. You make your friend take it without showing him the box. He will think he is taking the one he asked for.	orig		5.0	Not related to family values.	8.0	Helping a friend shows group loyalty.	7.0	Reciprocating a favor by helping.	5.0	Not related to heroic virtues.	5.0	Not related to monkish virtues.	5.0	Not related to fairness.	5.0	Not related to prior possession.	2.0	Mostly moral due to helping a friend.	1.3	train		
9	Effron	Took a friend out for a beer to celebrate his promotion	orig		5.0	Not related to family values.	8.0	Celebrating a friend's promotion shows group loyalty.	7.0	Expresses gratitude and support for a friend.	5.0	Not related to heroic virtues.	5.0	Not related to monkish virtues.	5.0	Not related to fairness in resources.	5.0	Not related to prior possession.	3.0	Positive action reflecting group loyalty and reciprocity.	1.48571424	train		
10	Grizzard	Fires teargas into a crowd of civilians.	orig		0.0	Harming civilians contradicts family values.	0.0	Undermines group loyalty by harming the community.	0.0	Does not reflect reciprocity; causes harm.	0.0	Lacks bravery or skill; uses force on civilians.	0.0	Shows no humility or respect.	0.0	Unfairly harms civilians; no compromise.	0.0	Ignores civilians' rights and prior possession.	-4.0	Highly immoral; harms innocent people.	-1.626666667	train		
