id	dataset	scenario	circumstance_type	circumstance	agent	agent_assumption	affected_party	affected_party_assumption	Q5_score	Q5_expl	moral_score	moral_expl	human_score
1	Clifford	You see a woman spanking her child with a spatula for getting bad grades in school.	orig		The woman	The woman is the child's parent or guardian and is responsible for disciplining the child	The child	The child is a minor and is under the care of the woman	2.0	The action does not treat the child as an end in itself, as it uses physical punishment as a means to an end (improving grades)	-3.0	The action is morally unacceptable due to the use of physical punishment	-2.6
2	Kruepke	I was supposed to go see my father before he died. He was ill and my mother was supposed to come into town so we could see him. She didn't come, so we never made it before he passed away.	orig		The agent of this action is the mother, who was supposed to come into town so they could see the father before he died.	The assumption made about the agent is that she was aware of her husband's critical condition and the importance of visiting him.	The party being affected by this action is the father, who was ill and wanted to see his family before he died, and the son, who was supposed to go see his father.	The assumption made about the affected party is that they both had a desire to see each other before the father's death.	2.0	The action does not follow a maxim that can be willed as a universal moral law, as it disregards the father's and son's wishes.	-3.0	The scenario is morally unacceptable due to the disregard for the father's and son's wishes.	-1.45
3	Mickelberg	Person X stepped in when a friend at a pub was getting assaulted for being dark skinned.	orig		Person X	Person X is assumed to be a morally conscious individual who values the dignity and rights of others.	The friend at the pub who was getting assaulted for being dark skinned	The affected party is assumed to be a victim of racial discrimination and physical assault.	10.0	Person X acted to protect the friend's dignity and rights, treating them as an end in itself.	4.0	The action is highly moral as it upholds the dignity and rights of the affected party.	3.18
4	Effron	Gave a beggar a five-dollar bill at Christmas time	orig		The agent of this action is the person who gave the beggar a five-dollar bill.	The assumption made about the agent is that they have the means to give away money and the intention to help someone in need.	The party being affected by this action is the beggar who received the five-dollar bill.	The assumption made about the affected party is that they are in a situation of need and will use the money for their well-being.	10.0	The action treats the beggar as an end in itself, respecting their dignity and needs.	4.0	The action is highly moral as it follows the categorical imperative.	1.93103448
5	Lotto	You are the safety officer in charge of a fun park. One of the metal arms of the ferris wheel suddenly breaks because of a structural defect. Four people are stranded in a cabin 80 metres up in the air. Another person is in a cabin just a few metres from ground level and is able to get off alone. The whole structure is falling down.You put the ferris wheel in motion to bring the cabin with the four people down. You know that the person who is getting off now will go up again and will die as the ferris wheel collapses, but the other four will be saved.	orig		The safety officer in charge of the fun park	The safety officer is acting in the best interest of the majority, prioritizing the lives of the four people stranded in the cabin	The affected parties are the four people stranded in the cabin and the person who is able to get off alone	The four people stranded in the cabin are being treated as an end in themselves, while the person who is able to get off alone is being treated as a means to save the others	5.0	The action treats the four people as an end in itself, but not the one person (5/10)	-1.0	The action is morally ambiguous, as it prioritizes the lives of the many over the one (-1/4)	-1.11
6	Kruepke	When I was a teenager, my sister and I used to sneak out the bedroom window to go out dancing. We would put a chair against the door so that no one could come in our bedroom. A couple of times we got caught.	orig		The teenage siblings	They are acting secretively and against their parents' rules	Their parents and themselves	Their parents are being deceived and their own safety is at risk	2.0	The action disregards parental authority and personal safety	-2.0	The action is morally questionable due to deception and risk	-0.32
7	Mickelberg	Person X ordered pizza while at their friend's farewell party.	orig		Person X	Person X is assumed to be a rational and moral agent capable of making decisions based on the categorical imperative.	The affected party is the pizza delivery person and the guests at the farewell party.	The pizza delivery person is assumed to be a human being who deserves respect and fair treatment, and the guests are assumed to be enjoying the party and expecting food.	7.0	Ordering pizza does not inherently violate the categorical imperative.	3.0	The action is morally acceptable as it does not exploit anyone.	0.61
8	Lotto	It is evening. A friend calls you saying that he has a terrible migraine headache. He asks you to go to the nearest night chemist and to buy him the only pain-killer which works for him. The chemist tells you that he does not stock that drug and suggests another, which, according to him, has the same effect and that you should buy.You buy the migraine drug that the chemist suggests. You make your friend take it without showing him the box. He will think he is taking the one he asked for.	orig		The agent of this action is the friend who went to the chemist.	The assumption made about the agent is that they are trying to help their friend in need.	The party being affected by this action is the friend with the migraine headache.	The assumption made about the affected party is that they trust their friend to bring them the correct medication.	6.0	The action does not fully respect the friend's autonomy, but is intended to help.	2.0	The action is morally acceptable, but not fully respectful of autonomy.	1.3
9	Effron	Took a friend out for a beer to celebrate his promotion	orig		The agent of this action is the person who took their friend out for a beer.	The assumption made about the agent is that they are of legal drinking age and have the financial means to purchase alcohol.	The party being affected by this action is the friend who was taken out for a beer.	The assumption made about the affected party is that they are of legal drinking age and enjoy socializing over a drink.	10.0	The action is a friendly gesture, treating the friend as an end in itself, not a means.	4.0	The scenario is highly moral as it involves celebrating a friend's achievement.	1.48571424
10	Grizzard	Fires teargas into a crowd of civilians.	orig		The agent of this action is the individual who fired the teargas into the crowd.	The assumption made about the agent is that they are a law enforcement officer or someone in a position of authority.	The party being affected by this action is the crowd of civilians.	The assumption made about the affected party is that they are unarmed and non-threatening.	2.0	The action does not treat the crowd as an end in itself, but rather as a means to disperse them, hence a low score.	-3.0	The action is morally questionable as it potentially harms innocent civilians.	-1.626666667
11	Effron	Complimented coworkers on their clothing and appearance	orig		The agent of this action is the person who complimented their coworkers on their clothing and appearance.	The assumption made about the agent is that they are genuinely appreciative of their coworkers' appearance and intend to express this in a respectful manner.	The party being affected by this action are the coworkers who received the compliments.	The assumption made about the affected party is that they are comfortable receiving compliments about their appearance and that these compliments do not make them feel objectified or uncomfortable.	9.0	The action respects the affected party's autonomy and dignity, treating them as an end in itself.	4.0	The scenario is highly moral as it promotes positive interpersonal relationships and respects individual autonomy.	1.17894736
12	Kruepke	I was in a relationship with my best friend's cousin. She was really beautiful, but as time went on I became less attracted to her. I tried to tell her I didn't really want to see her anymore and she flipped out.	orig		The agent of this action is the person in the relationship who wants to end it.	The assumption made about the agent is that they are being honest about their feelings and intentions.	The party being affected by this action is the best friend's cousin, who is the other person in the relationship.	The assumption made about the affected party is that she values the relationship and is hurt by the agent's decision.	5.0	The agent is acting in accordance with their feelings, but not considering the affected party's feelings as an end in itself. (10 words)	0.0	The scenario is morally neutral, as the agent is being honest but not fully considering the affected party's feelings. (15 words)	0.91
13	Lotto	You are on holiday at the seaside and returning to shore in your motorboat. You are entering the mouth of a channel, which is narrow and quite shallow, when you notice a shark swimming fast towards the mouth. At the end of the channel is a swimmer, who is calmly bathing. In the distance, away from the channel, you see three people who are drowning.You turn quickly out of the channel, leaving the mouth free. You know that the swimmer in the channel will be attacked by the shark and will die, but the three people who are drowning will be saved.	orig		The agent of this action is the person driving the motorboat.	The assumption made about the agent is that they are capable of making a moral decision and have the ability to control the motorboat.	The parties being affected by this action are the swimmer in the channel and the three people who are drowning.	The assumption made about the affected parties is that they are all in need of help and are unaware of the impending danger.	5.0	The action treats the three drowning people as an end in itself (10), but the swimmer in the channel as a means (0).	0.0	The scenario is morally ambiguous due to the sacrifice of one life to save three others.	-0.46
14	Mickelberg	Person X broke off all communication with their family for a while because they had a heated argument with each other.	orig		Person X	Person X is assumed to have acted out of anger or frustration, and is capable of making decisions regarding communication with their family.	The family of Person X	The family is assumed to be affected emotionally by the lack of communication and the argument.	3.0	Breaking off communication does not inherently respect the family as ends in themselves.	1.0	The action is somewhat morally acceptable, but could be improved by considering the family's feelings.	-0.38
15	Mickelberg	Person X presented their colleague's idea as their own in order to get a promotion.	orig		Person X	Person X is assumed to be driven by self-interest and ambition, disregarding ethical considerations.	The colleague whose idea was stolen and the organization that was misled by Person X's actions.	The colleague is assumed to have trusted Person X and expected fair treatment. The organization is assumed to value honesty and integrity.	0.0	The action violates the principle of honesty and fairness, treating the colleague merely as a means to an end.	-4.0	The action is a clear violation of moral principles, making it highly immoral.	-2.86
16	Clifford	You see an employee joking with competitors about how bad his company did last year.	orig		The employee	The employee is not loyal to their company and is willing to share sensitive information with competitors	The company and its stakeholders	The company and its stakeholders are being harmed by the employee's actions	0.0	The action does not respect the company's interests (0/10)	-4.0	The action is extremely immoral (-4/4)	-2.0
17	Cook	Someone posts on social media bragging about making out with multiple strangers the night before	orig		The person posting on social media	The agent is acting impulsively and without regard for the feelings of others	The strangers involved, the social media audience, and the agent themselves	The affected parties may not have consented to being publicly discussed, and the audience may be negatively influenced	2.0	The action disregards privacy and consent, treating others as means	-3.0	The action is morally unacceptable due to disregard for privacy and consent	-1.22
18	Clifford	You see a girl shooting geese repeatedly with a pellet gun out in the woods.	orig		The girl	She is capable of understanding the consequences of her actions and is intentionally shooting geese with a pellet gun.	The geese	They are sentient beings capable of experiencing pain and suffering.	1.0	The action causes harm to the geese without any clear justification, not treating them as an end in themselves.	-3.0	The action is morally unacceptable due to the unnecessary harm caused to the geese.	-3.0
19	Clifford	You see a family eating the carcass of their pet dog that had been run over.	orig		The family	They are in a state of desperation and possibly starvation	The pet dog and the family themselves	The dog is no longer living and the family is in a state of need	0.0	The action is not willable as a universal law (0)	-4.0	The action is highly immoral due to disrespect for life (-4)	-3.2
20	Mickelberg	Person X stole the collection tin of a blind beggar on the street.	orig		Person X	Person X is assumed to be capable of understanding the consequences of their actions and making a conscious decision to steal.	The blind beggar	The blind beggar is assumed to be vulnerable and dependent on the collection tin for their livelihood.	0.0	The action completely disregards the beggar's welfare (0/10)	-4.0	The action is extremely immoral and exploitative (-4/4)	-3.38
21	Effron	Refused to hold the door for a man in a wheelchair	orig		The person who refused to hold the door	The agent is assumed to be physically capable of holding the door	The man in a wheelchair	The affected party is assumed to be physically unable to open the door without assistance	2.0	Refusing to help someone in need does not treat them as an end in themselves (2/10)	-3.0	The action is morally unacceptable due to lack of empathy and assistance (-3)	-3.008
