id	dataset	scenario	circumstance_type	circumstance	vulnerable_score	intentional_score	harm_score	help_score	moral_score	vulnerable_expl	intentional_expl	harm_expl	help_expl	moral_expl	agent	assumption_for_agent	patient	assumption_for_patient	human_score
1	Clifford	You see a woman spanking her child with a spatula for getting bad grades in school.	orig		10.0	9.0	8.0	0.0	-4.0	Child is defenseless and susceptible to harm	Action was deliberate and planned to punish the child	Physical punishment can cause emotional and physical harm	No help or protection was provided to the child	Intentional harm to a vulnerable child is morally unacceptable	The woman	She is a parent who is frustrated with her child's performance	The child	The child is innocent and vulnerable	-2.6
2	Kruepke	I was supposed to go see my father before he died. He was ill and my mother was supposed to come into town so we could see him. She didn't come, so we never made it before he passed away.	orig		8.0	6.0	8.0	0.0	-3.0	Illness makes him vulnerable to harm	She didn't come, implying some intentionality	Missing the chance to see him before he died caused significant harm	No help was provided in this situation	Intentional inaction led to significant harm, making it immoral	My mother	That she would come into town as planned	My father	That he was ill and needed to see us	-1.45
3	Mickelberg	Person X stepped in when a friend at a pub was getting assaulted for being dark skinned.	orig		9.0	9.0	7.0	9.0	4.0	Defenseless against assault, high susceptibility to harm	Assailant's action was intentional and deliberate	Assault caused significant physical and emotional harm	Person X's intervention provided critical protection and assistance	Person X's action was highly moral, protecting a vulnerable individual from harm	Person X	Assumed to be a responsible and empathetic individual	The dark-skinned friend	Assumed to be vulnerable and in need of protection	3.18
4	Effron	Gave a beggar a five-dollar bill at Christmas time	orig		8.0	6.0	0.0	6.0	3.0	Beggars are often vulnerable due to their financial situation	The action was intentional, but not extensively planned	No harm was caused in this scenario	The five-dollar bill provided some financial assistance	The scenario is morally acceptable due to the kind act	The person giving the five-dollar bill	Assuming they are a kind and generous person	The beggar	Assuming they are in need of financial assistance	1.93103448
5	Lotto	You are the safety officer in charge of a fun park. One of the metal arms of the ferris wheel suddenly breaks because of a structural defect. Four people are stranded in a cabin 80 metres up in the air. Another person is in a cabin just a few metres from ground level and is able to get off alone. The whole structure is falling down.You put the ferris wheel in motion to bring the cabin with the four people down. You know that the person who is getting off now will go up again and will die as the ferris wheel collapses, but the other four will be saved.	orig		9.0	9.0	6.0	9.0	3.0	The four people stranded are highly vulnerable due to their situation	The action was intentional and deliberate to save lives	One person will die, but the harm is minimized compared to the alternative	Four lives are saved, which is a significant amount of help	The moral acceptability is high due to the intention to save lives and minimize harm	The safety officer	That they are capable of making a quick and rational decision in an emergency situation	The five people on the ferris wheel	That they are in a life-threatening situation and need immediate help	-1.11
6	Kruepke	When I was a teenager, my sister and I used to sneak out the bedroom window to go out dancing. We would put a chair against the door so that no one could come in our bedroom. A couple of times we got caught.	orig		8.0	7.0	4.0	0.0	-2.0	Parents are typically concerned for their children's safety	The sisters planned and took steps to avoid getting caught	Getting caught could lead to punishment or restriction of freedom	No help was provided to anyone in this scenario	The scenario is morally questionable due to disobedience and potential harm	The narrator and their sister	They were capable of sneaking out and taking precautions to avoid getting caught	Their parents	They were unaware of their children's actions and trusted them to stay in their room	-0.32
7	Mickelberg	Person X ordered pizza while at their friend's farewell party.	orig		2.0	6.0	0.0	6.0	0.0	The patient is an inanimate object and a typical adult, so vulnerability is low.	The action was intentional, but not extensively planned.	No harm was caused to the patient.	The action provided sustenance, which is a form of help.	The scenario is morally neutral, as it's a normal action with no harm or significant help.	Person X	Assuming Person X is a responsible adult	The pizza and possibly the friend (if they were hungry)	Assuming the pizza is an inanimate object and the friend is a typical adult	0.61
8	Lotto	It is evening. A friend calls you saying that he has a terrible migraine headache. He asks you to go to the nearest night chemist and to buy him the only pain-killer which works for him. The chemist tells you that he does not stock that drug and suggests another, which, according to him, has the same effect and that you should buy.You buy the migraine drug that the chemist suggests. You make your friend take it without showing him the box. He will think he is taking the one he asked for.	orig		8.0	7.0	4.0	6.0	0.0	Friend is vulnerable due to migraine and trusting you.	You intentionally bought a different drug without consulting your friend.	Potential harm from taking an unknown drug, but likely minor.	Providing some relief from migraine, but not the intended drug.	Balancing potential harm and help, with some moral ambiguity.	You	You assumed that the chemist's suggested drug would be effective and safe for your friend.	Your friend	You assumed that your friend would trust your judgment and take the drug without questioning.	1.3
9	Effron	Took a friend out for a beer to celebrate his promotion	orig		6.0	7.0	0.0	8.0	4.0	Friend is an average adult with no vulnerabilities	Action was intentional but not extensively planned	No harm was caused, only positive celebration	Help was caused by celebrating friend's achievement	Scenario is highly moral due to celebratory and supportive nature	I	I am a supportive and celebratory friend	My friend	My friend is deserving of celebration and appreciation	1.48571424
10	Grizzard	Fires teargas into a crowd of civilians.	orig		8.0	9.0	7.0	0.0	-3.0	Civilians are vulnerable to harm from teargas	The officer intentionally fired teargas into the crowd	Teargas can cause significant harm and discomfort	No help was provided to the civilians	Intentionally harming civilians is highly immoral	A police officer	Assuming the officer is trained to handle crowd control situations	The civilians in the crowd	Assuming they are unarmed and peaceful protesters	-1.626666667
