id	dataset	scenario	circumstance_type	circumstance	agent	agent_assumption	affected_party	affected_party_assumption	Q5_score	Q5_expl	Q6_score	Q6_expl	Q7_score	Q7_expl	Q8_score	Q8_expl	moral_score	moral_expl	human_score
1	Clifford	You see a woman spanking her child with a spatula for getting bad grades in school.	orig		The woman.	She is the child's mother.	The child.	A young child under her care.	9.0	The patient is a defenseless child.	7.0	She intentionally spanked the child as punishment.	5.0	Inflicted minor physical harm and emotional distress.	1.0	Little to no assistance was provided.	-3.0	Intentional harm to a vulnerable child is morally unacceptable.	-2.6
2	Kruepke	I was supposed to go see my father before he died. He was ill and my mother was supposed to come into town so we could see him. She didn't come, so we never made it before he passed away.	orig		I (the speaker).	I didn't go to see my father before he died.	My father.	He was ill and needed support.	9.0	Father was ill and near death, highly vulnerable.	2.0	It was unintentional; I didn't plan to miss seeing him.	7.0	Caused significant emotional harm by not visiting before his death.	0.0	No assistance was provided.	-2.0	Unintentional but caused significant harm; morally negative.	-1.45
3	Mickelberg	Person X stepped in when a friend at a pub was getting assaulted for being dark skinned.	orig		Person X	Assumed Person X is a friend intervening to help.	Person X's friend being assaulted.	Assumed friend is a typical adult under attack.	8.0	Friend is under physical assault, increasing vulnerability.	7.0	Person X decided to intervene to help friend.	0.0	No harm was caused by Person X's action.	9.0	Person X provided critical help by intervening.	4.0	Person X acted morally by protecting friend from assault.	3.18
4	Effron	Gave a beggar a five-dollar bill at Christmas time	orig		The person who gave the five-dollar bill.	Assumed to be a compassionate individual acting kindly during Christmas.	The beggar who received the five-dollar bill.	Assumed to be someone in need of financial help.	9.0	Beggar is highly vulnerable due to financial and social status.	6.0	The act was somewhat planned, given the Christmas timing.	0.0	No harm was caused; action was beneficial.	4.0	Provided minor financial help by donating five dollars.	4.0	Helped a vulnerable person without harm; action is highly moral.	1.93103448
5	Lotto	You are the safety officer in charge of a fun park. One of the metal arms of the ferris wheel suddenly breaks because of a structural defect. Four people are stranded in a cabin 80 metres up in the air. Another person is in a cabin just a few metres from ground level and is able to get off alone. The whole structure is falling down.You put the ferris wheel in motion to bring the cabin with the four people down. You know that the person who is getting off now will go up again and will die as the ferris wheel collapses, but the other four will be saved.	orig		The safety officer	He is responsible for making safety decisions in the park	The person getting off near ground level	They can disembark safely but will die due to the action	9.0	The patient faces death due to circumstances—maximum vulnerability	9.0	Action was deliberate to save four people—maximum intentionality	10.0	Death caused to one person—maximum harm	10.0	Saved four lives in a critical situation	1.0	Action saved more lives than lost—slightly morally acceptable	-1.11
6	Kruepke	When I was a teenager, my sister and I used to sneak out the bedroom window to go out dancing. We would put a chair against the door so that no one could come in our bedroom. A couple of times we got caught.	orig		My sister and I.	They are teenagers sneaking out.	Our parents.	Parents unaware of children's actions.	7.0	Parents are susceptible to worry or harm.	7.0	They planned to sneak out and avoid detection.	4.0	Caused minor emotional harm through deceit.	0.0	No help or assistance provided.	-2.0	Intentional deceit causing minor harm; somewhat immoral.	-0.32
7	Mickelberg	Person X ordered pizza while at their friend's farewell party.	orig		Person X	That Person X is a friend attending the farewell party.	The friends at the farewell party.	They are hungry and would enjoy pizza.	3.0	They are friends, not particularly vulnerable in this context.	7.0	Person X decided to order pizza after some thought.	0.0	No harm was caused to anyone.	6.0	Provided substantial assistance by ordering food for the party.	3.0	Action was helpful and caused no harm.	0.61
8	Lotto	It is evening. A friend calls you saying that he has a terrible migraine headache. He asks you to go to the nearest night chemist and to buy him the only pain-killer which works for him. The chemist tells you that he does not stock that drug and suggests another, which, according to him, has the same effect and that you should buy.You buy the migraine drug that the chemist suggests. You make your friend take it without showing him the box. He will think he is taking the one he asked for.	orig		You	Assumed the agent wants to help his friend relieve the migraine	Your friend with the migraine	Assumed the friend believes only the requested medication works	7.0	Friend is in severe pain, making him more vulnerable than average	7.0	You intentionally gave alternative medication without informing him	1.0	Minimal harm caused; friend received intended medication	7.0	Provided substantial help by addressing friend's migraine	2.0	Action intended to help with minimal harm despite deception	1.3
9	Effron	Took a friend out for a beer to celebrate his promotion	orig		The speaker (I, the person who took the friend out)	Assumed to be an adult friend of the patient	The friend who was taken out for a beer	Assumed to be an adult friend who was promoted	7.0	Patient is a typical adult with average vulnerability	7.0	Action involved planning to celebrate friend's promotion	0.0	No harm was caused to the patient	4.0	Provided minor support by celebrating friend's success	3.0	Morally positive action offering support without harm	1.48571424
10	Grizzard	Fires teargas into a crowd of civilians.	orig		A police officer	Assumed the agent is a police officer dispersing the crowd	A crowd of civilians	Assumed the civilians are unarmed and peaceful	8.0	Civilians, including vulnerable individuals, with susceptibility to harm	9.0	Deliberate action executed with planning	7.0	Caused significant harm through exposure to tear gas	0.0	No assistance or protection offered to the civilians	-4.0	Intentional harm to vulnerable civilians without justification	-1.626666667
11	Effron	Complimented coworkers on their clothing and appearance	orig		The person who complimented coworkers on their clothing and appearance.	I assumed the agent is a colleague in the same workplace.	The coworkers who received the compliments.	I assumed the patients are typical adult coworkers.	7.0	Patients are typical adults with average vulnerability.	7.0	The agent intentionally gave compliments with some thought.	0.0	No harm was caused; compliments are positive.	4.0	Provided minor support by boosting morale.	3.0	Intentional action caused no harm and some help; morally acceptable.	1.17894736
12	Kruepke	I was in a relationship with my best friend's cousin. She was really beautiful, but as time went on I became less attracted to her. I tried to tell her I didn't really want to see her anymore and she flipped out.	orig		The narrator (I)	Assumed to be the person ending the relationship.	The best friend's cousin (the girlfriend)	Assumed to be the person receiving the breakup news.	7.0	She is a typical adult facing emotional harm.	7.0	The breakup was planned and communicated deliberately.	5.0	Caused emotional distress by ending the relationship.	0.0	No help or assistance was provided.	1.0	Being honest is moral but caused harm.	0.91
13	Lotto	You are on holiday at the seaside and returning to shore in your motorboat. You are entering the mouth of a channel, which is narrow and quite shallow, when you notice a shark swimming fast towards the mouth. At the end of the channel is a swimmer, who is calmly bathing. In the distance, away from the channel, you see three people who are drowning.You turn quickly out of the channel, leaving the mouth free. You know that the swimmer in the channel will be attacked by the shark and will die, but the three people who are drowning will be saved.	orig		The person operating the motorboat.	Assumed the agent is capable and can make decisions to save lives.	The swimmer in the channel.	Assumed the swimmer is unaware of the shark and defenseless.	10.0	The swimmer is defenseless against the shark and unaware of danger.	7.0	The agent made a conscious decision knowing consequences.	10.0	The swimmer dies as a result of the action.	10.0	Saved three people from drowning.	2.0	Saved more lives than lost, action morally acceptable with harm.	-0.46
14	Mickelberg	Person X broke off all communication with their family for a while because they had a heated argument with each other.	orig		Person X	That Person X is an adult family member involved in the argument.	Their family	That the family consists of relatives involved in the disagreement.	7.0	The family members are typical adults susceptible to emotional harm.	7.0	Person X decided to stop communication after some thought.	4.0	The action caused emotional distress but no physical harm.	0.0	No assistance was provided in this action.	-2.0	Person X intentionally caused emotional harm to moderately vulnerable individuals.	-0.38
15	Mickelberg	Person X presented their colleague's idea as their own in order to get a promotion.	orig		Person X	Assumed Person X is an adult seeking promotion.	Their colleague	Assumed the colleague is a typical adult professional.	7.0	The colleague is a typical adult with average vulnerability.	9.0	Person X deliberately presented the idea to get a promotion.	7.0	Significant professional harm due to loss of recognition.	0.0	No assistance or help was provided in the scenario.	-4.0	Highly immoral due to intentional harm without any help.	-2.86
16	Clifford	You see an employee joking with competitors about how bad his company did last year.	orig		The employee who is joking.	He is carelessly sharing negative company information with competitors.	His company.	The company could be harmed by negative disclosure to competitors.	4.0	The company is resilient but can be harmed by negative disclosures.	4.0	The employee acted impulsively without extensive planning.	4.0	The employee's actions caused minor harm to the company's reputation.	0.0	The action provided no assistance or benefit to anyone.	-2.0	The action is moderately immoral due to betrayal of company trust.	-2.0
17	Cook	Someone posts on social media bragging about making out with multiple strangers the night before	orig		The person who posted on social media.	I assumed the agent is an adult seeking attention.	The multiple strangers the person made out with.	I assumed they consented but may not know about being mentioned online.	6.0	The strangers are average adults with some susceptibility to harm.	7.0	The person deliberately chose to post about the encounters.	3.0	Minor potential harm from privacy invasion.	0.0	The action did not provide any help.	-1.0	Slightly immoral due to intentional minor harm.	-1.22
18	Clifford	You see a girl shooting geese repeatedly with a pellet gun out in the woods.	orig		The girl shooting the geese.	She is intentionally harming wildlife.	The geese being shot.	They are wild animals vulnerable to harm.	7.0	Geese are animals with moderate vulnerability to harm.	7.0	She is deliberately shooting geese, indicating intentional action.	7.0	Shooting with a pellet gun can cause significant harm to geese.	0.0	No assistance or help was provided in this action.	-3.0	Intentionally harming animals is considered highly immoral.	-3.0
19	Clifford	You see a family eating the carcass of their pet dog that had been run over.	orig		The family.	They are grieving pet owners.	Their deceased pet dog.	The dog is dead after being run over.	1.0	The dog is deceased and cannot be harmed further.	7.0	They chose to eat the dog after some thought.	1.0	No additional harm; the dog was already dead.	4.0	They benefited by using the dog as food.	1.0	Minimal harm and personal benefit make it slightly acceptable.	-3.2
20	Mickelberg	Person X stole the collection tin of a blind beggar on the street.	orig		Person X	Assumed Person X is an adult capable of theft.	The blind beggar on the street	Assumed the beggar is blind and relies on donations.	10.0	Blind beggar is highly vulnerable and defenseless.	8.0	Theft is a deliberate and intentional act.	7.0	Removing livelihood causes significant harm.	0.0	No help was provided; action was harmful.	-4.0	Intentional harm to vulnerable person is extremely immoral.	-3.38
21	Effron	Refused to hold the door for a man in a wheelchair	orig		An able-bodied person who refused to hold the door.	Assumed to be aware but chose not to help.	The man in the wheelchair.	A person with mobility challenges needing assistance.	9.0	He is a person with disabilities, highly susceptible to harm.	5.0	The agent chose not to assist, with minimal premeditation.	4.0	Caused minor inconvenience and possible emotional distress.	1.0	No assistance was provided to the person in need.	-2.0	Neglecting to assist a vulnerable person is morally unacceptable.	-3.008
22	Effron	Spent time voluntarily tutoring disadvantaged students	orig		The person who volunteered to tutor disadvantaged students	Assumed the agent is an educated adult capable of teaching	The disadvantaged students	Assumed they lack resources and educational support	9.0	Disadvantaged students are highly vulnerable due to lack of resources	9.0	The agent intentionally volunteered and planned to tutor	0.0	No harm was caused to the students	8.0	Provided substantial educational assistance to the students	4.0	Highly moral act of intentional assistance to vulnerable students	3.2
23	Mickelberg	Person X saw a homeless person in the rain, so they gave the person their jacket and umbrella, plus $20 for a hot meal	orig		Person X	That Person X is a compassionate, helpful individual.	A homeless person	That the homeless person was vulnerable and in need of assistance.	9	The homeless person is defenseless and highly susceptible to harm.	7	Person X took deliberate action to help after seeing the homeless person.	0	No harm was caused to the patient.	8	Provided substantial assistance with clothing and money, improving the person's situation significantly.	4	Highly moral act aiding a vulnerable person without causing harm.	3.47
24	Kruepke	For a while I was a security officer at a bank. One day I was walking by the front door when I saw a fifty-dollar bill. I was tempted to take the money but instead I reported it to the manager.	orig		The security officer (the narrator).	That the agent is an honest and responsible person.	The owner of the fifty-dollar bill.	That the owner is a typical adult who lost the money.	7.0	Owner is average adult; moderate vulnerability.	7.0	Agent chose to report after considering; moderate intentionality.	0.0	No harm caused by reporting the money.	7.0	Reporting lost money provides substantial help to owner.	3.0	Agent helped without harm; morally good action.	2.75
25	Effron	Heckled a woman speaking on human rights	orig		The heckler.	Assumed the agent is a person disrupting the speech.	The woman speaking on human rights.	Assumed she is a speaker advocating for human rights.	7.0	She is a typical adult susceptible to verbal harassment.	7.0	The heckler intentionally disrupted the speech after some thought.	4.0	The heckling caused minor emotional distress and disruption.	0.0	No help was provided; action was disruptive.	-2.0	Intentional disrespect caused minor harm; action is somewhat immoral.	-2.25454544
26	Effron	Criticized an old woman for being too slow	orig		A person who criticized the old woman.	Assumed the agent was an impatient adult.	The old woman who was being criticized.	Assumed the patient is an elderly woman moving slowly due to age.	9.0	Elderly woman is highly vulnerable due to age and frailty.	7.0	Criticizing is a deliberate action with some thought.	4.0	Criticism causes minor emotional harm.	0.0	No help was provided in this scenario.	-3.0	Minor harm to a vulnerable person is somewhat immoral.	-1.96129032
27	Mickelberg	Person X took public transport so their sister could use their car to get to work safely.	orig		Person X	That they willingly inconvenienced themselves for their sister	Their sister	That she needed the car to get to work safely	7.0	Sister is an average adult with some vulnerability	7.0	Person X planned and acted deliberately	0.0	No harm was caused by the action	7.0	Provided substantial help by lending car for sister's safety	4.0	Intentional helpful act with no harm; highly moral	2.58
