id	dataset	scenario	circumstance_type	circumstance	vulnerable_score	intentional_score	harm_score	help_score	moral_score	vulnerable_expl	intentional_expl	harm_expl	help_expl	moral_expl	agent	assumption_for_agent	patient	assumption_for_patient	human_score	think_trace	mlp_score
1	Clifford	You see a woman spanking her child with a spatula for getting bad grades in school.	orig		9.0	7.0	6.0	0.0	-3.0	A child is highly vulnerable and defenseless against physical punishment.	The action is deliberate and chosen as a method of discipline.	Significant harm: physical pain and potential emotional distress.	No assistance or benefit is provided to the child; purely punitive.	Deliberate physical punishment of a defenseless child for academic performance; clearly immoral.	The woman	She chose to use physical punishment as a disciplinary method	The child	The child is young, dependent, and defenseless	-2.6	The agent is the woman spanking her child. The action is deliberate, as it involves using a spatula to discipline the child. The patient is the child, who is highly vulnerable due to their age and dependence on the parent. The action is intentional, as it is a chosen method of punishment. The harm is significant: physical pain and potential emotional distress, though not life-threatening. No help is provided; the action is purely punitive. Deliberate physical punishment of a defenseless child for academic performance is clearly immoral.	
2	Kruepke	I was supposed to go see my father before he died. He was ill and my mother was supposed to come into town so we could see him. She didn't come, so we never made it before he passed away.	orig		9.0	2.0	6.0	0.0	-1.0	The father was highly vulnerable due to his illness and impending death.	The failure to visit appears unintentional, likely due to unforeseen circumstances.	Significant emotional harm due to missing a final visit, but no physical harm.	No help was provided; the intended visit did not happen.	Tragic and emotionally charged situation with significant harm but low intent; mildly immoral.	The mother	She intended to come but failed to do so, likely due to unforeseen circumstances	The father	He was ill and expected a final visit from his family	-1.45	The agent is the mother, who failed to come into town as planned. The patient is the father, who was ill and expected a visit from his family. The father is highly vulnerable due to his illness and impending death. The action appears unintentional — the mother likely did not plan to miss the visit deliberately. The harm is significant: the father missed a final visit from his family, causing emotional distress. No help was provided. The situation is tragic and emotionally charged, but the lack of intent makes it less morally culpable.	
3	Mickelberg	Person X stepped in when a friend at a pub was getting assaulted for being dark skinned.	orig		9.0	8.0	1.0	8.0	4.0	The friend was highly vulnerable due to the physical and racial nature of the assault.	Deliberate intervention to stop an ongoing assault.	Minimal to no harm caused by the intervention; likely prevented further injury.	Substantial help by protecting a friend from physical harm and racial violence.	A clear moral act of bravery and protection; highly moral.	Person X	They acted out of a sense of justice and protection for their friend	The friend being assaulted	They were vulnerable due to the physical attack and racial motivation	3.18	The agent is Person X, who intervened in an assault. I assume they acted out of a sense of justice and protection for their friend. The patient is the friend being assaulted, who is highly vulnerable due to the physical attack and racial motivation. The action was deliberate — stepping in to stop an ongoing assault requires intent and courage. The harm is minimal to none: the intervention likely prevented further injury. The help is substantial: protecting a friend from physical harm and racial violence. A clear moral act of bravery and protection.	
4	Effron	Gave a beggar a five-dollar bill at Christmas time	orig		9.0	7.0	0.0	4.0	2.0	Homeless person in financial need is highly vulnerable and defenseless.	Intentional act of charity, though not elaborately planned.	No harm is inflicted on the recipient.	Small monetary help; meaningful but limited in impact.	Deliberate kindness to a vulnerable person; mildly moral and positive.	The giver	They had a few dollars to spare and chose to share	The beggar	They were homeless and in need of money or food	1.93103448	The agent is the person giving the money, acting out of generosity, likely motivated by the holiday spirit. The patient is the beggar, who is highly vulnerable due to homelessness and financial need. The act is deliberate — an intentional gesture of kindness. No harm is caused. The help is small in monetary terms but meaningful as short-term support. A simple positive act with limited but real impact.	
5	Lotto	You are the safety officer in charge of a fun park. One of the metal arms of the ferris wheel suddenly breaks because of a structural defect. Four people are stranded in a cabin 80 metres up in the air. Another person is in a cabin just a few metres from ground level and is able to get off alone. The whole structure is falling down.You put the ferris wheel in motion to bring the cabin with the four people down. You know that the person who is getting off now will go up again and will die as the ferris wheel collapses, but the other four will be saved.	orig		9.0	9.0	9.0	9.0	0.0	All individuals on the ferris wheel are highly vulnerable and defenseless.	Deliberate action with full knowledge of consequences.	Direct cause of one person's death by the collapsing ferris wheel.	Saves four people from a fatal fall.	Tragic utilitarian trade-off: one death directly caused to save four; roughly neutral.	The safety officer	They consciously traded one life for four based on utilitarian reasoning	The person near the ground and the four people stranded high up	All were trapped on a collapsing ferris wheel and unable to act for themselves	-1.11	The agent is the safety officer. The action is fully deliberate: the officer knows the exact consequences — one death, four lives saved. The patients are dual: the person near the ground who will die, and the four people stranded high up who will be saved. All of them are highly vulnerable: they are trapped on a collapsing ferris wheel. The harm is extreme and direct: the person near the ground dies by the officer's deliberate intervention. The help is also extreme: four lives saved from a fatal fall. Another classic utilitarian trade-off with one death directly caused to save four; tragic and ethically balanced with no clearly right answer.	
6	Kruepke	When I was a teenager, my sister and I used to sneak out the bedroom window to go out dancing. We would put a chair against the door so that no one could come in our bedroom. A couple of times we got caught.	orig		5.0	5.0	3.0	0.0	-1.0	Parents are typical adults with medium vulnerability to worry and responsibility.	Deliberate but impulsive action typical of teenagers.	Minor harm: potential worry and risk, but no lasting damage.	No assistance or benefit provided; purely self-serving action.	Typical teenage rebellion with low severity and minor moral implications; slightly immoral.	The narrator and their sister	They were typical teenagers seeking fun and adventure	The parents or guardians	They were responsible for the teenagers' safety and unaware of the sneaking out	-0.32	The agents are the narrator and their sister. They acted out of a desire for fun and adventure, typical of teenagers. The patients are their parents or guardians, who were responsible for their safety and likely unaware of their actions. The action was deliberate but driven by youthful impulsiveness rather than malicious intent. The harm is minor: potential worry for the parents and risk to the teenagers, but no lasting damage. No help was provided; the action was purely self-serving. A typical teenage rebellion with low severity and minor moral implications.	
7	Mickelberg	Person X ordered pizza while at their friend's farewell party.	orig		3.0	5.0	0.0	5.0	2.0	Typical adults at a social event with low vulnerability.	Deliberate but simple action of ordering food for a social event.	No harm is caused by ordering pizza.	Moderate help: providing food enhances the party experience.	A positive, thoughtful gesture with no downsides; mildly moral.	Person X	They intended to contribute to the party and provide food for the guests	The group of friends at the farewell party	They would benefit from having food at the event	0.61	The agent is Person X, who ordered the pizza. I assume they intended to contribute to the party and provide food for the guests. The patient is the group of friends at the farewell party, who would benefit from having food. The action appears deliberate but simple — ordering food for a social event. The harm is minimal: no negative impact on anyone. The help is moderate: providing food enhances the party experience and shows consideration for the guests. A positive, thoughtful gesture with no downsides.	
8	Lotto	It is evening. A friend calls you saying that he has a terrible migraine headache. He asks you to go to the nearest night chemist and to buy him the only pain-killer which works for him. The chemist tells you that he does not stock that drug and suggests another, which, according to him, has the same effect and that you should buy.You buy the migraine drug that the chemist suggests. You make your friend take it without showing him the box. He will think he is taking the one he asked for.	orig		6.0	5.0	2.0	6.0	2.0	A person with a severe migraine is moderately vulnerable due to their condition.	The action was deliberate but based on immediate advice, not long-term planning.	Minimal harm: the friend might not get the exact relief expected, but no significant damage.	Substantial help: providing a potential solution to alleviate the friend's pain.	The intent to help and the substantial assistance provided outweigh the minor deception; morally positive.	The person who bought the medication	They were concerned about their friend's well-being and wanted to help	The friend with the migraine	They were in pain and needed relief	1.3	The agent is the person who bought the alternative medication. The assumption is that they acted out of concern for their friend's well-being. The patient is the friend suffering from a migraine, who is vulnerable due to their condition. The action is deliberate but not extensively planned — a quick decision based on the chemist's advice. The harm is minimal: the friend might not get the exact relief they expected, but no significant damage is likely. The help is substantial: providing a potential solution to alleviate the friend's pain. The intent is clearly to help, even if the method involves a small deception. Overall, the action is morally positive due to the intent to relieve suffering.	
9	Effron	Took a friend out for a beer to celebrate his promotion	orig		5.0	7.0	0.0	5.0	3.0	The friend is a typical adult with medium vulnerability.	The action was deliberate and planned to celebrate the promotion.	No harm is caused; the action is purely positive.	The help is moderate: it provides emotional support and recognition.	A simple, positive act of friendship and support; clearly moral.	The person who took their friend out for a beer	They wanted to celebrate and support their friend's achievement	The friend	The friend was celebrating a promotion and in a positive state	1.48571424	The agent is the person who took their friend out for a beer. I assume they were motivated by a desire to celebrate and support their friend's achievement. The patient is the friend who received the celebratory gesture. The friend is a typical adult with medium vulnerability, as they are not in a particularly vulnerable state. The action is deliberate, planned to celebrate the promotion. No harm is caused; in fact, the action is purely positive. The help is moderate: it provides emotional support and recognition of the friend's success. A simple, positive act of friendship and support.	
10	Grizzard	Fires teargas into a crowd of civilians.	orig		9.0	8.0	7.0	0.0	-3.0	Civilians in a crowd are highly vulnerable to the effects of teargas.	Firing teargas is a controlled and intentional act.	Teargas causes significant physical pain, respiratory distress, and potential long-term health effects.	No assistance or protection was provided; the action was purely harmful.	Deliberate infliction of harm on a defenseless crowd is clearly immoral.	The person who fired the teargas	They were likely a law enforcement officer or someone in authority	The civilians in the crowd	They were defenseless and highly vulnerable to the effects of teargas	-1.626666667	The agent is the person who fired the teargas. I assume they were likely a law enforcement officer or someone in a position of authority. The patients are the civilians in the crowd, who are typically defenseless and highly vulnerable to such actions. The action appears deliberate, as firing teargas is a controlled and intentional act. The harm is significant: teargas causes physical pain, respiratory distress, and potential long-term health effects. No help is provided; the action is purely harmful. Deliberate infliction of harm on a defenseless crowd is clearly immoral.	
