id	dataset	scenario	circumstance_type	circumstance	vulnerable_score	intentional_score	harm_score	help_score	moral_score	vulnerable_expl	intentional_expl	harm_expl	help_expl	moral_expl	agent	assumption_for_agent	patient	assumption_for_patient	human_score
1	Clifford	You see a woman spanking her child with a spatula for getting bad grades in school.	orig	The woman is the child's mother and is using physical punishment for academic performance.	9.0	8.0	7.0	1.0	-3.0	The child is highly vulnerable due to being a minor and subject to physical harm.	The action is intentional as it involves physical punishment for a specific reason.	The harm caused is significant as physical punishment can have lasting effects on the child.	The action does not provide any help or support to the child's academic struggles.	Using physical punishment for academic performance is morally questionable and potentially harmful.	The woman	Assumed to be the child's mother	The child	Assumed to be the child receiving the bad grades	-2.6
2	Kruepke	I was supposed to go see my father before he died. He was ill and my mother was supposed to come into town so we could see him. She didn't come, so we never made it before he passed away.	orig	Failure of a family member to visit a dying father	9.0	7.0	8.0	2.0	-3.0	Father was in a critical condition and needed emotional support, making him highly vulnerable	Mother's decision not to visit the father was likely intentional and involved some level of thought	The harm caused by not visiting the father was significant as it deprived him of emotional support in his final moments	Mother failed to provide critical assistance or support to the father in his time of need	The scenario is morally unacceptable as the father was left vulnerable and unsupported in his final moments	Mother	She would prioritize other commitments over visiting the father	Father	He was in a critical condition and needed emotional support	-1.45
3	Mickelberg	Person X stepped in when a friend at a pub was getting assaulted for being dark skinned.	orig	A friend at a pub was getting assaulted for being dark-skinned.	7.0	7.0	8.0	8.0	4.0	The friend being assaulted is in a situation of medium-high vulnerability due to the ongoing attack.	The action of stepping in to stop the assault required some degree of thought and planning.	The assault was causing significant harm to the friend.	Person X provided substantial help by intervening and stopping the assault.	The scenario is morally highly acceptable as Person X intervened to protect a vulnerable friend from harm.	Person X	Assumed to be a compassionate and courageous individual.	Friend being assaulted	Assumed to be a vulnerable individual due to the assault.	3.18
4	Effron	Gave a beggar a five-dollar bill at Christmas time	orig	A person gave a beggar a five-dollar bill at Christmas time.	10.0	8.0	1.0	4.0	4.0	The beggar is in a state of maximum vulnerability as they rely on the kindness of others for survival.	The action was intentional as the person made a conscious decision to give money to the beggar.	The action caused minimal harm as giving money to someone in need is a positive gesture.	The action provided medium-low help by offering financial assistance to the beggar.	The scenario is highly moral as it demonstrates compassion and generosity towards someone in need.	Person	The person is compassionate and generous.	Beggar	The beggar is in need of financial assistance.	1.93103448
5	Lotto	You are the safety officer in charge of a fun park. One of the metal arms of the ferris wheel suddenly breaks because of a structural defect. Four people are stranded in a cabin 80 metres up in the air. Another person is in a cabin just a few metres from ground level and is able to get off alone. The whole structure is falling down.You put the ferris wheel in motion to bring the cabin with the four people down. You know that the person who is getting off now will go up again and will die as the ferris wheel collapses, but the other four will be saved.	orig	A structural defect in the ferris wheel caused a life-threatening situation.	9.0	9.0	9.0	9.0	3.0	The individuals are in a life-threatening situation with limited means of escape.	The action was intentional as the safety officer made a decision to prioritize saving four lives.	The collapsing ferris wheel poses a high risk of harm to the individuals involved.	The safety officer's decision to set the ferris wheel in motion provided critical help to the stranded individuals.	The safety officer's actions, though resulting in harm to one individual, prioritized saving the lives of four others.	Safety officer	Assumed to be responsible for ensuring the safety of park visitors.	People stranded in the cabin	Assumed to be in need of rescue due to the imminent danger.	-1.11
6	Kruepke	When I was a teenager, my sister and I used to sneak out the bedroom window to go out dancing. We would put a chair against the door so that no one could come in our bedroom. A couple of times we got caught.	orig	Teenagers seeking adventure and freedom	7.0	8.0	4.0	1.0	-2.0	Teenagers are typically in the medium vulnerability category due to their age and lack of experience.	The action was planned and deliberate, involving sneaking out and blocking the door.	While no physical harm was intended, the act of sneaking out could cause emotional distress to the parents.	No help was provided, as the teenagers were focused on their own adventure without considering the consequences.	The scenario involves intentional deception and potential emotional harm to the parents, making it morally questionable.	My sister and I	Rebellious and adventurous	Parents or guardians	Concerned or strict	-0.32
7	Mickelberg	Person X ordered pizza while at their friend's farewell party.	orig	Person X ordered pizza while at their friend's farewell party.	6.0	7.0	0.0	5.0	2.0	The friend is an average adult attending a party.	Ordering pizza requires some level of planning.	Ordering pizza caused no harm.	Ordering pizza provided help by contributing to the party's food.	The action was morally neutral, providing help without causing harm.	Person X	They were hungry and wanted to contribute to the party.	Friend at the farewell party	They were hungry and likely appreciated the gesture.	0.61
8	Lotto	It is evening. A friend calls you saying that he has a terrible migraine headache. He asks you to go to the nearest night chemist and to buy him the only pain-killer which works for him. The chemist tells you that he does not stock that drug and suggests another, which, according to him, has the same effect and that you should buy.You buy the migraine drug that the chemist suggests. You make your friend take it without showing him the box. He will think he is taking the one he asked for.	orig	A friend in need of immediate medical assistance for a migraine headache.	8.0	9.0	6.0	7.0	-2.0	Your friend was in pain and vulnerable, relying on your help.	The action required planning and deliberate deception.	The action caused harm by deceiving your friend about the medication.	The action provided help by attempting to alleviate your friend's pain.	The deception and potential harm outweigh the intention to help.	You	You assumed responsibility for helping your friend in distress.	Your friend	Your friend was in pain and seeking relief.	1.3
9	Effron	Took a friend out for a beer to celebrate his promotion	orig	Celebrating a friend's promotion by taking them out for a beer.	5.0	7.0	0.0	8.0	4.0	Assumed average resilience and happiness.	Acting with some degree of thought and planning.	No harm was caused, only positive celebration.	Providing support and celebrating a positive event.	The scenario is morally acceptable as it involves celebrating a friend's success without causing harm.	You	You assumed the agent was a friend of the person being celebrated.	Your friend	You assumed the patient was happy about their promotion.	1.48571424
10	Grizzard	Fires teargas into a crowd of civilians.	orig	Law enforcement dispersing a protest	7.0	7.0	7.0	4.0	0.0	Protesters are medium-high vulnerability due to potential exposure to tear gas	The action is medium-high intentional as tear gas is a deliberate crowd control measure	Tear gas causes medium-high harm by inducing temporary discomfort and health risks	Police provide medium-low help by attempting to disperse the crowd peacefully	The scenario is morally neutral as it involves a balance between maintaining order and respecting civil rights	Police officer	Acting on orders to maintain public order	Protesters	Engaging in a public demonstration	-1.626666667
