id	dataset	scenario	circumstance_type	circumstance	agent	agent_assumption	affected_party	affected_party_assumption	Q5_score	Q5_expl	moral_score	moral_expl	human_score	split	regression_score	mlp_score
1	Clifford	You see a woman spanking her child with a spatula for getting bad grades in school.	orig		The woman	She believes physical discipline will improve the child's academic performance.	The child	The child experiences physical/emotional pain and may develop fear or resentment.	2.0	Physical harm and emotional trauma outweigh potential short-term compliance gains.	-3.0	Harmful methods reduce utility; better alternatives exist for discipline.	-2.6	train		
2	Kruepke	I was supposed to go see my father before he died. He was ill and my mother was supposed to come into town so we could see him. She didn't come, so we never made it before he passed away.	orig		The mother	Assumed she was responsible and able to come but chose not to.	The individual (narrator) and the dying father	Assumed they needed emotional closure and comfort before the father's death.	2.0	Prevented emotional closure, caused distress; reduced overall happiness.	-3.0	Caused significant emotional harm; failed to maximize family well-being.	-1.45	train		
3	Mickelberg	Person X stepped in when a friend at a pub was getting assaulted for being dark skinned.	orig		Person X	Assumed the agent acted to protect their friend and oppose racism, prioritizing moral duty over personal risk.	The friend being assaulted and the pub community	Assumed the friend was in immediate danger and the community’s safety/norms were compromised by the assault.	9.0	Prevented harm, upheld safety; community benefit outweighs risks.	4.0	Defending against racial injustice is highly moral, promoting societal good.	3.18	train		
4	Effron	Gave a beggar a five-dollar bill at Christmas time	orig		The person who gave the five-dollar bill	The agent acted out of compassion or altruism	The beggar	The beggar was in financial need	8.0	Provides immediate aid, increases beggar's well-being, minor positive impact on agent	4.0	Altruistic act promoting happiness without harm, thus morally positive	1.93103448	train		
5	Lotto	You are the safety officer in charge of a fun park. One of the metal arms of the ferris wheel suddenly breaks because of a structural defect. Four people are stranded in a cabin 80 metres up in the air. Another person is in a cabin just a few metres from ground level and is able to get off alone. The whole structure is falling down.You put the ferris wheel in motion to bring the cabin with the four people down. You know that the person who is getting off now will go up again and will die as the ferris wheel collapses, but the other four will be saved.	orig		The safety officer	The agent acted to maximize overall utility by prioritizing saving more lives	The four stranded people and the one near the ground	The four would die without intervention; the one could survive if not moved	8.0	Saves four lives, loses one; net gain of three lives	3.0	Utilitarian: greater good justifies sacrifice, but intentional harm reduces morality score	-1.11	train		
6	Kruepke	When I was a teenager, my sister and I used to sneak out the bedroom window to go out dancing. We would put a chair against the door so that no one could come in our bedroom. A couple of times we got caught.	orig		The narrator and their sister	They prioritized personal enjoyment and autonomy over parental rules	Their parents/guardians	Parents valued safety, discipline, and trust more than the sisters' temporary pleasure	6.0	Sisters gained moderate pleasure; parents experienced worry and distrust. Net utility slightly positive.	1.0	Minor net utility gain but involved deception, justifying a low moral score	-0.32	train		
7	Mickelberg	Person X ordered pizza while at their friend's farewell party.	orig		Person X	Assumed Person X intended to provide food to enhance the party experience.	Friends at the farewell party and the broader community (e.g., pizza delivery workers, restaurant).	Assumed the affected party values shared enjoyment, convenience, and social bonding.	8.0	Enhances group happiness, minimal harm.	3.0	Promotes joy, social cohesion; no significant harm.	0.61	train		
8	Lotto	It is evening. A friend calls you saying that he has a terrible migraine headache. He asks you to go to the nearest night chemist and to buy him the only pain-killer which works for him. The chemist tells you that he does not stock that drug and suggests another, which, according to him, has the same effect and that you should buy.You buy the migraine drug that the chemist suggests. You make your friend take it without showing him the box. He will think he is taking the one he asked for.	orig		You	The agent acted in the friend's best interest by trusting the chemist's recommendation.	The friend with the migraine	The friend trusts the agent and assumes they received the requested drug.	7.0	Relieves pain with substitute, no harm intended. Deception may reduce trust.	2.0	Good intent and positive outcome, but dishonesty lowers moral score.	1.3	train		
9	Effron	Took a friend out for a beer to celebrate his promotion	orig		The person who took the friend out for a beer.	The agent intended to celebrate the friend's success and foster goodwill.	The friend being celebrated and potentially others in the social setting (e.g., bar staff).	The affected party values social recognition and enjoys shared positive experiences.	8.0	Boosts happiness, strengthens bonds, minimal negative impact.	4.0	Promotes joy and connection, aligning with utilitarian morality.	1.48571424	train		
10	Grizzard	Fires teargas into a crowd of civilians.	orig		Law enforcement officer	Assumed intent to disperse the crowd to maintain public order.	Civilians in the crowd	Assumed to be part of a gathering, possibly protest-related.	3.0	Causes immediate harm but may prevent escalation; net utility likely negative due to civilian suffering.	-3.0	Inflicts pain and restricts rights without clear greater good; generally immoral.	-1.626666667	train		
11	Effron	Complimented coworkers on their clothing and appearance	orig		The coworker who gave the compliments	The agent intended to foster positivity and goodwill	The coworkers receiving the compliments	The affected party values recognition and social affirmation	8.0	Boosts morale, strengthens relationships, minimal harm	4.0	Promotes happiness and social cohesion, no adverse effects	1.17894736	train		
