id	dataset	scenario	circumstance_type	circumstance	agent	agent_assumption	affected_party	affected_party_assumption	Q5_score	Q5_expl	moral_score	moral_expl	human_score
1	Clifford	You see a woman spanking her child with a spatula for getting bad grades in school.	orig		The woman	She is the child's mother	The child	The child is a minor and a student	2.0	Spanking for grades treats the child as a means	-3.0	Physical punishment is generally considered immoral	-2.6
2	Kruepke	I was supposed to go see my father before he died. He was ill and my mother was supposed to come into town so we could see him. She didn't come, so we never made it before he passed away.	orig		Mother	She was responsible for facilitating the visit.	Father	He was ill and needed support.	2.0	Action failed to treat father as an end.	-3.0	Neglecting a dying person is immoral.	-1.45
3	Mickelberg	Person X stepped in when a friend at a pub was getting assaulted for being dark skinned.	orig		Person X	Person X values justice and equality.	Person X's friend	The friend was being assaulted for their skin color.	10.0	Defending against racial assault respects human dignity.	4.0	Action is highly moral as it upholds human dignity.	3.18
4	Effron	Gave a beggar a five-dollar bill at Christmas time	orig		A person	The person is acting out of goodwill	The beggar	The beggar is in need of help	8.0	The action respects the beggar's dignity	3.0	Highly moral as it helps others	1.93103448
5	Lotto	You are the safety officer in charge of a fun park. One of the metal arms of the ferris wheel suddenly breaks because of a structural defect. Four people are stranded in a cabin 80 metres up in the air. Another person is in a cabin just a few metres from ground level and is able to get off alone. The whole structure is falling down.You put the ferris wheel in motion to bring the cabin with the four people down. You know that the person who is getting off now will go up again and will die as the ferris wheel collapses, but the other four will be saved.	orig		Safety officer	The safety officer is responsible for making life-saving decisions.	The person getting off the cabin and the four people stranded	The person getting off will die, the four people will be saved.	3.0	The action sacrifices one to save four.	-2.0	Utilitarian approach, but violates individual rights.	-1.11
6	Kruepke	When I was a teenager, my sister and I used to sneak out the bedroom window to go out dancing. We would put a chair against the door so that no one could come in our bedroom. A couple of times we got caught.	orig		My sister and I	We wanted to go out dancing without permission	Our parents	They expected us to stay in our room	2.0	Action deceives parents, not universalizable	-2.0	Deception is generally immoral	-0.32
7	Mickelberg	Person X ordered pizza while at their friend's farewell party.	orig		Person X	Person X is a friend attending the farewell party.	The friends at the farewell party	The friends are likely to benefit from the pizza.	8.0	Ordering pizza can be universally beneficial.	3.0	The action is generally positive and considerate.	0.61
8	Lotto	It is evening. A friend calls you saying that he has a terrible migraine headache. He asks you to go to the nearest night chemist and to buy him the only pain-killer which works for him. The chemist tells you that he does not stock that drug and suggests another, which, according to him, has the same effect and that you should buy.You buy the migraine drug that the chemist suggests. You make your friend take it without showing him the box. He will think he is taking the one he asked for.	orig		You	You are trying to help your friend	Your friend	Your friend trusts you	4.0	Deception used, not fully respecting autonomy	1.0	Intent to help but involves deception	1.3
9	Effron	Took a friend out for a beer to celebrate his promotion	orig		The person who took the friend out for a beer	The agent is a considerate and supportive friend	The friend who got promoted	The affected party is happy and appreciative	9.0	The action celebrates the friend's achievement, treating them as an end	4.0	Highly moral as it promotes friendship and support	1.48571424
10	Grizzard	Fires teargas into a crowd of civilians.	orig		A police officer	The officer is trying to disperse the crowd	Civilians in the crowd	The civilians are protesting or gathered for some reason	2.0	Action uses civilians as a means to an end	-3.0	Action is largely immoral, harming civilians	-1.626666667
