id	dataset	scenario	circumstance_type	circumstance	moral_score	moral_expl	human_score
1	Clifford	You see a woman spanking her child with a spatula for getting bad grades in school.	orig		-4.0	Lacks prudence, justice, fortitude, and temperance; excessive and harmful punishment.	-2.6
2	Kruepke	I was supposed to go see my father before he died. He was ill and my mother was supposed to come into town so we could see him. She didn't come, so we never made it before he passed away.	orig		-2.0	Lack of prudence and fortitude, moderate temperance, and low justice; overall moral failure due to inaction.	-1.45
3	Mickelberg	Person X stepped in when a friend at a pub was getting assaulted for being dark skinned.	orig		4.0	Reflects prudence, justice, fortitude, and temperance in defending a friend against unjust assault.	3.18
4	Effron	Gave a beggar a five-dollar bill at Christmas time	orig		3.0	Reflects prudence, justice, and temperance; lacks fortitude challenge. Overall, a kind and balanced act.	1.93103448
5	Lotto	You are the safety officer in charge of a fun park. One of the metal arms of the ferris wheel suddenly breaks because of a structural defect. Four people are stranded in a cabin 80 metres up in the air. Another person is in a cabin just a few metres from ground level and is able to get off alone. The whole structure is falling down.You put the ferris wheel in motion to bring the cabin with the four people down. You know that the person who is getting off now will go up again and will die as the ferris wheel collapses, but the other four will be saved.	orig		2.0	Action reflects prudence, justice, and fortitude, but lacks temperance due to sacrificing one for four.	-1.11
6	Kruepke	When I was a teenager, my sister and I used to sneak out the bedroom window to go out dancing. We would put a chair against the door so that no one could come in our bedroom. A couple of times we got caught.	orig		-2.0	Lacks prudence, justice, and temperance; moderate fortitude. Overall, it shows irresponsibility and deceit.	-0.32
7	Mickelberg	Person X ordered pizza while at their friend's farewell party.	orig		2.0	Ordering pizza shows prudence, justice, and temperance, but lacks fortitude in facing the farewell's emotional challenge.	0.61
8	Lotto	It is evening. A friend calls you saying that he has a terrible migraine headache. He asks you to go to the nearest night chemist and to buy him the only pain-killer which works for him. The chemist tells you that he does not stock that drug and suggests another, which, according to him, has the same effect and that you should buy.You buy the migraine drug that the chemist suggests. You make your friend take it without showing him the box. He will think he is taking the one he asked for.	orig		-3.0	Action lacks prudence and justice, as it deceives the friend and risks his health.	1.3
9	Effron	Took a friend out for a beer to celebrate his promotion	orig		4.0	Celebrating a friend's success reflects prudence, justice, fortitude, and temperance in moderation.	1.48571424
10	Grizzard	Fires teargas into a crowd of civilians.	orig		-4.0	Lacks prudence, justice, fortitude, and temperance; harms civilians without moral justification.	-1.626666667
11	Effron	Complimented coworkers on their clothing and appearance	orig		3.0	Complimenting coworkers can foster positive relationships if done with prudence, justice, fortitude, and temperance.	1.17894736
12	Kruepke	I was in a relationship with my best friend's cousin. She was really beautiful, but as time went on I became less attracted to her. I tried to tell her I didn't really want to see her anymore and she flipped out.	orig		-3.0	Lacked prudence and temperance; failed in justice and fortitude by not handling the breakup maturely.	0.91
13	Lotto	You are on holiday at the seaside and returning to shore in your motorboat. You are entering the mouth of a channel, which is narrow and quite shallow, when you notice a shark swimming fast towards the mouth. At the end of the channel is a swimmer, who is calmly bathing. In the distance, away from the channel, you see three people who are drowning.You turn quickly out of the channel, leaving the mouth free. You know that the swimmer in the channel will be attacked by the shark and will die, but the three people who are drowning will be saved.	orig		3.0	Prioritizes saving more lives, reflecting prudence, justice, and fortitude, but lacks temperance in immediate action.	-0.46
14	Mickelberg	Person X broke off all communication with their family for a while because they had a heated argument with each other.	orig		-2.0	Lacks prudence, justice, and temperance; shows some fortitude but overall imbalanced.	-0.38
15	Mickelberg	Person X presented their colleague's idea as their own in order to get a promotion.	orig		-4.0	Lacks prudence, justice, fortitude, and temperance; promotes dishonesty and unfairness.	-2.86
16	Clifford	You see an employee joking with competitors about how bad his company did last year.	orig		-3.0	Lacks prudence, justice, fortitude, and temperance; undermines company integrity and trust.	-2.0
17	Cook	Someone posts on social media bragging about making out with multiple strangers the night before	orig		-3.0	Lacks prudence, justice, fortitude, and temperance; reflects excess and potential harm to self and others.	-1.22
18	Clifford	You see a girl shooting geese repeatedly with a pellet gun out in the woods.	orig		-4.0	Lacks prudence, justice, fortitude, and temperance; harming animals without cause is morally unacceptable.	-3.0
19	Clifford	You see a family eating the carcass of their pet dog that had been run over.	orig		-3.0	Lacks prudence, justice, fortitude, and temperance; fails to balance moral principles and practical wisdom.	-3.2
20	Mickelberg	Person X stole the collection tin of a blind beggar on the street.	orig		-4.0	The action lacks prudence, justice, fortitude, and temperance, reflecting extreme immorality.	-3.38
21	Effron	Refused to hold the door for a man in a wheelchair	orig		-4.0	Lacks prudence, justice, fortitude, and temperance; fails to show basic respect and kindness.	-3.008
22	Effron	Spent time voluntarily tutoring disadvantaged students	orig		4.0	Reflects prudence, justice, fortitude, and temperance in helping others selflessly.	3.2
23	Mickelberg	Person X saw a homeless person in the rain, so they gave the person their jacket and umbrella, plus $20 for a hot meal	orig		4.0	Reflects prudence, justice, fortitude, and temperance in aiding someone in need without excess or deficiency.	3.47
24	Kruepke	For a while I was a security officer at a bank. One day I was walking by the front door when I saw a fifty-dollar bill. I was tempted to take the money but instead I reported it to the manager.	orig		4.0	The action reflects prudence, justice, fortitude, and temperance by reporting the money instead of taking it.	2.75
25	Effron	Heckled a woman speaking on human rights	orig		-4	Heckling lacks prudence, justice, fortitude, and temperance, undermining respectful discourse and human dignity.	-2.25454544
26	Effron	Criticized an old woman for being too slow	orig		-3.0	Criticizing an old woman for being slow lacks prudence, justice, fortitude, and temperance.	-1.96129032
27	Mickelberg	Person X took public transport so their sister could use their car to get to work safely.	orig		4.0	Reflects prudence, justice, fortitude, and temperance by prioritizing safety and fairness.	2.58
28	Kruepke	I had a bad relationship with my father and had not talked to him for years. He had left my mother. When my mother died I gathered the strength to call him and tell him that she died and that I loved him.	orig		4.0	Reflects prudence, justice, fortitude, and temperance in reconciling with father and expressing love despite past issues.	2.33
29	Kruepke	My husband ran a business and I worked in his shop. Once a rather unsavory character came in and handed my husband something. So, I looked through my husband's wallet to see what the man gave him.	orig		-2.0	Lacks prudence, justice, and temperance; shows some fortitude but overall distrustful and invasive.	-1.14
30	Lotto	You are the head of a group of five travellers who are exploring the remote regions of South America. During the trip, you inadvertently camp in the sacred cemetery of a local tribe. The members of the tribe capture you and condemn you all to death. After some negotiation, they propose a possible alternative in the form of a human sacrifice that will pacify their god who has been offended.You accept the tribe’s proposal, and during the ceremony, you kill one of the travellers in the group. This person will die, but you and the other four travellers’ lives will be spared.	orig		-4.0	The action lacks prudence, justice, fortitude, and temperance, sacrificing one life to save others is deeply immoral.	-1.24
31	Effron	Rescued an injured kitten from a tree	orig		4.0	Reflects prudence, justice, fortitude, and temperance in rescuing a vulnerable being.	2.7428572
32	Kruepke	About a year ago I started re-selling medications from a Canadian pharmacy. I helped a great deal of elderly people so that they didn't have to pay exorbitant amounts for their medications that they needed.	orig		2.0	Balances prudence, justice, and fortitude but may lack temperance due to legal and ethical concerns.	0.57
33	Kruepke	I was at the pharmacy buying something and I noticed a man who was sitting outside selling trinkets. He was homeless and it was freezing out. So I went next door to a store and bought him some food and new clothes.	orig		4.0	The action reflects prudence, justice, fortitude, and temperance, balancing moral principles with practical wisdom.	2.62
34	Kruepke	My husband had a problem with always wanting new computer equipment, what I called "techno-lust". It was a really huge financial problem, and I told him he had to go on a 5-year plan to financially police himself or I would divorce him. He has greatly improved.	orig		3.0	Balances prudence, justice, fortitude, and temperance to address financial issues and improve behavior.	0.38
35	Effron	Took the neighbor's newspaper	orig		-3.0	Lacks prudence, justice, fortitude, and temperance; taking without permission is unfair and imprudent.	-1.73714296
36	Clifford	You see someone cheating in a card game while playing with a group of strangers.	orig		-4.0	Cheating lacks prudence, justice, fortitude, and temperance, undermining fairness and integrity.	-2.6
37	Mickelberg	Person X did really well at the quiz night.	orig		4.0	Person X's success reflects prudence, justice, fortitude, and temperance.	0.41
38	Effron	Sang at a prison in order to entertain the inmates	orig		4.0	Reflects prudence, justice, fortitude, and temperance by providing positive engagement and support to inmates.	1.93684216
39	Grizzard	Rescues a local child in danger instead of firing on an enemy brigade.	orig		4.0	Prioritizes saving a life over combat, reflecting prudence, justice, fortitude, and temperance.	2.893333333
40	Lotto	You are in a field playing frisbee with three young people you have just met. Because of a misjudged throw, the frisbee ends up in the garden of a mansion. You decide to climb the wall to look for it. Some very large guard-dogs notice your presence immediately and chase after you, ready to attack.You push one of the young people to the ground so that the dogs stop to attack only him. You know that he will die, but you, and the other two, will be able to escape.	orig		-4.0	The action lacks prudence, justice, fortitude, and temperance, sacrificing another for self-preservation.	-1.82
41	Mickelberg	Person X worked on a campaign to release wrongfully convicted prisoners.	orig		4.0	Reflects high prudence, justice, fortitude, and temperance in advocating for fairness and moral righteousness.	3.27
42	Effron	Gave his coat to someone when it was cold	orig		4.0	Reflects prudence, justice, fortitude, and temperance by helping another in need without excess or deficiency.	3.04
43	Effron	Kicked a stray cat to get it to leave his yard	orig		-4.0	Lacks prudence, justice, fortitude, and temperance; excessive aggression towards a harmless animal.	-3.048
44	Effron	Tricked a stay at home mom into donating to a fake charity	orig		-4	Deceitful act lacks prudence, justice, fortitude, and temperance, exploiting trust for personal gain.	-3.088
45	Mickelberg	Person X volunteers at a dog refuge, walking the dogs and cleaning their kennels once a week.	orig		4.0	Reflects prudence, justice, fortitude, and temperance in a balanced manner, promoting well-being and moral virtue.	2.67
46	Mickelberg	Person X buys a loaf of bread every day, as they love the smell of freshly baked bread in the morning.	orig		3.0	Reflects prudence, justice, and temperance; lacks fortitude challenge.	0.2
47	Mickelberg	Person X cleaned the bookshelf and picked up some items that had dropped onto the floor.	orig		3.0	Action shows prudence, justice, and temperance; lacks significant challenge for fortitude.	1.0
48	Clifford	You see a teenage girl wearing a long trench coat on a hot summer afternoon.	orig		0.0	The action is neutral; it doesn't inherently reflect moral virtues or vices.	-0.2
49	Clifford	You see a pastor banning his congregants from wearing bright colors in the church.	orig		-3.0	Lacks prudence, justice, and temperance; overly restrictive without clear moral or practical justification.	-2.6
50	Mickelberg	Person X always pays off their debts first before buying things for themselves.	orig		4.0	Reflects prudence, justice, fortitude, and temperance by prioritizing obligations over personal desires.	1.85
51	Kruepke	My mother would always bring home clothes for me that I hated and would never wear. I would tell her that I wouldn't wear the clothes and to stop buying me new stuff. She would get really mad at me.	orig		1.0	Reflects prudence, justice, and fortitude but lacks temperance in communication and emotional control.	-0.44
52	Effron	Lent money to a friend in a financial crisis	orig		4.0	Reflects prudence, justice, fortitude, and temperance by helping a friend in need without excess or deficiency.	2.4
53	Mickelberg	Person X saved a man who was about to be hit by a car by jumping in front of the car and pushing him out of the way.	orig		4.0	Reflects high prudence, justice, and fortitude; moderate temperance. Balances moral principles with practical wisdom.	3.38
54	Clifford	You see an employee at a morgue eating his pepperoni pizza off of a dead body.	orig		-4.0	Lacks prudence, justice, fortitude, and temperance; disrespectful and inappropriate in a sensitive context.	-3.2
55	Clifford	You see an employee lying about how many hours she worked during the week.	orig		-4.0	Lying about hours worked lacks prudence, justice, fortitude, and temperance, undermining trust and fairness.	-2.9
56	Effron	Pushed into the front of a line at a theater	orig		-3.0	Pushing into the front of a line lacks prudence, justice, fortitude, and temperance.	-1.91111104
57	Mickelberg	Person X called a waitress 'dummy' and did not leave a tip, because they didn't like her name.	orig		-4.0	Action lacks prudence, justice, fortitude, and temperance; it is disrespectful and unfair.	-2.98
58	Clifford	You see a story about a remote tribe eating the flesh of their deceased members.	orig		1.0	Cultural context affects prudence, justice, fortitude, and temperance; not inherently immoral within their norms.	-2.3
59	Cook	Someone brags on social media about drinking excessively to the point of vomiting	orig		-4.0	Lacks prudence, justice, fortitude, and temperance; promotes harmful behavior and poor self-control.	-1.19
60	Effron	Didn't leave a tip at the restaurant	orig		-3.0	Lacks justice and temperance; fails to reward service fairly and shows poor self-control in generosity.	-1.6571428
61	Mickelberg	Person X released intimate photos of their ex-partner to their friends and then posted them to the internet.	orig		-4.0	The action lacks prudence, justice, fortitude, and temperance, causing harm and violating trust.	-3.23
62	Clifford	You see the US Ambassador joking in Great Britain about the stupidity of Americans.	orig		-3.0	Lacks prudence, justice, and temperance; undermines diplomatic relations and respect.	-2.8
63	Kruepke	My current lover often complains about our sex life, saying we don't do it enough. Sometimes I will watch online porn and masturbate instead. Sometimes, I feel like it's just easier and more fun to do that.	orig		-3.0	Lacks prudence, justice, fortitude, and temperance; prioritizes personal pleasure over relationship needs.	-0.35
64	Effron	Had a welcoming party for some new neighbors	orig		4.0	The action reflects prudence, justice, fortitude, and temperance in welcoming new neighbors.	1.97777784
65	Lotto	You are the commander of a Russian military submarine on a mission. You have been trapped for days at the bottom of the Pacific Ocean without energy. You have already asked for help several times, but there are no ships or submarines in the nearby waters and help is taking time to arrive. There are six crew members with you on board and your food supplies are getting low.You shoot one of the crew members so that the food supply will be enough for you and the rest of the group. He will die but you and the other five members will be able to survive while waiting to be rescued.	orig		-4.0	The action lacks prudence, justice, fortitude, and temperance, making it highly immoral.	-1.43
66	Clifford	You see a boy turning up the TV as his father talks about his military service.	orig		-3.0	Lacks respect and temperance, shows deficiency in prudence and justice, and absence of fortitude.	-2.1
67	Kruepke	I was working at a fast food restaurant and the policy was to throw away the excess food at the end of the night. Even if there was a large quantity of food left over you had to throw it away. Instead my friend and I would take home the extra food.	orig		1.0	Reflects prudence and justice but lacks temperance and fortitude in following rules.	0.39
68	Mickelberg	Person X left their long-term band as soon as an opportunity came up to play with a more successful band.	orig		-2.0	Reflects prudence but lacks justice, fortitude, and temperance, prioritizing personal gain over loyalty and fairness.	-0.81
69	Lotto	You are in charge of an expedition which is crossing the Sahara. A sand storm causes your jeep to swerve off the road and overturn in the middle of the desert. You know that the nearest oasis is a week’s walk away. There are eight of you and a very limited amount of water, which will not allow you all to survive the scorching heat.You shoot two people so that there will be enough water for you and the rest of the group. These two will die, but you and the other five will be able to survive.	orig		-4	Action lacks justice, prudence, and temperance; fortitude misapplied. Immoral due to unjust killing.	-1.57
70	Mickelberg	Person X was able to convince their boss that they were ready for a promotion at work.	orig		3.0	Reflects prudence, justice, fortitude, and temperance in seeking a deserved promotion.	0.52
71	Clifford	You see a woman getting hired only because her father is close friends with the boss.	orig		-3.0	Lacks justice and prudence, showing favoritism and unfairness in hiring practices.	-2.4
72	Effron	Stole into a parking place while someone else was backing in	orig		-3.0	The action lacks prudence, justice, fortitude, and temperance, reflecting selfishness and unfairness.	-1.93846152
73	Kruepke	A few years ago, I was single and I went to see a friend of mine in the Bahamas. I was extremely attracted to a man I met there who was married. I danced as close to the fire as I could, but I did nothing.	orig		3.0	Exhibited prudence, justice, fortitude, and temperance by not acting on attraction to a married person.	-0.71
74	Kruepke	As I was backing out of a parking lot I bumped a parked car and left a minor dent. I didn't even feel the impact when I hit the car but it left a little bit of damage. I drove away without leaving a message or trying to contact the person.	orig		-4	Lacks prudence, justice, fortitude, and temperance; fails to take responsibility for actions.	-1.93
75	Lotto	You are a nurse who is in charge of a machine which controls drug dosage levels in patients’ blood. Because of a technical failure, the machine is supplying a lethal dose of the drug to four patients. Another patient, in a single room, is hooked up to the same machine and has not undergone any variation in dosage.Press the button to block the drug supply to the four patients. You know that the overdose of drug will be redirected to the patient in the single room, who will die, but the other four will be saved.	orig		-2.0	Sacrificing one to save four reflects prudence but lacks justice and temperance.	-1.16
76	Mickelberg	Person X went to a fancy restaurant but couldn't pronounce the items on the menu.	orig		0.0	The scenario is morally neutral; it involves no moral principles or virtues.	0.06
77	Kruepke	Recently I was supposed to go to a meeting with a whole bunch of people who are not my friends, just acquaintances. I really didn't want to go. So I emailed the group saying that I had to work that day, when in reality I didn't.	orig		-3.0	Lacks prudence, justice, fortitude, and temperance; deceitful and avoids responsibility.	-0.71
