id	dataset	scenario	circumstance_type	circumstance	vulnerable_score	intentional_score	harm_score	help_score	moral_score	vulnerable_expl	intentional_expl	harm_expl	help_expl	moral_expl	agent	assumption_for_agent	patient	assumption_for_patient	human_score	split	regression_score	mlp_score
1	Clifford	You see a woman spanking her child with a spatula for getting bad grades in school.	orig		10	7	7	0	-4	Maximum vulnerability due to the child's age and dependency.	Medium-high intentionality as the woman chose to use a spatula.	Medium-high harm as spanking can cause physical and emotional pain.	Minimum help as the action does not provide any benefit.	Extremely immoral due to the harm caused to a vulnerable individual.	The agent of this action is the woman.	The assumption made about the agent is that she is the child's parent or guardian.	The patient being affected by this action is the child.	The assumption made about the patient is that they are a minor and dependent on the woman.	-2.6	train		
2	Kruepke	I was supposed to go see my father before he died. He was ill and my mother was supposed to come into town so we could see him. She didn't come, so we never made it before he passed away.	orig		8	2	8	0	0	The father was vulnerable due to illness (8)	The mother's action was not intentional (2)	The harm caused was not seeing the father before death (8)	No help was provided by not visiting (0)	The scenario is morally neutral due to unintentional action (0)	The mother	She was expected to come into town to visit the father	The father and the speaker	The father was ill and the speaker wanted to see him	-1.45	train		
3	Mickelberg	Person X stepped in when a friend at a pub was getting assaulted for being dark skinned.	orig		7	7	7	10	4	Medium-High Vulnerability (score of 6-8): The friend is being assaulted and is in a vulnerable position.	Medium-High Intentionality (score of 6-8): Person X intentionally stepped in to help their friend.	Medium-High Harm (score of 6-8): The assault could cause significant harm to the friend.	Maximum Help (score of 9-10): Person X is providing critical assistance in a life-threatening situation.	Highly moral (score of 4): Person X is helping a vulnerable friend in a dangerous situation.	Person X	Person X is assumed to be a bystander who decided to intervene in the situation.	The friend at the pub	The friend is assumed to be a typical adult who is being assaulted due to their skin color.	3.18	train		
4	Effron	Gave a beggar a five-dollar bill at Christmas time	orig		9	8	0	4	4	High vulnerability due to poverty and reliance on others.	High intentionality as the action was planned and deliberate.	No harm was caused as the action was charitable.	Medium-low help as the donation was small but still beneficial.	Highly moral due to the charitable nature of the action.	The agent of this action is the person who gave the five-dollar bill.	The assumption made about the agent is that they have the financial means to give away five dollars and are inclined to help others.	The patient being affected by this action is the beggar.	The assumption made about the patient is that they are in a state of poverty and rely on the generosity of others for financial support.	1.93103448	train		
5	Lotto	You are the safety officer in charge of a fun park. One of the metal arms of the ferris wheel suddenly breaks because of a structural defect. Four people are stranded in a cabin 80 metres up in the air. Another person is in a cabin just a few metres from ground level and is able to get off alone. The whole structure is falling down.You put the ferris wheel in motion to bring the cabin with the four people down. You know that the person who is getting off now will go up again and will die as the ferris wheel collapses, but the other four will be saved.	orig		9	8	10	10	2	The people are highly vulnerable (9) due to their inability to escape the situation	The action was highly intentional (8) as the safety officer made a calculated decision	The action caused maximum harm (10) to the person who died	The action provided maximum help (10) to the four people who were saved	Despite the harm caused, the action was morally acceptable (2) due to the greater good achieved	The safety officer in charge of the fun park	The safety officer is assumed to be a responsible and trained professional	The five people on the ferris wheel and the ferris wheel itself	The people are assumed to be average individuals with no special skills to handle the situation, and the ferris wheel is assumed to be a mechanical structure with a structural defect	-1.11	train		
6	Kruepke	When I was a teenager, my sister and I used to sneak out the bedroom window to go out dancing. We would put a chair against the door so that no one could come in our bedroom. A couple of times we got caught.	orig		4	7	1	0	-1	Medium-Low Vulnerability (score of 3-5): The door is an inanimate object, but the parents or guardians are not defenseless.	Medium-High Intentionality (score of 6-8): The action was planned and executed with intent.	Minimum Harm (score of 0-2): The action caused no physical harm to the door or the parents.	Minimum Help (score of 0-2): The action did not provide any help or benefit to anyone.	Slightly immoral (-1): The action was a minor deception and violation of trust.	The agent of this action was the teenager and their sister.	The assumption made about the agent is that they were rebellious and wanted to go out dancing.	The patient being affected by this action was their bedroom door and potentially their parents or guardians.	The assumption made about the patient is that they were being deceived by the agent's actions.	-0.32	train		
7	Mickelberg	Person X ordered pizza while at their friend's farewell party.	orig		0	10	0	3	4	Minimum vulnerability (0) as the pizza is an inanimate object.	Maximum intentionality (10) as Person X deliberately ordered the pizza.	Minimum harm (0) as ordering pizza does not cause harm.	Medium-low help (3) as ordering pizza provides minor assistance in feeding the party guests.	Highly moral (4) as ordering pizza is a considerate action to feed guests.	Person X	Person X is assumed to be an adult with the ability to make decisions and order food.	The pizza	The pizza is assumed to be an inanimate object that cannot be harmed or victimized.	0.61	train		
8	Lotto	It is evening. A friend calls you saying that he has a terrible migraine headache. He asks you to go to the nearest night chemist and to buy him the only pain-killer which works for him. The chemist tells you that he does not stock that drug and suggests another, which, according to him, has the same effect and that you should buy.You buy the migraine drug that the chemist suggests. You make your friend take it without showing him the box. He will think he is taking the one he asked for.	orig		7	7	1	7	3	Medium-High Vulnerability (score of 6-8): The friend is in a vulnerable state due to their migraine and is relying on their friend to help them.	Medium-High Intentionality (score of 6-8): The friend intentionally went to the chemist and bought a pain-killer, but did not intentionally deceive their friend.	Minimum Harm (score of 0-2): Assuming the suggested pain-killer is effective, no harm was caused to the friend.	Medium-High Help (score of 6-8): The friend provided substantial help by going to the chemist and buying a pain-killer.	Highly Moral (score of 3-4): The friend acted with good intentions and provided help to their friend in need.	The agent of this action is the person who went to the chemist and bought the pain-killer.	The assumption made about the agent is that they are a responsible and caring friend who is willing to help.	The patient being affected by this action is the friend who has a migraine headache.	The assumption made about the patient is that they trust their friend to buy the correct medication and are in need of relief from their migraine.	1.3	train		
9	Effron	Took a friend out for a beer to celebrate his promotion	orig		6	8	0	3	2	Friend has average resilience (typical adult).	Action was planned and intentional (celebration).	No harm was caused by the action.	Minor help was provided (celebration).	Scenario is morally neutral, leaning towards positive.	The agent of this action is the narrator.	The narrator is assumed to be an adult with the means to buy a beer.	The patient being affected by this action is the friend who was taken out for a beer.	The friend is assumed to be an adult who can legally consume alcohol and has recently received a promotion.	1.48571424	train		
10	Grizzard	Fires teargas into a crowd of civilians.	orig		7	7	7	0	-4	Civilians are generally of average resilience (score of 6-8).	Firing teargas is a deliberate action (score of 6-8).	Teargas can cause significant harm (score of 6-8).	No help was caused in this scenario (score of 0-2).	The scenario is morally unacceptable due to the harm caused (-4).	The agent of this action is a law enforcement officer or military personnel.	The assumption made about the agent is that they are authorized to use teargas in this situation.	The patient being affected by this action is a crowd of civilians.	The assumption made about the patient is that they are unarmed and non-threatening.	-1.626666667	train		
