scenario_id	participant_id	dataset	scenario	circumstance_type	circumstance	Harm/ Help	Cheating/ Fairness	Betrayal/ Loyalty	Subversion/ Authority	Degradation/ Sanctity	Oppression/ Liberty	moral_score	Harm/ Help_expl	Cheating/ Fairness_expl	Betrayal/ Loyalty_expl	Subversion/ Authority_expl	Degradation/ Sanctity_expl	Oppression/ Liberty_expl	moral_expl	human_score
5	0	Lotto	You are the safety officer in charge of a fun park. One of the metal arms of the ferris wheel suddenly breaks because of a structural defect. Four people are stranded in a cabin 80 metres up in the air. Another person is in a cabin just a few metres from ground level and is able to get off alone. The whole structure is falling down.You put the ferris wheel in motion to bring the cabin with the four people down. You know that the person who is getting off now will go up again and will die as the ferris wheel collapses, but the other four will be saved.	orig		4.0	3.0	2.0	1.0	3.0	2.0	6.0	The person values helping others and minimizing harm, which is reflected in their decision to save the four people in danger.	The person values fairness and believes it is fair to prioritize saving more lives in this scenario.	The person may feel a sense of loyalty towards their mother's heritage, influencing their decision to save the four people.	The person may have a tendency to question authority, but in this scenario, they prioritize saving lives over following rules.	The person's Buddhist beliefs may lead them to value sanctity of life, influencing their decision to save the four people.	The person's race may influence their belief in liberty and equality, leading them to prioritize saving lives in this scenario.	The person's decision to prioritize saving the four people in danger is seen as morally acceptable due to their values of helping others and minimizing harm.	4.0
5	1	Lotto	You are the safety officer in charge of a fun park. One of the metal arms of the ferris wheel suddenly breaks because of a structural defect. Four people are stranded in a cabin 80 metres up in the air. Another person is in a cabin just a few metres from ground level and is able to get off alone. The whole structure is falling down.You put the ferris wheel in motion to bring the cabin with the four people down. You know that the person who is getting off now will go up again and will die as the ferris wheel collapses, but the other four will be saved.	orig		4.0	3.0	2.0	-1.0	0.0	1.0	6.0	As a Latino male, he values helping others in need, even if it means causing harm to one person.	Living in a city, he values fairness and believes it's fair to sacrifice one for the greater good.	Being born in the US and having parents born there, he values loyalty to his country and its people.	Speaking English at home, he respects authority and follows safety protocols to save lives.	Having no religion, he values sanctity of life and believes in saving as many lives as possible.	Being politically moderate, he values liberty and believes in making tough decisions for the greater good.	The person finds the scenario morally acceptable as it prioritizes saving more lives despite the sacrifice of one individual.	4.0
5	2	Lotto	You are the safety officer in charge of a fun park. One of the metal arms of the ferris wheel suddenly breaks because of a structural defect. Four people are stranded in a cabin 80 metres up in the air. Another person is in a cabin just a few metres from ground level and is able to get off alone. The whole structure is falling down.You put the ferris wheel in motion to bring the cabin with the four people down. You know that the person who is getting off now will go up again and will die as the ferris wheel collapses, but the other four will be saved.	orig		4.0	3.0	-2.0	2.0	3.0	4.0	6.0	As a Latina female, saving more lives aligns with the value of helping others in their community.	Being fair to all individuals involved, regardless of their background, is important.	Loyalty to those in danger and the duty to save lives outweighs loyalty to the individual getting off.	Following safety protocols and taking charge in a crisis situation is important in a city environment.	Valuing human life and sanctity of life is a priority for someone who is agnostic.	Choosing to save more lives reflects a belief in liberty and freedom for all individuals.	Given the circumstances and the decision to save more lives, the scenario is morally acceptable.	4.0
5	3	Lotto	You are the safety officer in charge of a fun park. One of the metal arms of the ferris wheel suddenly breaks because of a structural defect. Four people are stranded in a cabin 80 metres up in the air. Another person is in a cabin just a few metres from ground level and is able to get off alone. The whole structure is falling down.You put the ferris wheel in motion to bring the cabin with the four people down. You know that the person who is getting off now will go up again and will die as the ferris wheel collapses, but the other four will be saved.	orig		4.0	3.0	2.0	-1.0	0.0	-4.0	6.0	The person may prioritize helping others (Harm) over personal safety due to their Latino identity.	The person may value fairness in saving the most number of people, even if it means sacrificing one.	The person may prioritize loyalty to the group of four individuals in the cabin.	Living in a smaller city may lead the person to question authority and take matters into their own hands.	The person's agnostic beliefs may lead them to prioritize saving lives over sanctity of the ferris wheel.	The person's very liberal classification may lead them to prioritize liberty and saving lives.	The person may find the scenario morally acceptable due to prioritizing saving the most number of lives.	4.0
5	4	Lotto	You are the safety officer in charge of a fun park. One of the metal arms of the ferris wheel suddenly breaks because of a structural defect. Four people are stranded in a cabin 80 metres up in the air. Another person is in a cabin just a few metres from ground level and is able to get off alone. The whole structure is falling down.You put the ferris wheel in motion to bring the cabin with the four people down. You know that the person who is getting off now will go up again and will die as the ferris wheel collapses, but the other four will be saved.	orig		4.0	3.0	-2.0	-4.0	0.0	-3.0	6.0	The person may prioritize helping others over causing harm, especially considering the race factor.	Living in a city with a smaller population may value fairness and equality in this scenario.	As an Atheist, the person may not prioritize loyalty to authority figures or structures.	Being very liberal, the person may lean towards subversion of authority in this scenario.	As an Atheist, the person may not value sanctity in this scenario.	Being very liberal, the person may prioritize liberty over oppression in this scenario.	The person may find this scenario morally acceptable due to prioritizing harm reduction and fairness.	4.0
5	5	Lotto	You are the safety officer in charge of a fun park. One of the metal arms of the ferris wheel suddenly breaks because of a structural defect. Four people are stranded in a cabin 80 metres up in the air. Another person is in a cabin just a few metres from ground level and is able to get off alone. The whole structure is falling down.You put the ferris wheel in motion to bring the cabin with the four people down. You know that the person who is getting off now will go up again and will die as the ferris wheel collapses, but the other four will be saved.	orig		4.0	3.0	2.0	-3.0	4.0	-2.0	6.0	Prioritizing saving four lives over one aligns with helping others in need.	Choosing to save more lives is seen as fair and just in this situation.	Being loyal to the four individuals in danger by prioritizing their safety.	Acting against the authority of the fun park to save lives is justified.	Preserving the sanctity of life by prioritizing saving the four individuals.	Choosing to save lives reflects a value for liberty and freedom from harm.	The scenario is morally acceptable as it prioritizes saving more lives over one.	5.0
5	6	Lotto	You are the safety officer in charge of a fun park. One of the metal arms of the ferris wheel suddenly breaks because of a structural defect. Four people are stranded in a cabin 80 metres up in the air. Another person is in a cabin just a few metres from ground level and is able to get off alone. The whole structure is falling down.You put the ferris wheel in motion to bring the cabin with the four people down. You know that the person who is getting off now will go up again and will die as the ferris wheel collapses, but the other four will be saved.	orig		4.0	3.0	2.0	-1.0	1.0	-4.0	6.0	As a Latina female, she values helping others in need.	Growing up in Mexico, fairness and honesty are important values.	Being Catholic and having Mexican parents, loyalty is significant.	Living in a large city, she may question authority in certain situations.	Her Catholic faith may prioritize sanctity over degradation.	Being very liberal, she values liberty over oppression.	Given her values of helping others and fairness, she may find this scenario morally acceptable.	2.0
5	7	Lotto	You are the safety officer in charge of a fun park. One of the metal arms of the ferris wheel suddenly breaks because of a structural defect. Four people are stranded in a cabin 80 metres up in the air. Another person is in a cabin just a few metres from ground level and is able to get off alone. The whole structure is falling down.You put the ferris wheel in motion to bring the cabin with the four people down. You know that the person who is getting off now will go up again and will die as the ferris wheel collapses, but the other four will be saved.	orig		4.0	2.0	1.0	-3.0	3.0	-2.0	6.0	The person may prioritize saving lives (help) over potential harm caused by sacrificing one person for the greater good.	The person may value fairness in ensuring all individuals have an equal chance of survival.	The person may prioritize loyalty to their country and family, potentially influencing their decision to save the four individuals.	The person's lack of religious affiliation may lead them to question authority and make decisions based on their own moral compass.	The person speaking English at home may value sanctity of life and prioritize saving the four individuals.	The person's self-identification as moderately liberal may lead them to prioritize liberty and individual rights in this scenario.	The person may find the scenario morally acceptable due to prioritizing saving lives and valuing fairness in the decision-making process.	2.0
5	8	Lotto	You are the safety officer in charge of a fun park. One of the metal arms of the ferris wheel suddenly breaks because of a structural defect. Four people are stranded in a cabin 80 metres up in the air. Another person is in a cabin just a few metres from ground level and is able to get off alone. The whole structure is falling down.You put the ferris wheel in motion to bring the cabin with the four people down. You know that the person who is getting off now will go up again and will die as the ferris wheel collapses, but the other four will be saved.	orig		4.0	3.0	2.0	3.0	4.0	2.0	6.0	The person values helping others in danger, even if it means causing harm to one individual.	The person values fairness and believes in treating everyone equally.	The person values loyalty to those in danger and would not betray them for personal gain.	The person respects authority and follows the rules in a crisis situation.	The person values sanctity of life and believes in preserving it whenever possible.	The person leans towards liberty and individual rights, even in difficult decisions.	The person finds the scenario morally acceptable as it prioritizes saving more lives despite the sacrifice of one.	4.0
5	9	Lotto	You are the safety officer in charge of a fun park. One of the metal arms of the ferris wheel suddenly breaks because of a structural defect. Four people are stranded in a cabin 80 metres up in the air. Another person is in a cabin just a few metres from ground level and is able to get off alone. The whole structure is falling down.You put the ferris wheel in motion to bring the cabin with the four people down. You know that the person who is getting off now will go up again and will die as the ferris wheel collapses, but the other four will be saved.	orig		3.0	2.0	1.0	0.0	-1.0	0.0	5.0	The person may prioritize helping others over avoiding harm, especially within their own race.	Growing up in the US and speaking English may influence a sense of fairness and following rules.	Being Catholic may lead to valuing loyalty and not betraying others in need.	Living in a city may lead to a moderate view on challenging authority in certain situations.	The person's Catholic beliefs may lean towards valuing sanctity over degradation.	The person's moderate political views may lead to a balanced consideration of oppression and liberty.	Considering the balance of norms and the potential outcomes, the scenario may be seen as morally acceptable.	4.0
5	10	Lotto	You are the safety officer in charge of a fun park. One of the metal arms of the ferris wheel suddenly breaks because of a structural defect. Four people are stranded in a cabin 80 metres up in the air. Another person is in a cabin just a few metres from ground level and is able to get off alone. The whole structure is falling down.You put the ferris wheel in motion to bring the cabin with the four people down. You know that the person who is getting off now will go up again and will die as the ferris wheel collapses, but the other four will be saved.	orig		4.0	2.0	3.0	-1.0	3.0	2.0	6.0	The person may prioritize saving lives (Help) over potential harm caused by sacrificing one person (Harm).	The person may value fairness in ensuring the safety of all individuals involved in the scenario.	The person's loyalty to their religion and family background may influence their decision to prioritize saving multiple lives.	The person may prioritize following safety protocols and authority in handling the emergency situation.	The person may value the sanctity of life and prioritize saving multiple lives in the scenario.	The person's moderate political stance may lead them to prioritize liberty and saving multiple lives in the scenario.	The person may find the scenario morally acceptable due to the emphasis on saving multiple lives and minimizing harm.	4.0
5	11	Lotto	You are the safety officer in charge of a fun park. One of the metal arms of the ferris wheel suddenly breaks because of a structural defect. Four people are stranded in a cabin 80 metres up in the air. Another person is in a cabin just a few metres from ground level and is able to get off alone. The whole structure is falling down.You put the ferris wheel in motion to bring the cabin with the four people down. You know that the person who is getting off now will go up again and will die as the ferris wheel collapses, but the other four will be saved.	orig		4.0	3.0	-2.0	1.0	2.0	3.0	6.0	The person may prioritize saving lives (help) over potential harm caused by the situation.	The person may value fairness in ensuring all individuals have an equal chance of survival.	The person may prioritize loyalty to those in danger, potentially feeling a sense of betrayal if not saved.	The person's agnostic beliefs may lead to questioning authority in making life-saving decisions.	The person's cultural background and language may influence their perception of sanctity of life.	The person's liberal classification may prioritize liberty and freedom in decision-making.	The person may find the scenario morally acceptable due to prioritizing saving lives and fairness in the situation.	6.0
5	12	Lotto	You are the safety officer in charge of a fun park. One of the metal arms of the ferris wheel suddenly breaks because of a structural defect. Four people are stranded in a cabin 80 metres up in the air. Another person is in a cabin just a few metres from ground level and is able to get off alone. The whole structure is falling down.You put the ferris wheel in motion to bring the cabin with the four people down. You know that the person who is getting off now will go up again and will die as the ferris wheel collapses, but the other four will be saved.	orig		4.0	3.0	2.0	-1.0	0.0	-3.0	6.0	The person may prioritize helping others due to their Latino identity and empathy as a female.	Growing up in El Salvador and speaking Spanish may influence a sense of fairness and justice.	Strong loyalty to family and cultural values from El Salvador may impact decision-making.	Living in a city may lead to questioning authority and making independent decisions.	Agnostic beliefs may prioritize human life over sanctity of structures.	Being politically liberal may lean towards prioritizing liberty and individual rights.	The scenario may be seen as morally acceptable due to prioritizing saving more lives despite the sacrifice.	6.0
5	13	Lotto	You are the safety officer in charge of a fun park. One of the metal arms of the ferris wheel suddenly breaks because of a structural defect. Four people are stranded in a cabin 80 metres up in the air. Another person is in a cabin just a few metres from ground level and is able to get off alone. The whole structure is falling down.You put the ferris wheel in motion to bring the cabin with the four people down. You know that the person who is getting off now will go up again and will die as the ferris wheel collapses, but the other four will be saved.	orig		4.0	3.0	2.0	-3.0	0.0	-2.0	6.0	The person values helping others in danger and minimizing harm, especially in a life-threatening situation.	The person values fairness and believes in treating everyone equally, regardless of their background or situation.	The person values loyalty to their beliefs and principles, which may include saving as many lives as possible.	The person leans towards questioning authority and may prioritize saving lives over following rules.	This norm may not directly apply to the scenario as it focuses more on moral purity and sacredness.	The person values liberty and may prioritize saving the lives of individuals over the structure or system in place.	The person finds the scenario morally acceptable as they prioritize saving the lives of the four individuals in danger.	4.0
5	14	Lotto	You are the safety officer in charge of a fun park. One of the metal arms of the ferris wheel suddenly breaks because of a structural defect. Four people are stranded in a cabin 80 metres up in the air. Another person is in a cabin just a few metres from ground level and is able to get off alone. The whole structure is falling down.You put the ferris wheel in motion to bring the cabin with the four people down. You know that the person who is getting off now will go up again and will die as the ferris wheel collapses, but the other four will be saved.	orig		5.0	4.0	4.0	3.0	0.0	4.0	6.0	As a safety officer, saving lives is a top priority, so helping the four people in danger is crucial.	Fairness is important in ensuring the safety of all individuals involved in the scenario.	Loyalty to the duty of ensuring safety for all visitors is paramount in this scenario.	Following the authority's guidelines and protocols is necessary to handle the emergency effectively.	The focus is on saving lives rather than considering sanctity or degradation in this emergency situation.	Prioritizing liberty by ensuring the safety and well-being of all individuals involved in the scenario.	Given the circumstances and the decision made to save the four individuals, the scenario is morally acceptable.	1.0
5	15	Lotto	You are the safety officer in charge of a fun park. One of the metal arms of the ferris wheel suddenly breaks because of a structural defect. Four people are stranded in a cabin 80 metres up in the air. Another person is in a cabin just a few metres from ground level and is able to get off alone. The whole structure is falling down.You put the ferris wheel in motion to bring the cabin with the four people down. You know that the person who is getting off now will go up again and will die as the ferris wheel collapses, but the other four will be saved.	orig		4.0	-3.0	0.0	2.0	0.0	3.0	5.0	The person may prioritize helping others over causing harm, especially considering their Latino/Latina identity.	The person values fairness and may see it as unfair for the person to sacrifice themselves for others.	As an Atheist, the person may not prioritize loyalty to authority figures or rules in this scenario.	The person's self-identified political stance as Very Liberal may lead them to question authority in this situation.	The person's background in the United States and English-speaking environment may not strongly influence their view on sanctity in this scenario.	The person's parents being born in the United States may influence their value of liberty over oppression.	The person may find this scenario morally acceptable due to prioritizing harm reduction and valuing liberty over authority.	4.0
