id	dataset	scenario	circumstance_type	circumstance	vulnerable_score	intentional_score	harm_score	help_score	moral_score	vulnerable_expl	intentional_expl	harm_expl	help_expl	moral_expl	agent	assumption_for_agent	patient	assumption_for_patient	human_score
1	Clifford	You see a woman spanking her child with a spatula for getting bad grades in school.	orig	A mother disciplining her child for poor academic performance.	9.0	8.0	7.0	3.0	-3.0	Children are highly susceptible to harm.	The action was deliberate and planned.	Physical punishment can cause significant harm.	Discipline might aim to improve behavior.	Harm outweighs potential benefits.	The mother	She is the child's primary caregiver.	The child	The child is a minor and dependent.	-2.6
2	Kruepke	I was supposed to go see my father before he died. He was ill and my mother was supposed to come into town so we could see him. She didn't come, so we never made it before he passed away.	orig	The mother was unable to come due to unforeseen circumstances.	9.0	2.0	7.0	0.0	-2.0	Father was highly vulnerable due to illness.	Mother's action was unintentional due to unforeseen circumstances.	Significant emotional harm due to missed final moments.	No help was provided in this scenario.	Unintentional but caused significant harm.	Mother	She intended to come but was prevented.	Father	He was ill and near death.	-1.45
3	Mickelberg	Person X stepped in when a friend at a pub was getting assaulted for being dark skinned.	orig	A racially motivated assault in a pub.	8.0	7.0	7.0	9.0	4.0	The friend is vulnerable due to being assaulted.	Person X acted with some degree of thought.	The assault caused significant harm.	Person X provided critical assistance.	Person X's intervention was highly moral.	Person X	Person X is a friend of the victim.	Person X's friend	The friend is dark-skinned and being assaulted.	3.18
4	Effron	Gave a beggar a five-dollar bill at Christmas time	orig	A person sees a beggar on the street during Christmas time and decides to give them a five-dollar bill.	9.0	8.0	0.0	4.0	3.0	The beggar is highly vulnerable due to homelessness.	The action was intentional and planned.	No harm was caused by the action.	The action provided minor financial assistance.	The action is morally positive but not highly impactful.	A passerby	The passerby is likely compassionate and empathetic.	The beggar	The beggar is likely homeless and in need.	1.93103448
5	Lotto	You are the safety officer in charge of a fun park. One of the metal arms of the ferris wheel suddenly breaks because of a structural defect. Four people are stranded in a cabin 80 metres up in the air. Another person is in a cabin just a few metres from ground level and is able to get off alone. The whole structure is falling down.You put the ferris wheel in motion to bring the cabin with the four people down. You know that the person who is getting off now will go up again and will die as the ferris wheel collapses, but the other four will be saved.	orig	A critical decision during an emergency at a fun park.	9.0	8.0	10.0	10.0	1.0	The person is defenseless and unaware of the danger.	The action was taken with deliberate thought to save more lives.	The person will die as the ferris wheel collapses.	Four lives were saved by the action.	Saving four lives at the cost of one is morally complex.	Safety officer	The safety officer is responsible for making life-saving decisions.	Person getting off the cabin	The person is unaware of the impending danger.	-1.11
6	Kruepke	When I was a teenager, my sister and I used to sneak out the bedroom window to go out dancing. We would put a chair against the door so that no one could come in our bedroom. A couple of times we got caught.	orig	Teenagers sneaking out to have fun without parental permission.	6.0	8.0	4.0	1.0	-1.0	Parents are somewhat vulnerable due to concern for children.	The action was planned and deliberate.	Minor harm due to worry and potential punishment.	No significant help was provided.	Minor moral issue due to deception and worry caused.	The narrator and their sister	They are teenagers seeking fun and adventure.	The parents	They are unaware and concerned about their children's safety.	-0.32
7	Mickelberg	Person X ordered pizza while at their friend's farewell party.	orig	Person X wanted to provide food for the party attendees.	6.0	7.0	0.0	7.0	4.0	Party attendees are typical adults.	Ordering pizza involves some planning.	No harm was caused.	Provided substantial help by feeding guests.	Action is highly moral, providing food.	Person X	Person X is a considerate friend.	Party attendees	They are friends and guests at the party.	0.61
8	Lotto	It is evening. A friend calls you saying that he has a terrible migraine headache. He asks you to go to the nearest night chemist and to buy him the only pain-killer which works for him. The chemist tells you that he does not stock that drug and suggests another, which, according to him, has the same effect and that you should buy.You buy the migraine drug that the chemist suggests. You make your friend take it without showing him the box. He will think he is taking the one he asked for.	orig	Helping a friend with a migraine by providing an alternative medication.	7.0	8.0	4.0	7.0	3.0	Friend is in pain but not defenseless.	Action was planned with good intentions.	Potential for minor harm if drug is ineffective.	Providing substantial help by attempting to alleviate pain.	Good intentions outweigh minor potential harm.	You	You are a caring and responsible friend.	Your friend	The friend is in pain and trusts your judgment.	1.3
9	Effron	Took a friend out for a beer to celebrate his promotion	orig	Celebrating a friend's promotion	6.0	8.0	0.0	7.0	4.0	The friend is an adult with average resilience	The action was planned to celebrate the promotion	No harm was caused by the action	The action provided substantial emotional support	The action is highly moral, celebrating a friend's success	The person who took the friend out	The agent is a close friend or colleague	The friend who got promoted	The patient is a close friend or colleague	1.48571424
10	Grizzard	Fires teargas into a crowd of civilians.	orig	Crowd control during a protest	7.0	8.0	6.0	2.0	-3.0	Protesters are civilians, moderately vulnerable	Action likely planned for crowd control	Teargas causes significant but non-lethal harm	Provides minimal help, mainly for crowd dispersal	Significant harm, minimal help, moderately immoral	Police officer	Assumed to be a law enforcement officer	Protesters	Assumed to be civilians participating in a protest	-1.626666667
11	Effron	Complimented coworkers on their clothing and appearance	orig	Workplace interaction during a regular workday	6.0	7.0	1.0	5.0	3.0	Typical adult with average resilience	Compliments are usually intentional and thought out	Compliments generally cause no harm	Compliments can boost morale and confidence	Positive action with minimal harm and moderate help	A coworker	The agent is friendly and sociable	Another coworker	The patient is an average adult	1.17894736
12	Kruepke	I was in a relationship with my best friend's cousin. She was really beautiful, but as time went on I became less attracted to her. I tried to tell her I didn't really want to see her anymore and she flipped out.	orig	A romantic relationship where one partner loses attraction over time.	7.0	6.0	5.0	0.0	-1.0	She is emotionally vulnerable due to the breakup.	The action was intentional but not extensively planned.	Emotional harm was caused but not physical.	No help was provided in this scenario.	Honesty is moral, but emotional harm reduces morality.	The person in the relationship who lost attraction.	They were honest about their feelings.	The best friend's cousin.	She was emotionally invested in the relationship.	0.91
13	Lotto	You are on holiday at the seaside and returning to shore in your motorboat. You are entering the mouth of a channel, which is narrow and quite shallow, when you notice a shark swimming fast towards the mouth. At the end of the channel is a swimmer, who is calmly bathing. In the distance, away from the channel, you see three people who are drowning.You turn quickly out of the channel, leaving the mouth free. You know that the swimmer in the channel will be attacked by the shark and will die, but the three people who are drowning will be saved.	orig	A moral dilemma involving saving multiple lives at the cost of one.	10.0	7.0	10.0	10.0	1.0	The swimmer is defenseless against the shark attack.	The action was taken with some degree of thought and urgency.	The swimmer will be attacked and likely killed by the shark.	Three people were saved from drowning.	Saving three lives at the cost of one is morally complex.	The person driving the motorboat	The agent is a responsible individual capable of making quick decisions.	The swimmer in the channel	The patient is unaware of the impending danger and unable to defend themselves.	-0.46
14	Mickelberg	Person X broke off all communication with their family for a while because they had a heated argument with each other.	orig	A disagreement over differing values or beliefs.	7.0	6.0	5.0	0.0	-2.0	Family members are of average resilience.	Action likely followed some thought after the argument.	Emotional harm but no physical damage.	No help was provided in this scenario.	Moderately immoral due to emotional harm.	Person X	Person X is an adult family member.	Person X's family	The family consists of average adults.	-0.38
15	Mickelberg	Person X presented their colleague's idea as their own in order to get a promotion.	orig	Workplace competition for a promotion	7.0	8.0	7.0	0.0	-4.0	The colleague is an average adult with some susceptibility to harm	Person X likely planned the action to gain a promotion	The colleague's career could be significantly impacted	No help was provided to the colleague	The action is highly immoral due to intentional harm	Person X	Person X is ambitious and wants a promotion	Colleague	The colleague is unaware of the idea being stolen	-2.86
16	Clifford	You see an employee joking with competitors about how bad his company did last year.	orig	The employee is frustrated with the company's performance and is venting to competitors.	6.0	7.0	5.0	0.0	-2.0	The company is susceptible to reputational harm.	The employee likely thought about the comments before making them.	The comments could harm the company's reputation but not destroy it.	No help was provided to anyone in this scenario.	The action is somewhat immoral due to potential reputational harm.	The employee	The employee is frustrated and possibly disillusioned with the company.	The company	The company is being criticized and its reputation is at stake.	-2.0
17	Cook	Someone posts on social media bragging about making out with multiple strangers the night before	orig	A person attended a party or social gathering where they interacted with multiple strangers.	6.0	5.0	4.0	1.0	-2.0	Adults at a party have average resilience.	The action was likely impulsive but with some thought.	Potential minor emotional or physical harm.	No significant help provided.	Minor harm and low help make it slightly immoral.	The person who posted on social media.	The agent is likely an adult who enjoys socializing.	The multiple strangers the agent made out with.	The patients are likely other adults at the party.	-1.22
18	Clifford	You see a girl shooting geese repeatedly with a pellet gun out in the woods.	orig	The girl is practicing shooting for hunting or pest control.	7.0	8.0	7.0	0.0	-3.0	Geese are living beings, moderately vulnerable.	The action is deliberate and planned.	Shooting can cause significant harm.	No help is provided in this scenario.	Harming animals for practice is morally questionable.	The girl	She is practicing shooting skills.	The geese	They are targets for practice.	-3.0
19	Clifford	You see a family eating the carcass of their pet dog that had been run over.	orig	The family is in a situation of extreme poverty or survival necessity.	0.0	8.0	0.0	9.0	1.0	The dog is dead, no vulnerability.	The action is deliberate due to necessity.	No harm to the dog, already dead.	Helps the family survive.	Morally complex, but survival-driven.	The family members	They are acting out of desperation.	The pet dog	The dog is already deceased.	-3.2
20	Mickelberg	Person X stole the collection tin of a blind beggar on the street.	orig	Person X is in desperate need of money.	10.0	7.0	7.0	0.0	-4.0	Blind and begging, highly susceptible to harm.	Likely premeditated due to desperation.	Significant harm by taking essential funds.	No help provided, only harm.	Highly immoral due to high vulnerability and harm.	Person X	Desperate and possibly in financial distress.	The blind beggar	Vulnerable and dependent on charity.	-3.38
