id	dataset	scenario	circumstance_type	circumstance	Q1_score	Q1_expl	Q2_score	Q2_expl	Q3_score	Q3_expl	Q4_score	Q4_expl	moral_score	moral_expl	human_score	split	regression_score	mlp_score
1	Clifford	You see a woman spanking her child with a spatula for getting bad grades in school.	orig		1.0	Spanking with a spatula lacks practical wisdom.	1.0	Physical punishment is not a fair response to bad grades.	5.0	The action does not demonstrate moral courage.	1.0	Spanking lacks self-control and moderation.	-4.0	The scenario is morally unacceptable due to lack of prudence, justice, and temperance.	-2.6	train		
2	Kruepke	I was supposed to go see my father before he died. He was ill and my mother was supposed to come into town so we could see him. She didn't come, so we never made it before he passed away.	orig		3.0	Action lacks practical wisdom due to dependency on others.	4.0	No explicit injustice, but lacks moral righteousness in action.	2.0	Lack of courage to visit father independently.	5.0	Moderation not applicable in this scenario.	0.0	Overall morally neutral due to lack of control.	-1.45	train		
3	Mickelberg	Person X stepped in when a friend at a pub was getting assaulted for being dark skinned.	orig		8.0	Action balances moral duty with practical risk.	10.0	Action upholds fairness and fights discrimination.	10.0	Action demonstrates courage in face of adversity.	5.0	Action does not directly relate to temperance.	4.0	High moral acceptability due to justice and fortitude.	3.18	train		
4	Effron	Gave a beggar a five-dollar bill at Christmas time	orig		7.0	Balanced act of kindness and charity.	8.0	Promotes fairness and moral righteousness in society.	5.0	Requires courage to engage with strangers.	6.0	Moderate act of selflessness and generosity.	3.0	Overall morally acceptable and virtuous action.	1.93103448	train		
5	Lotto	You are the safety officer in charge of a fun park. One of the metal arms of the ferris wheel suddenly breaks because of a structural defect. Four people are stranded in a cabin 80 metres up in the air. Another person is in a cabin just a few metres from ground level and is able to get off alone. The whole structure is falling down.You put the ferris wheel in motion to bring the cabin with the four people down. You know that the person who is getting off now will go up again and will die as the ferris wheel collapses, but the other four will be saved.	orig		8.0	Prudence in balancing lives, practical decision.	6.0	Justice in saving more lives, but unfair to one.	9.0	Fortitude in making tough decision, accepting consequence.	7.0	Temperance in controlling emotions, focusing on solution.	2.0	Morally acceptable, but not ideal due to one death.	-1.11	train		
6	Kruepke	When I was a teenager, my sister and I used to sneak out the bedroom window to go out dancing. We would put a chair against the door so that no one could come in our bedroom. A couple of times we got caught.	orig		2.0	Lacks foresight and disregards rules.	3.0	Disrespects family rules and trust.	5.0	Shows courage in sneaking out.	2.0	Lacks self-control and moderation.	-2.0	Overall, the scenario is morally questionable.	-0.32	train		
7	Mickelberg	Person X ordered pizza while at their friend's farewell party.	orig		7.0	Ordering pizza shows practical wisdom in feeding guests.	7.0	Ordering pizza is fair and just in a party setting.	5.0	No significant challenge or adversity faced in this scenario.	5.0	Moderation depends on the amount of pizza ordered.	0.0	The scenario is morally neutral without further context.	0.61	train		
8	Lotto	It is evening. A friend calls you saying that he has a terrible migraine headache. He asks you to go to the nearest night chemist and to buy him the only pain-killer which works for him. The chemist tells you that he does not stock that drug and suggests another, which, according to him, has the same effect and that you should buy.You buy the migraine drug that the chemist suggests. You make your friend take it without showing him the box. He will think he is taking the one he asked for.	orig		7.0	Action shows practical wisdom, but lacks transparency.	7.0	Action maintains fairness, but lacks full honesty.	8.0	Action shows courage in helping a friend.	8.0	Action shows self-control in handling situation.	2.0	Action is morally acceptable, but not fully transparent.	1.3	train		
9	Effron	Took a friend out for a beer to celebrate his promotion	orig		7.0	Balanced celebration, not excessive or insufficient.	6.0	Fairly recognizes friend's achievement, no injustice.	5.0	No significant challenge or adversity faced.	7.0	Moderate indulgence in pleasure, not excessive.	3.0	Overall, a morally acceptable scenario.	1.48571424	train		
10	Grizzard	Fires teargas into a crowd of civilians.	orig		1.0	Firing teargas lacks practical wisdom, causing harm.	0.0	Firing teargas into a crowd is unjust, violating rights.	1.0	Firing teargas shows lack of courage, as it harms civilians.	1.0	Firing teargas lacks self-control, causing unnecessary harm.	-4.0	Firing teargas into a crowd is extremely immoral.	-1.626666667	train		
11	Effron	Complimented coworkers on their clothing and appearance	orig		5.0	Complimenting coworkers shows social awareness, but not significant prudence.	7.0	Complimenting coworkers promotes positive relationships, reflecting justice.	5.0	Complimenting coworkers requires minimal courage, not reflecting fortitude.	6.0	Complimenting coworkers shows self-control and respect, reflecting temperance.	2.0	Overall, the action is morally acceptable but not highly moral.	1.17894736	train		
12	Kruepke	I was in a relationship with my best friend's cousin. She was really beautiful, but as time went on I became less attracted to her. I tried to tell her I didn't really want to see her anymore and she flipped out.	orig		6.0	Attempted to communicate honestly, but lacked tact.	4.0	Respect for partner's feelings was not prioritized.	5.0	Displayed courage in expressing feelings, but lacked empathy.	3.0	Lacked self-control in managing partner's reaction.	1.0	Moral acceptability is moderate due to lack of empathy.	0.91	train		
13	Lotto	You are on holiday at the seaside and returning to shore in your motorboat. You are entering the mouth of a channel, which is narrow and quite shallow, when you notice a shark swimming fast towards the mouth. At the end of the channel is a swimmer, who is calmly bathing. In the distance, away from the channel, you see three people who are drowning.You turn quickly out of the channel, leaving the mouth free. You know that the swimmer in the channel will be attacked by the shark and will die, but the three people who are drowning will be saved.	orig		8.0	Prudence in saving more lives over one.	3.0	Justice not served to the swimmer in channel.	7.0	Fortitude in making a difficult decision.	6.0	Temperance in controlling the urge to save one.	3.0	Morally acceptable due to utilitarian approach.	-0.46	train		
14	Mickelberg	Person X broke off all communication with their family for a while because they had a heated argument with each other.	orig		2.0	Action lacks prudence; no balance shown.	2.0	Action lacks justice; no fairness shown.	6.0	Action shows some fortitude; requires courage.	7.0	Action shows temperance; self-control in conflict.	-2.0	Overall, action leans towards immoral due to lack of prudence and justice.	-0.38	train		
15	Mickelberg	Person X presented their colleague's idea as their own in order to get a promotion.	orig		0.0	Action lacks prudence; misrepresentation for personal gain.	0.0	Action is unjust; colleague's idea stolen, violating fairness.	1.0	Action lacks fortitude; no courage in owning up.	0.0	Action lacks temperance; excessive self-interest, no moderation.	-4.0	Action is highly immoral; violates all virtues.	-2.86	train		
16	Clifford	You see an employee joking with competitors about how bad his company did last year.	orig		1.0	Action lacks prudence; disclosing sensitive info.	1.0	Action is unjust; betraying company's trust.	2.0	Action lacks fortitude; not standing up for company.	1.0	Action lacks temperance; excessive disclosure of info.	-4.0	Action is highly immoral; breaching trust and loyalty.	-2.0	train		
17	Cook	Someone posts on social media bragging about making out with multiple strangers the night before	orig		1.0	Lacks prudence; no moral principles considered	1.0	No consideration of fairness or moral righteousness	5.0	No challenge or adversity faced	1.0	Lacks moderation and self-control	-4.0	Highly immoral due to lack of prudence and temperance	-1.22	train		
18	Clifford	You see a girl shooting geese repeatedly with a pellet gun out in the woods.	orig		2.0	Lacks consideration for animal welfare and laws.	1.0	Violates fair treatment of animals and laws.	3.0	Shows no moral courage or strength.	2.0	Lacks self-control and moderation in actions.	-4.0	Overall, the scenario is morally unacceptable.	-3.0	train		
19	Clifford	You see a family eating the carcass of their pet dog that had been run over.	orig		0.0	Action lacks prudence; no moral principles involved.	0.0	Action disregards justice; violates moral righteousness.	5.0	Action requires fortitude in facing adversity.	0.0	Action lacks temperance; extreme and inappropriate desire.	-4.0	Action is highly immoral due to lack of prudence, justice, and temperance.	-3.2	train		
20	Mickelberg	Person X stole the collection tin of a blind beggar on the street.	orig		0.0	Action lacks prudence; no moral principles considered.	0.0	Action is unjust; stealing from a vulnerable person.	5.0	Action lacks fortitude; no courage required for theft.	0.0	Action lacks temperance; driven by desire for money.	-4.0	Action is extremely immoral; violates all virtues.	-3.38	train		
21	Effron	Refused to hold the door for a man in a wheelchair	orig		0.0	Lacks practical wisdom, no consideration for others.	0.0	Violates fairness and moral righteousness in relationships.	0.0	No courage or strength shown in helping others.	0.0	Lacks self-control and moderation in ignoring others' needs.	-4.0	Extremely immoral due to lack of consideration for others.	-3.008	train		
