scenario_id	participant_id	dataset	scenario	circumstance_type	circumstance	vulnerable_score	intentional_score	harm_score	help_score	moral_score	vulnerable_expl	intentional_expl	harm_expl	help_expl	moral_expl	agent	assumption_for_agent	patient	assumption_for_patient	human_score
5	0	Lotto	You are the safety officer in charge of a fun park. One of the metal arms of the ferris wheel suddenly breaks because of a structural defect. Four people are stranded in a cabin 80 metres up in the air. Another person is in a cabin just a few metres from ground level and is able to get off alone. The whole structure is falling down.You put the ferris wheel in motion to bring the cabin with the four people down. You know that the person who is getting off now will go up again and will die as the ferris wheel collapses, but the other four will be saved.	orig		8.0	9.0	5.0	8.0	6.0	The person may perceive the four people in the cabin as more vulnerable due to their potential danger and height	The person's moral beliefs as a Buddhist may influence the intentionality of the action to save lives	The person may prioritize saving the four people over potential harm caused to the person getting off	The person may perceive the action as helpful in saving the lives of the four people in danger	The person may view the decision as morally acceptable due to the intention to save more lives despite the harm caused to one individual	The safety officer	The safety officer made the decision to prioritize saving the four people in the cabin 80 meters up	The four people in the cabin 80 meters up	The assumption was that the four people were in immediate danger and needed to be rescued	4.0
5	1	Lotto	You are the safety officer in charge of a fun park. One of the metal arms of the ferris wheel suddenly breaks because of a structural defect. Four people are stranded in a cabin 80 metres up in the air. Another person is in a cabin just a few metres from ground level and is able to get off alone. The whole structure is falling down.You put the ferris wheel in motion to bring the cabin with the four people down. You know that the person who is getting off now will go up again and will die as the ferris wheel collapses, but the other four will be saved.	orig		8.0	7.0	5.0	7.0	6.0	As the person speaks English at home and belongs to the Latino race, they may have a higher sense of empathy towards the victims.	Being male and having no religion may influence the person's decision-making process in a logical and rational manner.	The person may prioritize saving the lives of the four individuals over the potential harm caused to the person getting off the cabin.	The person may believe that the overall help provided by saving four lives outweighs the harm caused to one individual.	The person may view the decision as a necessary sacrifice to save the majority, leading to a morally acceptable outcome.	The safety officer	The safety officer assumed the responsibility to make a difficult decision in a time-sensitive situation.	The four people stranded in the cabin 80 meters up in the air	The safety officer assumed that the four people were in immediate danger and needed to be rescued.	4.0
5	2	Lotto	You are the safety officer in charge of a fun park. One of the metal arms of the ferris wheel suddenly breaks because of a structural defect. Four people are stranded in a cabin 80 metres up in the air. Another person is in a cabin just a few metres from ground level and is able to get off alone. The whole structure is falling down.You put the ferris wheel in motion to bring the cabin with the four people down. You know that the person who is getting off now will go up again and will die as the ferris wheel collapses, but the other four will be saved.	orig		7.0	8.0	5.0	8.0	6.0	Speaking Spanish at home and living in a city with a population size between 50,000 to 99,999 may indicate a sense of community and closeness, leading to a higher perception of vulnerability for the person closer to the ground.	Being Agnostic may lead to a more utilitarian approach, where the intention behind the action is to save the most lives possible.	Belonging to the Latino or Latina race may influence a higher sensitivity towards harm caused to individuals, even if it results in saving more lives overall.	Belonging to the Latino or Latina race may lead to a strong sense of empathy and desire to help others, even if it means sacrificing one person.	The person likely viewed the scenario as a difficult moral decision but ultimately chose to prioritize saving more lives, leading to a higher moral acceptability rating.	The safety officer	The safety officer made the decision to sacrifice one person to save four others.	The person in the cabin just a few meters from ground level	The person assumed that the individual closer to the ground was less vulnerable.	4.0
5	3	Lotto	You are the safety officer in charge of a fun park. One of the metal arms of the ferris wheel suddenly breaks because of a structural defect. Four people are stranded in a cabin 80 metres up in the air. Another person is in a cabin just a few metres from ground level and is able to get off alone. The whole structure is falling down.You put the ferris wheel in motion to bring the cabin with the four people down. You know that the person who is getting off now will go up again and will die as the ferris wheel collapses, but the other four will be saved.	orig		8.0	9.0	9.0	8.0	7.0	The person speaks Spanish at home and belongs to the Latino race, indicating a strong sense of community and care for others.	As a male with a liberal ideology, the safety officer likely acted intentionally to save lives despite the consequences.	Being Latino and male, the safety officer may have felt a strong sense of responsibility for the lives of the four people in danger.	The safety officer's intention was to help by sacrificing one life to save four others, showing a high level of assistance.	The safety officer's decision to sacrifice one life to save four others is morally acceptable in a crisis situation.	The safety officer	The safety officer assumed the responsibility to make a difficult decision in a crisis situation.	The four people stranded in the cabin 80 meters up in the air	The safety officer assumed that the four people were in immediate danger and needed to be rescued.	4.0
5	4	Lotto	You are the safety officer in charge of a fun park. One of the metal arms of the ferris wheel suddenly breaks because of a structural defect. Four people are stranded in a cabin 80 metres up in the air. Another person is in a cabin just a few metres from ground level and is able to get off alone. The whole structure is falling down.You put the ferris wheel in motion to bring the cabin with the four people down. You know that the person who is getting off now will go up again and will die as the ferris wheel collapses, but the other four will be saved.	orig		8.0	9.0	8.0	9.0	6.0	The person may perceive individuals from marginalized races as more vulnerable in a crisis.	Being very liberal, the person may prioritize saving lives over other considerations.	The person may view causing harm as unavoidable in this extreme situation.	The person may believe that the overall help of saving four lives outweighs the harm caused.	The person's moral compass leans towards prioritizing saving lives in a crisis, even if it involves difficult decisions.	The safety officer	The safety officer assumed the responsibility to act in a crisis situation.	The four people stranded in the cabin 80 meters up in the air	The safety officer assumed that the four people needed immediate rescue.	4.0
5	5	Lotto	You are the safety officer in charge of a fun park. One of the metal arms of the ferris wheel suddenly breaks because of a structural defect. Four people are stranded in a cabin 80 metres up in the air. Another person is in a cabin just a few metres from ground level and is able to get off alone. The whole structure is falling down.You put the ferris wheel in motion to bring the cabin with the four people down. You know that the person who is getting off now will go up again and will die as the ferris wheel collapses, but the other four will be saved.	orig		3.0	8.0	2.0	8.0	6.0	The person in the lower cabin was less vulnerable as they were closer to the ground and able to get off on their own.	The person's very liberal political views may have influenced the intentional nature of the action to save more lives.	The person may view the harm caused as necessary to save the greater number of lives.	The person may see the action as ultimately helpful in saving more lives despite the harm caused.	The person may view the scenario as morally acceptable due to the utilitarian principle of maximizing overall well-being.	The safety officer	The safety officer made the decision to sacrifice one person to save four others.	The person in the cabin just a few meters from ground level	The person assumed that the person in the lower cabin was capable of getting off safely.	5.0
5	6	Lotto	You are the safety officer in charge of a fun park. One of the metal arms of the ferris wheel suddenly breaks because of a structural defect. Four people are stranded in a cabin 80 metres up in the air. Another person is in a cabin just a few metres from ground level and is able to get off alone. The whole structure is falling down.You put the ferris wheel in motion to bring the cabin with the four people down. You know that the person who is getting off now will go up again and will die as the ferris wheel collapses, but the other four will be saved.	orig		3.0	8.0	7.0	9.0	6.0	Living in a city with a large population may make the person more accustomed to emergency situations. Speaking English at home may also indicate familiarity with safety protocols.	Being Catholic may influence the person to prioritize saving lives over other considerations.	Identifying as Latina may lead the person to consider the potential harm caused by the ferris wheel collapse.	Belonging to the Latino race may influence the person to see the action as providing significant help to the four people in the cabin.	The person's decision to prioritize saving multiple lives over one may lead to a higher moral acceptability rating.	The safety officer	The safety officer made the decision to save the four people in the cabin by sacrificing the person on the ground level.	The person on the ground level	The person assumed that the person on the ground level could get off safely.	2.0
5	7	Lotto	You are the safety officer in charge of a fun park. One of the metal arms of the ferris wheel suddenly breaks because of a structural defect. Four people are stranded in a cabin 80 metres up in the air. Another person is in a cabin just a few metres from ground level and is able to get off alone. The whole structure is falling down.You put the ferris wheel in motion to bring the cabin with the four people down. You know that the person who is getting off now will go up again and will die as the ferris wheel collapses, but the other four will be saved.	orig		3.0	8.0	5.0	9.0	6.0	As the person speaks English at home and belongs to the White race, they may have a sense of privilege and lower vulnerability in this scenario.	As a female with no religion, the person may prioritize saving lives over other considerations.	The person's race may influence their perception of harm caused in this scenario.	The person's gender and lack of religious beliefs may lead them to prioritize helping others in need.	The person's decision to prioritize saving the four individuals may be seen as morally acceptable due to the intention to minimize harm.	The safety officer	The safety officer assumed responsibility for the well-being of the individuals on the ferris wheel.	The four people stranded in the cabin 80 meters up in the air	The person assumed that the four people were in immediate danger and needed to be rescued.	2.0
5	8	Lotto	You are the safety officer in charge of a fun park. One of the metal arms of the ferris wheel suddenly breaks because of a structural defect. Four people are stranded in a cabin 80 metres up in the air. Another person is in a cabin just a few metres from ground level and is able to get off alone. The whole structure is falling down.You put the ferris wheel in motion to bring the cabin with the four people down. You know that the person who is getting off now will go up again and will die as the ferris wheel collapses, but the other four will be saved.	orig		3.0	8.0	7.0	8.0	6.0	Living in a city and speaking English at home may make the person feel less vulnerable in this scenario	Being classified as a 7 on the political scale may indicate a more intentional decision-making process	Being classified as a 7 on the political scale may lead to a belief that harm was caused in this scenario	Being classified as a 7 on the political scale may lead to a belief that help was provided in this scenario	The person may view the decision as morally acceptable due to the belief that more lives were saved than lost	The safety officer	The safety officer made the decision to save the four people in the cabin	The four people stranded in the cabin	The person assumed that the four people were in immediate danger	4.0
5	9	Lotto	You are the safety officer in charge of a fun park. One of the metal arms of the ferris wheel suddenly breaks because of a structural defect. Four people are stranded in a cabin 80 metres up in the air. Another person is in a cabin just a few metres from ground level and is able to get off alone. The whole structure is falling down.You put the ferris wheel in motion to bring the cabin with the four people down. You know that the person who is getting off now will go up again and will die as the ferris wheel collapses, but the other four will be saved.	orig		8.0	7.0	6.0	8.0	6.0	The person may perceive the Latino or Latina individual on the ground level as more vulnerable due to systemic inequalities and discrimination.	The person's moderate conservative classification may lead to a more intentional decision to save the four people in the cabin.	The person may believe that causing harm to one person to save four others is justified in this scenario.	The person may view the action of saving four people as a significant help outweighing the harm caused to the individual on the ground level.	The person's moral compass leans towards justifying sacrificing one life to save four, leading to a morally acceptable rating.	The safety officer	The safety officer made the decision to save the four people in the cabin by sacrificing the person on the ground level.	The person on the ground level	The assumption was that the person on the ground level could potentially be saved if the ferris wheel was stopped in time.	4.0
5	10	Lotto	You are the safety officer in charge of a fun park. One of the metal arms of the ferris wheel suddenly breaks because of a structural defect. Four people are stranded in a cabin 80 metres up in the air. Another person is in a cabin just a few metres from ground level and is able to get off alone. The whole structure is falling down.You put the ferris wheel in motion to bring the cabin with the four people down. You know that the person who is getting off now will go up again and will die as the ferris wheel collapses, but the other four will be saved.	orig		8.0	5.0	6.0	5.0	4.0	Living in a city with a large population and speaking English at home may indicate exposure to emergency situations and understanding of urgency.	Being classified as a 5 on the political spectrum suggests a moderate approach to decision-making, balancing intentionality and consequences.	The person's moderate political classification may lead to a balanced view on the harm caused by the action.	The person's moderate political classification may lead to a balanced view on the help provided by the action.	Considering the balance between harm and help, the person may find the scenario morally acceptable in a difficult situation.	The safety officer	The safety officer assumed the responsibility to make a difficult decision in a time-sensitive situation.	The four people stranded in the cabin 80 meters up in the air	The safety officer assumed that the four people were in immediate danger and needed to be rescued.	4.0
5	11	Lotto	You are the safety officer in charge of a fun park. One of the metal arms of the ferris wheel suddenly breaks because of a structural defect. Four people are stranded in a cabin 80 metres up in the air. Another person is in a cabin just a few metres from ground level and is able to get off alone. The whole structure is falling down.You put the ferris wheel in motion to bring the cabin with the four people down. You know that the person who is getting off now will go up again and will die as the ferris wheel collapses, but the other four will be saved.	orig		8.0	9.0	7.0	9.0	7.0	Living in a city with a large population and speaking English at home may indicate exposure to emergency situations and understanding of urgency.	Being 39 years old and identifying as very liberal may suggest a willingness to take decisive action in a crisis.	Classifying oneself as very liberal may lead to prioritizing saving more lives over potential harm caused.	Being very liberal may lead to valuing the act of saving lives as a significant help.	The person's decision to prioritize saving multiple lives over potential harm caused indicates a morally acceptable choice.	The safety officer	The safety officer assumed the responsibility to make a difficult decision in a time-sensitive situation.	The four people stranded in the cabin 80 meters up in the air	The safety officer assumed that the four people were in immediate danger and needed to be rescued.	6.0
5	12	Lotto	You are the safety officer in charge of a fun park. One of the metal arms of the ferris wheel suddenly breaks because of a structural defect. Four people are stranded in a cabin 80 metres up in the air. Another person is in a cabin just a few metres from ground level and is able to get off alone. The whole structure is falling down.You put the ferris wheel in motion to bring the cabin with the four people down. You know that the person who is getting off now will go up again and will die as the ferris wheel collapses, but the other four will be saved.	orig		7.0	8.0	3.0	9.0	6.0	Living in a city and speaking English at home may indicate access to resources and ability to seek help in emergencies.	Being 37 years old and identifying as Agnostic may influence a rational and calculated decision-making process.	Belonging to the Latino/Latina race may lead to a strong sense of empathy and desire to minimize harm.	Age and religious beliefs may influence the desire to provide help and save lives in a crisis.	The safety officer's decision to prioritize saving four lives over one may be seen as a morally acceptable sacrifice in a life-threatening situation.	The safety officer	The safety officer assumed the responsibility to make a difficult decision in a time-sensitive situation.	The four people stranded in the cabin 80 meters up in the air	The safety officer assumed that the four people were in immediate danger and needed to be rescued.	6.0
5	13	Lotto	You are the safety officer in charge of a fun park. One of the metal arms of the ferris wheel suddenly breaks because of a structural defect. Four people are stranded in a cabin 80 metres up in the air. Another person is in a cabin just a few metres from ground level and is able to get off alone. The whole structure is falling down.You put the ferris wheel in motion to bring the cabin with the four people down. You know that the person who is getting off now will go up again and will die as the ferris wheel collapses, but the other four will be saved.	orig		8.0	7.0	9.0	9.0	6.0	Living in a city with a large population and speaking English at home may indicate exposure to safety protocols and emergency procedures.	Being classified as a 7 on the political spectrum may suggest a tendency towards making tough decisions for the greater good.	Belonging to the Latino or Latina race may influence a sense of responsibility and duty towards others in distress.	Belonging to the Latino or Latina race may drive the desire to help and protect others in a crisis.	The person prioritized saving the lives of the four individuals in immediate danger, even at the cost of one life, making the scenario morally acceptable.	The safety officer	The safety officer assumed the responsibility to make a difficult decision in a time-sensitive situation.	The four people stranded in the cabin 80 meters up in the air	The safety officer assumed that the four people were in immediate danger and needed to be rescued.	4.0
5	14	Lotto	You are the safety officer in charge of a fun park. One of the metal arms of the ferris wheel suddenly breaks because of a structural defect. Four people are stranded in a cabin 80 metres up in the air. Another person is in a cabin just a few metres from ground level and is able to get off alone. The whole structure is falling down.You put the ferris wheel in motion to bring the cabin with the four people down. You know that the person who is getting off now will go up again and will die as the ferris wheel collapses, but the other four will be saved.	orig		9.0	8.0	7.0	8.0	6.0	As a safety officer, the person is likely trained to assess and prioritize the safety of individuals in such situations.	The action of putting the ferris wheel in motion to save the four people appears intentional and calculated.	The harm caused by the collapsing ferris wheel is significant due to the structural defect and potential loss of life.	The action of bringing the cabin down helped save the four people, despite the harm caused to the person who got off.	The safety officer's decision to prioritize saving the four people, even at the cost of one life, can be seen as a morally acceptable sacrifice for the greater good.	Safety officer	They are responsible for ensuring the safety of the park visitors.	People stranded in the cabin	They are in a dangerous situation and need to be rescued.	1.0
5	15	Lotto	You are the safety officer in charge of a fun park. One of the metal arms of the ferris wheel suddenly breaks because of a structural defect. Four people are stranded in a cabin 80 metres up in the air. Another person is in a cabin just a few metres from ground level and is able to get off alone. The whole structure is falling down.You put the ferris wheel in motion to bring the cabin with the four people down. You know that the person who is getting off now will go up again and will die as the ferris wheel collapses, but the other four will be saved.	orig		3.0	8.0	4.0	7.0	6.0	As the person on the ground level was able to get off alone, they were less vulnerable compared to the four people stranded in the cabin.	The safety officer intentionally put the ferris wheel in motion to save the four people in the cabin.	Although harm was caused to the person on the ground level, the action ultimately saved more lives.	The action helped to save the lives of the four people in the cabin, outweighing the harm caused to the person on the ground level.	The safety officer's decision to sacrifice one life to save four others can be seen as a morally acceptable act in a life-threatening situation.	The safety officer	The safety officer made the decision to save the four people in the cabin by sacrificing the person on the ground level.	The person on the ground level	The person on the ground level was sacrificed to save the four people in the cabin.	4.0
5	16	Lotto	You are the safety officer in charge of a fun park. One of the metal arms of the ferris wheel suddenly breaks because of a structural defect. Four people are stranded in a cabin 80 metres up in the air. Another person is in a cabin just a few metres from ground level and is able to get off alone. The whole structure is falling down.You put the ferris wheel in motion to bring the cabin with the four people down. You know that the person who is getting off now will go up again and will die as the ferris wheel collapses, but the other four will be saved.	orig		8.0	9.0	5.0	9.0	6.0	Living in a city and speaking English at home may indicate access to resources and ability to communicate effectively in emergencies.	Identifying as female and belonging to a minority race may influence a more compassionate and empathetic response.	Having no religion may lead to a more objective evaluation of the situation without moral or ethical biases.	Having no religion may prioritize saving lives over personal beliefs or values.	The person prioritized saving the lives of the four individuals in immediate danger, even at the cost of another life, which can be seen as a morally acceptable decision in a crisis.	The safety officer	The safety officer assumed the responsibility to make a difficult decision in a time-sensitive situation.	The four people stranded in the cabin 80 meters up in the air	The safety officer assumed that the four people were in immediate danger and needed to be rescued.	4.0
