id	dataset	scenario	circumstance_type	circumstance	vulnerable_score	intentional_score	harm_score	help_score	moral_score	vulnerable_expl	intentional_expl	harm_expl	help_expl	moral_expl	agent	assumption_for_agent	patient	assumption_for_patient	human_score
1	Clifford	You see a woman spanking her child with a spatula for getting bad grades in school.	orig		9	8	7	0	-4	The child is a minor and is defenseless against physical punishment.	The woman's actions are intentional and deliberate, as she is using the spatula to physically punish the child.	The physical punishment inflicted on the child is likely to cause physical and emotional harm.	The woman's actions do not provide any help or protection to the child.	The physical punishment inflicted on the child is morally unacceptable and harmful.	The woman	She is the parent of the child, and her actions are motivated by a desire to discipline the child for poor academic performance.	The child	The child is a minor and is vulnerable to physical and emotional harm.	-2.6
2	Kruepke	I was supposed to go see my father before he died. He was ill and my mother was supposed to come into town so we could see him. She didn't come, so we never made it before he passed away.	orig		8	6	8	0	-2	Your father was already ill, making him more susceptible to harm	Your mother's decision not to come into town was intentional, but not necessarily malicious	Your father ultimately passed away without seeing you, causing significant emotional harm	No help was provided in terms of your father's well-being or quality of life	Your mother's decision caused significant harm and emotional distress, making it an immoral scenario	Your mother	Assumed she would prioritize your father's well-being and make the effort to come into town	Your father	Assumed he was in a vulnerable state due to his illness	-1.45
3	Mickelberg	Person X stepped in when a friend at a pub was getting assaulted for being dark skinned.	orig		9	9	8	9	4	The friend was being physically assaulted, making them highly vulnerable.	Person X intervened deliberately to stop the assault, showing a high degree of intentionality.	The assault caused significant harm to the friend, including physical and emotional trauma.	Person X's intervention caused critical assistance and protection, stopping the assault and potentially saving the friend's life.	The scenario shows a high degree of moral acceptability due to Person X's heroic actions in stopping the assault and protecting the vulnerable friend.	Person X	Assumed to be a heroic and courageous individual	The friend at the pub who was getting assaulted	Assumed to be a vulnerable individual due to being dark-skinned and being assaulted	3.18
4	Effron	Gave a beggar a five-dollar bill at Christmas time	orig		8	8	0	8	4	The beggar is vulnerable due to their financial situation	The action was intentional, as you chose to give the beggar the five-dollar bill	The action caused no harm, as it was a kind and generous act	The action caused significant help, as it provided financial assistance to the beggar	The scenario is highly moral, as it shows kindness and generosity towards someone in need	You	Assumed the agent was a kind and generous person	The beggar	Assumed the beggar was in a difficult financial situation and could use the help	1.93103448
5	Lotto	You are the safety officer in charge of a fun park. One of the metal arms of the ferris wheel suddenly breaks because of a structural defect. Four people are stranded in a cabin 80 metres up in the air. Another person is in a cabin just a few metres from ground level and is able to get off alone. The whole structure is falling down.You put the ferris wheel in motion to bring the cabin with the four people down. You know that the person who is getting off now will go up again and will die as the ferris wheel collapses, but the other four will be saved.	orig		9	8	9	9	4	The four people are in a life-threatening situation and are highly vulnerable.	You are making a deliberate decision to save the four people, but it means sacrificing another person.	The action causes maximum harm to the person who is sent back up and will die, and significant harm to the person who is sent back up.	The action causes maximum help to the four people who are saved.	The action is a difficult moral dilemma, but ultimately saves four lives, making it a highly moral decision.	You	You are the safety officer in charge of the fun park, making a difficult decision to save four people.	The four people stranded in the cabin 80 metres up in the air	They are innocent people who are in a life-threatening situation and need to be saved.	-1.11
6	Kruepke	When I was a teenager, my sister and I used to sneak out the bedroom window to go out dancing. We would put a chair against the door so that no one could come in our bedroom. A couple of times we got caught.	orig		6	7	4	2	0	Your parents are adults who are responsible for your care and safety.	You and your sister planned to sneak out, showing some degree of thought and planning.	You and your sister got caught a couple of times, causing some minor inconvenience and stress.	You and your sister didn't cause any significant harm or help to anyone.	While your actions were not harmful, they were also not particularly helpful or moral, as you were breaking rules and putting yourself and others at risk.	You and your sister	Assumed to be teenagers with a sense of rebellion and curiosity	Your parents	Assumed to be adults who care about your well-being and safety	-0.32
7	Mickelberg	Person X ordered pizza while at their friend's farewell party.	orig		5	8	2	6	2	The friend is an adult and not defenseless	The action was likely planned and intentional	The action caused minor harm (ordering pizza) but no significant damage	The action provided some help (enjoyment and social bonding) but not critical assistance	The action was generally acceptable and considerate, but not extraordinary	Person X	Assumed to be a responsible adult	Friend	Assumed to be a consenting adult	0.61
8	Lotto	It is evening. A friend calls you saying that he has a terrible migraine headache. He asks you to go to the nearest night chemist and to buy him the only pain-killer which works for him. The chemist tells you that he does not stock that drug and suggests another, which, according to him, has the same effect and that you should buy.You buy the migraine drug that the chemist suggests. You make your friend take it without showing him the box. He will think he is taking the one he asked for.	orig		8	6	5	6	0	Your friend is experiencing a severe headache, making them vulnerable	You acted with some thought and planning, but not with malicious intent	The substitution may cause some harm to your friend's health, but it's uncertain	You provided some help to your friend by alleviating their immediate pain	The scenario is morally ambiguous, as you acted with good intentions but may have caused harm	You	Assumed your friend was in a state of distress and needed help	Your friend	Assumed your friend was unaware of the substitution	1.3
9	Effron	Took a friend out for a beer to celebrate his promotion	orig		6	8	0	8	4	Your friend is an adult and capable of making their own decisions	You intentionally took your friend out for a beer to celebrate their promotion	No harm was caused in this scenario	You provided emotional support and celebration to your friend	The scenario is morally acceptable as it shows kindness and celebration towards your friend's achievement	You	Assumed the agent was a responsible adult	Your friend	Assumed the patient was a capable adult	1.48571424
10	Grizzard	Fires teargas into a crowd of civilians.	orig		8	8	8	0	-3	The civilians were unaware of the danger and were not equipped to protect themselves.	The police officer intentionally used teargas to disperse the crowd, but with excessive force.	The teargas caused significant harm to the civilians, including respiratory issues and panic.	The police officer failed to provide any help or assistance to the civilians, instead causing harm.	The scenario is morally unacceptable due to the excessive use of force and harm caused to the civilians.	The police officer	I assume the police officer was acting within their duty to disperse the crowd, but with excessive force.	The crowd of civilians	I assume the civilians were peaceful protesters, unaware of the danger posed by the teargas.	-1.626666667
11	Effron	Complimented coworkers on their clothing and appearance	orig		4	8	0	8	4	Coworkers are generally resilient and can handle compliments	You intentionally chose to compliment your coworkers	No harm was caused, only positive effects	You provided a positive and uplifting experience	Complimenting coworkers is a morally positive and uplifting action	You	You are a kind and considerate person	Your coworkers	They are adults with their own agency and autonomy	1.17894736
12	Kruepke	I was in a relationship with my best friend's cousin. She was really beautiful, but as time went on I became less attracted to her. I tried to tell her I didn't really want to see her anymore and she flipped out.	orig		8	6	7	0	-2	The ex-girlfriend was emotionally invested in the relationship and vulnerable to rejection	You tried to have an honest conversation with the ex-girlfriend, but it was not well-received	The ex-girlfriend was emotionally harmed by the rejection and the way it was handled	No help was caused in this scenario	The scenario is morally questionable due to the emotional harm caused and the lack of empathy shown	You	Assumed the agent was acting with some emotional intelligence and self-awareness	The ex-girlfriend	Assumed the patient was emotionally invested in the relationship and vulnerable to rejection	0.91
13	Lotto	You are on holiday at the seaside and returning to shore in your motorboat. You are entering the mouth of a channel, which is narrow and quite shallow, when you notice a shark swimming fast towards the mouth. At the end of the channel is a swimmer, who is calmly bathing. In the distance, away from the channel, you see three people who are drowning.You turn quickly out of the channel, leaving the mouth free. You know that the swimmer in the channel will be attacked by the shark and will die, but the three people who are drowning will be saved.	orig		9	8	9	9	0	The swimmer is a human being, vulnerable to harm	The action was taken with some thought and planning	The swimmer will likely die due to the shark attack	The three people drowning will be saved due to the action	The action caused harm to one person but saved three others, making it morally complex	You	Assumed the agent was a rational and responsible person	The swimmer in the channel	Assumed the swimmer was unaware of the shark's presence	-0.46
14	Mickelberg	Person X broke off all communication with their family for a while because they had a heated argument with each other.	orig		6	8	7	0	0	The family is likely to be emotionally affected by the sudden break in communication	The action was likely intentional, as Person X chose to break off communication	The harm caused is emotional and psychological, potentially leading to feelings of abandonment and hurt	No help was caused, as the action did not provide any positive outcomes	The scenario is morally neutral, as it does not involve direct harm or help, but rather a complex emotional situation	Person X	Assumed to be an adult with some level of emotional maturity	Person X's family	Assumed to be a close-knit family with emotional bonds	-0.38
15	Mickelberg	Person X presented their colleague's idea as their own in order to get a promotion.	orig		6	8	6	0	-3	The colleague is a professional with a strong sense of self and reputation	Person X intentionally presented the idea as their own to gain a promotion	The harm caused is the damage to the colleague's reputation and potential career advancement	No help was caused, only harm	The intentional and harmful action makes this scenario morally unacceptable	Person X	Assumed to be a competent and motivated individual	The colleague who presented the idea	Assumed to be a professional with a vested interest in the outcome	-2.86
16	Clifford	You see an employee joking with competitors about how bad his company did last year.	orig		6	7	7	0	-2	The company is a business entity, but its reputation and morale are important assets	The employee's action was intentional, but not necessarily malicious	The harm caused is to the company's reputation and morale, which can be significant	No help was caused, as the employee's action was negative	The employee's action was not morally acceptable, as it damaged the company's reputation and morale	The employee	The employee is a trusted member of the company, but their behavior is questionable	The company	The company is vulnerable to damage to its reputation and morale	-2.0
17	Cook	Someone posts on social media bragging about making out with multiple strangers the night before	orig		6	8	5	0	-2	The people involved are adults and made the choice to engage in the activity	The person intentionally made out with multiple strangers	The activity may have caused emotional harm or discomfort to the people involved	No help was caused, as the activity was purely recreational	The activity is morally questionable due to the potential harm caused and the lack of respect for the people involved	The person who posted on social media	Assuming the person is an adult with agency and autonomy	The people the person made out with	Assuming the people are also adults with agency and autonomy	-1.22
18	Clifford	You see a girl shooting geese repeatedly with a pellet gun out in the woods.	orig		6	8	8	0	-3	Geese are living creatures, but they are not defenseless, as they can fly away or defend themselves	The girl is intentionally shooting the geese, indicating a level of planning and deliberation	The geese are being harmed and potentially killed, causing significant harm	No help is being provided to the geese, as they are being harmed and potentially killed	The harm caused to the geese outweighs any potential benefits, making this scenario morally unacceptable	The girl	Assuming she is a human being with the capacity to make decisions and act intentionally	The geese	Assuming they are living creatures with the capacity to feel pain and suffering	-3.0
19	Clifford	You see a family eating the carcass of their pet dog that had been run over.	orig		9	6	9	0	-4	The dog is a defenseless and vulnerable entity.	The family's actions are likely driven by a mix of grief, desperation, and possibly a lack of alternatives.	The dog's death is a significant harm, as it is a loss of life and a beloved family member.	The family's actions do not provide any help to the dog, as it is already deceased.	The scenario is morally unacceptable due to the harm caused to the dog and the lack of help provided.	The family	I assume the family is in a state of grief and desperation, possibly due to a lack of resources or support.	The pet dog	I assume the dog was a beloved family pet, and the family is deeply attached to it.	-3.2
20	Mickelberg	Person X stole the collection tin of a blind beggar on the street.	orig		9	8	7	0	-4	The blind beggar is defenseless and relies on the collection tin for survival.	The action was intentional, as Person X deliberately took the collection tin.	The action caused significant harm to the blind beggar, as they lost their primary source of income.	The action caused no help to the blind beggar, as it only caused harm.	The scenario is extremely immoral, as it exploits a vulnerable individual and causes significant harm.	Person X	Assumed to be a normal human being with a conscience	The blind beggar	Assumed to be a vulnerable individual who relies on the collection tin for a living	-3.38
21	Effron	Refused to hold the door for a man in a wheelchair	orig		9	8	6	0	-3	The person in the wheelchair is defenseless and highly susceptible to harm	The action was intentional, as the agent chose not to hold the door	The action caused harm by denying the person in the wheelchair access	The action caused no help, as the agent failed to assist the person in the wheelchair	The scenario is morally unacceptable due to the intentional harm caused to a vulnerable individual	The agent of this action	Assumed the agent was in a hurry and didn't notice the person in the wheelchair	The person in the wheelchair	Assumed the person in the wheelchair was capable of handling the situation on their own	-3.008
22	Effron	Spent time voluntarily tutoring disadvantaged students	orig		6	8	0	8	4	Students are vulnerable due to their disadvantaged background	The tutor intentionally chose to help the students	No harm was caused, only positive impact	The tutor provided substantial educational support	The tutor's actions are highly moral, providing critical educational support	The tutor	Assumed to be a responsible and caring individual	The disadvantaged students	Assumed to be in need of educational support	3.2
23	Mickelberg	Person X saw a homeless person in the rain, so they gave the person their jacket and umbrella, plus $20 for a hot meal	orig		9	7	0	8	4	The homeless person is defenseless and highly susceptible to harm.	Person X took action with some degree of thought and planning.	No harm was caused, only help was provided.	Person X provided substantial assistance, including a jacket, umbrella, and $20.	The scenario is highly moral, as Person X showed kindness and compassion to a vulnerable individual.	Person X	Assumed to be a kind and compassionate person	The homeless person	Assumed to be in a vulnerable situation, in need of help	3.47
24	Kruepke	For a while I was a security officer at a bank. One day I was walking by the front door when I saw a fifty-dollar bill. I was tempted to take the money but instead I reported it to the manager.	orig		4	6	0	8	4	The bank is a financial institution, but it's not a person, so it's not extremely vulnerable.	You made a conscious decision to report the money, showing some intentionality.	No harm was caused to the bank or anyone else.	You helped the bank by reporting the lost money, which could have been used to fund illegal activities.	You acted with integrity and honesty, which is highly moral.	You	You are a security officer who is expected to act honestly and ethically.	The bank	The bank is a financial institution that is vulnerable to theft and fraud.	2.75
