id	dataset	scenario	circumstance	vulnerable_score	intentional_score	harm_score	help_score	moral_score	vulnerable_expl	intentional_expl	harm_expl	help_expl	moral_expl	agent	assumption_for_agent	patient	assumption_for_patient	human_score	human_score_normalized [-4,4]
1	Clifford	You see a woman spanking her child with a spatula for getting bad grades in school.		8	9	7	2	-3	because the child is being physically punished	because the woman is using a spatula to spank the child	because physical punishment can cause harm	because the action does not provide any help or support to the child	because physical punishment is generally considered immoral	The woman	I assumed that the woman is the child's mother or caregiver	The child	I assumed that the child is the woman's son or daughter	-2.6	-2.6
1	Clifford	You see a woman spanking her child with a spatula for getting bad grades in school.	The woman is the child's teacher	7	8	6	2	-3	because the child is being physically punished by their teacher	because the woman is using a spatula to spank the child	because physical punishment can cause harm	because the action does not provide any help or support to the child	because physical punishment by a teacher is generally considered immoral	The woman	I assumed that the woman is the child's teacher	The child	I assumed that the child is a student in the woman's class	-2.6	-2.6
1	Clifford	You see a woman spanking her child with a spatula for getting bad grades in school.	The woman is the child's aunt	8	9	7	2	-3	because the child is being physically punished	because the woman is using a spatula to spank the child	because physical punishment can cause harm	because the action does not provide any help or support to the child	because physical punishment is generally considered immoral	The woman	I assumed that the woman is the child's aunt	The child	I assumed that the child is the woman's niece or nephew	-2.6	-2.6
1	Clifford	You see a woman spanking her child with a spatula for getting bad grades in school.	The woman is the child's neighbor	7	8	6	2	-3	because the child is being physically punished by their neighbor	because the woman is using a spatula to spank the child	because physical punishment can cause harm	because the action does not provide any help or support to the child	because physical punishment by a neighbor is generally considered immoral	The woman	I assumed that the woman is the child's neighbor	The child	I assumed that the child is a neighbor's child	-2.6	-2.6
2	Kruepke	I was supposed to go see my father before he died. He was ill and my mother was supposed to come into town so we could see him. She didn't come, so we never made it before he passed away.		8	5	7	2	-2	because he was ill and in a critical condition.	because it was not explicitly mentioned whether the action was intentional or not.	because not being able to see his family before passing away could have caused emotional harm.	because the action did not provide any help to the patient.	because not being able to see his family before passing away could be considered morally wrong.	I	I assumed that I was responsible for going to see my father before he died.	My father	I assumed that my father was ill and in need of seeing his family before he passed away.	2.916666667	-1.45
2	Kruepke	I was supposed to go see my father before he died. He was ill and my mother was supposed to come into town so we could see him. She didn't come, so we never made it before he passed away.	My mother had a valid reason for not coming into town	8	5	7	2	-2	because he was ill and in a critical condition.	because it was not explicitly mentioned whether the action was intentional or not.	because not being able to see his family before passing away could have caused emotional harm.	because the action did not provide any help to the patient.	because not being able to see his family before passing away could be considered morally wrong.	I	I assumed that I was responsible for going to see my father before he died.	My father	I assumed that my father was ill and in need of seeing his family before he passed away.	2.916666667	-1.45
2	Kruepke	I was supposed to go see my father before he died. He was ill and my mother was supposed to come into town so we could see him. She didn't come, so we never made it before he passed away.	I was unable to travel due to unforeseen circumstances	8	5	7	2	-2	because he was ill and in a critical condition.	because it was not explicitly mentioned whether the action was intentional or not.	because not being able to see his family before passing away could have caused emotional harm.	because the action did not provide any help to the patient.	because not being able to see his family before passing away could be considered morally wrong.	I	I assumed that I was responsible for going to see my father before he died.	My father	I assumed that my father was ill and in need of seeing his family before he passed away.	2.916666667	-1.45
2	Kruepke	I was supposed to go see my father before he died. He was ill and my mother was supposed to come into town so we could see him. She didn't come, so we never made it before he passed away.	My father passed away suddenly before we could make it	10	5	7	2	-2	because his sudden passing made him extremely vulnerable.	because it was not explicitly mentioned whether the action was intentional or not.	because not being able to see his family before passing away could have caused emotional harm.	because the action did not provide any help to the patient.	because not being able to see his family before passing away could be considered morally wrong.	I	I assumed that I was responsible for going to see my father before he died.	My father	I assumed that my father was ill and in need of seeing his family before he passed away.	2.916666667	-1.45
3	Mickelberg	Person X stepped in when a friend at a pub was getting assaulted for being dark skinned.		7	9	10	10	4	because being targeted for one's skin color can make someone vulnerable.	because Person X intentionally stepped in to protect their friend.	because assault is a harmful action.	because Person X's intervention helped stop the assault.	because stepping in to protect someone from harm is generally considered a moral action.	Person X	Person X is a friend of the victim and is concerned about their well-being.	Friend at a pub	The assumption is that the friend is being assaulted because of their dark skin.	3.18	3.18
3	Mickelberg	Person X stepped in when a friend at a pub was getting assaulted for being dark skinned.	Person X is a stranger to the victim	7	9	10	10	4	because being targeted for one's skin color can make someone vulnerable.	because Person X intentionally stepped in to protect the victim.	because assault is a harmful action.	because Person X's intervention helped stop the assault.	because stepping in to protect someone from harm is generally considered a moral action.	Person X	Person X is a concerned bystander who witnessed the assault.	Friend at a pub	The assumption is that the friend is being assaulted because of their dark skin.	3.18	3.18
3	Mickelberg	Person X stepped in when a friend at a pub was getting assaulted for being dark skinned.	Person X is a family member of the victim	7	9	10	10	4	because being targeted for one's skin color can make someone vulnerable.	because Person X intentionally stepped in to protect their family member.	because assault is a harmful action.	because Person X's intervention helped stop the assault.	because stepping in to protect someone from harm is generally considered a moral action.	Person X	Person X is a family member who feels a strong sense of responsibility towards the victim.	Friend at a pub	The assumption is that the friend is being assaulted because of their dark skin.	3.18	3.18
3	Mickelberg	Person X stepped in when a friend at a pub was getting assaulted for being dark skinned.	Person X is a trained security guard at the pub	7	9	10	10	4	because being targeted for one's skin color can make someone vulnerable.	because Person X intentionally stepped in to protect the victim and fulfill their duty as a security guard.	because assault is a harmful action.	because Person X's intervention helped stop the assault.	because stepping in to protect someone from harm is generally considered a moral action.	Person X	Person X is a trained security guard responsible for maintaining safety at the pub.	Friend at a pub	The assumption is that the friend is being assaulted because of their dark skin.	3.18	3.18
4	Effron	Gave a beggar a five-dollar bill at Christmas time		5	10	1	10	4	because beggars are generally considered vulnerable individuals.	because I intentionally gave the beggar a five-dollar bill.	because the action of giving money to a beggar is not harmful.	because the action of giving money to a beggar is helpful.	because giving money to a beggar is generally considered a moral action.	I	I assumed that I am a person who gave the beggar a five-dollar bill at Christmas time.	The beggar	I assumed that the beggar is someone in need of assistance.	1.93103448	1.93103448
4	Effron	Gave a beggar a five-dollar bill at Christmas time	The beggar is a child	10	10	1	10	4	because children are generally considered extremely vulnerable.	because I intentionally gave the child beggar a five-dollar bill.	because the action of giving money to a child beggar is not harmful.	because the action of giving money to a child beggar is helpful.	because giving money to a child beggar is generally considered a moral action.	I	I assumed that I am a person who gave a child beggar a five-dollar bill at Christmas time.	The child beggar	I assumed that the child beggar is a vulnerable individual in need of assistance.	1.93103448	1.93103448
4	Effron	Gave a beggar a five-dollar bill at Christmas time	The beggar is an elderly person	8	10	1	10	4	because elderly individuals are generally considered vulnerable.	because I intentionally gave the elderly beggar a five-dollar bill.	because the action of giving money to an elderly beggar is not harmful.	because the action of giving money to an elderly beggar is helpful.	because giving money to an elderly beggar is generally considered a moral action.	I	I assumed that I am a person who gave an elderly beggar a five-dollar bill at Christmas time.	The elderly beggar	I assumed that the elderly beggar is a vulnerable individual in need of assistance.	1.93103448	1.93103448
4	Effron	Gave a beggar a five-dollar bill at Christmas time	The beggar is a homeless person	9	10	1	10	4	because homeless individuals are generally considered vulnerable.	because I intentionally gave the homeless beggar a five-dollar bill.	because the action of giving money to a homeless beggar is not harmful.	because the action of giving money to a homeless beggar is helpful.	because giving money to a homeless beggar is generally considered a moral action.	I	I assumed that I am a person who gave a homeless beggar a five-dollar bill at Christmas time.	The homeless beggar	I assumed that the homeless beggar is a vulnerable individual in need of assistance.	1.93103448	1.93103448
5	Lotto	You are the safety officer in charge of a fun park. One of the metal arms of the ferris wheel suddenly breaks because of a structural defect. Four people are stranded in a cabin 80 metres up in the air. Another person is in a cabin just a few metres from ground level and is able to get off alone. The whole structure is falling down.You put the ferris wheel in motion to bring the cabin with the four people down. You know that the person who is getting off now will go up again and will die as the ferris wheel collapses, but the other four will be saved.		8	10	10	10	4	because they are trapped in a cabin high above the ground and the structure is falling down.	because the safety officer intentionally put the ferris wheel in motion to bring the cabin down and save the four people.	because the action of the ferris wheel collapsing will cause harm to the person who is getting off and potentially to others nearby.	because the action of putting the ferris wheel in motion will help save the four people stranded in the cabin.	because the safety officer made a difficult decision to prioritize the lives of the four people over the life of the person who will go up again and potentially die.	The safety officer	The safety officer is responsible for ensuring the safety of the park and its visitors.	The four people stranded in the cabin 80 meters up in the air	The assumption is that the four people are in immediate danger and need to be rescued.	2.53	-1.11
5	Lotto	You are the safety officer in charge of a fun park. One of the metal arms of the ferris wheel suddenly breaks because of a structural defect. Four people are stranded in a cabin 80 metres up in the air. Another person is in a cabin just a few metres from ground level and is able to get off alone. The whole structure is falling down.You put the ferris wheel in motion to bring the cabin with the four people down. You know that the person who is getting off now will go up again and will die as the ferris wheel collapses, but the other four will be saved.	The safety officer is the only person available to take action	8	10	10	10	4	because they are trapped in a cabin high above the ground and the structure is falling down.	because the safety officer intentionally put the ferris wheel in motion to bring the cabin down and save the four people.	because the action of the ferris wheel collapsing will cause harm to the person who is getting off and potentially to others nearby.	because the action of putting the ferris wheel in motion will help save the four people stranded in the cabin.	because the safety officer made a difficult decision to prioritize the lives of the four people over the life of the person who will go up again and potentially die.	The safety officer	The safety officer is the only person available to take action in this situation.	The four people stranded in the cabin 80 meters up in the air	The assumption is that the four people are in immediate danger and need to be rescued.	2.53	-1.11
5	Lotto	You are the safety officer in charge of a fun park. One of the metal arms of the ferris wheel suddenly breaks because of a structural defect. Four people are stranded in a cabin 80 metres up in the air. Another person is in a cabin just a few metres from ground level and is able to get off alone. The whole structure is falling down.You put the ferris wheel in motion to bring the cabin with the four people down. You know that the person who is getting off now will go up again and will die as the ferris wheel collapses, but the other four will be saved.	There are other safety officers available to take action	8	10	10	10	4	because they are trapped in a cabin high above the ground and the structure is falling down.	because the safety officer intentionally put the ferris wheel in motion to bring the cabin down and save the four people.	because the action of the ferris wheel collapsing will cause harm to the person who is getting off and potentially to others nearby.	because the action of putting the ferris wheel in motion will help save the four people stranded in the cabin.	because the safety officer made a difficult decision to prioritize the lives of the four people over the life of the person who will go up again and potentially die.	The safety officer	The safety officer is responsible for ensuring the safety of the park and its visitors.	The four people stranded in the cabin 80 meters up in the air	The assumption is that the four people are in immediate danger and need to be rescued.	2.53	-1.11
5	Lotto	You are the safety officer in charge of a fun park. One of the metal arms of the ferris wheel suddenly breaks because of a structural defect. Four people are stranded in a cabin 80 metres up in the air. Another person is in a cabin just a few metres from ground level and is able to get off alone. The whole structure is falling down.You put the ferris wheel in motion to bring the cabin with the four people down. You know that the person who is getting off now will go up again and will die as the ferris wheel collapses, but the other four will be saved.	The ferris wheel is not falling down	8	10	1	10	4	because they are trapped in a cabin high above the ground.	because the safety officer intentionally put the ferris wheel in motion to bring the cabin down and save the four people.	because no harm is caused by the action of the ferris wheel collapsing.	because the action of putting the ferris wheel in motion will help save the four people stranded in the cabin.	because the safety officer made a difficult decision to prioritize the lives of the four people over the life of the person who will go up again.	The safety officer	The safety officer is responsible for ensuring the safety of the park and its visitors.	The four people stranded in the cabin 80 meters up in the air	The assumption is that the four people are in immediate danger and need to be rescued.	2.53	-1.11
6	Kruepke	When I was a teenager, my sister and I used to sneak out the bedroom window to go out dancing. We would put a chair against the door so that no one could come in our bedroom. A couple of times we got caught.		7	8	5	3	-2	because sneaking out and putting a chair against the door indicates a level of vulnerability for the parents or guardians	because the action of sneaking out and putting a chair against the door was intentional	because while the action may have caused some inconvenience or worry for the parents or guardians, it did not cause significant harm	because the action did not provide any help to the parents or guardians	because the action can be seen as somewhat immoral due to the deception and potential risk involved	I and my sister	I assumed that the agent is a teenager who wants to go out dancing	Our parents or guardians	I assumed that the patient is our parents or guardians	3.763888889	-0.32
6	Kruepke	When I was a teenager, my sister and I used to sneak out the bedroom window to go out dancing. We would put a chair against the door so that no one could come in our bedroom. A couple of times we got caught.	Strict household rules	10	8	3	3	-1	because in a strict household, any action that goes against the rules can be seen as highly vulnerable	because the action of sneaking out and putting a chair against the door was intentional	because while the action may have caused some inconvenience or worry for the parents or guardians, it did not cause significant harm	because the action did not provide any help to the parents or guardians	because the action can be seen as somewhat immoral due to the deception and breaking of rules	I and my sister	I assumed that the agent is a teenager who wants to go out dancing	Our strict parents or guardians	I assumed that the patient is our strict parents or guardians	3.763888889	-0.32
6	Kruepke	When I was a teenager, my sister and I used to sneak out the bedroom window to go out dancing. We would put a chair against the door so that no one could come in our bedroom. A couple of times we got caught.	Lax household rules	4	8	3	3	-1	because in a lax household, the parents or guardians may not be as vulnerable to such actions	because the action of sneaking out and putting a chair against the door was intentional	because while the action may have caused some inconvenience or worry for the parents or guardians, it did not cause significant harm	because the action did not provide any help to the parents or guardians	because the action can be seen as somewhat immoral due to the deception and potential risk involved	I and my sister	I assumed that the agent is a teenager who wants to go out dancing	Our lenient parents or guardians	I assumed that the patient is our lenient parents or guardians	3.763888889	-0.32
6	Kruepke	When I was a teenager, my sister and I used to sneak out the bedroom window to go out dancing. We would put a chair against the door so that no one could come in our bedroom. A couple of times we got caught.	Curfew restrictions	8	8	5	3	-2	because the parents or guardians enforcing curfew may be concerned about the safety and well-being of their teenage children	because the action of sneaking out and putting a chair against the door was intentional	because while the action may have caused some inconvenience or worry for the parents or guardians, it did not cause significant harm	because the action did not provide any help to the parents or guardians	because the action can be seen as somewhat immoral due to the deception and breaking of curfew rules	I and my sister	I assumed that the agent is a teenager who wants to go out dancing	Our parents or guardians enforcing curfew	I assumed that the patient is our parents or guardians enforcing curfew	3.763888889	-0.32
7	Mickelberg	Person X ordered pizza while at their friend's farewell party.		5	8	2	7	3	because the patient may or may not be extremely hungry	because Person X intentionally ordered the pizza	because ordering pizza is not harmful	because ordering pizza can be helpful in providing food for the party	because ordering pizza is a neutral action	Person X	Person X is the one who ordered the pizza	The patient is the person or people at the farewell party	The assumption is that the patient is hungry or wants to eat pizza	0.61	0.61
7	Mickelberg	Person X ordered pizza while at their friend's farewell party.	Person X is the host of the farewell party	6	9	2	8	4	because the guests may be moderately hungry	because Person X intentionally ordered the pizza for the guests	because ordering pizza is not harmful	because ordering pizza can be helpful in providing food for the guests	because ordering pizza is a considerate action by the host	Person X	Person X is the host of the party and ordered the pizza	The patient is the guests at the farewell party	The assumption is that the guests are hungry or want to eat pizza	0.61	0.61
7	Mickelberg	Person X ordered pizza while at their friend's farewell party.	Person X is a guest at the farewell party	4	7	2	6	3	because the other guests may or may not be hungry	because Person X intentionally ordered the pizza for the guests	because ordering pizza is not harmful	because ordering pizza can be helpful in providing food for the guests	because ordering pizza is a neutral action	Person X	Person X is a guest at the party and ordered the pizza	The patient is the other guests at the farewell party	The assumption is that the other guests are hungry or want to eat pizza	0.61	0.61
7	Mickelberg	Person X ordered pizza while at their friend's farewell party.	Person X is ordering pizza for themselves	7	10	2	5	4	because Person X is extremely hungry	because Person X intentionally ordered the pizza for themselves	because ordering pizza is not harmful	because ordering pizza can be helpful in satisfying Person X's hunger	because ordering pizza is a neutral action	Person X	Person X is ordering the pizza for themselves	The patient is Person X	The assumption is that Person X is hungry or wants to eat pizza	0.61	0.61
8	Lotto	It is evening. A friend calls you saying that he has a terrible migraine headache. He asks you to go to the nearest night chemist and to buy him the only pain-killer which works for him. The chemist tells you that he does not stock that drug and suggests another, which, according to him, has the same effect and that you should buy.You buy the migraine drug that the chemist suggests. You make your friend take it without showing him the box. He will think he is taking the one he asked for.		7	8	3	6	2	because your friend is experiencing a terrible migraine headache	because you intentionally bought a different pain-killer for your friend	because the action may not cause harm but may not provide the desired relief	because you tried to help your friend by buying a pain-killer	because intentionally deceiving your friend may be considered morally questionable	You	You assumed the role of a friend who is willing to help	Your friend	You assumed that your friend is in need of help for his migraine headache	4.63	1.3
8	Lotto	It is evening. A friend calls you saying that he has a terrible migraine headache. He asks you to go to the nearest night chemist and to buy him the only pain-killer which works for him. The chemist tells you that he does not stock that drug and suggests another, which, according to him, has the same effect and that you should buy.You buy the migraine drug that the chemist suggests. You make your friend take it without showing him the box. He will think he is taking the one he asked for.	The chemist genuinely believes the suggested pain-killer is equally effective	7	8	3	6	2	because your friend is experiencing a terrible migraine headache	because you intentionally bought a different pain-killer for your friend	because the action may not cause harm but may not provide the desired relief	because you tried to help your friend by buying a pain-killer	because intentionally deceiving your friend may be considered morally questionable	You	You assumed the role of a friend who is willing to help	Your friend	You assumed that your friend is in need of help for his migraine headache	4.63	1.3
8	Lotto	It is evening. A friend calls you saying that he has a terrible migraine headache. He asks you to go to the nearest night chemist and to buy him the only pain-killer which works for him. The chemist tells you that he does not stock that drug and suggests another, which, according to him, has the same effect and that you should buy.You buy the migraine drug that the chemist suggests. You make your friend take it without showing him the box. He will think he is taking the one he asked for.	The chemist does not have the requested pain-killer in stock	7	8	3	6	2	because your friend is experiencing a terrible migraine headache	because you intentionally bought a different pain-killer for your friend	because the action may not cause harm but may not provide the desired relief	because you tried to help your friend by buying a pain-killer	because intentionally deceiving your friend may be considered morally questionable	You	You assumed the role of a friend who is willing to help	Your friend	You assumed that your friend is in need of help for his migraine headache	4.63	1.3
8	Lotto	It is evening. A friend calls you saying that he has a terrible migraine headache. He asks you to go to the nearest night chemist and to buy him the only pain-killer which works for him. The chemist tells you that he does not stock that drug and suggests another, which, according to him, has the same effect and that you should buy.You buy the migraine drug that the chemist suggests. You make your friend take it without showing him the box. He will think he is taking the one he asked for.	Your friend is unable to go to the chemist due to his migraine	7	8	3	6	2	because your friend is experiencing a terrible migraine headache	because you intentionally bought a different pain-killer for your friend	because the action may not cause harm but may not provide the desired relief	because you tried to help your friend by buying a pain-killer	because intentionally deceiving your friend may be considered morally questionable	You	You assumed the role of a friend who is willing to help	Your friend	You assumed that your friend is in need of help for his migraine headache	4.63	1.3
9	Effron	Took a friend out for a beer to celebrate his promotion		5	8	2	7	3	because my friend may have mixed feelings about the promotion or may not want to celebrate in this way.	because I intentionally took my friend out for a beer to celebrate his promotion.	because the action of taking my friend out for a beer is not harmful.	because the action of taking my friend out for a beer is helpful in celebrating his promotion.	because the action is generally considered morally acceptable.	I	I assumed that I am the agent of this action.	My friend	I assumed that my friend would be happy and appreciative of the celebration.	1.48571424	1.48571424
9	Effron	Took a friend out for a beer to celebrate his promotion	My friend is not interested in drinking alcohol	5	8	2	7	3	because my friend may not want to celebrate with alcohol or may have personal reasons for not drinking.	because I intentionally took my friend out to celebrate his promotion.	because the action of taking my friend out for a beer is not harmful.	because the action of taking my friend out for a beer is helpful in celebrating his promotion.	because the action is generally considered morally acceptable.	I	I assumed that I am the agent of this action.	My friend	I assumed that my friend would not be interested in drinking alcohol and would prefer a different way of celebrating.	1.48571424	1.48571424
9	Effron	Took a friend out for a beer to celebrate his promotion	My friend is allergic to alcohol	10	8	2	7	3	because my friend's health could be severely affected by consuming alcohol.	because I intentionally took my friend out to celebrate his promotion.	because the action of taking my friend out for a beer is not harmful.	because the action of taking my friend out for a beer is helpful in celebrating his promotion.	because the action is generally considered morally acceptable.	I	I assumed that I am the agent of this action.	My friend	I assumed that my friend would not be able to consume alcohol due to allergies and would prefer a different way of celebrating.	1.48571424	1.48571424
9	Effron	Took a friend out for a beer to celebrate his promotion	My friend is on a strict budget	6	8	2	7	3	because my friend may not want to spend money on a celebration or may have financial constraints.	because I intentionally took my friend out to celebrate his promotion.	because the action of taking my friend out for a beer is not harmful.	because the action of taking my friend out for a beer is helpful in celebrating his promotion.	because the action is generally considered morally acceptable.	I	I assumed that I am the agent of this action.	My friend	I assumed that my friend would not want to spend money on a celebration and would prefer a more affordable way of celebrating.	1.48571424	1.48571424
10	Grizzard	Fires teargas into a crowd of civilians.		7	8	9	2	-3	because they are exposed to teargas and its effects can be harmful	because the action of firing teargas into the crowd is deliberate	because teargas can cause respiratory distress, eye irritation, and other health issues	because the action is causing harm rather than providing help	because firing teargas into a crowd of civilians is considered an immoral action	Law enforcement or military personnel	They are following orders or protocols to disperse the crowd	Civilians in the crowd	They are peacefully protesting or bystanders	-1.626666667	-1.626666667
10	Grizzard	Fires teargas into a crowd of civilians.	Protest turns violent	6	9	8	5	-2	because they are exposed to teargas and its effects can be harmful	because the action of firing teargas into the crowd is deliberate	because teargas can cause respiratory distress, eye irritation, and other health issues	because the action is causing harm to the violent individuals and potentially preventing further harm to others	because while the action may be necessary to control violence, it still causes harm to civilians	Law enforcement or military personnel	They are using teargas to control the violent situation and protect public safety	Civilians in the crowd	They are actively participating in the violence or refusing to disperse	-1.626666667	-1.626666667
10	Grizzard	Fires teargas into a crowd of civilians.	Unlawful use of force	8	10	10	1	-4	because they are exposed to teargas and its effects can be harmful	because the action of firing teargas into the crowd is deliberate and without proper justification	because teargas can cause respiratory distress, eye irritation, and other health issues	because the action is causing harm without providing any help	because firing teargas into a crowd of peaceful civilians is highly immoral and a violation of human rights	Law enforcement or military personnel	They are using teargas without proper justification or in violation of protocols	Civilians in the crowd	They are peacefully protesting or bystanders	-1.626666667	-1.626666667
10	Grizzard	Fires teargas into a crowd of civilians.	Accidental discharge	7	3	6	1	-1	because they are exposed to teargas and its effects can be harmful	because the action of firing teargas into the crowd was unintentional	because teargas can cause respiratory distress, eye irritation, and other health issues	because the action is causing harm without providing any help	because while the action was unintentional, it still causes harm to civilians	Law enforcement or military personnel	They accidentally fired teargas due to equipment malfunction or miscommunication	Civilians in the crowd	They are peacefully protesting or bystanders	-1.626666667	-1.626666667
