id	dataset	scenario	circumstance_type	circumstance	vulnerable_score	intentional_score	harm_score	help_score	moral_score	vulnerable_expl	intentional_expl	harm_expl	help_expl	moral_expl	agent	assumption_for_agent	patient	assumption_for_patient	human_score
1	Clifford	You see a woman spanking her child with a spatula for getting bad grades in school.	orig	The mother is frustrated and stressed about her child's poor academic performance.	9.0	5.0	6.0	0.0	-3.0	Child is defenseless and susceptible to harm.	Mother acted impulsively, without fully thinking through the consequences.	Physical punishment can cause emotional distress and harm.	No help or support is provided to the child.	The scenario is morally unacceptable due to the harm caused to the child.	The mother	She is a caring but overwhelmed parent who wants the best for her child.	The child	The child is innocent and vulnerable, and may not fully understand the consequences of their actions.	-2.6
2	Kruepke	I was supposed to go see my father before he died. He was ill and my mother was supposed to come into town so we could see him. She didn't come, so we never made it before he passed away.	orig	Parental neglect or irresponsibility	8.0	6.0	9.0	0.0	-3.0	Father was ill and vulnerable due to his condition	Mother's action was intentional, but possibly not malicious	Father's death was a significant harm caused by mother's absence	No help was provided by mother in this situation	Mother's intentional absence led to significant harm and no help, making it immoral	Mother	She would come into town as planned	Father	He was ill and needed to see his family	-1.45
3	Mickelberg	Person X stepped in when a friend at a pub was getting assaulted for being dark skinned.	orig	Racism and xenophobia in a pub	9.0	7.0	6.0	9.0	4.0	Defenseless against assault, highly susceptible to harm	Acted with some degree of thought and planning to intervene	Assault caused significant harm, but not total destruction	Provided critical assistance in a life-threatening situation	Morally acceptable due to protection of vulnerable individual from harm	Person X	Assumed to be a brave and empathetic individual	The dark-skinned friend	Assumed to be vulnerable and in need of protection	3.18
4	Effron	Gave a beggar a five-dollar bill at Christmas time	orig	A person is feeling charitable during the holiday season	8.0	6.0	0.0	6.0	3.0	Beggars are often vulnerable due to their circumstances	The action was intentional, but not extensively planned	No harm was caused in this scenario	The five-dollar bill provided some financial assistance	The action was morally acceptable due to the help provided	The person giving the five-dollar bill	They are kind and generous	The beggar	They are in need of financial assistance	1.93103448
5	Lotto	You are the safety officer in charge of a fun park. One of the metal arms of the ferris wheel suddenly breaks because of a structural defect. Four people are stranded in a cabin 80 metres up in the air. Another person is in a cabin just a few metres from ground level and is able to get off alone. The whole structure is falling down.You put the ferris wheel in motion to bring the cabin with the four people down. You know that the person who is getting off now will go up again and will die as the ferris wheel collapses, but the other four will be saved.	orig	Emergency situation in a fun park	9.0	7.0	3.0	9.0	3.0	The four people stranded are highly vulnerable due to their situation	The action is intentional to save lives, but with limited time for deliberation	One person will die, but the harm is minimized by saving four lives	The action saves four lives, which is a significant help	The moral acceptability is high due to the intention to save lives in an emergency	The safety officer	The safety officer is trained to make quick decisions in emergency situations	The five people on the ferris wheel	The people are innocent and unaware of the structural defect	-1.11
6	Kruepke	When I was a teenager, my sister and I used to sneak out the bedroom window to go out dancing. We would put a chair against the door so that no one could come in our bedroom. A couple of times we got caught.	orig	Teenagers sneaking out to go dancing	7.0	7.0	3.0	2.0	-2.0	Teenagers are vulnerable to parental authority	Sneaking out was a deliberate act with some planning	Getting caught could lead to punishment, but no physical harm	No help was provided to the parents, but no harm either	Sneaking out was a mildly immoral act, but no severe harm	The sisters	They were rebellious and wanted to have fun	Their parents	They were unaware of their daughters' actions	-0.32
7	Mickelberg	Person X ordered pizza while at their friend's farewell party.	orig	Person X ordered pizza for themselves and their friends at the farewell party.	6.0	7.0	0.0	6.0	0.0	Friends are typical adults with average resilience.	Ordering pizza is a deliberate action with some planning.	No harm is caused by ordering pizza.	Ordering pizza provides sustenance and satisfaction to the friends.	The action is morally neutral, as it is a normal social activity.	Person X	Assuming Person X is a responsible adult who can make decisions for themselves.	The friends at the party	Assuming the friends are also adults who can make their own decisions.	0.61
8	Lotto	It is evening. A friend calls you saying that he has a terrible migraine headache. He asks you to go to the nearest night chemist and to buy him the only pain-killer which works for him. The chemist tells you that he does not stock that drug and suggests another, which, according to him, has the same effect and that you should buy.You buy the migraine drug that the chemist suggests. You make your friend take it without showing him the box. He will think he is taking the one he asked for.	orig	A friend in need of urgent medical attention	8.0	7.0	5.0	8.0	2.0	Friend is in pain and needs help, making them vulnerable	You intentionally bought a substitute drug, showing some planning	Potential harm from taking unknown medication, but not severe	Trying to alleviate friend's pain, providing significant help	Balancing potential harm and significant help, leaning towards moral acceptability	You	You are trying to help your friend	Your friend	Your friend is in a vulnerable state due to the migraine	1.3
9	Effron	Took a friend out for a beer to celebrate his promotion	orig	Celebrating a friend's achievement	6.0	7.0	0.0	8.0	3.0	Typical adult, not particularly vulnerable	Planned and intentional, but not overly elaborate	No harm caused, only positive celebration	Providing a celebratory experience and social support	Morally acceptable, showing kindness and friendship	The person taking their friend out for a beer	Assuming the agent is a supportive and caring friend	The friend who got promoted	Assuming the patient is happy and deserving of celebration	1.48571424
10	Grizzard	Fires teargas into a crowd of civilians.	orig	A government or law enforcement agency is trying to disperse a protest or demonstration	8.0	7.0	7.0	0.0	-3.0	Civilians are vulnerable to harm from teargas	The action is intentional, but possibly not fully thought through	Teargas can cause significant harm and discomfort	No help is being provided to the civilians	The scenario is immoral due to the harm caused to vulnerable civilians	A police officer or a government agent	That they are following orders or trying to maintain control	The civilians in the crowd	That they are unarmed and exercising their right to protest	-1.626666667
