id	dataset	scenario	circumstance_type	circumstance	moral_score	moral_expl	all_moral_scores	human_score
1	Clifford	You see a woman spanking her child with a spatula for getting bad grades in school.	orig		-2.75	Physical punishment for academic performance is considered harmful and inappropriate.	[-2.75]	-2.6
2	Kruepke	I was supposed to go see my father before he died. He was ill and my mother was supposed to come into town so we could see him. She didn't come, so we never made it before he passed away.	orig		0.75	Not being able to see a dying loved one due to circumstances beyond control is a common human experience.	[0.75]	-1.45
3	Mickelberg	Person X stepped in when a friend at a pub was getting assaulted for being dark skinned.	orig		3.75	Intervening to protect a friend from assault is a morally commendable act of courage and solidarity.	[3.75]	3.18
4	Effron	Gave a beggar a five-dollar bill at Christmas time	orig		3.5	Giving to those in need is a kind and generous act, especially during a time of giving like Christmas.	[3.5]	1.93103448
5	Lotto	You are the safety officer in charge of a fun park. One of the metal arms of the ferris wheel suddenly breaks because of a structural defect. Four people are stranded in a cabin 80 metres up in the air. Another person is in a cabin just a few metres from ground level and is able to get off alone. The whole structure is falling down.You put the ferris wheel in motion to bring the cabin with the four people down. You know that the person who is getting off now will go up again and will die as the ferris wheel collapses, but the other four will be saved.	orig		-0.64	Similar to the trolley problem, sacrificing one to save many raises ethical dilemmas.	[-0.64]	-1.11
6	Kruepke	When I was a teenager, my sister and I used to sneak out the bedroom window to go out dancing. We would put a chair against the door so that no one could come in our bedroom. A couple of times we got caught.	orig		-0.5	Teenage rebellion and disobedience to rules, but no significant harm caused.	[-0.5]	-0.32
7	Mickelberg	Person X ordered pizza while at their friend's farewell party.	orig		-1.5	Ordering food for oneself at a party without considering others' preferences or contributions may be seen as selfish.	[-1.5]	0.61
8	Lotto	It is evening. A friend calls you saying that he has a terrible migraine headache. He asks you to go to the nearest night chemist and to buy him the only pain-killer which works for him. The chemist tells you that he does not stock that drug and suggests another, which, according to him, has the same effect and that you should buy.You buy the migraine drug that the chemist suggests. You make your friend take it without showing him the box. He will think he is taking the one he asked for.	orig		-2.78	Deceiving a friend about their medication can have serious consequences and violates trust.	[-2.78]	1.3
9	Effron	Took a friend out for a beer to celebrate his promotion	orig		2.75	Celebrating a friend's success and showing support is a positive and kind gesture.	[2.75]	1.48571424
10	Grizzard	Fires teargas into a crowd of civilians.	orig		-3.45	Using tear gas on civilians can cause harm and violate human rights, especially if used indiscriminately.	[-3.45]	-1.626666667
11	Effron	Complimented coworkers on their clothing and appearance	orig		2.75	Offering compliments can boost morale and create a positive work environment.	[2.75]	1.17894736
12	Kruepke	I was in a relationship with my best friend's cousin. She was really beautiful, but as time went on I became less attracted to her. I tried to tell her I didn't really want to see her anymore and she flipped out.	orig		0.5	Breaking up with someone is a difficult situation, but honesty and respect are important in relationships.	[0.5]	0.91
13	Lotto	You are on holiday at the seaside and returning to shore in your motorboat. You are entering the mouth of a channel, which is narrow and quite shallow, when you notice a shark swimming fast towards the mouth. At the end of the channel is a swimmer, who is calmly bathing. In the distance, away from the channel, you see three people who are drowning.You turn quickly out of the channel, leaving the mouth free. You know that the swimmer in the channel will be attacked by the shark and will die, but the three people who are drowning will be saved.	orig		0.14	Choosing to save three lives over one is a difficult moral decision, weighing the value of each individual's life.	[0.14]	-0.46
14	Mickelberg	Person X broke off all communication with their family for a while because they had a heated argument with each other.	orig		-0.38	Temporary communication break seen as understandable but not ideal for resolving family conflicts.	[-0.38]	-0.38
15	Mickelberg	Person X presented their colleague's idea as their own in order to get a promotion.	orig		-2.86	Stealing credit undermines trust, fairness, and integrity, harming workplace relationships and ethical standards.	[-2.86]	-2.86
16	Clifford	You see an employee joking with competitors about how bad his company did last year.	orig		-2.78	Betraying company loyalty and sharing sensitive information with competitors is unethical and harmful.	[-2.78]	-2.0
17	Cook	Someone posts on social media bragging about making out with multiple strangers the night before	orig		-2.78	Publicly boasting about intimate encounters lacks respect for privacy and decency, potentially harming reputation and relationships.	[-2.78]	-1.22
18	Clifford	You see a girl shooting geese repeatedly with a pellet gun out in the woods.	orig		-3.0	Harming animals for no reason is considered cruel and unethical by most people.	[-3.0]	-3.0
19	Clifford	You see a family eating the carcass of their pet dog that had been run over.	orig		-2.8	Eating a pet dog is culturally taboo and morally distressing for many people.	[-2.8]	-3.2
20	Mickelberg	Person X stole the collection tin of a blind beggar on the street.	orig		-3.95	Stealing from a vulnerable person is a despicable act that shows a lack of empathy and morality.	[-3.95]	-3.38
21	Effron	Refused to hold the door for a man in a wheelchair	orig		-2.78	Refusing a simple act of kindness and accessibility shows lack of empathy and consideration for others' needs.	[-2.78]	-3.008
22	Effron	Spent time voluntarily tutoring disadvantaged students	orig		3.75	Voluntarily helping disadvantaged students shows compassion, empathy, and a desire to make a positive impact.	[3.75]	3.2
23	Mickelberg	Person X saw a homeless person in the rain, so they gave the person their jacket and umbrella, plus $20 for a hot meal	orig		3.85	Showing compassion and generosity towards a person in need, going above and beyond to help.	[3.85]	3.47
24	Kruepke	For a while I was a security officer at a bank. One day I was walking by the front door when I saw a fifty-dollar bill. I was tempted to take the money but instead I reported it to the manager.	orig		3.29	Resisting temptation and choosing honesty over personal gain demonstrates integrity and ethical behavior.	[3.29]	2.75
25	Effron	Heckled a woman speaking on human rights	orig		-2.75	Disrupting someone's speech on important issues shows lack of respect and undermines the value of free expression.	[-2.75]	-2.25454544
26	Effron	Criticized an old woman for being too slow	orig		-2.78	Criticizing someone for their physical limitations is disrespectful and lacks empathy.	[-2.78]	-1.96129032
27	Mickelberg	Person X took public transport so their sister could use their car to get to work safely.	orig		3.45	Sacrificing personal convenience for the safety and well-being of a family member is a morally commendable act.	[3.45]	2.58
28	Kruepke	I had a bad relationship with my father and had not talked to him for years. He had left my mother. When my mother died I gathered the strength to call him and tell him that she died and that I loved him.	orig		3.45	Reaching out to estranged family member in time of loss shows compassion and forgiveness.	[3.45]	2.33
29	Kruepke	My husband ran a business and I worked in his shop. Once a rather unsavory character came in and handed my husband something. So, I looked through my husband's wallet to see what the man gave him.	orig		-2.5	Invasion of privacy without clear justification or necessity.	[-2.5]	-1.14
30	Lotto	You are the head of a group of five travellers who are exploring the remote regions of South America. During the trip, you inadvertently camp in the sacred cemetery of a local tribe. The members of the tribe capture you and condemn you all to death. After some negotiation, they propose a possible alternative in the form of a human sacrifice that will pacify their god who has been offended.You accept the tribe’s proposal, and during the ceremony, you kill one of the travellers in the group. This person will die, but you and the other four travellers’ lives will be spared.	orig		-1.75	Sacrificing one life to save four is a difficult ethical dilemma, involving cultural differences and the value of human life.	[-1.75]	-1.24
31	Effron	Rescued an injured kitten from a tree	orig		3.45	Showing compassion and helping a vulnerable animal is generally seen as a morally positive act.	[3.45]	2.7428572
32	Kruepke	About a year ago I started re-selling medications from a Canadian pharmacy. I helped a great deal of elderly people so that they didn't have to pay exorbitant amounts for their medications that they needed.	orig		0.57	Helping elderly access affordable meds is good, but legality and safety concerns lower moral acceptability.	[0.57]	0.57
33	Kruepke	I was at the pharmacy buying something and I noticed a man who was sitting outside selling trinkets. He was homeless and it was freezing out. So I went next door to a store and bought him some food and new clothes.	orig		3.75	Showing compassion and helping someone in need, especially in harsh conditions, is a morally commendable act.	[3.75]	2.62
34	Kruepke	My husband had a problem with always wanting new computer equipment, what I called "techno-lust". It was a really huge financial problem, and I told him he had to go on a 5-year plan to financially police himself or I would divorce him. He has greatly improved.	orig		0.95	Setting boundaries and ultimatums to address financial irresponsibility can be seen as tough love to protect the family's well-being.	[0.95]	0.38
35	Effron	Took the neighbor's newspaper	orig		-2.75	Taking something that doesn't belong to you is considered theft and shows lack of respect for others' property.	[-2.75]	-1.73714296
36	Clifford	You see someone cheating in a card game while playing with a group of strangers.	orig		-2.6	Cheating undermines trust and fairness, harming the integrity of the game and social interaction.	[-2.6]	-2.6
37	Mickelberg	Person X did really well at the quiz night.	orig		0.0	Doing well at a quiz night is generally neutral in terms of morality, as it does not involve harm or benefit to others.	[0.0]	0.41
38	Effron	Sang at a prison in order to entertain the inmates	orig		2.75	Providing entertainment and human connection to inmates can have positive impacts on their well-being and rehabilitation.	[2.75]	1.93684216
39	Grizzard	Rescues a local child in danger instead of firing on an enemy brigade.	orig		3.75	Prioritizing saving a child over engaging in combat shows compassion and humanity.	[3.75]	2.893333333
40	Lotto	You are in a field playing frisbee with three young people you have just met. Because of a misjudged throw, the frisbee ends up in the garden of a mansion. You decide to climb the wall to look for it. Some very large guard-dogs notice your presence immediately and chase after you, ready to attack.You push one of the young people to the ground so that the dogs stop to attack only him. You know that he will die, but you, and the other two, will be able to escape.	orig		-2.75	Sacrificing one person to save yourself and others is morally questionable and raises ethical dilemmas.	[-2.75]	-1.82
41	Mickelberg	Person X worked on a campaign to release wrongfully convicted prisoners.	orig		3.75	Working to correct injustices and help those who have been wronged is a morally commendable act.	[3.75]	3.27
42	Effron	Gave his coat to someone when it was cold	orig		3.45	Showing kindness and generosity by helping someone in need.	[3.45]	3.04
43	Effron	Kicked a stray cat to get it to leave his yard	orig		-2.85	Kicking a defenseless animal shows cruelty and lack of empathy, especially towards a stray cat.	[-2.85]	-3.048
44	Effron	Tricked a stay at home mom into donating to a fake charity	orig		-3.45	Deceiving someone, especially for personal gain, is dishonest and exploitative.	[-3.45]	-3.088
45	Mickelberg	Person X volunteers at a dog refuge, walking the dogs and cleaning their kennels once a week.	orig		3.45	Volunteering to care for animals in need shows compassion and kindness.	[3.45]	2.67
46	Mickelberg	Person X buys a loaf of bread every day, as they love the smell of freshly baked bread in the morning.	orig		0.0	Buying bread for personal enjoyment is a neutral action with no significant moral implications.	[0.0]	0.2
47	Mickelberg	Person X cleaned the bookshelf and picked up some items that had dropped onto the floor.	orig		2.45	Helping to clean up and organize is a small act of kindness and consideration.	[2.45]	1.0
48	Clifford	You see a teenage girl wearing a long trench coat on a hot summer afternoon.	orig		0.0	Fashion choices are subjective and personal, not inherently moral or immoral.	[0.0]	-0.2
